# Date: 20210119
# Operator: RDP
# Notes: PbSn 15 Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-11
# Fit of Tap:
#	Ic = 176 +/- 0.15 A
#	n = 32.6 +/- 1.1 
#	Vc = 5 uV
#	Vfloor = 1.09 +/- 0.015 uV
#	R = 0.00294 +/- 0.00016 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.100000,0.310000,0.000000,0.026636,12.296160,-4.809682
0.900000,0.290000,0.250000,0.041369,12.466940,-4.783814
1.000000,0.470000,0.500000,0.056915,12.637720,-4.756098
1.000000,0.770000,0.750000,0.073423,12.637720,-4.746859
0.800000,0.990000,1.000000,0.088990,12.637720,-4.719143
0.700000,1.230000,1.250000,0.105496,12.893890,-4.724686
0.800000,1.430000,1.500000,0.121026,12.552330,-4.687731
0.900000,1.730000,1.750000,0.137390,12.381550,-4.687731
0.900000,1.870000,2.000000,0.153459,12.466940,-4.669254
0.600000,2.150000,2.250000,0.169009,12.296160,-4.656319
0.800000,2.390000,2.500000,0.185521,12.552330,-4.650776
1.100000,2.650000,2.750000,0.204556,12.637720,-4.700665
1.000000,2.870000,3.000000,0.217166,12.296160,-4.671101
1.100000,3.050000,3.250000,0.232743,12.466940,-4.696970
1.000000,3.270000,3.500000,0.249309,12.381550,-4.680340
1.100000,3.530000,3.750000,0.264863,12.210770,-4.715447
0.900000,3.790000,4.000000,0.281401,12.466940,-4.720990
1.000000,4.010000,4.250000,0.296937,12.296160,-4.754250
1.100000,4.250000,4.500000,0.313451,12.381550,-4.750554
0.900000,4.530000,4.750000,0.329554,12.381550,-4.759793
0.600000,4.810000,5.000000,0.345488,12.296160,-4.772727
0.900000,4.990000,5.250000,0.361458,12.210770,-4.791205
0.800000,5.210000,5.500000,0.377458,12.210770,-4.783814
0.900000,5.470000,5.750000,0.394674,12.210770,-4.783814
0.900000,5.750000,6.000000,0.409473,12.210770,-4.804139
1.000000,5.990000,6.250000,0.425819,12.296160,-4.802291
0.900000,6.190000,6.500000,0.441915,12.381550,-4.793052
0.900000,6.450000,6.750000,0.457509,12.381550,-4.770880
0.800000,6.690000,7.000000,0.474597,12.466940,-4.789357
1.000000,6.930000,7.250000,0.490728,12.296160,-4.769032
0.900000,7.150000,7.500000,0.505565,12.466940,-4.722838
1.200000,7.410000,7.750000,0.521526,12.808500,-4.709904
1.100000,7.610000,8.000000,0.537507,12.466940,-4.687731
1.000000,7.870000,8.250000,0.553531,12.552330,-4.678492
0.900000,8.150000,8.500000,0.569526,12.808500,-4.676644
1.300000,8.370000,8.750000,0.585058,12.552330,-4.672949
1.100000,8.550000,9.000000,0.600626,12.381550,-4.672949
1.300000,8.790000,9.250000,0.617174,12.296160,-4.669254
1.000000,8.970000,9.500000,0.632691,12.466940,-4.693274
0.900000,9.250000,9.750000,0.649209,12.381550,-4.695122
0.900000,9.570000,10.000000,0.664738,12.296160,-4.730229
