# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0101
# Tap_cm: 5.0
# Sample: 1-PP
# Fit of Tap:
#	Ic = 340 +/- 99 A
#	n = 5.27 +/- 2.1 
#	Vc = 5 uV
#	Vfloor = 1.41 +/- 0.0066 uV
#	R = 0.000625 +/- 0.00015 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.200000,-0.010000,0.000000,-11.600000,0.046235,8.930000,-4.315508
1.300000,0.210000,0.050000,-11.400000,0.065822,8.810000,-4.263815
1.400000,0.270000,0.100000,-11.600000,0.073128,8.850000,-4.181818
1.600000,0.290000,0.150000,-11.600000,0.089879,8.870000,-4.185383
1.100000,0.330000,0.200000,-11.600000,0.100778,8.710000,-4.233512
1.300000,0.350000,0.250000,-8.600000,0.111398,8.950000,-4.313725
1.500000,0.390000,0.300000,-9.200000,0.121806,8.730000,-4.147950
1.100000,0.430000,0.350000,-9.800000,0.132241,8.810000,-4.283422
1.600000,0.470000,0.400000,-9.400000,0.141518,8.910000,-4.219251
1.300000,0.570000,0.450000,-9.400000,0.151874,8.730000,-4.206774
1.300000,0.570000,0.500000,-9.400000,0.162295,8.910000,-4.319073
1.400000,0.590000,0.550000,-9.600000,0.171567,8.770000,-4.155080
1.300000,0.670000,0.600000,-8.800000,0.181925,8.850000,-4.290553
1.300000,0.690000,0.650000,-9.400000,0.192356,8.890000,-4.242424
1.400000,0.750000,0.700000,-8.800000,0.201621,8.750000,-4.213904
1.300000,0.750000,0.750000,-9.200000,0.211974,8.930000,-4.311943
1.400000,0.850000,0.800000,-9.600000,0.232737,8.830000,-4.258467
1.100000,0.870000,0.850000,-9.000000,0.243273,8.890000,-4.270945
1.400000,0.950000,0.900000,-9.200000,0.252551,8.670000,-4.181818
1.200000,0.990000,0.950000,-8.600000,0.262911,8.970000,-4.320856
1.400000,1.010000,1.000000,-8.800000,0.273468,8.810000,-4.172906
1.200000,1.070000,1.050000,-9.400000,0.282824,8.850000,-4.258467
1.200000,1.130000,1.100000,-8.800000,0.293270,8.870000,-4.258467
1.100000,1.110000,1.150000,-9.800000,0.302575,8.750000,-4.176471
1.500000,1.210000,1.200000,-9.400000,0.313229,8.910000,-4.306595
1.200000,1.250000,1.250000,-9.400000,0.322596,8.850000,-4.151515
1.400000,1.350000,1.300000,-9.600000,0.332968,8.850000,-4.254902
1.200000,1.430000,1.350000,-10.000000,0.343408,8.910000,-4.263815
1.300000,1.410000,1.400000,-9.200000,0.352732,8.690000,-4.169340
