# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0101
# Tap_cm: 5.0
# Sample: 1-PP
# Fit of Tap:
#	Ic = 178 +/- 0.056 A
#	n = 40.5 +/- 0.58 
#	Vc = 5 uV
#	Vfloor = 1.61 +/- 0.0053 uV
#	R = 0.0001 +/- 9.9e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.800000,0.090000,0.000000,-9.600000,0.078527,8.930000,-4.333333
1.400000,0.290000,0.050000,-9.600000,0.125582,8.870000,-4.254902
1.600000,0.330000,0.100000,-9.600000,0.136282,8.690000,-4.199643
1.400000,0.250000,0.150000,-9.600000,0.146274,8.910000,-4.335116
1.600000,0.310000,0.200000,-9.200000,0.161796,8.910000,-4.320856
1.800000,0.310000,0.250000,-9.400000,0.172143,8.770000,-4.160428
1.300000,0.350000,0.300000,-9.800000,0.182106,8.770000,-4.294118
1.600000,0.450000,0.350000,-10.000000,0.191859,8.870000,-4.235294
1.800000,0.450000,0.400000,-9.600000,0.201861,8.730000,-4.222816
1.700000,0.510000,0.450000,-9.200000,0.211659,8.910000,-4.322638
1.400000,0.570000,0.500000,-9.800000,0.221691,8.790000,-4.158645
1.300000,0.590000,0.550000,-10.000000,0.244031,8.890000,-4.310160
1.300000,0.670000,0.600000,-9.800000,0.254036,8.730000,-4.176471
1.400000,0.750000,0.650000,-9.800000,0.263753,8.910000,-4.331551
1.500000,0.730000,0.700000,-9.400000,0.273754,8.830000,-4.201426
1.500000,0.810000,0.750000,-9.800000,0.283959,8.750000,-4.263815
1.700000,0.850000,0.800000,-9.600000,0.293795,8.830000,-4.310160
1.600000,0.870000,0.850000,-9.800000,0.303740,8.690000,-4.196078
1.600000,0.910000,0.900000,-9.600000,0.314619,8.890000,-4.326203
1.500000,0.950000,0.950000,-9.200000,0.324451,8.830000,-4.224599
1.600000,1.030000,1.000000,-9.800000,0.334486,8.710000,-4.253119
1.600000,1.110000,1.050000,-9.400000,0.344399,8.890000,-4.324421
1.500000,1.130000,1.100000,-9.800000,0.354273,8.710000,-4.185383
1.600000,1.090000,1.150000,-9.800000,0.364252,8.890000,-4.322638
1.500000,1.230000,1.200000,-10.000000,0.383921,8.730000,-4.253119
1.400000,1.290000,1.250000,-9.800000,0.399755,8.810000,-4.272727
1.500000,1.370000,1.300000,-9.400000,0.413958,8.850000,-4.333333
1.600000,1.390000,1.350000,-9.800000,0.424047,8.870000,-4.203209
1.500000,1.450000,1.400000,-9.600000,0.437368,8.690000,-4.185383
1.500000,1.470000,1.450000,-9.600000,0.459760,8.870000,-4.272727
1.400000,1.510000,1.500000,-10.000000,0.471211,8.690000,-4.171123
1.200000,1.530000,1.550000,-9.600000,0.488257,8.710000,-4.163993
1.500000,1.610000,1.600000,-9.800000,0.505585,8.750000,-4.163993
1.500000,1.610000,1.650000,-9.800000,0.517122,8.790000,-4.262032
1.500000,1.690000,1.700000,-9.600000,0.532263,8.870000,-4.311943
1.400000,1.770000,1.750000,-9.800000,0.542753,8.850000,-4.254902
1.600000,1.750000,1.800000,-9.800000,0.559269,8.830000,-4.245989
1.600000,1.810000,1.850000,-10.000000,0.570820,8.730000,-4.172906
1.500000,1.830000,1.900000,-9.600000,0.581548,8.890000,-4.306595
1.600000,1.890000,1.950000,-9.800000,0.591980,8.810000,-4.217469
1.600000,1.950000,2.000000,-9.800000,0.602887,8.690000,-4.192513
1.600000,2.010000,2.050000,-9.600000,0.614112,8.930000,-4.315508
1.500000,2.010000,2.100000,-9.600000,0.624474,8.850000,-4.192513
1.600000,2.070000,2.150000,-9.400000,0.635726,8.710000,-4.204991
1.700000,2.150000,2.200000,-9.600000,0.646486,8.970000,-4.335116
1.400000,2.190000,2.250000,-9.400000,0.667934,8.790000,-4.233512
1.600000,2.250000,2.300000,-9.200000,0.689746,8.790000,-4.171123
1.500000,2.250000,2.350000,-9.800000,0.706083,8.770000,-4.169340
1.300000,2.310000,2.400000,-9.400000,0.717112,8.810000,-4.262032
1.400000,2.390000,2.450000,-9.400000,0.727034,8.950000,-4.286988
1.600000,2.390000,2.500000,-9.600000,0.736945,8.670000,-4.192513
1.400000,2.490000,2.550000,-9.600000,0.747855,8.830000,-4.320856
1.700000,2.550000,2.600000,-9.200000,0.759073,8.910000,-4.244207
1.600000,2.610000,2.650000,-9.800000,0.769603,8.670000,-4.204991
1.700000,2.630000,2.700000,-9.600000,0.780629,8.870000,-4.324421
1.600000,2.650000,2.750000,-9.800000,0.791215,8.870000,-4.213904
1.700000,2.730000,2.800000,-9.400000,0.800759,8.850000,-4.254902
1.500000,2.750000,2.850000,-9.400000,0.811824,8.970000,-4.327986
1.500000,2.810000,2.900000,-10.000000,0.822250,8.790000,-4.165775
1.400000,2.870000,2.950000,-9.400000,0.832081,8.870000,-4.299465
1.700000,2.870000,3.000000,-9.800000,0.842235,8.870000,-4.247772
1.600000,2.950000,3.050000,-9.800000,0.852246,8.770000,-4.219251
1.400000,2.950000,3.100000,-9.400000,0.873894,8.810000,-4.192513
1.600000,2.990000,3.150000,-9.800000,0.884957,8.770000,-4.226381
1.600000,3.030000,3.200000,-9.800000,0.894787,8.950000,-4.315508
1.400000,3.110000,3.250000,-9.800000,0.905198,8.790000,-4.163993
1.400000,3.150000,3.300000,-9.600000,0.915239,8.830000,-4.301248
1.700000,3.190000,3.350000,-9.800000,0.925086,8.850000,-4.226381
1.500000,3.230000,3.400000,-9.600000,0.938191,8.730000,-4.162210
1.400000,3.330000,3.450000,-10.000000,0.948243,8.890000,-4.311943
1.400000,3.390000,3.500000,-9.600000,0.957822,8.850000,-4.199643
1.700000,3.430000,3.550000,-9.600000,0.968268,8.730000,-4.212121
1.300000,3.470000,3.600000,-9.800000,0.988796,8.710000,-4.151515
1.800000,3.550000,3.650000,-9.600000,1.008554,8.810000,-4.224599
1.500000,3.590000,3.700000,-10.000000,1.020513,8.670000,-4.185383
1.500000,3.650000,3.750000,-9.800000,1.031229,8.830000,-4.320856
1.600000,3.710000,3.800000,-9.400000,1.040757,8.830000,-4.199643
1.400000,3.730000,3.850000,-9.600000,1.050441,8.790000,-4.265597
1.600000,3.790000,3.900000,-9.600000,1.060419,8.890000,-4.292335
1.500000,3.870000,3.950000,-9.400000,1.072891,8.750000,-4.178253
1.600000,3.930000,4.000000,-9.400000,1.089721,8.750000,-4.185383
1.500000,3.950000,4.050000,-9.400000,1.100206,8.770000,-4.269162
1.400000,4.030000,4.100000,-9.600000,1.109565,8.890000,-4.267380
1.300000,4.010000,4.150000,-10.000000,1.119957,8.690000,-4.196078
1.600000,4.070000,4.200000,-10.000000,1.131186,8.830000,-4.315508
1.800000,4.110000,4.250000,-9.400000,1.141213,8.810000,-4.206774
1.600000,4.150000,4.300000,-9.600000,1.151018,8.750000,-4.245989
1.400000,4.190000,4.350000,-9.400000,1.160698,8.970000,-4.295900
1.600000,4.270000,4.400000,-9.400000,1.171130,8.710000,-4.188948
1.800000,4.270000,4.450000,-9.400000,1.180756,8.870000,-4.310160
1.700000,4.330000,4.500000,-9.600000,1.191180,8.790000,-4.192513
1.400000,4.390000,4.550000,-9.800000,1.200735,8.770000,-4.245989
1.600000,4.410000,4.600000,-9.400000,1.211213,8.930000,-4.301248
1.700000,4.490000,4.650000,-9.800000,1.221210,8.710000,-4.162210
1.700000,4.530000,4.700000,-9.600000,1.231002,8.870000,-4.311943
1.500000,4.530000,4.750000,-9.600000,1.241188,8.810000,-4.201426
1.600000,4.570000,4.800000,-9.800000,1.251239,8.710000,-4.244207
1.500000,4.650000,4.850000,-9.200000,1.261097,8.950000,-4.295900
1.700000,4.730000,4.900000,-9.800000,1.285241,8.770000,-4.212121
1.400000,4.830000,4.950000,-9.800000,1.309972,8.910000,-4.258467
1.500000,4.870000,5.000000,-9.800000,1.321010,8.690000,-4.174688
1.500000,4.870000,5.050000,-9.800000,1.331222,8.910000,-4.326203
1.500000,4.930000,5.100000,-9.600000,1.341099,8.870000,-4.199643
1.500000,4.950000,5.150000,-9.800000,1.351425,8.730000,-4.222816
1.900000,4.950000,5.200000,-9.600000,1.361094,8.950000,-4.295900
1.500000,5.030000,5.250000,-9.600000,1.370758,8.670000,-4.167558
1.600000,5.050000,5.300000,-9.600000,1.380183,8.950000,-4.317291
1.700000,5.170000,5.350000,-9.800000,1.389559,8.730000,-4.160428
1.300000,5.170000,5.400000,-9.800000,1.399959,8.790000,-4.262032
1.300000,5.210000,5.450000,-9.800000,1.409267,8.850000,-4.249554
1.500000,5.250000,5.500000,-10.000000,1.419777,8.710000,-4.185383
1.600000,5.290000,5.550000,-9.600000,1.430145,8.910000,-4.320856
1.500000,5.350000,5.600000,-9.800000,1.439485,8.770000,-4.160428
1.300000,5.370000,5.650000,-9.600000,1.449978,8.810000,-4.265597
1.500000,5.450000,5.700000,-9.200000,1.459285,8.870000,-4.245989
1.700000,5.510000,5.750000,-10.000000,1.479735,8.930000,-4.331551
1.700000,5.490000,5.800000,-9.600000,1.490212,8.830000,-4.181818
1.300000,5.590000,5.850000,-9.800000,1.499605,8.770000,-4.279857
1.400000,5.650000,5.900000,-9.600000,1.509996,8.910000,-4.267380
1.500000,5.690000,5.950000,-9.800000,1.520455,8.650000,-4.174688
1.800000,5.750000,6.000000,-9.400000,1.529741,8.870000,-4.319073
1.700000,5.770000,6.050000,-9.400000,1.540111,8.790000,-4.178253
1.400000,5.870000,6.100000,-9.600000,1.550550,8.790000,-4.254902
1.400000,5.950000,6.150000,-10.000000,1.560573,8.890000,-4.262032
1.700000,5.990000,6.200000,-9.600000,1.579456,8.930000,-4.319073
1.500000,6.030000,6.250000,-9.800000,1.593839,8.870000,-4.279857
1.600000,6.070000,6.300000,-10.000000,1.604013,8.670000,-4.169340
1.700000,6.090000,6.350000,-9.600000,1.614582,8.850000,-4.311943
1.600000,6.150000,6.400000,-9.800000,1.623897,8.830000,-4.190731
1.800000,6.130000,6.450000,-9.800000,1.634377,8.770000,-4.249554
1.500000,6.230000,6.500000,-9.400000,1.643664,8.970000,-4.285205
1.800000,6.290000,6.550000,-10.000000,1.654057,8.690000,-4.185383
1.600000,6.330000,6.600000,-9.800000,1.664499,8.870000,-4.320856
1.400000,6.390000,6.650000,-9.800000,1.676985,8.870000,-4.292335
1.600000,6.470000,6.700000,-9.200000,1.694686,8.930000,-4.319073
1.400000,6.470000,6.750000,-9.800000,1.705156,8.710000,-4.174688
1.700000,6.510000,6.800000,-9.400000,1.714530,8.870000,-4.327986
1.600000,6.530000,6.850000,-9.800000,1.724923,8.830000,-4.226381
1.700000,6.570000,6.900000,-9.600000,1.735372,8.730000,-4.226381
1.800000,6.670000,6.950000,-9.400000,1.744699,8.950000,-4.315508
1.400000,6.690000,7.000000,-9.800000,1.755069,8.750000,-4.165775
1.300000,6.750000,7.050000,-9.600000,1.765490,8.830000,-4.288770
1.600000,6.790000,7.100000,-9.800000,1.774791,8.830000,-4.208556
1.500000,6.810000,7.150000,-9.600000,1.785154,8.750000,-4.229947
1.800000,6.830000,7.200000,-9.200000,1.794489,8.970000,-4.311943
1.600000,6.950000,7.250000,-9.800000,1.804875,8.730000,-4.171123
1.700000,7.010000,7.300000,-10.000000,1.815992,8.830000,-4.292335
1.600000,7.070000,7.350000,-9.800000,1.825481,8.890000,-4.237077
1.700000,7.090000,7.400000,-9.400000,1.834878,8.730000,-4.229947
1.600000,7.130000,7.450000,-9.400000,1.845366,8.910000,-4.324421
1.400000,7.210000,7.500000,-10.000000,1.854663,8.710000,-4.176471
1.400000,7.290000,7.550000,-9.600000,1.865053,8.870000,-4.313725
1.400000,7.310000,7.600000,-9.800000,1.886876,8.690000,-4.197861
1.500000,7.430000,7.650000,-9.600000,1.910174,8.970000,-4.290553
1.700000,7.390000,7.700000,-9.600000,1.920794,8.690000,-4.188948
