# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0102 -5A/s
# Tap_cm: 5.0
# Sample: 2-PP
# Fit of Tap:
#	Ic = 56.8 +/- 1.7e+08 A
#	n = 146 +/- 7.2e+08 
#	Vc = 5 uV
#	Vfloor = 3.92 +/- 0.0084 uV
#	R = 0.00168 +/- 0.00036 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
4.000000,0.150000,0.000000,-9.400000,0.075802,8.770000,-4.172906
4.100000,0.230000,0.041667,-9.400000,0.121512,8.750000,-4.229947
4.100000,0.190000,0.083333,-9.200000,0.132181,8.930000,-4.338681
4.000000,0.210000,0.125000,-9.600000,0.142086,8.850000,-4.174688
3.900000,0.290000,0.166667,-9.600000,0.152026,8.810000,-4.295900
3.800000,0.290000,0.208333,-9.600000,0.161890,8.830000,-4.256684
3.700000,0.310000,0.250000,-9.800000,0.171760,8.750000,-4.224599
3.800000,0.370000,0.291667,-9.200000,0.181615,8.890000,-4.335116
3.800000,0.410000,0.333333,-9.600000,0.191453,8.730000,-4.180036
3.800000,0.450000,0.375000,-9.600000,0.200844,8.870000,-4.326203
4.100000,0.410000,0.416667,-9.200000,0.210234,8.810000,-4.204991
3.900000,0.490000,0.458333,-9.400000,0.219533,8.810000,-4.281640
4.000000,0.550000,0.500000,-9.200000,0.232167,8.910000,-4.349376
4.100000,0.650000,0.541667,-9.200000,0.250204,8.890000,-4.336898
3.800000,0.650000,0.583333,-9.200000,0.259619,8.790000,-4.190731
3.800000,0.650000,0.625000,-9.200000,0.268907,8.810000,-4.290553
3.600000,0.770000,0.666667,-9.600000,0.278208,8.850000,-4.249554
4.100000,0.710000,0.708333,-9.400000,0.287521,8.750000,-4.229947
4.000000,0.790000,0.750000,-9.400000,0.296892,8.850000,-4.303030
3.800000,0.810000,0.791667,-9.400000,0.306284,8.690000,-4.187166
3.800000,0.870000,0.833333,-9.400000,0.315585,8.910000,-4.333333
4.200000,0.910000,0.875000,-9.200000,0.324870,8.750000,-4.162210
3.700000,0.930000,0.916667,-9.800000,0.334260,8.790000,-4.313725
3.800000,1.010000,0.958333,-9.400000,0.353309,8.750000,-4.262032
3.900000,1.010000,1.000000,-9.600000,0.368081,8.810000,-4.303030
4.000000,1.070000,1.041667,-10.000000,0.378367,8.830000,-4.256684
3.800000,1.110000,1.083333,-9.400000,0.387735,8.710000,-4.245989
3.800000,1.090000,1.125000,-9.600000,0.397130,8.870000,-4.327986
3.700000,1.170000,1.166667,-9.600000,0.406421,8.730000,-4.201426
4.100000,1.170000,1.208333,-9.000000,0.415708,8.890000,-4.347594
3.900000,1.230000,1.250000,-9.600000,0.425070,8.770000,-4.187166
3.700000,1.310000,1.291667,-10.000000,0.437370,8.770000,-4.231729
4.200000,1.330000,1.333333,-9.600000,0.454295,8.730000,-4.228164
4.000000,1.330000,1.375000,-9.600000,0.463713,8.890000,-4.311943
3.900000,1.430000,1.416667,-9.400000,0.473085,8.710000,-4.188948
