# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0102 -5A/s
# Tap_cm: 5.0
# Sample: 2-PP
# Fit of Tap:
#	Ic = 158 +/- 0.061 A
#	n = 52.4 +/- 0.95 
#	Vc = 5 uV
#	Vfloor = 3.89 +/- 0.0047 uV
#	R = 0.0001 +/- 7e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.900000,0.250000,0.000000,-12.000000,0.017544,8.750000,-4.281640
3.900000,0.230000,0.041667,-12.200000,0.032512,8.750000,-4.320856
3.800000,0.250000,0.083333,-11.600000,0.043017,8.830000,-4.265597
3.700000,0.190000,0.125000,-11.800000,0.051063,8.690000,-4.272727
3.900000,0.310000,0.166667,-9.400000,0.061977,8.850000,-4.317291
3.700000,0.270000,0.208333,-9.600000,0.071928,8.670000,-4.178253
3.800000,0.350000,0.250000,-9.600000,0.081810,8.810000,-4.326203
4.000000,0.350000,0.291667,-9.400000,0.091732,8.750000,-4.206774
4.000000,0.410000,0.333333,-9.400000,0.101570,8.710000,-4.260250
3.700000,0.430000,0.375000,-9.600000,0.111437,8.830000,-4.297683
3.700000,0.450000,0.416667,-9.600000,0.121296,8.750000,-4.199643
3.800000,0.530000,0.458333,-9.600000,0.131145,8.810000,-4.344029
3.600000,0.530000,0.500000,-9.400000,0.141038,8.790000,-4.197861
3.600000,0.590000,0.541667,-9.600000,0.150954,8.750000,-4.286988
3.800000,0.630000,0.583333,-9.600000,0.160946,8.830000,-4.294118
3.700000,0.690000,0.625000,-9.400000,0.170872,8.650000,-4.208556
3.900000,0.730000,0.666667,-9.400000,0.180816,8.810000,-4.344029
3.600000,0.750000,0.708333,-9.400000,0.190797,8.730000,-4.188948
3.600000,0.770000,0.750000,-9.400000,0.200739,8.710000,-4.285205
3.700000,0.870000,0.791667,-9.800000,0.221329,8.690000,-4.201426
3.700000,0.910000,0.833333,-11.000000,0.231362,8.830000,-4.352941
3.900000,0.890000,0.875000,-10.200000,0.241431,8.770000,-4.208556
3.500000,0.950000,0.916667,-9.600000,0.251377,8.710000,-4.279857
3.800000,0.990000,0.958333,-9.600000,0.261258,8.830000,-4.313725
4.000000,1.010000,1.000000,-10.000000,0.271135,8.670000,-4.219251
3.800000,1.050000,1.041667,-9.200000,0.281071,8.830000,-4.356506
3.700000,1.130000,1.083333,-9.200000,0.291092,8.770000,-4.210339
3.700000,1.170000,1.125000,-9.400000,0.301011,8.730000,-4.285205
3.800000,1.170000,1.166667,-9.400000,0.310940,8.830000,-4.294118
3.700000,1.210000,1.208333,-9.800000,0.320862,8.650000,-4.219251
3.700000,1.330000,1.250000,-9.400000,0.340553,8.710000,-4.190731
3.900000,1.310000,1.291667,-9.400000,0.355263,8.690000,-4.176471
3.900000,1.310000,1.333333,-9.800000,0.365925,8.750000,-4.308378
3.900000,1.330000,1.375000,-9.400000,0.375873,8.790000,-4.229947
3.900000,1.370000,1.416667,-9.400000,0.385773,8.710000,-4.240642
3.900000,1.430000,1.458333,-9.400000,0.395810,8.870000,-4.326203
3.800000,1.530000,1.500000,-9.800000,0.415745,8.810000,-4.333333
3.700000,1.550000,1.541667,-9.400000,0.425723,8.770000,-4.226381
3.900000,1.510000,1.583333,-9.600000,0.435665,8.690000,-4.247772
4.000000,1.630000,1.625000,-9.400000,0.445596,8.850000,-4.324421
3.600000,1.630000,1.666667,-9.400000,0.455509,8.650000,-4.178253
3.700000,1.630000,1.708333,-9.200000,0.465333,8.750000,-4.335116
3.700000,1.670000,1.750000,-9.400000,0.475170,8.770000,-4.215686
4.000000,1.770000,1.791667,-9.400000,0.485104,8.750000,-4.267380
3.700000,1.810000,1.833333,-9.400000,0.495114,8.870000,-4.315508
3.700000,1.830000,1.875000,-9.400000,0.505006,8.710000,-4.197861
3.700000,1.890000,1.916667,-9.400000,0.514883,8.770000,-4.344029
4.100000,1.890000,1.958333,-9.600000,0.524817,8.770000,-4.201426
3.800000,1.970000,2.000000,-9.600000,0.534730,8.710000,-4.272727
3.800000,2.010000,2.041667,-9.400000,0.544743,8.810000,-4.294118
3.700000,1.990000,2.083333,-9.600000,0.554659,8.610000,-4.197861
3.700000,2.090000,2.125000,-9.800000,0.564580,8.830000,-4.338681
3.700000,2.090000,2.166667,-9.200000,0.574454,8.750000,-4.201426
3.700000,2.190000,2.208333,-9.400000,0.584305,8.710000,-4.279857
3.500000,2.230000,2.250000,-9.400000,0.604607,8.650000,-4.197861
3.800000,2.210000,2.291667,-9.600000,0.614632,8.810000,-4.338681
3.800000,2.290000,2.333333,-9.400000,0.624602,8.730000,-4.190731
3.700000,2.350000,2.375000,-9.600000,0.649902,8.730000,-4.306595
3.700000,2.350000,2.416667,-9.400000,0.660551,8.810000,-4.263815
3.700000,2.370000,2.458333,-9.400000,0.670456,8.690000,-4.212121
3.900000,2.430000,2.500000,-9.400000,0.680298,8.870000,-4.342246
3.900000,2.470000,2.541667,-9.600000,0.690139,8.730000,-4.169340
3.900000,2.510000,2.583333,-9.600000,0.700111,8.770000,-4.303030
3.800000,2.550000,2.625000,-9.800000,0.710017,8.810000,-4.251337
3.800000,2.570000,2.666667,-9.400000,0.719897,8.670000,-4.224599
4.100000,2.570000,2.708333,-9.200000,0.729829,8.890000,-4.324421
3.900000,2.630000,2.750000,-9.800000,0.739916,8.750000,-4.163993
3.800000,2.710000,2.791667,-9.400000,0.749914,8.750000,-4.299465
