# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0102 -10A/s
# Tap_cm: 5.0
# Sample: 2-PP
# Fit of Tap:
#	Ic = 160 +/- 0.12 A
#	n = 46.5 +/- 1.4 
#	Vc = 5 uV
#	Vfloor = 3.98 +/- 0.0071 uV
#	R = 0.000162 +/- 8.5e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.900000,0.210000,0.000000,-11.600000,0.024168,8.810000,-4.249554
3.900000,0.210000,0.083333,-12.000000,0.033843,8.690000,-4.203209
3.700000,0.250000,0.166667,-11.800000,0.042564,8.850000,-4.297683
3.500000,0.310000,0.250000,-11.800000,0.050345,8.730000,-4.221034
3.900000,0.350000,0.333333,-9.400000,0.059635,8.810000,-4.301248
3.700000,0.470000,0.416667,-9.400000,0.068967,8.650000,-4.174688
3.900000,0.490000,0.500000,-9.400000,0.078277,8.890000,-4.329768
3.900000,0.570000,0.583333,-9.800000,0.087573,8.710000,-4.165775
3.700000,0.690000,0.666667,-9.800000,0.096845,8.790000,-4.313725
3.800000,0.730000,0.750000,-9.800000,0.106212,8.790000,-4.212121
4.000000,0.810000,0.833333,-9.400000,0.115487,8.770000,-4.263815
3.800000,0.990000,0.916667,-9.600000,0.124734,8.830000,-4.267380
3.900000,1.030000,1.000000,-9.200000,0.134047,8.690000,-4.215686
4.000000,1.050000,1.083333,-9.200000,0.143434,8.890000,-4.317291
3.600000,1.150000,1.166667,-9.400000,0.152749,8.670000,-4.178253
4.000000,1.210000,1.250000,-9.400000,0.162143,8.830000,-4.335116
4.000000,1.270000,1.333333,-9.400000,0.171442,8.770000,-4.180036
3.700000,1.350000,1.416667,-9.800000,0.180753,8.730000,-4.308378
3.900000,1.430000,1.500000,-9.600000,0.190114,8.770000,-4.221034
3.900000,1.490000,1.583333,-9.600000,0.199392,8.750000,-4.240642
3.800000,1.670000,1.666667,-9.400000,0.211998,8.830000,-4.319073
3.800000,1.750000,1.750000,-10.000000,0.229216,8.810000,-4.310160
4.000000,1.790000,1.833333,-9.400000,0.238595,8.770000,-4.176471
3.800000,1.830000,1.916667,-9.600000,0.247944,8.710000,-4.269162
4.000000,1.930000,2.000000,-9.600000,0.257276,8.770000,-4.228164
3.900000,1.950000,2.083333,-9.600000,0.266564,8.710000,-4.229947
3.900000,2.050000,2.166667,-9.400000,0.275880,8.870000,-4.294118
3.800000,2.170000,2.250000,-9.600000,0.285179,8.670000,-4.188948
3.900000,2.210000,2.333333,-9.400000,0.294447,8.870000,-4.315508
3.700000,2.290000,2.416667,-9.800000,0.303725,8.670000,-4.149733
3.900000,2.430000,2.500000,-9.400000,0.322347,8.730000,-4.185383
3.700000,2.490000,2.583333,-9.400000,0.337365,8.610000,-4.163993
3.900000,2.550000,2.666667,-9.800000,0.347442,8.770000,-4.288770
3.800000,2.590000,2.750000,-9.800000,0.356773,8.790000,-4.215686
3.900000,2.710000,2.833333,-9.400000,0.366111,8.710000,-4.249554
3.600000,2.750000,2.916667,-9.600000,0.375427,8.830000,-4.286988
3.800000,2.870000,3.000000,-9.600000,0.384737,8.650000,-4.208556
3.800000,2.930000,3.083333,-9.600000,0.394182,8.850000,-4.324421
3.900000,3.010000,3.166667,-9.600000,0.403486,8.670000,-4.169340
3.700000,3.130000,3.250000,-9.400000,0.416026,8.750000,-4.258467
4.100000,3.250000,3.333333,-9.800000,0.432593,8.730000,-4.251337
3.800000,3.310000,3.416667,-9.800000,0.442076,8.870000,-4.290553
3.900000,3.290000,3.500000,-10.000000,0.451437,8.630000,-4.204991
4.000000,3.430000,3.583333,-9.400000,0.461114,8.870000,-4.336898
3.600000,3.450000,3.666667,-9.200000,0.470686,8.690000,-4.174688
3.700000,3.630000,3.750000,-9.600000,0.480314,8.790000,-4.303030
3.900000,3.610000,3.833333,-9.800000,0.490244,8.810000,-4.233512
3.700000,3.710000,3.916667,-10.000000,0.499758,8.650000,-4.244207
3.900000,3.830000,4.000000,-9.600000,0.509303,8.850000,-4.299465
3.900000,3.890000,4.083333,-9.600000,0.518981,8.650000,-4.178253
3.900000,3.970000,4.166667,-9.400000,0.528573,8.870000,-4.320856
4.000000,4.070000,4.250000,-9.400000,0.538318,8.770000,-4.174688
3.900000,4.170000,4.333333,-10.400000,0.547825,8.730000,-4.276292
3.700000,4.270000,4.416667,-9.600000,0.557373,8.810000,-4.238859
4.100000,4.370000,4.500000,-9.400000,0.578641,8.850000,-4.326203
3.800000,4.410000,4.583333,-9.400000,0.593444,8.910000,-4.313725
3.700000,4.550000,4.666667,-9.800000,0.607826,8.850000,-4.245989
3.900000,4.610000,4.750000,-9.400000,0.647362,8.790000,-4.292335
3.900000,4.610000,4.833333,-9.600000,0.661501,8.910000,-4.327986
4.000000,4.710000,4.916667,-9.400000,0.670946,8.710000,-4.163993
3.800000,4.830000,5.000000,-9.600000,0.680254,8.770000,-4.299465
3.900000,4.830000,5.083333,-9.600000,0.689534,8.810000,-4.194296
3.600000,4.910000,5.166667,-9.400000,0.698799,8.730000,-4.258467
3.600000,4.970000,5.250000,-9.800000,0.708165,8.790000,-4.260250
3.800000,5.030000,5.333333,-9.800000,0.717422,8.670000,-4.210339
3.900000,5.110000,5.416667,-9.400000,0.726686,8.790000,-4.313725
3.800000,5.250000,5.500000,-9.400000,0.736033,8.650000,-4.171123
3.900000,5.330000,5.583333,-9.600000,0.745317,8.830000,-4.326203
3.700000,5.390000,5.666667,-9.400000,0.754579,8.750000,-4.165775
4.100000,5.450000,5.750000,-9.600000,0.763904,8.810000,-4.295900
4.100000,5.510000,5.833333,-9.200000,0.773176,8.790000,-4.201426
4.100000,5.630000,5.916667,-9.400000,0.782439,8.750000,-4.249554
4.000000,5.710000,6.000000,-9.600000,0.791710,8.850000,-4.270945
4.100000,5.770000,6.083333,-9.800000,0.801058,8.710000,-4.203209
3.800000,5.850000,6.166667,-9.200000,0.810326,8.950000,-4.310160
4.000000,6.030000,6.250000,-9.800000,0.830182,8.790000,-4.292335
4.100000,6.030000,6.333333,-9.400000,0.839570,8.850000,-4.190731
4.200000,6.130000,6.416667,-9.600000,0.848915,8.750000,-4.249554
3.800000,6.190000,6.500000,-9.600000,0.858259,8.810000,-4.262032
3.800000,6.270000,6.583333,-9.800000,0.867543,8.730000,-4.199643
3.900000,6.370000,6.666667,-9.200000,0.876821,8.870000,-4.303030
3.800000,6.470000,6.750000,-9.400000,0.886237,8.670000,-4.174688
4.300000,6.510000,6.833333,-9.200000,0.895665,8.870000,-4.317291
3.900000,6.570000,6.916667,-9.600000,0.904966,8.750000,-4.162210
3.900000,6.710000,7.000000,-9.600000,0.928363,8.790000,-4.313725
4.000000,6.730000,7.083333,-9.200000,0.938437,8.810000,-4.158645
3.700000,6.870000,7.166667,-9.600000,0.947747,8.750000,-4.269162
3.900000,6.890000,7.250000,-9.600000,0.957117,8.810000,-4.217469
3.900000,6.950000,7.333333,-9.600000,0.966441,8.770000,-4.224599
3.900000,7.050000,7.416667,-9.600000,0.975711,8.870000,-4.278075
3.800000,7.130000,7.500000,-9.800000,0.985045,8.730000,-4.188948
3.800000,7.210000,7.583333,-9.400000,0.994309,8.910000,-4.310160
4.000000,7.330000,7.666667,-9.800000,1.003558,8.730000,-4.139037
4.000000,7.370000,7.750000,-9.400000,1.016140,8.730000,-4.233512
3.900000,7.530000,7.833333,-9.400000,1.033206,8.730000,-4.226381
4.000000,7.530000,7.916667,-9.400000,1.042556,8.870000,-4.297683
3.800000,7.630000,8.000000,-10.000000,1.051902,8.670000,-4.197861
3.900000,7.650000,8.083333,-9.400000,1.061217,8.890000,-4.333333
3.900000,7.810000,8.166667,-9.400000,1.070476,8.710000,-4.163993
4.000000,7.890000,8.250000,-9.800000,1.079754,8.790000,-4.315508
3.700000,7.890000,8.333333,-9.400000,1.089063,8.750000,-4.185383
3.600000,8.050000,8.416667,-9.800000,1.098339,8.770000,-4.276292
3.800000,8.130000,8.500000,-9.400000,1.107636,8.810000,-4.251337
3.900000,8.170000,8.583333,-9.400000,1.116996,8.690000,-4.229947
3.800000,8.250000,8.666667,-9.400000,1.126293,8.870000,-4.304813
3.800000,8.410000,8.750000,-9.400000,1.135645,8.690000,-4.180036
3.900000,8.450000,8.833333,-9.200000,1.145271,8.870000,-4.333333
3.900000,8.510000,8.916667,-9.200000,1.154620,8.770000,-4.169340
3.900000,8.550000,9.000000,-9.400000,1.163964,8.810000,-4.308378
4.000000,8.630000,9.083333,-9.000000,1.173243,8.850000,-4.226381
4.000000,8.690000,9.166667,-9.400000,1.182527,8.790000,-4.267380
3.800000,8.790000,9.250000,-9.400000,1.191865,8.870000,-4.290553
3.800000,8.870000,9.333333,-9.600000,1.201365,8.690000,-4.217469
3.800000,9.030000,9.416667,-9.200000,1.223350,8.810000,-4.229947
3.700000,9.070000,9.500000,-9.600000,1.246357,8.870000,-4.338681
4.000000,9.110000,9.583333,-9.400000,1.255859,8.830000,-4.208556
3.700000,9.190000,9.666667,-9.200000,1.265246,8.790000,-4.290553
3.800000,9.290000,9.750000,-9.400000,1.274541,8.850000,-4.269162
3.900000,9.330000,9.833333,-9.400000,1.283890,8.750000,-4.235294
3.900000,9.410000,9.916667,-9.200000,1.293188,8.870000,-4.320856
3.800000,9.510000,10.000000,-9.800000,1.302434,8.730000,-4.196078
4.000000,9.590000,10.083333,-9.600000,1.311697,8.870000,-4.354724
3.800000,9.670000,10.166667,-9.600000,1.321035,8.790000,-4.187166
3.800000,9.730000,10.250000,-10.200000,1.330314,8.790000,-4.326203
3.800000,9.830000,10.333333,-9.200000,1.339590,8.810000,-4.215686
3.600000,9.910000,10.416667,-9.600000,1.348931,8.750000,-4.281640
3.800000,10.090000,10.500000,-9.200000,1.358314,8.870000,-4.290553
3.700000,10.070000,10.583333,-9.800000,1.367602,8.690000,-4.231729
4.100000,10.170000,10.666667,-9.400000,1.376946,8.870000,-4.336898
3.700000,10.310000,10.750000,-9.400000,1.386312,8.710000,-4.180036
3.600000,10.290000,10.833333,-9.600000,1.397347,8.790000,-4.317291
3.900000,10.370000,10.916667,-9.600000,1.406750,8.870000,-4.233512
3.900000,10.530000,11.000000,-9.600000,1.426855,8.890000,-4.329768
3.900000,10.630000,11.083333,-9.600000,1.436320,8.710000,-4.187166
3.900000,10.630000,11.166667,-9.200000,1.445627,8.870000,-4.340463
4.000000,10.710000,11.250000,-9.400000,1.454902,8.750000,-4.194296
3.800000,10.850000,11.333333,-9.800000,1.464276,8.770000,-4.311943
4.000000,10.870000,11.416667,-9.400000,1.473558,8.850000,-4.238859
4.000000,10.930000,11.500000,-9.800000,1.482875,8.730000,-4.263815
4.000000,11.010000,11.583333,-9.400000,1.492234,8.870000,-4.295900
3.800000,11.170000,11.666667,-9.800000,1.501538,8.690000,-4.204991
3.900000,11.270000,11.750000,-9.400000,1.520273,8.730000,-4.165775
3.900000,11.350000,11.833333,-9.600000,1.535235,8.710000,-4.206774
3.900000,11.350000,11.916667,-9.600000,1.545376,8.870000,-4.338681
3.900000,11.450000,12.000000,-9.200000,1.554721,8.770000,-4.181818
3.900000,11.530000,12.083333,-9.800000,1.564002,8.810000,-4.317291
4.000000,11.590000,12.166667,-9.200000,1.573266,8.790000,-4.224599
3.900000,11.710000,12.250000,-9.400000,1.582526,8.770000,-4.263815
3.900000,11.770000,12.333333,-9.800000,1.591918,8.850000,-4.283422
3.900000,11.850000,12.416667,-9.800000,1.601239,8.750000,-4.210339
3.700000,12.010000,12.500000,-9.400000,1.613712,8.810000,-4.315508
3.800000,12.050000,12.583333,-9.800000,1.631167,8.790000,-4.294118
3.800000,12.110000,12.666667,-10.200000,1.640578,8.790000,-4.242424
4.000000,12.170000,12.750000,-9.400000,1.650070,8.730000,-4.231729
3.800000,12.270000,12.833333,-9.600000,1.659382,8.910000,-4.301248
4.000000,12.390000,12.916667,-9.600000,1.668684,8.670000,-4.196078
3.900000,12.350000,13.000000,-9.600000,1.678052,8.910000,-4.333333
3.900000,12.430000,13.083333,-9.600000,1.687328,8.750000,-4.163993
4.000000,12.550000,13.166667,-9.600000,1.696629,8.830000,-4.317291
4.100000,12.570000,13.250000,-9.400000,1.705976,8.770000,-4.196078
3.900000,12.650000,13.333333,-9.400000,1.715309,8.750000,-4.265597
3.900000,12.770000,13.416667,-9.400000,1.724592,8.830000,-4.258467
4.200000,12.830000,13.500000,-9.400000,1.733912,8.690000,-4.224599
3.900000,12.910000,13.583333,-9.600000,1.743180,8.890000,-4.317291
4.000000,12.970000,13.666667,-9.600000,1.752472,8.710000,-4.197861
4.100000,13.050000,13.750000,-9.800000,1.761757,8.890000,-4.347594
4.100000,13.150000,13.833333,-9.400000,1.771087,8.770000,-4.187166
4.000000,13.250000,13.916667,-9.800000,1.780364,8.850000,-4.329768
3.700000,13.330000,14.000000,-9.400000,1.789624,8.790000,-4.215686
4.000000,13.390000,14.083333,-9.400000,1.798954,8.750000,-4.276292
4.000000,13.510000,14.166667,-9.600000,1.808266,8.870000,-4.279857
4.000000,13.610000,14.250000,-9.600000,1.842668,8.930000,-4.308378
4.000000,13.670000,14.333333,-9.200000,1.852241,8.690000,-4.210339
3.900000,13.710000,14.416667,-9.600000,1.861586,8.930000,-4.354724
4.000000,13.790000,14.500000,-9.400000,1.870961,8.790000,-4.185383
3.800000,13.910000,14.583333,-9.600000,1.880241,8.810000,-4.333333
4.100000,13.950000,14.666667,-9.400000,1.889569,8.890000,-4.229947
3.700000,14.050000,14.750000,-9.200000,1.899055,8.830000,-4.276292
3.800000,14.130000,14.833333,-9.800000,1.908347,8.870000,-4.286988
3.800000,14.190000,14.916667,-9.400000,1.917633,8.750000,-4.222816
4.100000,14.270000,15.000000,-9.600000,1.927014,8.870000,-4.331551
3.800000,14.370000,15.083333,-9.600000,1.936293,8.650000,-4.178253
3.900000,14.490000,15.166667,-9.400000,1.945571,8.870000,-4.335116
3.900000,14.530000,15.250000,-9.400000,1.954840,8.750000,-4.178253
3.900000,14.610000,15.333333,-9.800000,1.964160,8.750000,-4.308378
4.000000,14.650000,15.416667,-9.400000,1.973443,8.790000,-4.235294
3.800000,14.750000,15.500000,-9.800000,1.982717,8.770000,-4.267380
4.000000,14.870000,15.583333,-9.600000,1.992043,8.890000,-4.299465
3.700000,14.950000,15.666667,-9.400000,2.001306,8.690000,-4.226381
4.100000,15.070000,15.750000,-9.200000,2.013885,8.810000,-4.322638
3.900000,15.190000,15.833333,-9.600000,2.031446,8.730000,-4.301248
4.100000,15.130000,15.916667,-9.800000,2.040801,8.810000,-4.254902
4.000000,15.270000,16.000000,-9.400000,2.050146,8.730000,-4.245989
3.900000,15.330000,16.083333,-9.600000,2.059415,8.910000,-4.319073
3.800000,15.410000,16.166667,-9.800000,2.068692,8.630000,-4.212121
4.100000,15.490000,16.250000,-9.600000,2.078039,8.870000,-4.344029
4.100000,15.570000,16.333333,-9.600000,2.087321,8.710000,-4.171123
4.100000,15.650000,16.416667,-9.400000,2.096589,8.810000,-4.324421
3.800000,15.710000,16.500000,-9.600000,2.105864,8.790000,-4.204991
4.100000,15.890000,16.583333,-9.400000,2.129299,8.810000,-4.331551
4.100000,15.890000,16.666667,-9.600000,2.139425,8.770000,-4.203209
4.000000,15.990000,16.750000,-9.600000,2.149051,8.810000,-4.267380
4.000000,16.010000,16.833333,-9.600000,2.158423,8.910000,-4.283422
3.800000,16.150000,16.916667,-9.400000,2.167718,8.710000,-4.217469
3.900000,16.230000,17.000000,-9.200000,2.177080,8.850000,-4.324421
3.900000,16.270000,17.083333,-9.400000,2.186364,8.690000,-4.176471
3.800000,16.350000,17.166667,-9.400000,2.195631,8.890000,-4.327986
4.200000,16.370000,17.250000,-9.200000,2.204914,8.810000,-4.176471
4.100000,16.590000,17.333333,-9.800000,2.225657,8.850000,-4.299465
3.800000,16.590000,17.416667,-9.600000,2.235173,8.690000,-4.210339
4.300000,16.590000,17.500000,-9.200000,2.244434,8.870000,-4.347594
4.000000,16.710000,17.583333,-9.400000,2.253705,8.730000,-4.172906
4.000000,16.870000,17.666667,-9.400000,2.263031,8.810000,-4.322638
4.100000,16.910000,17.750000,-9.200000,2.272283,8.810000,-4.188948
3.800000,16.890000,17.833333,-9.400000,2.281578,8.790000,-4.283422
3.800000,17.070000,17.916667,-9.800000,2.290910,8.790000,-4.247772
4.100000,17.130000,18.000000,-9.400000,2.300236,8.710000,-4.231729
4.000000,17.210000,18.083333,-9.400000,2.309499,8.830000,-4.315508
3.900000,17.310000,18.166667,-9.800000,2.318750,8.670000,-4.210339
3.900000,17.350000,18.250000,-9.200000,2.328060,8.910000,-4.345811
4.000000,17.510000,18.333333,-9.400000,2.337326,8.750000,-4.172906
4.100000,17.510000,18.416667,-9.200000,2.346591,8.830000,-4.329768
4.100000,17.590000,18.500000,-9.400000,2.355851,8.830000,-4.203209
3.900000,17.690000,18.583333,-9.600000,2.365182,8.770000,-4.283422
3.900000,17.770000,18.666667,-9.600000,2.374449,8.850000,-4.260250
4.000000,17.850000,18.750000,-9.400000,2.383687,8.750000,-4.233512
4.000000,17.930000,18.833333,-9.600000,2.393077,8.890000,-4.317291
3.800000,18.110000,18.916667,-9.200000,2.402476,8.710000,-4.187166
4.000000,18.110000,19.000000,-9.800000,2.411757,8.910000,-4.342246
4.000000,18.270000,19.083333,-9.400000,2.447679,8.810000,-4.303030
4.100000,18.270000,19.166667,-9.200000,2.457282,8.810000,-4.251337
4.000000,18.350000,19.250000,-9.400000,2.466580,8.750000,-4.254902
4.100000,18.450000,19.333333,-9.400000,2.475849,8.930000,-4.310160
3.800000,18.510000,19.416667,-9.400000,2.485303,8.690000,-4.208556
4.200000,18.530000,19.500000,-9.200000,2.494591,8.930000,-4.349376
4.000000,18.710000,19.583333,-9.600000,2.503920,8.790000,-4.181818
4.000000,18.710000,19.666667,-9.600000,2.513189,8.810000,-4.335116
3.900000,18.830000,19.750000,-9.400000,2.522452,8.790000,-4.204991
3.900000,18.950000,19.833333,-9.400000,2.531714,8.830000,-4.290553
3.800000,18.990000,19.916667,-9.600000,2.541019,8.830000,-4.263815
4.000000,19.050000,20.000000,-9.400000,2.550302,8.750000,-4.249554
4.000000,19.110000,20.083333,-9.400000,2.559579,8.890000,-4.322638
3.900000,19.230000,20.166667,-9.800000,2.568912,8.670000,-4.204991
3.900000,19.270000,20.250000,-9.400000,2.578220,8.890000,-4.347594
4.100000,19.290000,20.333333,-9.400000,2.587498,8.790000,-4.183601
