# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0102 -30A/s
# Tap_cm: 5.0
# Sample: 2-PP
# Fit of Tap:
#	Ic = 164 +/- 0.093 A
#	n = 117 +/- 7.1 
#	Vc = 5 uV
#	Vfloor = 3.83 +/- 0.012 uV
#	R = 0.00456 +/- 0.00013 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.500000,0.170000,0.000000,-12.200000,0.034182,8.730000,-4.303030
3.900000,0.290000,0.250000,-11.800000,0.044256,8.830000,-4.215686
3.500000,0.450000,0.500000,-12.000000,0.053062,8.730000,-4.238859
3.700000,0.550000,0.750000,-12.200000,0.060312,8.830000,-4.192513
3.600000,0.810000,1.000000,-12.200000,0.068609,8.810000,-4.278075
3.600000,1.070000,1.250000,-11.800000,0.076913,8.770000,-4.194296
3.700000,1.250000,1.500000,-12.200000,0.084135,8.770000,-4.299465
3.900000,1.570000,1.750000,-9.800000,0.094322,8.790000,-4.206774
3.900000,1.750000,2.000000,-9.400000,0.103630,8.690000,-4.233512
3.800000,1.930000,2.250000,-9.400000,0.112940,8.830000,-4.270945
3.600000,2.190000,2.500000,-9.600000,0.122296,8.730000,-4.187166
3.900000,2.450000,2.750000,-9.400000,0.131617,8.910000,-4.306595
4.000000,2.750000,3.000000,-9.600000,0.140899,8.750000,-4.151515
3.600000,2.930000,3.250000,-9.800000,0.150246,8.850000,-4.303030
3.900000,3.150000,3.500000,-9.200000,0.159543,8.770000,-4.151515
3.600000,3.370000,3.750000,-9.400000,0.168841,8.770000,-4.262032
3.700000,3.670000,4.000000,-9.400000,0.178299,8.790000,-4.224599
3.700000,3.890000,4.250000,-9.800000,0.187639,8.730000,-4.219251
3.700000,4.090000,4.500000,-9.600000,0.196927,8.870000,-4.281640
3.700000,4.330000,4.750000,-9.600000,0.206283,8.650000,-4.172906
3.900000,4.790000,5.000000,-9.600000,0.227466,8.810000,-4.196078
3.700000,4.910000,5.250000,-9.400000,0.236854,8.710000,-4.229947
3.600000,5.090000,5.500000,-9.200000,0.246231,8.890000,-4.258467
3.500000,5.270000,5.750000,-9.600000,0.255530,8.670000,-4.176471
3.700000,5.550000,6.000000,-9.400000,0.264817,8.850000,-4.295900
3.700000,5.870000,6.250000,-9.600000,0.274842,8.730000,-4.151515
3.800000,6.030000,6.500000,-9.600000,0.284299,8.770000,-4.299465
3.900000,6.250000,6.750000,-9.800000,0.293585,8.810000,-4.190731
3.700000,6.670000,7.000000,-9.400000,0.312370,8.770000,-4.254902
3.700000,6.830000,7.250000,-9.200000,0.327465,8.790000,-4.201426
3.600000,7.050000,7.500000,-9.600000,0.337631,8.710000,-4.213904
3.800000,7.250000,7.750000,-9.800000,0.347113,8.850000,-4.286988
3.900000,7.450000,8.000000,-9.400000,0.356433,8.650000,-4.171123
3.800000,7.710000,8.250000,-9.400000,0.365751,8.870000,-4.313725
3.800000,7.930000,8.500000,-9.200000,0.375042,8.690000,-4.153298
3.700000,8.170000,8.750000,-9.400000,0.384416,8.790000,-4.294118
3.700000,8.470000,9.000000,-9.600000,0.393729,8.770000,-4.187166
3.900000,8.710000,9.250000,-9.400000,0.406245,8.670000,-4.174688
3.700000,9.030000,9.500000,-9.800000,0.422826,8.730000,-4.178253
3.800000,9.150000,9.750000,-9.400000,0.432292,8.830000,-4.313725
3.800000,9.350000,10.000000,-9.400000,0.441603,8.690000,-4.151515
3.500000,9.590000,10.250000,-9.600000,0.450892,8.770000,-4.303030
3.800000,9.850000,10.500000,-9.600000,0.460289,8.770000,-4.183601
3.800000,10.050000,10.750000,-9.600000,0.469603,8.810000,-4.249554
3.800000,10.290000,11.000000,-9.800000,0.478895,8.830000,-4.256684
3.700000,10.510000,11.250000,-9.800000,0.488250,8.730000,-4.201426
3.700000,10.810000,11.500000,-9.400000,0.497567,8.850000,-4.306595
3.800000,11.070000,11.750000,-9.400000,0.506870,8.690000,-4.158645
3.700000,11.290000,12.000000,-9.600000,0.516230,8.850000,-4.313725
3.900000,11.550000,12.250000,-9.600000,0.526278,8.750000,-4.163993
3.500000,11.750000,12.500000,-9.400000,0.535699,8.730000,-4.263815
3.500000,11.990000,12.750000,-9.600000,0.545015,8.830000,-4.226381
3.700000,12.190000,13.000000,-9.600000,0.554361,8.670000,-4.213904
3.800000,12.410000,13.250000,-9.400000,0.563628,8.890000,-4.283422
3.800000,12.690000,13.500000,-9.800000,0.573002,8.710000,-4.169340
3.800000,12.850000,13.750000,-9.400000,0.582353,8.870000,-4.315508
3.900000,13.170000,14.000000,-9.200000,0.591663,8.730000,-4.151515
3.800000,13.370000,14.250000,-9.600000,0.600980,8.770000,-4.292335
3.700000,13.870000,14.500000,-9.600000,0.635836,8.730000,-4.263815
3.800000,13.970000,14.750000,-9.800000,0.645437,8.830000,-4.247772
3.800000,14.170000,15.000000,-9.600000,0.654754,8.690000,-4.206774
3.900000,14.370000,15.250000,-9.200000,0.664099,8.870000,-4.303030
3.700000,14.650000,15.500000,-9.800000,0.673395,8.690000,-4.158645
3.800000,14.830000,15.750000,-9.400000,0.682716,8.830000,-4.310160
3.900000,15.110000,16.000000,-9.400000,0.692088,8.770000,-4.153298
3.800000,15.310000,16.250000,-9.800000,0.701380,8.750000,-4.290553
4.000000,15.570000,16.500000,-9.200000,0.710705,8.770000,-4.197861
4.100000,15.810000,16.750000,-9.600000,0.720103,8.690000,-4.235294
3.600000,16.070000,17.000000,-9.600000,0.729440,8.810000,-4.265597
3.600000,16.230000,17.250000,-9.400000,0.738767,8.670000,-4.185383
3.800000,16.490000,17.500000,-9.400000,0.748127,8.870000,-4.311943
3.800000,16.670000,17.750000,-9.400000,0.757440,8.710000,-4.155080
4.000000,16.910000,18.000000,-9.800000,0.766750,8.810000,-4.306595
4.000000,17.270000,18.250000,-9.600000,0.776686,8.730000,-4.163993
3.800000,17.490000,18.500000,-9.600000,0.786214,8.730000,-4.245989
