# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0102 -35A/s
# Tap_cm: 5.0
# Sample: 2-PP
# Fit of Tap:
#	Ic = 166 +/- 0.029 A
#	n = 505 +/- 58 
#	Vc = 5 uV
#	Vfloor = 3.77 +/- 0.012 uV
#	R = 0.00577 +/- 0.00013 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.600000,0.210000,0.000000,-9.400000,0.027025,8.870000,-4.279857
3.600000,0.430000,0.291667,-12.000000,0.035574,8.690000,-4.135472
3.600000,0.570000,0.583333,-11.800000,0.049910,8.610000,-4.185383
4.000000,0.750000,0.875000,-11.600000,0.060133,8.830000,-4.281640
3.700000,1.050000,1.166667,-12.000000,0.068993,8.690000,-4.146168
3.900000,1.210000,1.458333,-11.800000,0.076274,8.930000,-4.283422
3.900000,1.530000,1.750000,-12.200000,0.084726,8.710000,-4.183601
3.900000,1.710000,2.041667,-9.200000,0.094095,8.850000,-4.297683
3.500000,2.050000,2.333333,-9.400000,0.103481,8.710000,-4.131907
3.900000,2.330000,2.625000,-9.400000,0.112915,8.810000,-4.290553
3.900000,2.570000,2.916667,-9.400000,0.122338,8.750000,-4.156863
3.700000,2.850000,3.208333,-9.400000,0.131849,8.750000,-4.240642
3.700000,3.190000,3.500000,-9.400000,0.141271,8.850000,-4.226381
3.700000,3.390000,3.791667,-9.400000,0.150759,8.750000,-4.183601
4.000000,3.670000,4.083333,-9.600000,0.160159,8.930000,-4.279857
3.700000,4.070000,4.375000,-9.800000,0.169638,8.670000,-4.139037
3.900000,4.310000,4.666667,-9.600000,0.179067,8.850000,-4.297683
3.800000,4.590000,4.958333,-9.400000,0.188499,8.790000,-4.151515
3.800000,4.810000,5.250000,-10.200000,0.198138,8.790000,-4.251337
3.700000,5.110000,5.541667,-9.400000,0.207805,8.830000,-4.231729
3.800000,5.530000,5.833333,-9.400000,0.228112,8.870000,-4.297683
4.000000,5.650000,6.125000,-9.400000,0.237679,8.730000,-4.139037
3.600000,5.910000,6.416667,-9.200000,0.247096,8.790000,-4.278075
3.700000,6.170000,6.708333,-9.200000,0.256478,8.790000,-4.181818
3.800000,6.450000,7.000000,-9.200000,0.265924,8.730000,-4.233512
3.700000,6.690000,7.291667,-9.800000,0.275309,8.830000,-4.262032
3.500000,6.990000,7.583333,-9.400000,0.284702,8.630000,-4.174688
3.500000,7.230000,7.875000,-9.400000,0.294069,8.850000,-4.303030
3.900000,7.650000,8.166667,-9.400000,0.303462,8.690000,-4.139037
3.800000,7.890000,8.458333,-9.400000,0.312924,8.790000,-4.295900
3.900000,8.130000,8.750000,-9.400000,0.322288,8.810000,-4.156863
3.600000,8.430000,9.041667,-9.400000,0.331742,8.730000,-4.249554
3.700000,8.710000,9.333333,-9.200000,0.341117,8.750000,-4.224599
4.000000,9.190000,9.625000,-9.200000,0.360032,8.830000,-4.279857
3.700000,9.450000,9.916667,-9.400000,0.374239,8.770000,-4.222816
3.700000,9.590000,10.208333,-9.200000,0.384475,8.650000,-4.172906
3.400000,9.790000,10.500000,-9.600000,0.393951,8.830000,-4.288770
3.900000,10.290000,10.791667,-9.800000,0.413446,8.730000,-4.269162
3.900000,10.390000,11.083333,-9.200000,0.422968,8.770000,-4.174688
3.800000,10.650000,11.375000,-9.800000,0.432348,8.710000,-4.226381
3.500000,10.890000,11.666667,-10.800000,0.441835,8.850000,-4.238859
3.800000,11.270000,11.958333,-9.400000,0.451337,8.690000,-4.169340
3.800000,11.490000,12.250000,-9.400000,0.460854,8.870000,-4.301248
3.700000,11.770000,12.541667,-9.800000,0.470252,8.690000,-4.139037
3.800000,12.030000,12.833333,-9.600000,0.479708,8.790000,-4.290553
3.800000,12.310000,13.125000,-9.400000,0.489105,8.750000,-4.165775
3.500000,12.550000,13.416667,-9.200000,0.498532,8.770000,-4.247772
3.800000,12.830000,13.708333,-9.200000,0.507947,8.850000,-4.238859
3.500000,13.090000,14.000000,-9.400000,0.517336,8.710000,-4.183601
3.800000,13.410000,14.291667,-9.200000,0.526775,8.870000,-4.279857
3.900000,13.690000,14.583333,-9.800000,0.536159,8.730000,-4.139037
3.700000,13.950000,14.875000,-9.400000,0.545567,8.850000,-4.303030
4.000000,14.150000,15.166667,-9.400000,0.555015,8.770000,-4.153298
3.700000,14.510000,15.458333,-9.400000,0.564375,8.770000,-4.272727
3.800000,14.810000,15.750000,-9.200000,0.573830,8.810000,-4.213904
3.600000,15.050000,16.041667,-9.800000,0.583201,8.690000,-4.219251
3.700000,15.570000,16.333333,-9.400000,0.603144,8.690000,-4.153298
4.000000,15.710000,16.625000,-9.600000,0.612710,8.830000,-4.308378
4.000000,15.930000,16.916667,-9.400000,0.622131,8.730000,-4.169340
3.800000,16.190000,17.208333,-9.400000,0.631588,8.730000,-4.263815
3.600000,16.470000,17.500000,-9.400000,0.640971,8.770000,-4.238859
3.900000,16.690000,17.791667,-9.600000,0.650370,8.650000,-4.212121
3.800000,17.290000,18.083333,-9.400000,0.674891,8.790000,-4.258467
3.600000,17.370000,18.375000,-9.400000,0.685201,8.650000,-4.174688
3.800000,17.570000,18.666667,-9.400000,0.694785,8.870000,-4.319073
3.800000,17.890000,18.958333,-9.600000,0.704325,8.750000,-4.155080
3.800000,18.150000,19.250000,-9.400000,0.713818,8.770000,-4.286988
3.800000,18.410000,19.541667,-9.400000,0.723219,8.770000,-4.206774
4.000000,18.670000,19.833333,-9.200000,0.732691,8.670000,-4.245989
3.800000,18.910000,20.125000,-9.400000,0.742086,8.850000,-4.281640
4.000000,19.270000,20.416667,-9.800000,0.751480,8.670000,-4.188948
3.900000,19.510000,20.708333,-9.400000,0.760917,8.890000,-4.317291
3.800000,19.810000,21.000000,-9.800000,0.770318,8.690000,-4.151515
4.000000,20.130000,21.291667,-9.600000,0.782952,8.710000,-4.226381
3.700000,20.470000,21.583333,-9.600000,0.800101,8.730000,-4.210339
3.900000,20.630000,21.875000,-9.400000,0.809674,8.850000,-4.288770
3.900000,20.870000,22.166667,-9.400000,0.819069,8.670000,-4.158645
3.900000,21.130000,22.458333,-9.400000,0.828444,8.810000,-4.310160
3.900000,21.410000,22.750000,-9.000000,0.837912,8.750000,-4.147950
3.900000,21.730000,23.041667,-9.800000,0.847293,8.830000,-4.281640
4.000000,22.010000,23.333333,-9.200000,0.856782,8.810000,-4.203209
4.000000,22.350000,23.625000,-9.400000,0.866179,8.750000,-4.226381
3.900000,22.610000,23.916667,-9.800000,0.875567,8.910000,-4.274510
3.700000,22.810000,24.208333,-9.600000,0.884991,8.730000,-4.183601
4.000000,23.110000,24.500000,-9.400000,0.894347,8.930000,-4.310160
3.800000,23.350000,24.791667,-9.600000,0.903818,8.770000,-4.149733
3.600000,23.650000,25.083333,-9.400000,0.913216,8.870000,-4.304813
3.900000,23.910000,25.375000,-9.200000,0.922677,8.770000,-4.187166
3.800000,24.170000,25.666667,-9.200000,0.932087,8.750000,-4.260250
3.800000,24.450000,25.958333,-9.200000,0.941527,8.770000,-4.263815
4.000000,24.870000,26.250000,-9.600000,0.960752,8.930000,-4.308378
3.700000,25.130000,26.541667,-9.400000,0.975156,8.850000,-4.258467
4.100000,25.590000,26.833333,-9.600000,0.996003,8.830000,-4.303030
4.000000,25.630000,27.125000,-9.200000,1.005469,8.750000,-4.165775
3.900000,25.850000,27.416667,-9.400000,1.015092,8.770000,-4.251337
3.800000,26.130000,27.708333,-9.400000,1.024444,8.830000,-4.237077
3.800000,26.430000,28.000000,-9.200000,1.033907,8.710000,-4.197861
3.900000,26.650000,28.291667,-9.400000,1.043300,8.830000,-4.301248
4.000000,26.930000,28.583333,-9.800000,1.052767,8.730000,-4.156863
3.800000,27.250000,28.875000,-9.400000,1.062173,8.870000,-4.310160
3.900000,27.450000,29.166667,-9.200000,1.071686,8.770000,-4.162210
3.900000,27.750000,29.458333,-9.400000,1.081194,8.870000,-4.260250
3.700000,27.990000,29.750000,-9.400000,1.091019,8.850000,-4.228164
4.000000,28.290000,30.041667,-9.800000,1.100602,8.670000,-4.183601
4.200000,28.530000,30.333333,-9.400000,1.110020,8.910000,-4.285205
4.100000,28.870000,30.625000,-9.400000,1.119400,8.670000,-4.139037
4.000000,29.150000,30.916667,-9.400000,1.128942,8.850000,-4.295900
3.800000,29.390000,31.208333,-9.400000,1.138350,8.810000,-4.146168
3.900000,29.730000,31.500000,-9.600000,1.147836,8.770000,-4.256684
3.900000,29.930000,31.791667,-9.600000,1.157354,8.850000,-4.213904
4.000000,30.450000,32.083333,-9.600000,1.177802,8.930000,-4.297683
4.100000,30.590000,32.375000,-9.400000,1.187313,8.770000,-4.137255
3.600000,30.850000,32.666667,-9.400000,1.196891,8.790000,-4.274510
4.000000,31.070000,32.958333,-9.400000,1.206389,8.770000,-4.183601
4.100000,31.270000,33.250000,-9.200000,1.215875,8.770000,-4.226381
4.000000,31.630000,33.541667,-9.200000,1.225268,8.910000,-4.260250
3.900000,31.910000,33.833333,-9.400000,1.234728,8.710000,-4.172906
4.000000,32.130000,34.125000,-8.800000,1.244125,8.890000,-4.301248
3.900000,32.630000,34.416667,-9.400000,1.263053,8.850000,-4.283422
3.900000,32.930000,34.708333,-9.400000,1.278210,8.910000,-4.297683
4.000000,33.070000,35.000000,-9.200000,1.288410,8.770000,-4.140820
3.800000,33.290000,35.291667,-9.200000,1.297968,8.810000,-4.249554
3.800000,33.570000,35.583333,-9.400000,1.307381,8.850000,-4.221034
4.000000,33.830000,35.875000,-9.400000,1.316842,8.710000,-4.201426
3.800000,34.110000,36.166667,-9.200000,1.326230,8.870000,-4.279857
4.100000,34.350000,36.458333,-9.400000,1.335702,8.710000,-4.163993
3.800000,34.690000,36.750000,-9.800000,1.345162,8.890000,-4.313725
3.700000,35.110000,37.041667,-9.200000,1.365514,8.770000,-4.240642
3.800000,35.250000,37.333333,-9.200000,1.375107,8.870000,-4.269162
3.700000,35.470000,37.625000,-9.400000,1.384569,8.710000,-4.187166
3.900000,35.770000,37.916667,-9.000000,1.393971,8.930000,-4.308378
4.000000,36.050000,38.208333,-9.400000,1.403351,8.770000,-4.139037
4.000000,36.330000,38.500000,-9.800000,1.412821,8.850000,-4.294118
4.000000,36.570000,38.791667,-9.600000,1.422206,8.790000,-4.163993
4.000000,36.930000,39.083333,-9.200000,1.431643,8.770000,-4.245989
4.000000,37.170000,39.375000,-9.400000,1.441057,8.790000,-4.251337
3.900000,37.510000,39.666667,-9.200000,1.450705,8.690000,-4.194296
4.100000,37.770000,39.958333,-9.600000,1.460130,8.910000,-4.299465
4.000000,37.990000,40.250000,-9.600000,1.469597,8.730000,-4.140820
3.800000,38.250000,40.541667,-9.200000,1.478979,8.890000,-4.301248
4.100000,38.510000,40.833333,-9.400000,1.488374,8.810000,-4.163993
3.900000,38.830000,41.125000,-9.600000,1.497840,8.750000,-4.263815
3.900000,39.050000,41.416667,-9.200000,1.507265,8.790000,-4.222816
4.000000,39.330000,41.708333,-9.000000,1.516702,8.690000,-4.201426
4.000000,39.630000,42.000000,-9.000000,1.526083,8.870000,-4.279857
3.900000,39.910000,42.291667,-9.200000,1.535475,8.690000,-4.147950
3.800000,40.170000,42.583333,-9.400000,1.544911,8.890000,-4.303030
3.900000,40.850000,42.875000,-9.400000,1.580912,8.750000,-4.270945
4.000000,40.850000,43.166667,-9.400000,1.590659,8.890000,-4.233512
3.700000,41.050000,43.458333,-9.800000,1.600096,8.730000,-4.212121
4.000000,41.330000,43.750000,-9.200000,1.609466,8.890000,-4.294118
3.900000,41.630000,44.041667,-9.600000,1.618908,8.670000,-4.165775
4.200000,41.910000,44.333333,-9.000000,1.628276,8.850000,-4.317291
3.900000,42.170000,44.625000,-9.400000,1.637722,8.790000,-4.153298
3.900000,42.410000,44.916667,-9.400000,1.647109,8.810000,-4.285205
4.100000,42.650000,45.208333,-9.600000,1.656495,8.830000,-4.201426
4.100000,42.930000,45.500000,-9.200000,1.665937,8.730000,-4.226381
3.900000,43.190000,45.791667,-9.200000,1.675303,8.850000,-4.267380
3.900000,43.510000,46.083333,-9.400000,1.684736,8.730000,-4.176471
3.800000,43.790000,46.375000,-10.000000,1.694163,8.930000,-4.311943
4.000000,44.070000,46.666667,-9.400000,1.703768,8.750000,-4.137255
4.100000,44.330000,46.958333,-9.400000,1.713170,8.770000,-4.281640
4.000000,44.630000,47.250000,-9.400000,1.722638,8.790000,-4.176471
4.100000,44.890000,47.541667,-9.400000,1.732005,8.730000,-4.231729
4.000000,45.230000,47.833333,-9.400000,1.741395,8.890000,-4.245989
4.000000,45.450000,48.125000,-9.400000,1.750854,8.670000,-4.171123
4.000000,45.910000,48.416667,-9.400000,1.771477,8.770000,-4.155080
4.000000,46.010000,48.708333,-9.400000,1.780977,8.730000,-4.262032
3.900000,46.250000,49.000000,-9.400000,1.790364,8.810000,-4.217469
3.900000,46.530000,49.291667,-9.200000,1.799817,8.710000,-4.213904
4.200000,46.790000,49.583333,-9.400000,1.809211,8.910000,-4.281640
4.100000,47.050000,49.875000,-9.400000,1.818669,8.690000,-4.172906
4.100000,47.390000,50.166667,-9.200000,1.828063,8.890000,-4.322638
4.000000,47.630000,50.458333,-9.200000,1.837492,8.770000,-4.155080
3.700000,47.910000,50.750000,-9.400000,1.846954,8.730000,-4.290553
4.100000,48.390000,51.041667,-9.400000,1.870643,8.730000,-4.153298
4.200000,48.570000,51.333333,-9.400000,1.881035,8.790000,-4.265597
3.700000,48.770000,51.625000,-9.200000,1.890463,8.810000,-4.226381
