# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0103 -5A/s
# Tap_cm: 5.0
# Sample: 3-PP
# Fit of Tap:
#	Ic = 36.6 +/- 0.057 A
#	n = 22.8 +/- 0.94 
#	Vc = 5 uV
#	Vfloor = 1.99 +/- 0.076 uV
#	R = 0.104 +/- 0.0041 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.250000,0.000000,-9.400000,0.036510,8.870000,-4.333333
1.800000,0.250000,0.041667,-11.800000,0.046346,8.750000,-4.201426
1.600000,0.250000,0.083333,-12.000000,0.054152,8.790000,-4.320856
1.800000,0.230000,0.125000,-12.200000,0.062477,8.810000,-4.190731
1.700000,0.250000,0.166667,-11.800000,0.070827,8.770000,-4.333333
1.500000,0.270000,0.208333,-11.800000,0.078041,8.730000,-4.197861
1.700000,0.330000,0.250000,-12.200000,0.086308,8.850000,-4.342246
1.800000,0.370000,0.291667,-12.000000,0.094604,8.750000,-4.192513
1.900000,0.390000,0.333333,-12.200000,0.102873,8.830000,-4.349376
1.900000,0.390000,0.375000,-11.800000,0.110084,8.770000,-4.212121
1.700000,0.490000,0.416667,-11.800000,0.118371,8.890000,-4.335116
1.700000,0.510000,0.458333,-10.000000,0.128537,8.690000,-4.188948
1.800000,0.550000,0.500000,-9.600000,0.137814,8.790000,-4.324421
1.900000,0.570000,0.541667,-9.400000,0.147138,8.770000,-4.206774
1.600000,0.610000,0.583333,-9.400000,0.156415,8.770000,-4.290553
1.700000,0.670000,0.625000,-9.600000,0.165703,8.790000,-4.262032
1.800000,0.710000,0.666667,-9.400000,0.175062,8.670000,-4.240642
1.800000,0.770000,0.708333,-9.600000,0.184352,8.830000,-4.311943
1.700000,0.810000,0.750000,-9.600000,0.193612,8.710000,-4.203209
1.900000,0.770000,0.791667,-9.600000,0.202866,8.830000,-4.344029
1.600000,0.890000,0.833333,-9.600000,0.222746,8.790000,-4.306595
1.600000,0.910000,0.875000,-9.400000,0.232295,8.810000,-4.265597
1.800000,0.930000,0.916667,-9.400000,0.241622,8.730000,-4.247772
1.700000,0.990000,0.958333,-9.800000,0.250911,8.850000,-4.317291
1.700000,1.010000,1.000000,-9.800000,0.260271,8.690000,-4.212121
1.900000,1.050000,1.041667,-9.400000,0.269569,8.850000,-4.342246
1.700000,1.090000,1.083333,-9.400000,0.278843,8.730000,-4.183601
1.700000,1.150000,1.125000,-9.400000,0.288108,8.770000,-4.310160
1.600000,1.210000,1.166667,-9.400000,0.312364,8.750000,-4.178253
1.300000,1.230000,1.208333,-9.800000,0.322441,8.790000,-4.286988
1.600000,1.210000,1.250000,-9.600000,0.331773,8.830000,-4.226381
1.700000,1.290000,1.291667,-9.600000,0.341118,8.730000,-4.249554
1.900000,1.330000,1.333333,-9.400000,0.350414,8.810000,-4.288770
1.800000,1.350000,1.375000,-9.600000,0.359677,8.730000,-4.206774
1.700000,1.350000,1.416667,-9.200000,0.368948,8.870000,-4.327986
1.700000,1.430000,1.458333,-9.800000,0.378244,8.770000,-4.180036
1.900000,1.510000,1.500000,-9.600000,0.387522,8.850000,-4.320856
1.900000,1.510000,1.541667,-9.400000,0.396803,8.850000,-4.194296
