# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0105 -5A/s
# Tap_cm: 5.0
# Sample: 5-PP
# Fit of Tap:
#	Ic = 177 +/- 0.039 A
#	n = 41.3 +/- 0.47 
#	Vc = 5 uV
#	Vfloor = 3 +/- 0.0046 uV
#	R = 0.00062 +/- 5e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.100000,0.130000,0.000000,-9.600000,0.058583,8.950000,-4.310160
2.900000,0.250000,0.041667,-11.600000,0.078303,8.810000,-4.285205
3.000000,0.250000,0.083333,-11.800000,0.086704,8.830000,-4.208556
3.000000,0.290000,0.125000,-11.800000,0.093970,8.830000,-4.308378
3.000000,0.250000,0.166667,-11.800000,0.102277,8.810000,-4.187166
2.800000,0.290000,0.208333,-12.200000,0.110547,8.830000,-4.308378
3.100000,0.330000,0.250000,-12.200000,0.117758,8.730000,-4.167558
2.800000,0.410000,0.291667,-11.800000,0.126048,8.810000,-4.310160
3.000000,0.370000,0.333333,-12.200000,0.134318,8.730000,-4.172906
3.100000,0.430000,0.375000,-11.800000,0.142586,8.850000,-4.315508
2.800000,0.490000,0.416667,-12.200000,0.149789,8.770000,-4.196078
3.000000,0.530000,0.458333,-12.200000,0.158662,8.790000,-4.306595
3.000000,0.570000,0.500000,-9.800000,0.167929,8.790000,-4.172906
3.000000,0.590000,0.541667,-9.400000,0.177219,8.830000,-4.310160
3.000000,0.630000,0.583333,-9.800000,0.186559,8.810000,-4.181818
2.800000,0.710000,0.625000,-9.400000,0.195820,8.810000,-4.262032
3.100000,0.710000,0.666667,-9.400000,0.205112,8.870000,-4.222816
2.900000,0.770000,0.708333,-9.600000,0.214482,8.790000,-4.229947
3.000000,0.790000,0.750000,-9.400000,0.223814,8.910000,-4.285205
2.900000,0.850000,0.791667,-9.400000,0.258269,8.910000,-4.301248
3.000000,0.890000,0.833333,-9.400000,0.267855,8.770000,-4.180036
3.000000,0.930000,0.875000,-9.600000,0.277161,8.810000,-4.306595
3.200000,0.930000,0.916667,-9.600000,0.286488,8.810000,-4.187166
2.800000,1.010000,0.958333,-9.600000,0.295805,8.790000,-4.270945
2.900000,1.030000,1.000000,-9.400000,0.305101,8.810000,-4.228164
3.100000,1.090000,1.041667,-9.400000,0.314504,8.770000,-4.228164
3.100000,1.050000,1.083333,-9.600000,0.323803,8.910000,-4.278075
2.900000,1.150000,1.125000,-9.400000,0.333072,8.750000,-4.196078
3.000000,1.170000,1.166667,-9.800000,0.342344,8.890000,-4.313725
3.100000,1.190000,1.208333,-9.600000,0.351711,8.770000,-4.172906
3.300000,1.290000,1.250000,-9.600000,0.361003,8.790000,-4.303030
3.000000,1.250000,1.291667,-9.600000,0.370262,8.830000,-4.187166
2.900000,1.350000,1.333333,-9.600000,0.379602,8.790000,-4.265597
3.000000,1.350000,1.375000,-9.400000,0.388875,8.850000,-4.233512
3.200000,1.370000,1.416667,-9.600000,0.398130,8.770000,-4.224599
3.100000,1.490000,1.458333,-9.600000,0.407448,8.930000,-4.295900
2.900000,1.530000,1.500000,-9.800000,0.416786,8.750000,-4.199643
3.100000,1.530000,1.541667,-9.400000,0.435947,8.830000,-4.176471
3.000000,1.570000,1.583333,-10.000000,0.445304,8.830000,-4.286988
3.100000,1.550000,1.625000,-9.400000,0.454652,8.850000,-4.221034
2.900000,1.610000,1.666667,-9.600000,0.463919,8.730000,-4.256684
3.000000,1.690000,1.708333,-9.400000,0.473198,8.850000,-4.276292
3.000000,1.730000,1.750000,-9.600000,0.482551,8.730000,-4.212121
2.900000,1.730000,1.791667,-9.600000,0.491894,8.890000,-4.306595
3.100000,1.830000,1.833333,-9.400000,0.501248,8.730000,-4.178253
2.900000,1.870000,1.875000,-9.400000,0.510594,8.830000,-4.308378
2.900000,1.890000,1.916667,-9.600000,0.519926,8.830000,-4.183601
3.000000,1.890000,1.958333,-9.400000,0.543207,8.870000,-4.311943
3.000000,1.950000,2.000000,-9.600000,0.553296,8.870000,-4.188948
3.000000,2.010000,2.041667,-9.400000,0.562714,8.770000,-4.269162
2.800000,2.030000,2.083333,-9.800000,0.572068,8.890000,-4.240642
3.000000,2.090000,2.125000,-9.800000,0.581357,8.810000,-4.229947
3.100000,2.150000,2.166667,-9.600000,0.590702,8.890000,-4.292335
3.000000,2.150000,2.208333,-9.600000,0.599980,8.770000,-4.197861
2.900000,2.190000,2.250000,-9.400000,0.609254,8.870000,-4.324421
3.000000,2.170000,2.291667,-9.600000,0.618617,8.790000,-4.178253
3.300000,2.270000,2.333333,-9.600000,0.638060,8.870000,-4.222816
3.200000,2.290000,2.375000,-9.400000,0.647428,8.750000,-4.247772
3.100000,2.370000,2.416667,-9.600000,0.656830,8.870000,-4.274510
2.900000,2.410000,2.458333,-9.800000,0.666104,8.750000,-4.192513
2.900000,2.390000,2.500000,-9.400000,0.675382,8.870000,-4.299465
3.000000,2.430000,2.541667,-9.600000,0.684738,8.750000,-4.172906
3.300000,2.470000,2.583333,-9.800000,0.694006,8.810000,-4.306595
3.300000,2.550000,2.625000,-9.600000,0.703269,8.790000,-4.194296
2.900000,2.550000,2.666667,-9.400000,0.712607,8.790000,-4.276292
3.100000,2.610000,2.708333,-10.000000,0.721904,8.830000,-4.226381
3.000000,2.690000,2.750000,-9.400000,0.731218,8.750000,-4.222816
3.100000,2.710000,2.791667,-9.600000,0.740670,8.870000,-4.281640
2.800000,2.770000,2.833333,-9.600000,0.750019,8.730000,-4.192513
2.900000,2.790000,2.875000,-9.600000,0.759325,8.870000,-4.313725
2.900000,2.850000,2.916667,-9.800000,0.768675,8.730000,-4.178253
3.000000,2.870000,2.958333,-10.000000,0.777966,8.770000,-4.295900
3.000000,2.890000,3.000000,-9.400000,0.787289,8.850000,-4.188948
2.800000,2.990000,3.041667,-9.400000,0.796548,8.770000,-4.258467
2.800000,3.010000,3.083333,-9.600000,0.805821,8.890000,-4.242424
3.100000,3.050000,3.125000,-9.600000,0.815120,8.750000,-4.224599
3.000000,3.030000,3.166667,-9.200000,0.836812,8.810000,-4.194296
3.200000,3.110000,3.208333,-9.600000,0.859353,8.810000,-4.311943
2.900000,3.090000,3.250000,-9.600000,0.868934,8.730000,-4.174688
2.900000,3.170000,3.291667,-9.800000,0.878220,8.810000,-4.303030
3.100000,3.230000,3.333333,-9.400000,0.887498,8.770000,-4.199643
2.900000,3.270000,3.375000,-9.400000,0.896858,8.790000,-4.245989
2.800000,3.310000,3.416667,-9.800000,0.906132,8.910000,-4.251337
3.100000,3.330000,3.458333,-9.600000,0.915450,8.690000,-4.206774
2.900000,3.350000,3.500000,-9.600000,0.924783,8.850000,-4.299465
2.900000,3.430000,3.541667,-9.600000,0.934053,8.730000,-4.183601
3.000000,3.470000,3.583333,-9.600000,0.943314,8.870000,-4.304813
3.200000,3.490000,3.625000,-9.400000,0.952650,8.750000,-4.169340
2.900000,3.530000,3.666667,-9.800000,0.961974,8.850000,-4.276292
3.000000,3.590000,3.708333,-9.600000,0.971265,8.830000,-4.201426
3.000000,3.650000,3.750000,-9.400000,0.980619,8.750000,-4.251337
2.900000,3.630000,3.791667,-10.000000,0.989943,8.890000,-4.272727
2.800000,3.670000,3.833333,-10.000000,0.999332,8.750000,-4.210339
3.000000,3.710000,3.875000,-9.200000,1.008687,8.870000,-4.310160
3.000000,3.770000,3.916667,-9.600000,1.017953,8.790000,-4.172906
2.900000,3.810000,3.958333,-9.400000,1.037715,8.790000,-4.188948
3.000000,3.870000,4.000000,-9.400000,1.047086,8.770000,-4.235294
2.900000,3.910000,4.041667,-9.600000,1.056360,8.790000,-4.249554
2.900000,3.910000,4.083333,-9.800000,1.065694,8.670000,-4.201426
3.100000,3.950000,4.125000,-9.400000,1.074976,8.910000,-4.285205
