# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0105 -15A/s
# Tap_cm: 5.0
# Sample: 5-PP
# Fit of Tap:
#	Ic = 181 +/- 0.036 A
#	n = 35 +/- 0.47 
#	Vc = 5 uV
#	Vfloor = 3.18 +/- 0.0093 uV
#	R = 0.000998 +/- 9.9e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.300000,0.210000,0.000000,-9.600000,0.027901,8.810000,-4.187166
2.900000,0.270000,0.125000,-9.800000,0.037680,8.770000,-4.244207
3.100000,0.270000,0.250000,-9.400000,0.046985,8.770000,-4.249554
3.100000,0.390000,0.375000,-9.800000,0.056281,8.710000,-4.199643
3.100000,0.450000,0.500000,-9.200000,0.065652,8.830000,-4.285205
2.900000,0.650000,0.625000,-11.000000,0.073994,8.710000,-4.172906
2.900000,0.690000,0.750000,-11.800000,0.081229,8.830000,-4.269162
3.100000,0.790000,0.875000,-12.000000,0.088446,8.750000,-4.213904
3.100000,0.910000,1.000000,-12.000000,0.095660,8.790000,-4.219251
3.100000,1.050000,1.125000,-12.200000,0.102870,8.730000,-4.262032
2.800000,1.150000,1.250000,-11.600000,0.110070,8.790000,-4.172906
3.100000,1.250000,1.375000,-12.000000,0.117278,8.810000,-4.299465
3.000000,1.390000,1.500000,-12.000000,0.124526,8.770000,-4.169340
3.100000,1.530000,1.625000,-11.800000,0.131735,8.810000,-4.286988
2.900000,1.590000,1.750000,-12.000000,0.138940,8.730000,-4.206774
3.100000,1.750000,1.875000,-12.200000,0.146165,8.830000,-4.228164
3.300000,1.930000,2.000000,-9.600000,0.168191,8.830000,-4.288770
2.900000,2.030000,2.125000,-9.600000,0.178244,8.770000,-4.190731
2.900000,2.110000,2.250000,-9.600000,0.187652,8.730000,-4.233512
3.100000,2.190000,2.375000,-9.800000,0.196937,8.810000,-4.238859
3.100000,2.390000,2.500000,-9.600000,0.206214,8.670000,-4.192513
2.900000,2.510000,2.625000,-9.600000,0.226242,8.750000,-4.153298
3.200000,2.630000,2.750000,-9.600000,0.235702,8.770000,-4.270945
3.000000,2.690000,2.875000,-9.800000,0.244988,8.810000,-4.188948
2.900000,2.810000,3.000000,-9.400000,0.254262,8.730000,-4.231729
2.900000,2.950000,3.125000,-9.600000,0.263703,8.870000,-4.242424
2.900000,3.090000,3.250000,-9.600000,0.273102,8.690000,-4.181818
3.000000,3.150000,3.375000,-9.200000,0.282428,8.810000,-4.290553
3.100000,3.310000,3.500000,-9.600000,0.291796,8.690000,-4.163993
3.200000,3.390000,3.625000,-9.800000,0.301112,8.810000,-4.292335
3.100000,3.570000,3.750000,-9.200000,0.310408,8.770000,-4.174688
2.800000,3.690000,3.875000,-9.400000,0.319693,8.750000,-4.265597
3.100000,3.770000,4.000000,-9.600000,0.328975,8.750000,-4.210339
3.200000,3.910000,4.125000,-9.600000,0.338266,8.650000,-4.224599
3.000000,3.990000,4.250000,-9.600000,0.347625,8.850000,-4.260250
2.800000,4.110000,4.375000,-9.400000,0.356931,8.730000,-4.185383
2.800000,4.310000,4.500000,-9.600000,0.366204,8.830000,-4.294118
3.200000,4.410000,4.625000,-9.800000,0.375549,8.730000,-4.162210
3.000000,4.530000,4.750000,-9.800000,0.384888,8.810000,-4.286988
3.300000,4.610000,4.875000,-9.800000,0.394189,8.750000,-4.181818
2.900000,4.830000,5.000000,-9.600000,0.413448,8.790000,-4.245989
3.100000,4.870000,5.125000,-9.200000,0.422896,8.710000,-4.188948
3.200000,4.950000,5.250000,-9.400000,0.432192,8.810000,-4.288770
3.000000,5.030000,5.375000,-9.800000,0.441464,8.690000,-4.169340
3.000000,5.170000,5.500000,-9.400000,0.450800,8.810000,-4.286988
2.900000,5.430000,5.625000,-10.000000,0.474151,8.670000,-4.171123
3.000000,5.450000,5.750000,-9.400000,0.484262,8.790000,-4.286988
3.100000,5.550000,5.875000,-9.400000,0.493698,8.750000,-4.169340
3.100000,5.690000,6.000000,-10.000000,0.503008,8.770000,-4.263815
3.300000,5.790000,6.125000,-9.800000,0.512800,8.770000,-4.212121
3.000000,5.890000,6.250000,-9.600000,0.522294,8.730000,-4.212121
3.100000,6.010000,6.375000,-9.400000,0.531733,8.810000,-4.286988
3.100000,6.150000,6.500000,-9.800000,0.541031,8.650000,-4.181818
3.100000,6.290000,6.625000,-9.400000,0.550310,8.790000,-4.310160
3.000000,6.350000,6.750000,-9.400000,0.559669,8.730000,-4.174688
3.000000,6.470000,6.875000,-9.800000,0.568931,8.690000,-4.285205
3.100000,6.610000,7.000000,-9.200000,0.578203,8.790000,-4.204991
3.000000,6.730000,7.125000,-9.800000,0.587559,8.710000,-4.256684
2.800000,6.950000,7.250000,-9.800000,0.607102,8.650000,-4.197861
3.100000,6.970000,7.375000,-9.200000,0.616570,8.830000,-4.313725
3.200000,7.110000,7.500000,-9.600000,0.625890,8.670000,-4.180036
3.100000,7.230000,7.625000,-10.000000,0.635179,8.770000,-4.294118
3.200000,7.330000,7.750000,-9.400000,0.644472,8.790000,-4.201426
2.900000,7.430000,7.875000,-9.600000,0.653830,8.730000,-4.260250
3.000000,7.590000,8.000000,-9.600000,0.663106,8.790000,-4.245989
3.100000,7.690000,8.125000,-9.200000,0.672388,8.690000,-4.210339
3.200000,7.790000,8.250000,-9.400000,0.681702,8.850000,-4.285205
2.800000,7.930000,8.375000,-9.800000,0.690985,8.650000,-4.180036
3.200000,8.050000,8.500000,-9.600000,0.700292,8.790000,-4.304813
3.200000,8.190000,8.625000,-9.600000,0.709625,8.750000,-4.163993
2.900000,8.370000,8.750000,-9.800000,0.718909,8.770000,-4.276292
3.000000,8.390000,8.875000,-9.600000,0.728159,8.730000,-4.188948
2.900000,8.550000,9.000000,-9.800000,0.737438,8.670000,-4.244207
3.100000,8.630000,9.125000,-9.200000,0.746782,8.770000,-4.256684
3.200000,8.830000,9.250000,-9.400000,0.765493,8.930000,-4.290553
3.100000,8.950000,9.375000,-9.800000,0.780734,8.850000,-4.262032
3.100000,9.070000,9.500000,-9.800000,0.801198,8.810000,-4.294118
3.100000,9.070000,9.625000,-9.600000,0.810574,8.790000,-4.171123
3.100000,9.230000,9.750000,-9.600000,0.819972,8.710000,-4.256684
3.100000,9.350000,9.875000,-9.800000,0.829268,8.790000,-4.212121
3.200000,9.490000,10.000000,-9.800000,0.838660,8.730000,-4.203209
3.100000,9.570000,10.125000,-9.800000,0.847943,8.870000,-4.269162
3.000000,9.690000,10.250000,-9.400000,0.857226,8.670000,-4.162210
3.300000,9.850000,10.375000,-9.600000,0.866571,8.810000,-4.286988
3.100000,9.990000,10.500000,-9.800000,0.875920,8.730000,-4.146168
3.100000,10.050000,10.625000,-10.000000,0.885226,8.730000,-4.270945
3.200000,10.190000,10.750000,-9.400000,0.894574,8.790000,-4.174688
2.900000,10.330000,10.875000,-9.400000,0.903897,8.650000,-4.233512
3.100000,10.410000,11.000000,-9.400000,0.913231,8.790000,-4.238859
3.100000,10.570000,11.125000,-10.000000,0.922625,8.690000,-4.197861
3.200000,10.690000,11.250000,-9.600000,0.931965,8.810000,-4.290553
3.000000,10.810000,11.375000,-9.400000,0.941261,8.650000,-4.163993
3.200000,10.890000,11.500000,-9.600000,0.950548,8.830000,-4.299465
3.000000,11.030000,11.625000,-9.400000,0.959912,8.730000,-4.160428
3.100000,11.210000,11.750000,-9.600000,0.972399,8.710000,-4.208556
3.100000,11.390000,11.875000,-9.600000,0.989265,8.710000,-4.203209
3.200000,11.450000,12.000000,-9.400000,0.998733,8.810000,-4.288770
3.300000,11.610000,12.125000,-9.600000,1.008022,8.690000,-4.158645
3.200000,11.650000,12.250000,-9.800000,1.017353,8.830000,-4.283422
3.300000,11.790000,12.375000,-9.400000,1.026800,8.730000,-4.155080
3.100000,11.910000,12.500000,-9.600000,1.036119,8.790000,-4.245989
3.300000,11.990000,12.625000,-9.400000,1.045387,8.790000,-4.190731
3.200000,12.230000,12.750000,-10.000000,1.064125,8.810000,-4.251337
3.300000,12.330000,12.875000,-9.400000,1.078191,8.750000,-4.178253
3.200000,12.390000,13.000000,-9.600000,1.088295,8.750000,-4.199643
3.000000,12.430000,13.125000,-9.600000,1.097728,8.850000,-4.262032
3.000000,12.550000,13.250000,-9.600000,1.107090,8.710000,-4.167558
3.200000,12.690000,13.375000,-9.400000,1.116366,8.790000,-4.279857
3.200000,12.830000,13.500000,-9.600000,1.125701,8.690000,-4.149733
3.100000,12.950000,13.625000,-9.600000,1.134982,8.750000,-4.278075
3.000000,13.050000,13.750000,-9.400000,1.144245,8.770000,-4.165775
3.000000,13.170000,13.875000,-9.600000,1.156863,8.670000,-4.169340
3.100000,13.350000,14.000000,-9.400000,1.173968,8.690000,-4.167558
2.900000,13.390000,14.125000,-9.800000,1.183365,8.830000,-4.278075
3.000000,13.550000,14.250000,-9.400000,1.192712,8.770000,-4.149733
3.100000,13.590000,14.375000,-9.800000,1.201986,8.730000,-4.265597
3.300000,13.810000,14.500000,-9.400000,1.211271,8.810000,-4.180036
2.800000,13.890000,14.625000,-9.600000,1.220573,8.730000,-4.233512
2.800000,14.010000,14.750000,-9.400000,1.229913,8.770000,-4.235294
3.200000,14.130000,14.875000,-9.600000,1.239189,8.630000,-4.188948
3.000000,14.250000,15.000000,-9.200000,1.248524,8.810000,-4.276292
3.000000,14.410000,15.125000,-9.400000,1.257873,8.690000,-4.151515
3.200000,14.450000,15.250000,-9.400000,1.267193,8.650000,-4.279857
3.200000,14.610000,15.375000,-9.600000,1.276702,8.670000,-4.144385
3.100000,14.790000,15.500000,-9.800000,1.286065,8.770000,-4.251337
3.200000,14.850000,15.625000,-9.400000,1.295351,8.770000,-4.196078
3.000000,14.970000,15.750000,-9.600000,1.304711,8.690000,-4.208556
2.900000,15.070000,15.875000,-9.800000,1.314014,8.810000,-4.254902
3.000000,15.150000,16.000000,-9.400000,1.323290,8.690000,-4.178253
3.100000,15.310000,16.125000,-9.400000,1.332662,8.770000,-4.294118
2.900000,15.390000,16.250000,-9.800000,1.341988,8.710000,-4.155080
2.900000,15.570000,16.375000,-9.600000,1.351279,8.750000,-4.279857
2.900000,15.850000,16.500000,-9.600000,1.386201,8.690000,-4.244207
3.100000,15.790000,16.625000,-9.400000,1.395775,8.710000,-4.192513
3.300000,15.930000,16.750000,-9.800000,1.405071,8.670000,-4.178253
3.200000,16.050000,16.875000,-9.800000,1.414345,8.810000,-4.242424
3.400000,16.130000,17.000000,-9.800000,1.423701,8.670000,-4.155080
3.200000,16.210000,17.125000,-9.600000,1.432993,8.870000,-4.285205
3.300000,16.330000,17.250000,-9.800000,1.442268,8.750000,-4.149733
3.100000,16.530000,17.375000,-9.800000,1.451543,8.770000,-4.269162
3.300000,16.630000,17.500000,-9.600000,1.460870,8.790000,-4.169340
3.000000,16.710000,17.625000,-9.600000,1.470149,8.730000,-4.245989
3.000000,16.850000,17.750000,-9.400000,1.479436,8.810000,-4.217469
3.200000,16.950000,17.875000,-9.400000,1.488799,8.710000,-4.192513
3.100000,17.090000,18.000000,-9.800000,1.498065,8.850000,-4.269162
3.300000,17.250000,18.125000,-10.000000,1.507342,8.670000,-4.160428
3.100000,17.370000,18.250000,-9.400000,1.516732,8.890000,-4.279857
3.100000,17.530000,18.375000,-9.400000,1.526124,8.710000,-4.144385
3.300000,17.590000,18.500000,-9.800000,1.535508,8.750000,-4.256684
3.100000,17.730000,18.625000,-9.400000,1.544885,8.770000,-4.180036
3.200000,17.790000,18.750000,-9.400000,1.554168,8.710000,-4.224599
3.000000,18.050000,18.875000,-9.600000,1.574287,8.670000,-4.158645
3.000000,18.090000,19.000000,-9.200000,1.583758,8.790000,-4.285205
3.100000,18.210000,19.125000,-9.400000,1.593058,8.730000,-4.160428
3.000000,18.330000,19.250000,-9.400000,1.602347,8.730000,-4.270945
3.400000,18.390000,19.375000,-9.400000,1.611725,8.770000,-4.194296
3.200000,18.490000,19.500000,-9.400000,1.621017,8.650000,-4.219251
3.000000,18.690000,19.625000,-9.600000,1.630305,8.790000,-4.245989
3.100000,18.750000,19.750000,-9.400000,1.639651,8.630000,-4.172906
3.400000,18.850000,19.875000,-9.400000,1.648935,8.810000,-4.278075
3.000000,19.130000,20.000000,-9.400000,1.667776,8.770000,-4.279857
3.300000,19.210000,20.125000,-9.800000,1.682796,8.770000,-4.279857
