# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0105 -40A/s
# Tap_cm: 5.0
# Sample: 5-PP
# Fit of Tap:
#	Ic = 191 +/- 0.46 A
#	n = 38.6 +/- 2.7 
#	Vc = 5 uV
#	Vfloor = 3.11 +/- 0.015 uV
#	R = 0.00558 +/- 0.00016 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.000000,0.210000,0.000000,-11.800000,0.031226,8.910000,-4.308378
3.300000,0.310000,0.333333,-12.000000,0.040994,8.750000,-4.178253
2.900000,0.510000,0.666667,-12.000000,0.049787,8.830000,-4.294118
2.800000,0.710000,1.000000,-11.800000,0.057048,8.750000,-4.163993
3.100000,1.030000,1.333333,-11.800000,0.065379,8.830000,-4.308378
3.300000,1.350000,1.666667,-11.800000,0.073669,8.770000,-4.174688
3.200000,1.550000,2.000000,-11.600000,0.080881,8.830000,-4.311943
3.100000,1.990000,2.333333,-12.200000,0.089170,8.750000,-4.192513
3.100000,2.330000,2.666667,-11.800000,0.097468,8.930000,-4.311943
3.000000,2.650000,3.000000,-9.800000,0.107368,8.750000,-4.171123
3.200000,2.930000,3.333333,-9.600000,0.116714,8.810000,-4.304813
3.200000,3.270000,3.666667,-9.800000,0.126235,8.850000,-4.201426
3.000000,3.650000,4.000000,-9.200000,0.135976,8.750000,-4.256684
2.800000,3.910000,4.333333,-9.800000,0.145807,8.870000,-4.279857
3.000000,4.310000,4.666667,-9.800000,0.155461,8.830000,-4.204991
3.200000,4.570000,5.000000,-9.400000,0.165329,8.850000,-4.313725
3.000000,4.910000,5.333333,-9.400000,0.174854,8.750000,-4.185383
3.100000,5.150000,5.666667,-9.400000,0.184244,8.810000,-4.292335
3.200000,5.490000,6.000000,-9.600000,0.193564,8.770000,-4.213904
3.000000,5.770000,6.333333,-9.800000,0.203333,8.730000,-4.247772
3.200000,6.370000,6.666667,-9.600000,0.223842,8.750000,-4.178253
3.200000,6.450000,7.000000,-9.400000,0.233344,8.790000,-4.310160
3.400000,6.690000,7.333333,-9.200000,0.242664,8.730000,-4.203209
3.000000,7.050000,7.666667,-9.800000,0.252070,8.750000,-4.269162
3.000000,7.370000,8.000000,-9.600000,0.261381,8.870000,-4.251337
3.100000,7.670000,8.333333,-9.600000,0.270707,8.710000,-4.229947
3.000000,8.030000,8.666667,-9.400000,0.280111,8.870000,-4.308378
3.000000,8.330000,9.000000,-9.600000,0.289423,8.770000,-4.199643
3.200000,8.870000,9.333333,-9.600000,0.308248,8.770000,-4.181818
3.000000,9.090000,9.666667,-10.000000,0.322562,8.770000,-4.197861
3.000000,9.370000,10.000000,-9.400000,0.332845,8.810000,-4.311943
3.300000,9.650000,10.333333,-9.400000,0.342320,8.810000,-4.196078
3.000000,9.930000,10.666667,-9.400000,0.351641,8.750000,-4.281640
3.100000,10.250000,11.000000,-9.800000,0.361020,8.830000,-4.242424
3.300000,10.550000,11.333333,-9.800000,0.370330,8.770000,-4.238859
2.800000,10.910000,11.666667,-9.600000,0.379698,8.870000,-4.285205
3.100000,11.230000,12.000000,-9.800000,0.389100,8.690000,-4.190731
3.100000,11.650000,12.333333,-9.600000,0.401447,8.750000,-4.278075
2.900000,12.090000,12.666667,-9.600000,0.418372,8.810000,-4.269162
2.900000,12.270000,13.000000,-9.800000,0.427795,8.790000,-4.237077
3.300000,12.490000,13.333333,-9.400000,0.437167,8.770000,-4.219251
2.800000,12.730000,13.666667,-9.800000,0.446490,8.870000,-4.285205
3.200000,13.070000,14.000000,-9.600000,0.456493,8.730000,-4.185383
3.300000,13.370000,14.333333,-9.400000,0.466027,8.830000,-4.313725
3.200000,13.750000,14.666667,-9.600000,0.475373,8.850000,-4.188948
3.200000,14.050000,15.000000,-9.400000,0.484693,8.790000,-4.281640
3.300000,14.370000,15.333333,-9.800000,0.494079,8.810000,-4.219251
3.400000,14.670000,15.666667,-9.600000,0.503407,8.730000,-4.226381
3.100000,14.970000,16.000000,-9.400000,0.512717,8.830000,-4.270945
3.200000,15.350000,16.333333,-10.000000,0.522034,8.750000,-4.187166
3.000000,15.670000,16.666667,-9.400000,0.531351,8.890000,-4.306595
3.200000,15.970000,17.000000,-9.400000,0.540651,8.730000,-4.171123
3.200000,16.230000,17.333333,-9.400000,0.550038,8.870000,-4.297683
3.300000,16.570000,17.666667,-9.600000,0.559345,8.790000,-4.196078
3.000000,16.950000,18.000000,-9.800000,0.568647,8.810000,-4.262032
2.800000,17.270000,18.333333,-10.400000,0.578325,8.850000,-4.249554
3.200000,17.570000,18.666667,-9.600000,0.587800,8.690000,-4.204991
3.200000,17.830000,19.000000,-9.600000,0.597237,8.870000,-4.285205
3.200000,18.470000,19.333333,-9.400000,0.632175,8.870000,-4.294118
3.100000,18.590000,19.666667,-9.400000,0.641753,8.770000,-4.171123
3.200000,18.830000,20.000000,-10.000000,0.651177,8.770000,-4.281640
3.300000,19.150000,20.333333,-9.600000,0.660484,8.830000,-4.217469
3.300000,19.430000,20.666667,-9.600000,0.669795,8.790000,-4.240642
