# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0105 - 10A/s
# Tap_cm: 5.0
# Sample: 5-PP
# Fit of Tap:
#	Ic = 178 +/- 0.017 A
#	n = 41 +/- 0.32 
#	Vc = 5 uV
#	Vfloor = 3.27 +/- 0.0057 uV
#	R = 0.0001 +/- 3.3e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.300000,0.170000,0.000000,-9.400000,0.037244,8.770000,-4.210339
3.300000,0.270000,0.050000,-9.800000,0.052303,8.790000,-4.251337
2.900000,0.270000,0.100000,-9.400000,0.062439,8.850000,-4.260250
3.200000,0.250000,0.150000,-9.400000,0.071808,8.730000,-4.188948
3.100000,0.290000,0.200000,-9.400000,0.081199,8.830000,-4.279857
2.800000,0.350000,0.250000,-9.400000,0.090500,8.730000,-4.153298
3.200000,0.390000,0.300000,-9.600000,0.100078,8.850000,-4.292335
3.300000,0.410000,0.350000,-9.400000,0.109609,8.830000,-4.181818
3.100000,0.470000,0.400000,-9.800000,0.119263,8.810000,-4.254902
3.100000,0.530000,0.450000,-9.400000,0.128633,8.910000,-4.242424
3.100000,0.570000,0.500000,-9.600000,0.138035,8.730000,-4.194296
3.200000,0.590000,0.550000,-9.200000,0.147380,8.870000,-4.281640
3.300000,0.730000,0.600000,-9.200000,0.156793,8.810000,-4.171123
3.200000,0.730000,0.650000,-9.400000,0.166252,8.850000,-4.303030
3.200000,0.730000,0.700000,-10.000000,0.175632,8.850000,-4.180036
3.100000,0.830000,0.750000,-9.600000,0.185092,8.810000,-4.263815
3.300000,0.770000,0.800000,-9.400000,0.194434,8.810000,-4.215686
3.200000,0.890000,0.850000,-9.600000,0.203795,8.790000,-4.229947
3.300000,0.950000,0.900000,-9.800000,0.213185,8.910000,-4.286988
2.900000,0.990000,0.950000,-9.800000,0.222523,8.730000,-4.185383
3.200000,1.070000,1.000000,-9.400000,0.242746,8.830000,-4.183601
3.200000,1.090000,1.050000,-9.400000,0.252284,8.770000,-4.265597
3.100000,1.130000,1.100000,-9.800000,0.261639,8.810000,-4.238859
3.100000,1.150000,1.150000,-9.400000,0.271035,8.750000,-4.206774
3.100000,1.250000,1.200000,-9.800000,0.295299,8.810000,-4.235294
3.100000,1.250000,1.250000,-9.800000,0.305483,8.730000,-4.176471
3.200000,1.310000,1.300000,-9.400000,0.314927,8.890000,-4.286988
3.200000,1.350000,1.350000,-9.600000,0.324252,8.750000,-4.151515
3.200000,1.410000,1.400000,-9.800000,0.333582,8.830000,-4.283422
3.300000,1.390000,1.450000,-9.600000,0.342976,8.810000,-4.176471
3.200000,1.510000,1.500000,-9.600000,0.352300,8.790000,-4.256684
3.100000,1.530000,1.550000,-9.800000,0.361622,8.870000,-4.229947
3.200000,1.590000,1.600000,-9.600000,0.371006,8.750000,-4.201426
3.600000,1.590000,1.650000,-9.600000,0.380316,8.890000,-4.269162
3.200000,1.710000,1.700000,-9.600000,0.389624,8.730000,-4.172906
3.300000,1.710000,1.750000,-9.800000,0.399045,8.830000,-4.288770
3.100000,1.650000,1.800000,-9.400000,0.408469,8.790000,-4.156863
3.300000,1.790000,1.850000,-9.600000,0.418028,8.810000,-4.265597
3.400000,1.810000,1.900000,-9.400000,0.427404,8.810000,-4.197861
3.400000,1.890000,1.950000,-9.600000,0.436750,8.770000,-4.221034
3.100000,2.010000,2.000000,-9.600000,0.456390,8.710000,-4.171123
3.200000,1.990000,2.050000,-9.400000,0.465916,8.870000,-4.292335
3.200000,2.030000,2.100000,-9.400000,0.475270,8.750000,-4.156863
3.100000,2.110000,2.150000,-9.400000,0.484597,8.770000,-4.262032
3.000000,2.130000,2.200000,-9.200000,0.494008,8.810000,-4.188948
2.900000,2.190000,2.250000,-9.400000,0.503335,8.750000,-4.219251
3.100000,2.270000,2.300000,-9.800000,0.512700,8.870000,-4.256684
3.000000,2.270000,2.350000,-9.600000,0.522107,8.730000,-4.178253
3.100000,2.310000,2.400000,-9.000000,0.531406,8.910000,-4.294118
3.000000,2.390000,2.450000,-9.400000,0.540744,8.750000,-4.153298
3.100000,2.470000,2.500000,-9.400000,0.550060,8.830000,-4.285205
3.300000,2.450000,2.550000,-10.000000,0.559370,8.870000,-4.174688
3.100000,2.570000,2.600000,-9.800000,0.568707,8.770000,-4.253119
3.300000,2.570000,2.650000,-9.800000,0.587442,8.750000,-4.197861
3.200000,2.650000,2.700000,-9.400000,0.602476,8.750000,-4.242424
3.000000,2.670000,2.750000,-9.600000,0.612619,8.830000,-4.267380
3.000000,2.750000,2.800000,-9.800000,0.622048,8.710000,-4.188948
3.200000,2.790000,2.850000,-9.400000,0.631381,8.890000,-4.295900
3.100000,2.810000,2.900000,-9.800000,0.640746,8.770000,-4.160428
3.200000,2.870000,2.950000,-9.400000,0.653245,8.750000,-4.231729
3.200000,2.910000,3.000000,-9.600000,0.670273,8.710000,-4.221034
3.200000,2.890000,3.050000,-9.400000,0.680039,8.910000,-4.263815
3.300000,3.010000,3.100000,-9.800000,0.689403,8.770000,-4.174688
3.100000,3.030000,3.150000,-9.400000,0.698721,8.850000,-4.297683
3.400000,3.050000,3.200000,-9.800000,0.708113,8.790000,-4.163993
3.300000,3.090000,3.250000,-9.800000,0.717440,8.830000,-4.276292
3.200000,3.170000,3.300000,-9.600000,0.726742,8.830000,-4.194296
3.200000,3.210000,3.350000,-9.400000,0.736134,8.710000,-4.245989
3.200000,3.330000,3.400000,-10.600000,0.745686,8.850000,-4.260250
3.200000,3.270000,3.450000,-10.000000,0.755280,8.730000,-4.187166
3.200000,3.370000,3.500000,-9.400000,0.764658,8.850000,-4.297683
3.000000,3.390000,3.550000,-9.800000,0.774066,8.710000,-4.155080
3.400000,3.530000,3.600000,-9.800000,0.793396,8.850000,-4.197861
3.100000,3.550000,3.650000,-9.800000,0.805248,8.770000,-4.187166
3.100000,3.590000,3.700000,-9.600000,0.814714,8.870000,-4.304813
3.100000,3.670000,3.750000,-9.600000,0.824107,8.790000,-4.174688
3.200000,3.690000,3.800000,-9.600000,0.833434,8.810000,-4.299465
3.200000,3.730000,3.850000,-9.400000,0.842762,8.830000,-4.197861
3.100000,3.770000,3.900000,-9.400000,0.852161,8.750000,-4.260250
3.100000,3.890000,3.950000,-9.800000,0.872132,8.810000,-4.183601
3.100000,3.910000,4.000000,-9.800000,0.895455,8.870000,-4.258467
3.100000,3.950000,4.050000,-9.800000,0.905657,8.750000,-4.185383
3.100000,3.930000,4.100000,-9.400000,0.915242,8.910000,-4.303030
3.200000,3.990000,4.150000,-9.600000,0.924637,8.750000,-4.167558
3.100000,4.090000,4.200000,-9.800000,0.934058,8.810000,-4.283422
3.300000,4.070000,4.250000,-9.400000,0.943387,8.790000,-4.203209
3.200000,4.150000,4.300000,-9.600000,0.952712,8.770000,-4.244207
3.000000,4.230000,4.350000,-9.600000,0.962113,8.870000,-4.251337
3.200000,4.210000,4.400000,-9.600000,0.971504,8.710000,-4.190731
3.000000,4.310000,4.450000,-9.600000,0.980842,8.910000,-4.294118
3.200000,4.330000,4.500000,-9.600000,0.990243,8.790000,-4.158645
3.400000,4.350000,4.550000,-9.800000,0.999556,8.870000,-4.286988
3.300000,4.370000,4.600000,-9.600000,1.008931,8.790000,-4.169340
3.100000,4.470000,4.650000,-10.000000,1.018261,8.790000,-4.251337
3.200000,4.470000,4.700000,-9.600000,1.027603,8.810000,-4.212121
3.300000,4.550000,4.750000,-8.800000,1.036988,8.770000,-4.210339
3.100000,4.650000,4.800000,-9.800000,1.046289,8.870000,-4.279857
3.000000,4.690000,4.850000,-9.800000,1.055603,8.750000,-4.178253
3.200000,4.710000,4.900000,-9.400000,1.064984,8.870000,-4.297683
3.200000,4.870000,4.950000,-9.800000,1.085134,8.770000,-4.258467
3.200000,4.850000,5.000000,-9.600000,1.094547,8.830000,-4.226381
3.100000,4.830000,5.050000,-9.200000,1.103938,8.750000,-4.210339
3.200000,4.870000,5.100000,-9.600000,1.113250,8.930000,-4.285205
3.100000,4.930000,5.150000,-9.800000,1.122583,8.730000,-4.181818
3.200000,4.970000,5.200000,-9.400000,1.131984,8.890000,-4.306595
3.200000,5.030000,5.250000,-9.400000,1.141279,8.770000,-4.165775
3.300000,5.090000,5.300000,-9.800000,1.150698,8.810000,-4.274510
