# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0105 - 20A/s
# Tap_cm: 5.0
# Sample: 5-PP
# Fit of Tap:
#	Ic = 180 +/- 0.026 A
#	n = 38.2 +/- 0.42 
#	Vc = 5 uV
#	Vfloor = 3.45 +/- 0.0086 uV
#	R = 0.0001 +/- 9e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.900000,0.290000,0.000000,-12.000000,0.018450,8.830000,-4.313725
3.100000,0.250000,0.100000,-12.000000,0.026286,8.830000,-4.210339
3.100000,0.330000,0.200000,-9.800000,0.035619,8.810000,-4.304813
3.300000,0.350000,0.300000,-9.600000,0.044932,8.810000,-4.233512
3.400000,0.450000,0.400000,-9.400000,0.054357,8.790000,-4.258467
3.500000,0.550000,0.500000,-9.600000,0.063676,8.870000,-4.285205
3.300000,0.590000,0.600000,-9.600000,0.073018,8.730000,-4.217469
3.300000,0.610000,0.700000,-9.400000,0.082481,8.870000,-4.322638
3.500000,0.810000,0.800000,-9.600000,0.092240,8.770000,-4.185383
3.300000,0.950000,0.900000,-9.400000,0.102158,8.790000,-4.308378
3.400000,0.930000,1.000000,-10.600000,0.111729,8.810000,-4.240642
3.400000,1.150000,1.100000,-9.800000,0.135766,8.690000,-4.310160
3.300000,1.210000,1.200000,-10.000000,0.146318,8.810000,-4.279857
3.300000,1.290000,1.300000,-9.400000,0.155752,8.750000,-4.251337
3.300000,1.390000,1.400000,-9.400000,0.165173,8.870000,-4.338681
3.300000,1.450000,1.500000,-9.800000,0.174574,8.730000,-4.212121
3.200000,1.530000,1.600000,-9.400000,0.183949,8.810000,-4.335116
3.400000,1.610000,1.700000,-9.600000,0.193373,8.810000,-4.203209
3.300000,1.730000,1.800000,-10.000000,0.202707,8.770000,-4.299465
3.600000,1.810000,1.900000,-9.600000,0.212012,8.850000,-4.244207
3.500000,1.850000,2.000000,-9.400000,0.221357,8.730000,-4.260250
3.300000,2.050000,2.100000,-9.800000,0.241502,8.670000,-4.197861
3.300000,2.130000,2.200000,-9.600000,0.250920,8.850000,-4.333333
3.400000,2.150000,2.300000,-9.400000,0.260263,8.790000,-4.212121
3.000000,2.270000,2.400000,-9.800000,0.269595,8.770000,-4.299465
3.400000,2.350000,2.500000,-9.800000,0.278908,8.870000,-4.251337
3.300000,2.450000,2.600000,-9.400000,0.288297,8.790000,-4.254902
3.200000,2.570000,2.700000,-9.600000,0.297637,8.870000,-4.303030
3.000000,2.650000,2.800000,-9.600000,0.306954,8.790000,-4.222816
3.400000,2.730000,2.900000,-9.200000,0.316342,8.890000,-4.338681
3.400000,2.810000,3.000000,-9.800000,0.325641,8.730000,-4.194296
