# Date: 20210406
# Operator: RDP&PP
# Notes: OCT0105 - 30A/s
# Tap_cm: 5.0
# Sample: 5-PP
# Fit of Tap:
#	Ic = 183 +/- 0.049 A
#	n = 31.9 +/- 0.55 
#	Vc = 5 uV
#	Vfloor = 3.48 +/- 0.013 uV
#	R = 0.000604 +/- 0.00014 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.400000,0.190000,0.000000,-9.600000,0.036903,8.830000,-4.162210
3.200000,0.290000,0.150000,-9.600000,0.050094,8.690000,-4.155080
3.100000,0.370000,0.300000,-9.200000,0.060195,8.850000,-4.267380
3.500000,0.390000,0.450000,-9.600000,0.068803,8.910000,-4.137255
3.400000,0.590000,0.600000,-12.000000,0.076037,8.850000,-4.281640
3.400000,0.670000,0.750000,-12.400000,0.083247,8.750000,-4.156863
3.400000,0.830000,0.900000,-11.600000,0.090497,8.850000,-4.256684
3.200000,0.930000,1.050000,-12.400000,0.097717,8.730000,-4.192513
3.300000,1.090000,1.200000,-11.800000,0.105054,8.790000,-4.208556
3.400000,1.210000,1.350000,-12.200000,0.112276,8.710000,-4.245989
3.400000,1.310000,1.500000,-11.800000,0.119488,8.830000,-4.162210
3.500000,1.510000,1.650000,-12.000000,0.126697,8.810000,-4.294118
3.400000,1.590000,1.800000,-12.200000,0.133904,8.710000,-4.156863
3.400000,1.750000,1.950000,-12.200000,0.141142,8.850000,-4.285205
3.200000,1.890000,2.100000,-12.000000,0.148344,8.710000,-4.194296
3.200000,1.990000,2.250000,-11.800000,0.155549,8.750000,-4.235294
3.300000,2.210000,2.400000,-11.800000,0.162804,8.730000,-4.235294
3.300000,2.310000,2.550000,-11.800000,0.170028,8.810000,-4.165775
3.200000,2.470000,2.700000,-12.200000,0.177239,8.790000,-4.279857
3.500000,2.590000,2.850000,-12.200000,0.184441,8.770000,-4.151515
3.300000,2.770000,3.000000,-11.800000,0.191634,8.870000,-4.286988
3.300000,2.910000,3.150000,-12.200000,0.198843,8.750000,-4.185383
3.200000,3.090000,3.300000,-12.400000,0.206044,8.810000,-4.245989
3.400000,3.170000,3.450000,-12.400000,0.213254,8.730000,-4.226381
3.300000,3.350000,3.600000,-12.200000,0.220503,8.830000,-4.174688
3.200000,3.570000,3.750000,-12.400000,0.233338,8.710000,-4.165775
3.400000,3.650000,3.900000,-11.800000,0.240633,8.850000,-4.267380
3.400000,3.810000,4.050000,-11.800000,0.247847,8.690000,-4.197861
3.400000,3.950000,4.200000,-12.000000,0.255069,8.830000,-4.221034
3.400000,4.090000,4.350000,-11.800000,0.262330,9.030000,-4.256684
3.300000,4.210000,4.500000,-11.600000,0.269680,8.790000,-4.167558
2.900000,4.330000,4.650000,-11.800000,0.276924,8.870000,-4.276292
3.300000,4.470000,4.800000,-11.800000,0.284121,8.750000,-4.151515
3.400000,4.630000,4.950000,-12.000000,0.291327,8.850000,-4.283422
3.400000,4.790000,5.100000,-11.800000,0.298531,8.730000,-4.190731
3.300000,5.030000,5.250000,-9.200000,0.320684,8.790000,-4.188948
3.300000,5.130000,5.400000,-9.600000,0.330910,8.750000,-4.224599
3.400000,5.170000,5.550000,-9.800000,0.340228,8.790000,-4.265597
2.900000,5.330000,5.700000,-9.800000,0.349481,8.710000,-4.187166
3.500000,5.450000,5.850000,-9.600000,0.358826,8.810000,-4.303030
3.300000,5.610000,6.000000,-9.800000,0.368107,8.770000,-4.156863
3.300000,5.810000,6.150000,-9.800000,0.377459,8.810000,-4.285205
3.400000,5.910000,6.300000,-9.600000,0.386792,8.770000,-4.165775
3.200000,6.010000,6.450000,-10.000000,0.396057,8.810000,-4.238859
3.300000,6.210000,6.600000,-9.800000,0.405319,8.830000,-4.201426
3.300000,6.330000,6.750000,-9.200000,0.414627,8.750000,-4.190731
3.400000,6.510000,6.900000,-9.600000,0.423929,8.790000,-4.251337
2.900000,6.610000,7.050000,-9.800000,0.433198,8.710000,-4.156863
3.400000,6.970000,7.200000,-10.000000,0.452713,8.770000,-4.160428
3.300000,7.010000,7.350000,-9.600000,0.462079,8.730000,-4.267380
3.500000,7.110000,7.500000,-9.800000,0.471379,8.850000,-4.201426
3.600000,7.210000,7.650000,-9.200000,0.480713,8.770000,-4.222816
3.300000,7.410000,7.800000,-9.800000,0.490008,8.790000,-4.258467
3.400000,7.550000,7.950000,-9.800000,0.499288,8.690000,-4.178253
3.500000,7.650000,8.100000,-9.400000,0.508554,8.870000,-4.276292
3.300000,7.790000,8.250000,-9.600000,0.517882,8.730000,-4.147950
3.400000,7.970000,8.400000,-9.800000,0.527289,8.770000,-4.278075
3.400000,8.050000,8.550000,-9.400000,0.536679,8.790000,-4.156863
3.200000,8.190000,8.700000,-10.000000,0.546023,8.730000,-4.245989
3.300000,8.370000,8.850000,-9.400000,0.555314,8.810000,-4.201426
3.600000,8.510000,9.000000,-9.400000,0.564665,8.750000,-4.203209
3.200000,8.650000,9.150000,-9.800000,0.573950,8.850000,-4.265597
3.300000,8.750000,9.300000,-9.400000,0.583255,8.750000,-4.169340
3.400000,8.890000,9.450000,-9.400000,0.592595,8.850000,-4.285205
3.400000,9.030000,9.600000,-9.600000,0.601892,8.730000,-4.146168
3.300000,9.290000,9.750000,-9.600000,0.626244,8.830000,-4.288770
3.500000,9.370000,9.900000,-9.400000,0.636328,8.770000,-4.158645
3.100000,9.570000,10.050000,-9.600000,0.649287,8.670000,-4.178253
3.300000,9.710000,10.200000,-10.000000,0.666122,8.690000,-4.169340
3.400000,9.730000,10.350000,-9.600000,0.675589,8.830000,-4.290553
3.300000,9.950000,10.500000,-9.800000,0.684909,8.770000,-4.162210
3.300000,10.050000,10.650000,-9.800000,0.694202,8.830000,-4.283422
3.300000,10.230000,10.800000,-9.800000,0.703590,8.770000,-4.172906
3.000000,10.390000,10.950000,-9.600000,0.713007,8.770000,-4.249554
3.200000,10.470000,11.100000,-9.400000,0.722349,8.810000,-4.221034
3.400000,10.670000,11.250000,-9.800000,0.731757,8.730000,-4.199643
3.400000,10.770000,11.400000,-9.800000,0.741055,8.850000,-4.270945
3.300000,10.950000,11.550000,-10.000000,0.750362,8.750000,-4.169340
3.600000,11.050000,11.700000,-9.600000,0.759739,8.870000,-4.290553
3.300000,11.190000,11.850000,-9.600000,0.769107,8.790000,-4.158645
3.500000,11.390000,12.000000,-9.800000,0.778642,8.730000,-4.267380
3.400000,11.510000,12.150000,-9.200000,0.787977,8.850000,-4.199643
3.300000,11.650000,12.300000,-9.200000,0.797302,8.730000,-4.229947
3.300000,11.790000,12.450000,-9.400000,0.806686,8.810000,-4.253119
3.300000,12.010000,12.600000,-9.800000,0.816007,8.710000,-4.185383
3.400000,12.090000,12.750000,-9.600000,0.825336,8.850000,-4.288770
3.000000,12.210000,12.900000,-9.600000,0.834707,8.730000,-4.151515
3.300000,12.390000,13.050000,-9.400000,0.844020,8.850000,-4.286988
3.500000,12.450000,13.200000,-9.400000,0.853358,8.770000,-4.165775
3.200000,12.730000,13.350000,-9.600000,0.873048,8.770000,-4.235294
3.100000,12.770000,13.500000,-9.600000,0.882450,8.690000,-4.178253
3.600000,12.930000,13.650000,-9.400000,0.891858,8.870000,-4.281640
3.300000,13.090000,13.800000,-9.600000,0.901226,8.730000,-4.149733
3.300000,13.350000,13.950000,-9.200000,0.925406,8.830000,-4.283422
3.300000,13.390000,14.100000,-9.800000,0.935618,8.710000,-4.155080
3.300000,13.550000,14.250000,-9.800000,0.944999,8.730000,-4.274510
3.400000,13.610000,14.400000,-9.600000,0.954294,8.810000,-4.183601
3.300000,13.790000,14.550000,-9.400000,0.963654,8.750000,-4.237077
3.300000,13.890000,14.700000,-9.800000,0.972965,8.790000,-4.242424
3.400000,14.070000,14.850000,-9.400000,0.982280,8.690000,-4.196078
3.500000,14.210000,15.000000,-9.400000,0.991657,8.810000,-4.285205
3.400000,14.370000,15.150000,-9.400000,1.000963,8.730000,-4.165775
3.300000,14.490000,15.300000,-9.600000,1.010261,8.830000,-4.294118
3.300000,14.610000,15.450000,-9.200000,1.019739,8.770000,-4.162210
3.300000,14.770000,15.600000,-9.400000,1.029207,8.750000,-4.258467
3.500000,14.970000,15.750000,-9.200000,1.038612,8.810000,-4.217469
3.400000,15.110000,15.900000,-9.200000,1.048021,8.710000,-4.213904
3.400000,15.230000,16.050000,-9.400000,1.057357,8.810000,-4.270945
3.300000,15.370000,16.200000,-9.400000,1.066743,8.690000,-4.180036
3.400000,15.610000,16.350000,-9.400000,1.086813,8.730000,-4.167558
3.200000,15.670000,16.500000,-9.800000,1.096211,8.730000,-4.256684
3.300000,15.770000,16.650000,-9.800000,1.105593,8.830000,-4.226381
3.400000,15.930000,16.800000,-9.400000,1.114907,8.730000,-4.199643
3.400000,16.090000,16.950000,-9.600000,1.124216,8.850000,-4.263815
3.000000,16.230000,17.100000,-9.800000,1.133590,8.670000,-4.160428
3.400000,16.350000,17.250000,-9.400000,1.142900,8.810000,-4.290553
3.300000,16.510000,17.400000,-9.400000,1.152200,8.730000,-4.142602
3.500000,16.630000,17.550000,-9.800000,1.161573,8.710000,-4.263815
3.600000,16.770000,17.700000,-9.400000,1.170891,8.710000,-4.176471
3.200000,16.890000,17.850000,-9.600000,1.180192,8.750000,-4.231729
3.200000,17.110000,18.000000,-9.600000,1.189489,8.770000,-4.237077
3.300000,17.210000,18.150000,-9.800000,1.198853,8.690000,-4.194296
3.200000,17.490000,18.300000,-9.600000,1.223154,8.790000,-4.231729
