# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0103
# Tap_cm: 6.0
# Sample: PT_03
# Fit of Tap:
#	Ic = 175 +/- 0.07 A
#	n = 42.3 +/- 0.94 
#	Vc = 6 uV
#	Vfloor = 3.73 +/- 0.011 uV
#	R = 0.00107 +/- 0.00012 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.500000,0.290000,0.000000,-9.800000,0.038943,8.590000,-4.192513
3.800000,0.210000,0.166667,-9.800000,0.049154,8.810000,-4.301248
3.700000,0.350000,0.333333,-9.400000,0.059710,8.910000,-4.333333
3.700000,0.530000,0.500000,-9.600000,0.075167,8.770000,-4.286988
3.700000,0.710000,0.666667,-9.600000,0.091693,8.810000,-4.269162
3.500000,0.850000,0.833333,-9.400000,0.108108,8.710000,-4.263815
3.600000,1.010000,1.000000,-9.800000,0.123534,8.670000,-4.229947
3.600000,1.170000,1.166667,-9.400000,0.140002,8.650000,-4.219251
3.600000,1.370000,1.333333,-9.800000,0.155500,8.530000,-4.188948
3.300000,1.470000,1.500000,-9.600000,0.171907,8.510000,-4.181818
3.400000,1.570000,1.666667,-9.400000,0.187319,8.570000,-4.169340
3.500000,1.770000,1.833333,-9.400000,0.203711,8.530000,-4.171123
3.800000,1.950000,2.000000,-10.000000,0.223616,8.630000,-4.219251
3.500000,2.070000,2.166667,-9.400000,0.236115,8.590000,-4.181818
3.500000,2.190000,2.333333,-9.400000,0.251586,8.650000,-4.210339
3.500000,2.450000,2.500000,-9.600000,0.268003,8.630000,-4.228164
3.500000,2.610000,2.666667,-9.400000,0.283483,8.690000,-4.263815
3.600000,2.750000,2.833333,-9.800000,0.300086,8.730000,-4.267380
3.600000,2.950000,3.000000,-9.600000,0.324124,8.730000,-4.242424
3.100000,2.970000,3.166667,-9.400000,0.334286,8.650000,-4.238859
3.500000,3.150000,3.333333,-9.400000,0.347798,8.950000,-4.360071
3.500000,3.290000,3.500000,-9.800000,0.363229,9.010000,-4.370766
3.600000,3.450000,3.666667,-9.400000,0.379722,8.970000,-4.379679
3.600000,3.650000,3.833333,-9.600000,0.395126,8.970000,-4.368984
3.700000,3.790000,4.000000,-9.200000,0.414469,8.890000,-4.347594
3.500000,3.950000,4.166667,-9.400000,0.428088,8.970000,-4.361854
3.500000,4.170000,4.333333,-9.800000,0.443507,8.890000,-4.324421
3.400000,4.330000,4.500000,-9.600000,0.459913,8.890000,-4.322638
3.800000,4.470000,4.666667,-9.400000,0.475314,8.790000,-4.269162
3.600000,4.630000,4.833333,-9.400000,0.491757,8.790000,-4.254902
3.400000,4.790000,5.000000,-9.400000,0.507161,8.630000,-4.212121
3.500000,4.950000,5.166667,-9.600000,0.523561,8.670000,-4.201426
3.400000,5.070000,5.333333,-10.000000,0.540084,8.610000,-4.194296
3.700000,5.210000,5.500000,-9.200000,0.555698,8.570000,-4.167558
