# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0105
# Tap_cm: 6.0
# Sample: PT_05
# Fit of Tap:
#	Ic = 177 +/- 0.15 A
#	n = 48 +/- 1.6 
#	Vc = 6 uV
#	Vfloor = 3.35 +/- 0.0099 uV
#	R = 0.0001 +/- 0.00011 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.400000,0.210000,0.000000,-9.800000,0.044095,8.770000,-4.365419
3.400000,0.270000,0.166667,-9.400000,0.080454,8.770000,-4.299465
3.500000,0.390000,0.333333,-9.400000,0.096956,8.730000,-4.295900
3.500000,0.610000,0.500000,-9.400000,0.112696,8.730000,-4.310160
3.300000,0.690000,0.666667,-9.800000,0.128258,8.750000,-4.338681
3.000000,0.910000,0.833333,-9.800000,0.144963,8.770000,-4.331551
3.400000,1.030000,1.000000,-9.600000,0.160450,8.750000,-4.340463
3.300000,1.190000,1.166667,-9.800000,0.176976,8.750000,-4.344029
3.600000,1.310000,1.333333,-9.400000,0.192466,8.790000,-4.352941
3.400000,1.370000,1.500000,-9.200000,0.208982,8.770000,-4.354724
3.400000,1.650000,1.666667,-9.600000,0.232021,8.670000,-4.245989
3.300000,1.730000,1.833333,-9.400000,0.241485,8.830000,-4.347594
3.500000,1.930000,2.000000,-9.000000,0.256995,8.830000,-4.320856
3.600000,2.150000,2.166667,-9.400000,0.272484,8.790000,-4.285205
3.400000,2.290000,2.333333,-9.600000,0.297044,8.750000,-4.283422
3.400000,2.370000,2.500000,-9.400000,0.307296,8.850000,-4.326203
3.600000,2.530000,2.666667,-10.000000,0.321144,8.750000,-4.238859
3.300000,2.690000,2.833333,-9.400000,0.336779,8.810000,-4.219251
3.400000,2.870000,3.000000,-9.400000,0.352541,8.770000,-4.213904
3.400000,2.990000,3.166667,-9.800000,0.369029,8.790000,-4.206774
3.400000,3.150000,3.333333,-9.600000,0.384536,8.770000,-4.201426
3.600000,3.330000,3.500000,-9.800000,0.401125,8.750000,-4.208556
3.500000,3.530000,3.666667,-9.400000,0.416711,8.750000,-4.219251
3.500000,3.710000,3.833333,-9.200000,0.440284,8.810000,-4.317291
3.400000,3.690000,4.000000,-9.800000,0.449825,8.770000,-4.224599
3.300000,3.930000,4.166667,-9.600000,0.464314,8.770000,-4.278075
3.500000,4.150000,4.333333,-9.800000,0.480930,8.710000,-4.272727
3.400000,4.290000,4.500000,-9.400000,0.496365,8.750000,-4.310160
3.500000,4.530000,4.666667,-9.800000,0.512874,8.730000,-4.319073
3.300000,4.670000,4.833333,-9.400000,0.528323,8.750000,-4.340463
3.600000,4.850000,5.000000,-9.400000,0.544924,8.770000,-4.342246
3.500000,4.890000,5.166667,-9.800000,0.560382,8.790000,-4.349376
3.200000,5.110000,5.333333,-9.800000,0.589035,8.770000,-4.281640
3.300000,5.150000,5.500000,-10.000000,0.599322,8.730000,-4.247772
3.400000,5.310000,5.666667,-9.400000,0.608836,8.810000,-4.368984
3.600000,5.570000,5.833333,-9.400000,0.624355,8.850000,-4.345811
3.200000,5.810000,6.000000,-9.800000,0.650190,8.730000,-4.215686
3.300000,5.790000,6.166667,-9.800000,0.659777,8.790000,-4.356506
3.200000,5.990000,6.333333,-9.400000,0.672231,8.750000,-4.283422
3.400000,6.190000,6.500000,-9.800000,0.688770,8.770000,-4.265597
3.500000,6.370000,6.666667,-9.200000,0.704321,8.730000,-4.222816
3.700000,6.530000,6.833333,-9.400000,0.720925,8.750000,-4.222816
3.600000,6.730000,7.000000,-9.600000,0.736363,8.770000,-4.190731
3.700000,6.850000,7.166667,-9.600000,0.752882,8.750000,-4.197861
3.400000,7.010000,7.333333,-9.600000,0.768345,8.750000,-4.188948
3.600000,7.110000,7.500000,-9.600000,0.784921,8.790000,-4.197861
3.400000,7.290000,7.666667,-9.600000,0.800424,8.790000,-4.204991
3.300000,7.490000,7.833333,-9.400000,0.816953,8.730000,-4.206774
3.200000,7.570000,8.000000,-9.600000,0.832401,8.750000,-4.231729
3.200000,7.810000,8.166667,-9.600000,0.849022,8.730000,-4.233512
3.300000,7.970000,8.333333,-9.200000,0.868809,8.770000,-4.187166
3.400000,8.190000,8.500000,-9.800000,0.893081,8.870000,-4.351159
3.500000,8.210000,8.666667,-9.600000,0.903284,8.790000,-4.203209
3.400000,8.390000,8.833333,-9.400000,0.912812,8.790000,-4.313725
3.500000,8.650000,9.000000,-9.400000,0.928298,8.790000,-4.338681
3.300000,8.690000,9.166667,-9.800000,0.944997,8.790000,-4.342246
3.500000,8.850000,9.333333,-9.800000,0.960482,8.810000,-4.345811
3.600000,8.990000,9.500000,-9.400000,0.976972,8.810000,-4.344029
3.400000,9.210000,9.666667,-9.600000,0.992453,8.870000,-4.356506
3.300000,9.350000,9.833333,-9.200000,1.008963,8.830000,-4.349376
3.500000,9.510000,10.000000,-9.400000,1.024428,8.810000,-4.336898
3.400000,9.650000,10.166667,-9.400000,1.041025,8.870000,-4.327986
3.300000,9.870000,10.333333,-9.400000,1.056493,8.830000,-4.292335
3.400000,10.010000,10.500000,-9.400000,1.076211,8.830000,-4.342246
3.300000,10.170000,10.666667,-9.800000,1.088870,8.810000,-4.262032
3.500000,10.310000,10.833333,-9.400000,1.104807,8.770000,-4.238859
3.500000,10.530000,11.000000,-9.400000,1.120310,8.790000,-4.201426
3.600000,10.710000,11.166667,-9.400000,1.136909,8.770000,-4.204991
3.300000,10.830000,11.333333,-9.400000,1.152407,8.770000,-4.190731
3.300000,10.990000,11.500000,-9.600000,1.168973,8.790000,-4.185383
3.400000,11.190000,11.666667,-9.400000,1.192461,8.830000,-4.352941
3.500000,11.210000,11.833333,-9.400000,1.202767,8.750000,-4.187166
3.500000,11.410000,12.000000,-10.000000,1.216327,8.690000,-4.228164
3.600000,11.590000,12.166667,-9.800000,1.232901,8.730000,-4.231729
3.200000,11.770000,12.333333,-9.600000,1.248359,8.750000,-4.254902
3.300000,11.990000,12.500000,-10.000000,1.264864,8.830000,-4.254902
3.600000,12.090000,12.666667,-9.200000,1.284889,8.790000,-4.171123
3.400000,12.210000,12.833333,-9.400000,1.296523,8.790000,-4.288770
3.400000,12.390000,13.000000,-9.600000,1.312980,8.730000,-4.303030
3.300000,12.550000,13.166667,-10.000000,1.328444,8.730000,-4.329768
3.500000,12.830000,13.333333,-9.600000,1.345015,8.770000,-4.329768
3.500000,12.870000,13.500000,-9.400000,1.360666,8.790000,-4.344029
3.400000,13.070000,13.666667,-9.800000,1.377170,8.810000,-4.345811
3.400000,13.230000,13.833333,-9.400000,1.392816,8.850000,-4.351159
3.500000,13.310000,14.000000,-9.200000,1.408308,8.870000,-4.324421
3.600000,13.470000,14.166667,-9.400000,1.424852,8.870000,-4.324421
3.400000,13.650000,14.333333,-9.400000,1.440271,8.810000,-4.297683
3.400000,13.810000,14.500000,-9.400000,1.456822,8.850000,-4.283422
3.300000,13.950000,14.666667,-9.800000,1.472300,8.770000,-4.253119
3.400000,14.170000,14.833333,-9.400000,1.506858,8.830000,-4.295900
3.500000,14.290000,15.000000,-9.600000,1.522605,8.770000,-4.265597
3.200000,14.490000,15.166667,-9.600000,1.539010,8.810000,-4.260250
3.400000,14.630000,15.333333,-9.800000,1.555455,8.790000,-4.256684
3.700000,14.750000,15.500000,-9.600000,1.570952,8.790000,-4.212121
3.400000,14.930000,15.666667,-9.400000,1.587395,8.790000,-4.210339
3.500000,15.050000,15.833333,-9.600000,1.603021,8.750000,-4.188948
3.500000,15.250000,16.000000,-9.200000,1.618632,8.750000,-4.185383
3.300000,15.410000,16.166667,-9.400000,1.635089,8.770000,-4.185383
3.500000,15.590000,16.333333,-9.400000,1.650616,8.770000,-4.201426
3.500000,15.790000,16.500000,-9.600000,1.667101,8.690000,-4.199643
3.600000,15.970000,16.666667,-9.400000,1.687191,8.770000,-4.201426
3.400000,16.030000,16.833333,-10.600000,1.699043,8.730000,-4.247772
3.700000,16.170000,17.000000,-9.200000,1.714762,8.750000,-4.270945
3.300000,16.350000,17.166667,-9.400000,1.731227,8.770000,-4.272727
3.400000,16.550000,17.333333,-9.600000,1.746873,8.750000,-4.297683
3.600000,16.690000,17.500000,-9.400000,1.763334,8.750000,-4.297683
3.500000,16.870000,17.666667,-9.600000,1.788019,8.750000,-4.222816
3.200000,16.950000,17.833333,-9.400000,1.798211,8.710000,-4.263815
3.400000,17.150000,18.000000,-10.200000,1.810939,8.810000,-4.338681
3.500000,17.330000,18.166667,-9.400000,1.826701,8.830000,-4.342246
3.400000,17.510000,18.333333,-9.400000,1.843248,8.830000,-4.349376
3.400000,17.630000,18.500000,-9.400000,1.858901,8.850000,-4.326203
3.400000,17.870000,18.666667,-9.400000,1.885194,8.770000,-4.176471
3.500000,17.910000,18.833333,-9.600000,1.894843,8.730000,-4.331551
3.400000,18.030000,19.000000,-9.400000,1.907313,8.870000,-4.299465
3.400000,18.270000,19.166667,-9.600000,1.922912,8.830000,-4.269162
3.600000,18.470000,19.333333,-9.600000,1.939374,8.810000,-4.262032
3.400000,18.630000,19.500000,-9.400000,1.954888,8.770000,-4.215686
3.500000,18.790000,19.666667,-9.200000,1.971304,8.770000,-4.215686
3.800000,18.910000,19.833333,-9.400000,1.986809,8.810000,-4.190731
3.500000,19.050000,20.000000,-9.400000,2.003218,8.790000,-4.194296
3.500000,19.290000,20.166667,-9.200000,2.018724,8.770000,-4.185383
3.600000,19.350000,20.333333,-9.200000,2.035137,8.790000,-4.183601
3.400000,19.590000,20.500000,-9.600000,2.050644,8.730000,-4.206774
3.400000,19.750000,20.666667,-9.600000,2.067080,8.730000,-4.215686
3.400000,19.870000,20.833333,-9.400000,2.102884,8.710000,-4.185383
3.500000,19.990000,21.000000,-9.200000,2.118831,8.750000,-4.176471
3.300000,20.150000,21.166667,-9.400000,2.135378,8.790000,-4.174688
3.400000,20.290000,21.333333,-9.600000,2.150908,8.770000,-4.196078
3.400000,20.470000,21.500000,-9.400000,2.167374,8.770000,-4.203209
3.300000,20.650000,21.666667,-9.800000,2.182897,8.730000,-4.228164
3.300000,20.770000,21.833333,-9.600000,2.199439,8.790000,-4.240642
3.400000,20.890000,22.000000,-9.400000,2.214998,8.730000,-4.286988
3.300000,21.090000,22.166667,-9.400000,2.231438,8.790000,-4.288770
3.400000,21.270000,22.333333,-9.400000,2.246957,8.790000,-4.311943
3.300000,21.430000,22.500000,-9.200000,2.263404,8.750000,-4.317291
3.500000,21.630000,22.666667,-9.600000,2.284912,8.770000,-4.201426
3.400000,21.690000,22.833333,-9.800000,2.295422,8.770000,-4.349376
3.500000,21.910000,23.000000,-9.400000,2.310928,8.810000,-4.351159
3.400000,22.030000,23.166667,-9.400000,2.327348,8.870000,-4.351159
3.400000,22.190000,23.333333,-9.200000,2.342967,8.870000,-4.372549
3.500000,22.370000,23.500000,-9.600000,2.359531,8.850000,-4.354724
3.500000,22.610000,23.666667,-9.400000,2.388179,8.730000,-4.233512
3.600000,22.650000,23.833333,-9.600000,2.398390,8.750000,-4.283422
3.500000,22.770000,24.000000,-9.600000,2.407899,8.830000,-4.324421
3.300000,23.050000,24.166667,-9.400000,2.423340,8.810000,-4.288770
3.400000,23.150000,24.333333,-9.200000,2.438808,8.770000,-4.251337
3.600000,23.310000,24.500000,-10.000000,2.455264,8.770000,-4.238859
3.200000,23.430000,24.666667,-9.200000,2.470835,8.790000,-4.222816
3.600000,23.610000,24.833333,-9.400000,2.491518,8.850000,-4.342246
3.500000,23.730000,25.000000,-9.200000,2.503080,8.830000,-4.212121
3.600000,23.930000,25.166667,-9.600000,2.518616,8.790000,-4.213904
3.600000,24.110000,25.333333,-9.400000,2.535074,8.790000,-4.204991
3.400000,24.290000,25.500000,-9.800000,2.550655,8.730000,-4.228164
3.300000,24.370000,25.666667,-9.400000,2.567118,8.750000,-4.245989
3.500000,24.570000,25.833333,-9.800000,2.582637,8.750000,-4.265597
3.400000,24.670000,26.000000,-9.800000,2.599251,8.730000,-4.270945
3.700000,24.910000,26.166667,-9.400000,2.614853,8.790000,-4.294118
3.600000,24.970000,26.333333,-9.600000,2.631312,8.830000,-4.292335
3.200000,25.210000,26.500000,-9.400000,2.646822,8.790000,-4.331551
3.400000,25.350000,26.666667,-9.600000,2.663271,8.810000,-4.336898
3.300000,25.530000,26.833333,-9.400000,2.699268,8.710000,-4.256684
3.400000,25.670000,27.000000,-9.400000,2.715004,8.750000,-4.278075
3.500000,25.830000,27.166667,-9.400000,2.731451,8.810000,-4.279857
3.600000,25.970000,27.333333,-9.200000,2.746941,8.750000,-4.299465
3.500000,26.050000,27.500000,-9.600000,2.763388,8.790000,-4.306595
3.500000,26.270000,27.666667,-9.400000,2.779866,8.790000,-4.317291
3.600000,26.450000,27.833333,-9.400000,2.795275,8.850000,-4.352941
3.500000,26.610000,28.000000,-9.600000,2.811745,8.830000,-4.358289
3.500000,26.750000,28.166667,-9.200000,2.827172,8.810000,-4.367201
3.500000,26.950000,28.333333,-9.600000,2.843782,8.790000,-4.367201
3.500000,27.030000,28.500000,-9.800000,2.859336,8.850000,-4.345811
3.400000,27.330000,28.666667,-9.600000,2.885045,8.750000,-4.203209
