# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0105
# Tap_cm: 6.0
# Sample: PT_05
# Fit of Tap:
#	Ic = 58.3 +/- 0.0049 A
#	n = 1e+03 +/- 17 
#	Vc = 6 uV
#	Vfloor = 3.1 +/- 0.033 uV
#	R = 0.012 +/- 0.00099 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.300000,0.250000,0.000000,-9.600000,0.062374,8.790000,-4.049911
3.400000,0.250000,0.166667,-11.800000,0.084904,8.750000,-4.329768
3.300000,0.410000,0.333333,-9.800000,0.103297,8.830000,-4.393939
3.300000,0.450000,0.500000,-9.200000,0.119408,8.770000,-4.379679
3.200000,0.650000,0.666667,-9.400000,0.135425,8.730000,-4.340463
3.300000,0.830000,0.833333,-9.400000,0.151495,8.690000,-4.294118
3.200000,0.970000,1.000000,-9.400000,0.167694,8.670000,-4.256684
3.200000,1.070000,1.166667,-9.600000,0.182798,8.590000,-4.144385
3.300000,1.250000,1.333333,-9.800000,0.198840,8.530000,-4.087344
3.200000,1.370000,1.500000,-9.400000,0.214919,8.610000,-4.051693
3.200000,1.590000,1.666667,-9.400000,0.236172,8.830000,-4.376114
3.300000,1.670000,1.833333,-9.200000,0.247213,8.650000,-4.024955
3.200000,1.850000,2.000000,-9.600000,0.263223,8.730000,-4.033868
3.200000,1.990000,2.166667,-9.800000,0.279205,8.810000,-4.067736
3.300000,2.250000,2.333333,-9.600000,0.295229,8.790000,-4.133690
3.200000,2.450000,2.500000,-9.400000,0.323444,8.910000,-4.472371
3.200000,2.510000,2.666667,-9.600000,0.334119,8.650000,-4.253119
3.300000,2.590000,2.833333,-9.600000,0.344014,8.870000,-4.297683
3.400000,2.790000,3.000000,-9.400000,0.358977,8.870000,-4.374332
3.200000,2.990000,3.166667,-9.400000,0.375025,8.970000,-4.411765
3.100000,3.170000,3.333333,-9.400000,0.391015,8.950000,-4.438503
3.100000,3.310000,3.500000,-9.400000,0.407960,8.910000,-4.422460
3.100000,3.530000,3.666667,-9.800000,0.423194,8.930000,-4.479501
3.200000,3.670000,3.833333,-9.400000,0.442994,8.890000,-4.345811
3.100000,3.750000,4.000000,-9.400000,0.455063,8.850000,-4.483066
3.300000,3.950000,4.166667,-9.200000,0.471046,8.830000,-4.456328
3.300000,4.110000,4.333333,-9.400000,0.487105,8.850000,-4.429590
3.200000,4.330000,4.500000,-9.800000,0.503124,8.830000,-4.393939
3.400000,4.450000,4.666667,-9.400000,0.519134,8.710000,-4.352941
3.400000,4.610000,4.833333,-9.400000,0.535118,8.690000,-4.317291
3.400000,4.890000,5.000000,-9.400000,0.551121,8.670000,-4.265597
3.100000,4.950000,5.166667,-9.800000,0.567158,8.630000,-4.229947
3.200000,5.050000,5.333333,-9.800000,0.583170,8.550000,-4.165775
3.400000,5.210000,5.500000,-9.400000,0.599175,8.590000,-4.099822
3.300000,5.590000,5.666667,-9.600000,0.624159,8.930000,-4.443850
3.200000,5.490000,5.833333,-9.600000,0.634924,8.650000,-4.286988
3.000000,5.810000,6.000000,-9.800000,0.655373,8.870000,-4.463458
3.300000,5.710000,6.166667,-9.600000,0.665431,8.570000,-4.049911
3.300000,6.030000,6.333333,-9.400000,0.679494,8.810000,-4.074866
3.200000,6.130000,6.500000,-9.600000,0.695477,8.790000,-4.131907
3.200000,6.310000,6.666667,-9.400000,0.711572,8.830000,-4.206774
3.200000,6.530000,6.833333,-9.400000,0.727600,8.850000,-4.292335
3.100000,6.630000,7.000000,-9.800000,0.743650,8.830000,-4.315508
3.300000,6.830000,7.166667,-9.600000,0.759740,8.890000,-4.358289
3.400000,6.890000,7.333333,-9.400000,0.774856,8.930000,-4.415330
3.200000,7.190000,7.500000,-10.200000,0.791111,8.950000,-4.436720
3.000000,7.310000,7.666667,-9.800000,0.807299,8.910000,-4.459893
3.300000,7.530000,7.833333,-10.000000,0.823304,8.890000,-4.484848
3.300000,7.650000,8.000000,-9.800000,0.839306,8.870000,-4.500891
3.000000,7.770000,8.166667,-9.600000,0.861344,8.830000,-4.267380
3.300000,7.890000,8.333333,-9.200000,0.871312,8.850000,-4.463458
3.300000,8.090000,8.500000,-9.200000,0.887267,8.870000,-4.438503
3.300000,8.050000,8.666667,-9.400000,0.903294,8.790000,-4.404635
3.200000,8.470000,8.833333,-9.600000,0.928944,8.770000,-4.155080
3.300000,8.530000,9.000000,-9.800000,0.939723,8.870000,-4.506239
3.400000,8.710000,9.166667,-9.400000,0.950784,8.570000,-4.233512
3.300000,8.790000,9.333333,-9.600000,0.966840,8.550000,-4.178253
3.200000,8.710000,9.500000,-9.600000,0.982906,8.570000,-4.122995
3.400000,9.190000,9.666667,-9.400000,0.998971,8.570000,-4.076649
3.400000,9.330000,9.833333,-9.200000,1.015022,8.630000,-4.055258
3.500000,9.510000,10.000000,-9.600000,1.031031,8.690000,-4.040998
3.300000,9.770000,10.166667,-9.400000,1.047071,8.790000,-4.051693
3.600000,9.890000,10.333333,-9.400000,1.071195,8.850000,-4.449198
3.400000,9.950000,10.500000,-9.200000,1.081162,8.710000,-4.037433
3.400000,10.190000,10.666667,-9.600000,1.095126,8.810000,-4.224599
3.100000,10.430000,10.833333,-9.800000,1.111108,8.870000,-4.301248
3.400000,10.510000,11.000000,-9.400000,1.127121,8.870000,-4.335116
3.400000,10.650000,11.166667,-9.400000,1.143075,8.850000,-4.372549
3.300000,10.810000,11.333333,-9.400000,1.159808,8.870000,-4.372549
3.300000,10.970000,11.500000,-9.400000,1.174961,8.950000,-4.440285
3.100000,11.110000,11.666667,-9.600000,1.190969,8.930000,-4.461676
3.300000,11.350000,11.833333,-9.600000,1.207016,8.890000,-4.479501
3.300000,11.490000,12.000000,-9.400000,1.232204,8.650000,-4.057041
3.400000,11.510000,12.166667,-9.600000,1.242952,8.870000,-4.386809
3.300000,11.710000,12.333333,-9.000000,1.255030,8.870000,-4.465241
3.400000,11.830000,12.500000,-9.600000,1.270986,8.810000,-4.438503
3.100000,12.090000,12.666667,-9.400000,1.291039,8.950000,-4.468806
3.600000,12.150000,12.833333,-9.400000,1.303064,8.730000,-4.374332
3.300000,12.410000,13.000000,-9.400000,1.319048,8.750000,-4.335116
3.200000,12.550000,13.166667,-9.400000,1.335041,8.650000,-4.281640
3.300000,12.590000,13.333333,-9.800000,1.351049,8.550000,-4.235294
3.400000,12.890000,13.500000,-9.400000,1.367081,8.550000,-4.178253
3.300000,12.950000,13.666667,-9.600000,1.383067,8.570000,-4.114082
3.300000,13.210000,13.833333,-9.200000,1.399050,8.610000,-4.057041
