# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0105
# Tap_cm: 6.0
# Sample: PT_05
# Fit of Tap:
#	Ic = 54.8 +/- 0.0076 A
#	n = 163 +/- 7.4 
#	Vc = 6 uV
#	Vfloor = 3.56 +/- 0.019 uV
#	R = 0.00337 +/- 0.0006 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.400000,0.190000,0.000000,-10.000000,0.041425,8.870000,-4.270945
3.500000,0.270000,0.166667,-9.600000,0.051696,8.890000,-4.397504
3.600000,0.230000,0.333333,-9.400000,0.061096,8.790000,-4.010695
3.400000,0.390000,0.500000,-9.600000,0.075959,8.850000,-4.146168
3.600000,0.570000,0.666667,-10.800000,0.090642,8.830000,-4.295900
3.500000,0.730000,0.833333,-11.600000,0.105984,8.930000,-4.356506
3.600000,0.870000,1.000000,-11.800000,0.122298,8.930000,-4.379679
3.100000,1.030000,1.166667,-12.200000,0.137602,8.950000,-4.424242
3.600000,1.250000,1.333333,-12.200000,0.153898,8.930000,-4.427807
3.700000,1.290000,1.500000,-9.800000,0.171399,8.910000,-4.413547
3.300000,1.630000,1.666667,-9.600000,0.187859,8.930000,-4.429590
3.400000,1.870000,1.833333,-9.800000,0.204371,8.930000,-4.438503
3.200000,1.970000,2.000000,-9.800000,0.220437,8.910000,-4.463458
3.400000,2.210000,2.166667,-9.400000,0.241019,8.910000,-4.297683
3.700000,2.150000,2.333333,-9.600000,0.252003,8.850000,-4.408200
3.600000,2.730000,2.500000,-9.600000,0.267977,8.830000,-4.372549
3.500000,2.550000,2.666667,-9.400000,0.284002,8.770000,-4.354724
3.500000,2.770000,2.833333,-9.400000,0.300487,8.790000,-4.351159
3.500000,2.870000,3.000000,-9.600000,0.315791,8.690000,-4.258467
3.400000,3.030000,3.166667,-9.400000,0.340724,8.890000,-4.322638
3.600000,3.110000,3.333333,-9.600000,0.351007,8.770000,-4.379679
3.500000,3.310000,3.500000,-9.800000,0.365243,8.650000,-4.224599
3.700000,3.450000,3.666667,-9.600000,0.379572,8.630000,-4.032086
3.700000,3.670000,3.833333,-9.400000,0.396737,8.570000,-4.058824
3.400000,3.810000,4.000000,-9.400000,0.411646,8.710000,-4.007130
3.500000,4.030000,4.166667,-9.400000,0.435163,8.850000,-4.402852
3.400000,4.130000,4.333333,-9.800000,0.445486,8.770000,-4.016043
3.500000,4.290000,4.500000,-9.800000,0.460819,8.810000,-4.085561
3.600000,4.430000,4.666667,-9.800000,0.475594,8.830000,-4.240642
3.500000,4.610000,4.833333,-9.800000,0.492040,8.870000,-4.258467
3.400000,4.810000,5.000000,-9.200000,0.507538,8.830000,-4.317291
3.500000,4.890000,5.166667,-9.400000,0.524047,8.830000,-4.324421
3.700000,5.070000,5.333333,-9.400000,0.539661,8.910000,-4.374332
3.700000,5.350000,5.500000,-9.400000,0.556123,8.870000,-4.377897
3.300000,5.390000,5.666667,-9.600000,0.571630,8.930000,-4.422460
3.300000,5.550000,5.833333,-9.400000,0.588384,8.910000,-4.431373
3.600000,5.670000,6.000000,-9.600000,0.603883,8.830000,-4.468806
