# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0106
# Tap_cm: 6.0
# Sample: PT_06
# Fit of Tap:
#	Ic = 155 +/- 29 A
#	n = 30.3 +/- 37 
#	Vc = 6 uV
#	Vfloor = 1.38 +/- 0.01 uV
#	R = 0.00525 +/- 0.00015 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.200000,0.230000,0.000000,-11.800000,0.030755,8.810000,-4.258467
1.300000,0.290000,0.166667,-11.800000,0.051787,8.810000,-4.344029
1.200000,0.350000,0.333333,-11.600000,0.059398,8.810000,-4.144385
1.300000,0.530000,0.500000,-12.200000,0.072969,8.770000,-4.256684
1.200000,0.730000,0.666667,-12.400000,0.089582,8.770000,-4.265597
1.300000,0.890000,0.833333,-9.800000,0.117337,8.830000,-4.360071
1.400000,0.970000,1.000000,-9.800000,0.128185,8.750000,-4.167558
1.300000,1.050000,1.166667,-9.400000,0.139317,8.750000,-4.274510
1.500000,1.270000,1.333333,-9.400000,0.155410,8.830000,-4.288770
1.400000,1.490000,1.500000,-9.400000,0.171513,8.790000,-4.308378
1.100000,1.610000,1.666667,-9.800000,0.187669,8.750000,-4.315508
1.400000,1.830000,1.833333,-9.800000,0.214733,8.850000,-4.272727
1.100000,1.870000,2.000000,-9.600000,0.226022,8.810000,-4.158645
1.300000,2.050000,2.166667,-10.000000,0.237285,8.790000,-4.329768
1.100000,2.190000,2.333333,-9.800000,0.252020,8.830000,-4.363636
1.400000,2.470000,2.500000,-9.200000,0.268157,8.870000,-4.365419
1.400000,2.610000,2.666667,-9.600000,0.284194,8.850000,-4.351159
1.300000,2.630000,2.833333,-9.400000,0.300152,8.830000,-4.345811
1.300000,2.830000,3.000000,-9.200000,0.316159,8.790000,-4.335116
1.300000,3.010000,3.166667,-9.400000,0.331995,8.790000,-4.301248
1.300000,3.190000,3.333333,-9.200000,0.348157,8.810000,-4.288770
1.300000,3.370000,3.500000,-9.600000,0.364334,8.830000,-4.285205
1.600000,3.410000,3.666667,-9.800000,0.380053,8.750000,-4.238859
1.100000,3.650000,3.833333,-9.400000,0.397035,8.770000,-4.244207
1.400000,3.870000,4.000000,-9.400000,0.433910,8.910000,-4.358289
1.300000,3.990000,4.166667,-9.400000,0.450252,8.810000,-4.345811
1.400000,4.170000,4.333333,-9.200000,0.466295,8.770000,-4.336898
1.400000,4.290000,4.500000,-9.400000,0.482795,8.870000,-4.335116
1.200000,4.490000,4.666667,-9.600000,0.498029,8.850000,-4.292335
1.200000,4.670000,4.833333,-9.600000,0.514136,8.790000,-4.269162
1.200000,4.770000,5.000000,-9.600000,0.530207,8.790000,-4.240642
1.700000,4.890000,5.166667,-9.800000,0.546314,8.770000,-4.213904
1.600000,5.030000,5.333333,-9.600000,0.562548,8.770000,-4.190731
1.400000,5.250000,5.500000,-9.400000,0.578675,8.730000,-4.174688
1.500000,5.410000,5.666667,-9.400000,0.593833,8.750000,-4.155080
1.300000,5.630000,5.833333,-9.400000,0.614179,8.750000,-4.265597
1.400000,5.690000,6.000000,-9.400000,0.626306,8.750000,-4.158645
1.300000,5.890000,6.166667,-9.600000,0.642486,8.790000,-4.181818
1.300000,5.990000,6.333333,-9.400000,0.658690,8.750000,-4.201426
1.300000,6.230000,6.500000,-9.200000,0.673828,8.770000,-4.269162
1.200000,6.330000,6.666667,-9.600000,0.690033,8.750000,-4.290553
1.400000,6.570000,6.833333,-9.200000,0.719264,8.750000,-4.385027
1.300000,6.570000,7.000000,-9.600000,0.731060,8.770000,-4.276292
1.200000,6.710000,7.166667,-9.600000,0.741623,8.690000,-4.235294
1.500000,6.930000,7.333333,-9.400000,0.753917,8.810000,-4.356506
1.200000,7.170000,7.500000,-9.600000,0.770340,8.770000,-4.368984
1.200000,7.330000,7.666667,-9.600000,0.787066,8.770000,-4.372549
1.400000,7.490000,7.833333,-9.600000,0.803355,8.770000,-4.377897
