# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0108
# Tap_cm: 6.0
# Sample: PT_08
# Fit of Tap:
#	Ic = 648 A
#	n = 50 
#	Vc = 6 uV
#	Vfloor = 1.25 uV
#	R = 7.72 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.000000,0.270000,0.000000,-12.000000,0.038804,8.770000,-4.180036
0.700000,0.270000,0.166667,-12.200000,0.061283,8.730000,-4.356506
0.700000,0.410000,0.333333,-12.200000,0.077519,8.790000,-4.347594
0.700000,0.530000,0.500000,-11.800000,0.093521,8.850000,-4.352941
0.800000,0.630000,0.666667,-9.400000,0.111572,8.770000,-4.354724
0.700000,0.870000,0.833333,-9.600000,0.127613,8.830000,-4.345811
0.900000,1.010000,1.000000,-9.400000,0.143623,8.770000,-4.329768
1.000000,1.150000,1.166667,-9.200000,0.159599,8.790000,-4.311943
0.800000,1.330000,1.333333,-9.200000,0.175614,8.830000,-4.288770
1.000000,1.450000,1.500000,-9.400000,0.191615,8.770000,-4.269162
0.700000,1.630000,1.666667,-9.200000,0.207585,8.730000,-4.240642
0.900000,1.850000,1.833333,-9.200000,0.232192,8.810000,-4.279857
0.800000,1.810000,2.000000,-9.600000,0.242855,8.870000,-4.295900
0.900000,1.990000,2.166667,-9.200000,0.256222,8.770000,-4.183601
0.700000,2.290000,2.333333,-10.400000,0.282219,8.810000,-4.279857
0.800000,2.350000,2.500000,-9.600000,0.293393,8.810000,-4.313725
0.800000,2.490000,2.666667,-9.600000,0.303822,8.830000,-4.133690
0.800000,2.730000,2.833333,-9.200000,0.320521,8.790000,-4.139037
0.900000,2.850000,3.000000,-9.600000,0.336314,8.810000,-4.149733
0.900000,2.990000,3.166667,-9.600000,0.352306,8.810000,-4.162210
0.600000,3.150000,3.333333,-9.400000,0.367351,8.750000,-4.229947
0.800000,3.350000,3.500000,-9.800000,0.383339,8.730000,-4.233512
0.800000,3.530000,3.666667,-9.600000,0.399509,8.730000,-4.245989
0.900000,3.630000,3.833333,-10.000000,0.415573,8.750000,-4.249554
0.700000,3.890000,4.000000,-9.600000,0.440974,8.750000,-4.269162
0.800000,3.930000,4.166667,-9.600000,0.451196,8.770000,-4.190731
0.600000,4.090000,4.333333,-10.000000,0.463468,8.810000,-4.295900
0.800000,4.370000,4.500000,-9.800000,0.479525,8.750000,-4.313725
0.800000,4.470000,4.666667,-9.800000,0.495591,8.730000,-4.304813
1.000000,4.650000,4.833333,-9.800000,0.516322,8.730000,-4.219251
0.800000,4.770000,5.000000,-9.800000,0.528315,8.790000,-4.311943
0.900000,4.910000,5.166667,-9.800000,0.544354,8.850000,-4.315508
0.900000,5.050000,5.333333,-9.200000,0.559491,8.870000,-4.308378
0.800000,5.310000,5.500000,-9.600000,0.584654,8.750000,-4.185383
0.600000,5.370000,5.666667,-9.800000,0.595449,8.770000,-4.319073
0.900000,5.530000,5.833333,-9.600000,0.607565,8.810000,-4.267380
0.800000,5.730000,6.000000,-9.600000,0.623580,8.790000,-4.245989
0.600000,5.910000,6.166667,-9.800000,0.640383,8.810000,-4.253119
0.600000,6.050000,6.333333,-9.200000,0.660919,8.850000,-4.327986
1.000000,6.090000,6.500000,-9.600000,0.671509,8.750000,-4.190731
1.000000,6.310000,6.666667,-9.600000,0.687201,8.790000,-4.181818
0.600000,6.530000,6.833333,-9.800000,0.706237,8.790000,-4.245989
0.600000,6.690000,7.000000,-9.800000,0.719705,8.730000,-4.172906
0.700000,6.850000,7.166667,-9.600000,0.735647,8.730000,-4.171123
0.700000,7.010000,7.333333,-10.000000,0.751799,8.730000,-4.165775
0.800000,7.110000,7.500000,-9.400000,0.768628,8.810000,-4.169340
0.600000,7.250000,7.666667,-9.400000,0.783092,8.770000,-4.221034
0.900000,7.410000,7.833333,-9.600000,0.798930,8.710000,-4.251337
0.800000,7.670000,8.000000,-9.400000,0.815012,8.750000,-4.267380
0.800000,7.770000,8.166667,-9.400000,0.830957,8.770000,-4.279857
0.700000,7.950000,8.333333,-9.400000,0.846906,8.750000,-4.299465
0.800000,8.150000,8.500000,-9.800000,0.876564,8.850000,-4.333333
0.900000,8.330000,8.666667,-9.600000,0.891370,8.810000,-4.295900
0.800000,8.350000,8.833333,-9.400000,0.901567,8.730000,-4.187166
0.900000,8.510000,9.000000,-9.600000,0.910930,8.870000,-4.335116
0.700000,8.750000,9.166667,-9.800000,0.927711,8.810000,-4.333333
0.900000,8.850000,9.333333,-9.200000,0.943225,8.910000,-4.327986
0.900000,9.010000,9.500000,-9.600000,0.959834,8.830000,-4.320856
0.900000,9.150000,9.666667,-9.400000,0.975706,8.810000,-4.295900
0.800000,9.250000,9.833333,-9.800000,0.992132,8.750000,-4.278075
0.800000,9.490000,10.000000,-9.800000,1.006660,8.770000,-4.206774
0.700000,9.690000,10.166667,-9.400000,1.023199,8.790000,-4.196078
1.000000,9.810000,10.333333,-9.400000,1.038613,8.830000,-4.163993
1.000000,9.970000,10.500000,-9.400000,1.055107,8.770000,-4.160428
1.000000,10.190000,10.666667,-9.800000,1.075018,8.830000,-4.276292
0.900000,10.270000,10.833333,-9.600000,1.087517,8.830000,-4.155080
0.800000,10.490000,11.000000,-9.400000,1.102991,8.850000,-4.172906
0.800000,10.630000,11.166667,-9.400000,1.119388,8.870000,-4.176471
0.900000,10.830000,11.333333,-9.800000,1.134863,8.830000,-4.208556
1.000000,10.990000,11.500000,-9.400000,1.151265,8.810000,-4.219251
0.900000,11.210000,11.666667,-9.400000,1.176368,8.870000,-4.311943
0.800000,11.270000,11.833333,-9.400000,1.186473,8.750000,-4.165775
1.000000,11.390000,12.000000,-9.800000,1.199029,8.750000,-4.272727
0.700000,11.590000,12.166667,-9.400000,1.215458,8.750000,-4.262032
1.000000,11.750000,12.333333,-9.400000,1.230855,8.790000,-4.292335
0.700000,11.870000,12.500000,-9.200000,1.247381,8.770000,-4.297683
1.100000,12.130000,12.666667,-9.600000,1.272169,8.770000,-4.203209
1.000000,12.150000,12.833333,-9.400000,1.281577,8.810000,-4.265597
0.800000,12.370000,13.000000,-9.400000,1.295164,8.830000,-4.322638
0.700000,12.530000,13.166667,-9.800000,1.311574,8.810000,-4.324421
1.100000,12.710000,13.333333,-9.600000,1.327090,8.890000,-4.336898
1.000000,12.890000,13.500000,-9.400000,1.343516,8.890000,-4.336898
0.900000,13.010000,13.666667,-9.400000,1.358994,8.850000,-4.303030
0.800000,13.190000,13.833333,-9.400000,1.375391,8.810000,-4.303030
0.900000,13.290000,14.000000,-9.200000,1.390855,8.850000,-4.265597
0.700000,13.490000,14.166667,-9.600000,1.407247,8.850000,-4.260250
0.800000,13.650000,14.333333,-9.200000,1.422685,8.810000,-4.221034
0.900000,13.850000,14.500000,-9.600000,1.439138,8.810000,-4.217469
1.000000,13.990000,14.666667,-9.600000,1.455770,8.770000,-4.203209
0.500000,14.230000,14.833333,-9.600000,1.490866,8.810000,-4.254902
0.800000,14.310000,15.000000,-10.000000,1.506588,8.830000,-4.228164
1.000000,14.390000,15.166667,-9.400000,1.522124,8.770000,-4.183601
1.000000,14.570000,15.333333,-9.600000,1.538579,8.850000,-4.180036
0.800000,14.770000,15.500000,-9.200000,1.554123,8.810000,-4.149733
0.900000,14.910000,15.666667,-9.400000,1.570539,8.830000,-4.147950
0.900000,15.090000,15.833333,-9.200000,1.587025,8.810000,-4.133690
0.900000,15.270000,16.000000,-9.800000,1.602435,8.790000,-4.156863
0.700000,15.430000,16.166667,-9.800000,1.618910,8.810000,-4.156863
0.900000,15.610000,16.333333,-9.400000,1.634309,8.810000,-4.226381
0.700000,15.710000,16.500000,-9.600000,1.650959,8.790000,-4.228164
0.900000,15.970000,16.666667,-9.200000,1.672540,8.710000,-4.140820
0.800000,15.970000,16.833333,-9.800000,1.682350,8.830000,-4.274510
0.700000,16.150000,17.000000,-9.400000,1.699020,8.770000,-4.292335
0.700000,16.350000,17.166667,-9.600000,1.714458,8.810000,-4.322638
0.600000,16.550000,17.333333,-9.400000,1.730895,8.870000,-4.333333
0.700000,16.630000,17.500000,-9.600000,1.746645,8.790000,-4.322638
0.900000,16.890000,17.666667,-9.800000,1.776032,8.870000,-4.283422
1.200000,16.990000,17.833333,-9.400000,1.786402,8.750000,-4.147950
0.800000,17.030000,18.000000,-9.800000,1.796083,8.750000,-4.303030
0.800000,17.250000,18.166667,-9.400000,1.810593,8.790000,-4.319073
0.800000,17.490000,18.333333,-9.600000,1.826651,8.830000,-4.310160
1.100000,17.590000,18.500000,-9.400000,1.842643,8.830000,-4.288770
