# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0106 T2
# Tap_cm: 6.0
# Sample: PT_05
# Fit of Tap:
#	Ic = 53 +/- 33 A
#	n = 6.39 +/- 6.8 
#	Vc = 6 uV
#	Vfloor = -0.899 +/- 0.027 uV
#	R = 0.00425 +/- 0.0029 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
-0.900000,0.250000,0.000000,-12.000000,0.041816,9.030000,-4.461676
-0.800000,0.270000,0.166667,-11.800000,0.065183,8.770000,-4.051693
-1.000000,0.370000,0.333333,-9.800000,0.083478,8.650000,-4.106952
-0.800000,0.570000,0.500000,-9.800000,0.099037,8.690000,-4.042781
-0.600000,0.710000,0.666667,-9.400000,0.115257,8.750000,-4.035651
-1.100000,0.810000,0.833333,-9.600000,0.130831,8.830000,-4.053476
-0.800000,1.030000,1.000000,-9.800000,0.147231,8.850000,-4.071301
-0.900000,1.150000,1.166667,-9.800000,0.162712,8.930000,-4.185383
-0.800000,1.290000,1.333333,-9.600000,0.179119,8.930000,-4.224599
-0.900000,1.450000,1.500000,-9.600000,0.194492,8.950000,-4.351159
-0.700000,1.650000,1.666667,-9.800000,0.217272,8.630000,-4.130125
-1.000000,1.690000,1.833333,-9.400000,0.226672,9.010000,-4.418895
-0.800000,1.910000,2.000000,-9.600000,0.243135,8.990000,-4.431373
-0.800000,2.090000,2.166667,-9.400000,0.258513,8.990000,-4.475936
-1.000000,2.230000,2.333333,-9.400000,0.274957,8.990000,-4.483066
-1.000000,2.450000,2.500000,-9.400000,0.291362,8.950000,-4.491979
-0.900000,2.570000,2.666667,-9.800000,0.316196,8.670000,-4.069519
-1.000000,2.770000,2.833333,-9.400000,0.330982,8.810000,-4.073084
-1.000000,2.810000,3.000000,-9.800000,0.341107,8.930000,-4.499109
-0.900000,2.950000,3.166667,-9.400000,0.354524,8.850000,-4.395722
-1.000000,3.170000,3.333333,-9.400000,0.371070,8.810000,-4.390374
-0.900000,3.370000,3.500000,-9.200000,0.386518,8.790000,-4.319073
-0.900000,3.450000,3.666667,-9.200000,0.402998,8.750000,-4.299465
-0.800000,3.690000,3.833333,-9.600000,0.422234,8.870000,-4.452763
-1.000000,3.830000,4.000000,-9.400000,0.434814,8.650000,-4.183601
-1.000000,4.010000,4.166667,-9.600000,0.451295,8.630000,-4.169340
-0.800000,4.170000,4.333333,-9.600000,0.466707,8.670000,-4.078431
-1.000000,4.230000,4.500000,-9.600000,0.482898,8.670000,-4.040998
-0.900000,4.450000,4.666667,-9.400000,0.499339,8.710000,-4.039216
-0.800000,4.630000,4.833333,-9.400000,0.514784,8.810000,-4.040998
-0.800000,4.850000,5.000000,-9.400000,0.531187,8.890000,-4.062389
-1.000000,4.930000,5.166667,-9.400000,0.546551,8.910000,-4.160428
-0.800000,5.110000,5.333333,-9.800000,0.563020,8.990000,-4.201426
-1.200000,5.230000,5.500000,-9.600000,0.578409,9.010000,-4.351159
-1.000000,5.410000,5.666667,-9.800000,0.594847,8.990000,-4.347594
-0.900000,5.630000,5.833333,-9.400000,0.635418,8.710000,-4.219251
-0.800000,5.770000,6.000000,-9.600000,0.652032,8.690000,-4.219251
-0.900000,5.830000,6.166667,-9.400000,0.667449,8.670000,-4.121212
-0.900000,6.070000,6.333333,-9.600000,0.683895,8.690000,-4.106952
-0.800000,6.150000,6.500000,-9.200000,0.699298,8.770000,-4.048128
-0.900000,6.370000,6.666667,-9.600000,0.715736,8.730000,-4.039216
-0.900000,6.490000,6.833333,-9.400000,0.732121,8.770000,-4.046346
-0.900000,6.650000,7.000000,-9.400000,0.747540,8.850000,-4.081996
-0.900000,6.850000,7.166667,-9.200000,0.763974,8.930000,-4.094474
-0.800000,7.010000,7.333333,-9.600000,0.779361,8.950000,-4.238859
-0.800000,7.170000,7.500000,-9.800000,0.795731,8.950000,-4.279857
-0.700000,7.350000,7.666667,-9.600000,0.820127,8.750000,-4.303030
-1.000000,7.410000,7.833333,-9.600000,0.829519,8.950000,-4.222816
-0.700000,7.630000,8.000000,-9.600000,0.844023,9.010000,-4.402852
-0.900000,7.830000,8.166667,-9.400000,0.859753,9.010000,-4.456328
-1.100000,8.010000,8.333333,-9.800000,0.875289,9.050000,-4.486631
-1.100000,8.110000,8.500000,-9.400000,0.891831,8.990000,-4.481283
-0.600000,8.310000,8.666667,-9.600000,0.921133,8.850000,-4.360071
-1.000000,8.390000,8.833333,-9.800000,0.931247,8.850000,-4.069519
-0.900000,8.550000,9.000000,-9.600000,0.940614,8.910000,-4.497326
-1.100000,8.690000,9.166667,-9.600000,0.956034,8.890000,-4.442068
-0.800000,8.830000,9.333333,-9.400000,0.971430,8.870000,-4.365419
-0.800000,9.010000,9.500000,-9.200000,0.987909,8.850000,-4.358289
-0.500000,9.190000,9.666667,-9.400000,1.003345,8.750000,-4.288770
-0.800000,9.370000,9.833333,-9.400000,1.026897,8.950000,-4.431373
-0.700000,9.410000,10.000000,-9.400000,1.036317,8.710000,-4.267380
-0.900000,9.670000,10.166667,-9.400000,1.051789,8.650000,-4.183601
-0.800000,9.790000,10.333333,-9.600000,1.067211,8.670000,-4.089127
-0.800000,9.950000,10.500000,-10.000000,1.083622,8.690000,-4.069519
-1.000000,10.170000,10.666667,-9.400000,1.100437,8.670000,-4.080214
-0.900000,10.350000,10.833333,-9.400000,1.116191,8.730000,-4.049911
-0.800000,10.490000,11.000000,-9.400000,1.131784,8.810000,-4.055258
-0.800000,10.670000,11.166667,-9.800000,1.147223,8.950000,-4.124777
