# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0106 T2
# Tap_cm: 6.0
# Sample: PT_05
# Fit of Tap:
#	Ic = 85.3 +/- 2.4 A
#	n = 62.9 +/- 34 
#	Vc = 6 uV
#	Vfloor = -1.37 +/- 0.017 uV
#	R = 0.00225 +/- 0.00038 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
-1.600000,0.270000,0.000000,-11.800000,0.043593,8.870000,-4.101604
-1.700000,0.290000,0.166667,-12.200000,0.064625,8.690000,-4.167558
-1.400000,0.430000,0.333333,-11.800000,0.075295,8.910000,-4.292335
-1.500000,0.630000,0.500000,-11.800000,0.091963,8.710000,-4.303030
-1.500000,0.670000,0.666667,-12.000000,0.107668,8.930000,-4.360071
-1.600000,0.930000,0.833333,-10.800000,0.126633,8.870000,-4.183601
-1.700000,1.030000,1.000000,-9.400000,0.141985,8.970000,-4.335116
-1.500000,1.190000,1.166667,-9.800000,0.157656,8.930000,-4.383244
-1.500000,1.270000,1.333333,-9.400000,0.174779,8.950000,-4.374332
-1.500000,1.470000,1.500000,-9.400000,0.190581,8.950000,-4.397504
-1.300000,1.590000,1.666667,-9.600000,0.206279,9.010000,-4.434938
-1.800000,1.750000,1.833333,-9.600000,0.222092,8.970000,-4.465241
-1.500000,1.930000,2.000000,-9.800000,0.246910,8.690000,-4.048128
-1.500000,2.030000,2.166667,-9.400000,0.257590,8.970000,-4.376114
-1.400000,2.210000,2.333333,-9.400000,0.270049,8.910000,-4.474153
-1.300000,2.410000,2.500000,-9.400000,0.285622,8.890000,-4.406417
-1.500000,2.550000,2.666667,-9.400000,0.301836,8.850000,-4.383244
-1.600000,2.730000,2.833333,-9.400000,0.318537,8.830000,-4.377897
-1.500000,2.830000,3.000000,-9.400000,0.333682,8.710000,-4.290553
-1.500000,3.030000,3.166667,-9.600000,0.349884,8.750000,-4.260250
-1.600000,3.210000,3.333333,-9.400000,0.366014,8.670000,-4.215686
-1.500000,3.350000,3.500000,-9.200000,0.382153,8.650000,-4.181818
-1.400000,3.490000,3.666667,-9.800000,0.398250,8.610000,-4.140820
-1.700000,3.690000,3.833333,-9.800000,0.427654,8.890000,-4.092692
-1.600000,3.750000,4.000000,-9.800000,0.438645,8.970000,-4.477718
-1.800000,3.970000,4.166667,-9.200000,0.461188,8.910000,-4.090909
-1.500000,4.070000,4.333333,-9.400000,0.471275,8.910000,-4.509804
-1.700000,4.250000,4.500000,-9.600000,0.481609,8.610000,-4.147950
-1.600000,4.410000,4.666667,-9.400000,0.494120,8.910000,-4.130125
