# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0107 T2
# Tap_cm: 5.0
# Sample: PT_06
# Fit of Tap:
#	Ic = 132 +/- 0.26 A
#	n = 52.4 +/- 5.1 
#	Vc = 5 uV
#	Vfloor = -0.851 +/- 0.027 uV
#	R = 0.15 +/- 0.00038 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
-1.000000,0.210000,0.000000,-12.200000,0.038833,8.830000,-4.329768
-0.800000,0.350000,0.166667,-11.800000,0.059200,8.910000,-4.404635
-1.000000,0.350000,0.333333,-12.200000,0.074893,8.850000,-4.422460
-1.200000,0.550000,0.500000,-9.600000,0.093745,8.870000,-4.386809
-0.800000,0.670000,0.666667,-9.800000,0.109800,8.890000,-4.404635
-0.800000,0.850000,0.833333,-9.600000,0.125922,8.890000,-4.417112
-0.900000,1.010000,1.000000,-10.000000,0.141922,8.850000,-4.426025
-0.800000,1.130000,1.166667,-9.600000,0.156974,8.830000,-4.390374
-1.100000,1.330000,1.333333,-9.400000,0.182287,8.850000,-4.139037
-0.800000,1.370000,1.500000,-9.400000,0.192978,8.950000,-4.429590
-0.800000,1.610000,1.666667,-9.400000,0.216590,8.810000,-4.117647
-0.900000,1.670000,1.833333,-9.400000,0.226642,8.890000,-4.420677
-0.900000,1.870000,2.000000,-9.400000,0.237612,8.790000,-4.263815
-1.000000,2.090000,2.166667,-9.600000,0.253593,8.730000,-4.231729
-0.900000,2.190000,2.333333,-9.400000,0.269612,8.790000,-4.197861
-0.600000,2.390000,2.500000,-9.400000,0.285623,8.690000,-4.169340
-0.700000,2.610000,2.666667,-10.200000,0.301950,8.690000,-4.144385
-0.700000,2.710000,2.833333,-9.400000,0.317245,8.810000,-4.115865
-0.700000,2.890000,3.000000,-9.400000,0.333352,8.790000,-4.112299
-0.800000,2.990000,3.166667,-9.400000,0.349356,8.770000,-4.119430
-1.000000,3.210000,3.333333,-9.800000,0.365389,8.830000,-4.153298
-1.100000,3.370000,3.500000,-9.400000,0.381389,8.870000,-4.203209
-1.000000,3.530000,3.666667,-9.600000,0.403601,8.770000,-4.242424
-1.000000,3.630000,3.833333,-9.800000,0.413608,8.830000,-4.297683
-0.900000,3.830000,4.000000,-9.800000,0.429592,8.850000,-4.327986
-0.800000,3.970000,4.166667,-9.800000,0.445668,8.890000,-4.352941
-0.900000,4.130000,4.333333,-9.600000,0.462671,8.870000,-4.335116
-0.900000,4.330000,4.500000,-9.400000,0.488251,8.790000,-4.299465
-0.900000,4.410000,4.666667,-9.400000,0.499108,8.850000,-4.171123
-0.900000,4.570000,4.833333,-9.800000,0.509121,8.850000,-4.415330
-1.000000,4.810000,5.000000,-9.800000,0.525120,8.870000,-4.417112
-0.900000,4.910000,5.166667,-9.400000,0.541187,8.810000,-4.404635
-0.700000,5.090000,5.333333,-9.400000,0.557211,8.790000,-4.390374
