# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0107 T2
# Tap_cm: 5.0
# Sample: PT_06
# Fit of Tap:
#	Ic = 175 +/- 0.039 A
#	n = 41.9 +/- 0.79 
#	Vc = 5 uV
#	Vfloor = -1.24 +/- 0.013 uV
#	R = 0.0001 +/- 2.3e-07 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
-1.300000,0.210000,0.000000,-9.400000,0.030712,8.850000,-4.260250
-1.100000,0.270000,0.166667,-9.800000,0.043361,8.850000,-4.081996
-1.200000,0.350000,0.333333,-11.800000,0.057711,8.930000,-4.171123
-1.300000,0.630000,0.500000,-12.000000,0.074012,8.910000,-4.199643
-1.300000,0.710000,0.666667,-12.000000,0.090851,8.910000,-4.188948
-1.400000,0.810000,0.833333,-12.200000,0.105771,8.910000,-4.315508
-1.400000,1.050000,1.000000,-12.000000,0.122160,8.930000,-4.333333
-1.100000,1.190000,1.166667,-11.800000,0.137446,8.970000,-4.377897
-1.400000,1.290000,1.333333,-9.600000,0.155709,8.910000,-4.335116
-1.400000,1.470000,1.500000,-9.800000,0.172116,8.950000,-4.342246
-1.200000,1.570000,1.666667,-9.400000,0.187589,8.950000,-4.385027
-1.100000,1.790000,1.833333,-9.400000,0.214592,8.810000,-4.278075
-1.300000,1.890000,2.000000,-9.600000,0.224017,8.870000,-4.213904
-1.400000,2.010000,2.166667,-9.400000,0.235516,8.910000,-4.422460
-1.300000,2.310000,2.333333,-9.800000,0.252026,8.890000,-4.411765
-1.400000,2.450000,2.500000,-9.800000,0.267577,8.890000,-4.415330
-1.400000,2.610000,2.666667,-9.400000,0.284071,8.830000,-4.402852
-1.200000,2.650000,2.833333,-9.600000,0.299565,8.830000,-4.358289
-1.400000,2.850000,3.000000,-9.800000,0.316001,8.870000,-4.342246
-1.100000,3.070000,3.166667,-9.200000,0.331509,8.810000,-4.272727
-1.300000,3.210000,3.333333,-9.800000,0.347931,8.790000,-4.281640
-1.100000,3.370000,3.500000,-9.400000,0.363423,8.750000,-4.217469
-1.300000,3.410000,3.666667,-9.600000,0.379860,8.690000,-4.210339
-1.300000,3.710000,3.833333,-9.400000,0.406138,8.910000,-4.306595
-1.200000,3.890000,4.000000,-9.400000,0.426147,8.810000,-4.114082
-1.200000,3.910000,4.166667,-9.400000,0.435673,8.830000,-4.420677
-1.300000,4.070000,4.333333,-9.800000,0.445121,8.690000,-4.128342
-1.200000,4.310000,4.500000,-9.800000,0.459599,8.770000,-4.115865
-1.400000,4.510000,4.666667,-9.200000,0.476010,8.830000,-4.121212
-1.200000,4.610000,4.833333,-9.600000,0.491504,8.890000,-4.181818
-1.300000,4.790000,5.000000,-9.400000,0.508025,8.870000,-4.188948
-1.400000,4.930000,5.166667,-9.600000,0.523617,8.910000,-4.272727
-1.500000,5.070000,5.333333,-9.600000,0.540054,8.850000,-4.283422
-1.500000,5.210000,5.500000,-9.400000,0.555575,8.910000,-4.340463
-1.100000,5.410000,5.666667,-9.600000,0.572024,8.930000,-4.349376
-1.400000,5.530000,5.833333,-9.400000,0.594367,8.830000,-4.105169
-1.600000,5.670000,6.000000,-9.600000,0.603791,8.930000,-4.406417
-1.400000,5.870000,6.166667,-9.400000,0.620317,8.950000,-4.409982
-1.300000,6.050000,6.333333,-9.600000,0.635745,8.850000,-4.434938
-1.500000,6.230000,6.500000,-9.400000,0.652150,8.850000,-4.434938
-1.300000,6.330000,6.666667,-9.400000,0.667605,8.830000,-4.411765
-1.300000,6.570000,6.833333,-9.600000,0.695870,8.690000,-4.156863
-1.300000,6.610000,7.000000,-9.800000,0.706004,8.910000,-4.331551
-1.100000,6.750000,7.166667,-9.000000,0.715473,8.890000,-4.317291
-1.200000,7.010000,7.333333,-9.200000,0.731895,8.850000,-4.303030
-1.400000,7.150000,7.500000,-9.800000,0.747429,8.690000,-4.235294
-1.100000,7.290000,7.666667,-9.200000,0.764515,8.830000,-4.267380
-1.400000,7.490000,7.833333,-9.600000,0.780043,8.710000,-4.203209
-1.400000,7.630000,8.000000,-9.800000,0.802601,8.830000,-4.438503
-1.200000,7.710000,8.166667,-9.600000,0.812029,8.730000,-4.142602
-1.000000,7.930000,8.333333,-9.400000,0.827538,8.770000,-4.103387
-1.200000,8.050000,8.500000,-9.400000,0.843962,8.770000,-4.110517
-1.400000,8.270000,8.666667,-9.400000,0.859463,8.830000,-4.124777
-1.100000,8.430000,8.833333,-9.400000,0.875878,8.890000,-4.135472
-1.000000,8.570000,9.000000,-9.400000,0.892355,8.850000,-4.144385
-1.300000,8.710000,9.166667,-9.600000,0.907799,8.870000,-4.229947
-1.300000,8.890000,9.333333,-9.800000,0.924304,8.850000,-4.235294
-1.200000,9.010000,9.500000,-9.600000,0.939739,8.890000,-4.315508
-1.300000,9.210000,9.666667,-9.400000,0.956183,8.910000,-4.324421
-1.200000,9.310000,9.833333,-9.800000,0.971658,8.930000,-4.374332
-1.300000,9.590000,10.000000,-9.600000,1.008400,8.830000,-4.192513
-1.100000,9.690000,10.166667,-9.800000,1.024064,8.890000,-4.278075
-1.200000,9.830000,10.333333,-9.600000,1.040543,8.910000,-4.301248
-1.400000,10.010000,10.500000,-9.600000,1.056978,8.890000,-4.311943
-1.200000,10.190000,10.666667,-9.400000,1.072497,8.910000,-4.365419
-1.300000,10.350000,10.833333,-9.400000,1.088926,8.910000,-4.358289
-1.400000,10.470000,11.000000,-9.600000,1.104457,8.910000,-4.402852
-1.200000,10.630000,11.166667,-9.400000,1.120871,8.890000,-4.417112
-1.500000,10.810000,11.333333,-9.400000,1.136380,8.870000,-4.445633
-1.300000,11.010000,11.500000,-9.600000,1.152790,8.910000,-4.449198
-1.300000,11.150000,11.666667,-10.000000,1.168276,8.850000,-4.431373
-1.200000,11.310000,11.833333,-10.000000,1.193795,8.830000,-4.126560
-1.000000,11.310000,12.000000,-9.600000,1.203350,8.870000,-4.434938
-1.500000,11.550000,12.166667,-9.600000,1.216786,8.830000,-4.367201
-1.200000,11.710000,12.333333,-9.400000,1.232218,8.810000,-4.313725
-1.300000,11.930000,12.500000,-9.600000,1.248716,8.690000,-4.297683
-1.300000,12.110000,12.666667,-9.400000,1.264346,8.750000,-4.242424
-1.400000,12.330000,12.833333,-9.400000,1.280815,8.710000,-4.235294
