# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0108 T2
# Tap_cm: 5.0
# Sample: PT_07
# Fit of Tap:
#	Ic = 174 +/- 15 A
#	n = 33.8 +/- 24 
#	Vc = 5 uV
#	Vfloor = 0.337 +/- 0.0097 uV
#	R = 0.00212 +/- 0.00012 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.300000,0.230000,0.000000,-12.000000,0.031076,8.770000,-4.176471
0.200000,0.270000,0.166667,-11.800000,0.061688,8.830000,-4.295900
0.200000,0.330000,0.333333,-12.000000,0.077903,8.870000,-4.294118
0.100000,0.510000,0.500000,-12.400000,0.094450,8.610000,-4.310160
0.100000,0.670000,0.666667,-9.400000,0.111613,8.830000,-4.295900
0.300000,0.790000,0.833333,-9.600000,0.127761,8.850000,-4.313725
0.100000,0.990000,1.000000,-9.400000,0.143873,8.850000,-4.329768
0.300000,1.210000,1.166667,-9.200000,0.160052,8.830000,-4.331551
0.100000,1.330000,1.333333,-9.600000,0.176194,8.830000,-4.344029
0.000000,1.450000,1.500000,-9.400000,0.192300,8.850000,-4.354724
0.300000,1.590000,1.666667,-9.400000,0.207468,8.850000,-4.347594
0.300000,1.770000,1.833333,-9.400000,0.232388,8.830000,-4.153298
0.000000,1.890000,2.000000,-9.800000,0.242465,8.890000,-4.354724
0.400000,2.010000,2.166667,-9.200000,0.255580,8.830000,-4.322638
0.400000,2.250000,2.333333,-9.600000,0.271714,8.870000,-4.286988
0.200000,2.390000,2.500000,-9.400000,0.287801,8.870000,-4.263815
0.200000,2.530000,2.666667,-9.400000,0.304012,8.850000,-4.254902
0.000000,2.730000,2.833333,-9.200000,0.320879,8.830000,-4.262032
0.300000,2.950000,3.000000,-9.800000,0.346392,8.890000,-4.254902
0.100000,3.010000,3.166667,-9.400000,0.357306,8.830000,-4.351159
0.100000,3.090000,3.333333,-9.200000,0.367433,8.750000,-4.155080
0.200000,3.290000,3.500000,-9.200000,0.383522,8.790000,-4.146168
0.300000,3.530000,3.666667,-9.400000,0.399661,8.810000,-4.144385
0.100000,3.630000,3.833333,-9.400000,0.415821,8.890000,-4.153298
0.300000,3.890000,4.000000,-9.400000,0.440260,8.850000,-4.345811
0.200000,3.910000,4.166667,-9.400000,0.450317,8.770000,-4.149733
0.300000,4.130000,4.333333,-9.800000,0.463438,8.810000,-4.229947
0.200000,4.290000,4.500000,-9.400000,0.479565,8.830000,-4.256684
0.200000,4.470000,4.666667,-9.200000,0.495753,8.830000,-4.270945
0.100000,4.630000,4.833333,-9.400000,0.512391,8.890000,-4.270945
0.100000,4.790000,5.000000,-9.200000,0.527645,8.870000,-4.324421
0.300000,4.910000,5.166667,-9.600000,0.543726,8.830000,-4.340463
0.100000,5.130000,5.333333,-9.400000,0.560195,8.850000,-4.338681
0.000000,5.250000,5.500000,-9.400000,0.576471,8.870000,-4.349376
0.100000,5.390000,5.666667,-9.600000,0.592483,8.850000,-4.363636
0.100000,5.550000,5.833333,-10.000000,0.608630,8.790000,-4.361854
0.200000,5.710000,6.000000,-9.600000,0.623807,8.810000,-4.358289
0.100000,5.890000,6.166667,-9.600000,0.661579,8.850000,-4.301248
0.200000,6.050000,6.333333,-9.200000,0.678044,8.810000,-4.306595
0.200000,6.170000,6.500000,-9.600000,0.694254,8.830000,-4.310160
0.200000,6.310000,6.666667,-9.400000,0.710429,8.850000,-4.322638
0.100000,6.490000,6.833333,-9.800000,0.725605,8.870000,-4.340463
-0.100000,6.690000,7.000000,-9.600000,0.741763,8.830000,-4.349376
0.100000,6.810000,7.166667,-9.200000,0.757908,8.790000,-4.360071
0.400000,6.930000,7.333333,-9.200000,0.774066,8.770000,-4.352941
0.200000,7.110000,7.500000,-9.600000,0.790128,8.770000,-4.338681
0.500000,7.330000,7.666667,-9.600000,0.806346,8.770000,-4.331551
0.300000,7.470000,7.833333,-9.400000,0.822192,8.850000,-4.319073
0.200000,7.650000,8.000000,-9.800000,0.842805,8.790000,-4.358289
0.400000,7.750000,8.166667,-9.400000,0.854065,8.790000,-4.267380
0.200000,7.930000,8.333333,-9.000000,0.870185,8.770000,-4.235294
0.300000,8.130000,8.500000,-9.600000,0.886382,8.750000,-4.217469
0.400000,8.270000,8.666667,-9.800000,0.901485,8.790000,-4.160428
0.400000,8.430000,8.833333,-9.400000,0.917615,8.810000,-4.147950
0.400000,8.650000,9.000000,-9.400000,0.944466,8.830000,-4.308378
0.200000,8.690000,9.166667,-9.400000,0.955430,8.790000,-4.301248
0.300000,8.750000,9.333333,-9.200000,0.965449,8.810000,-4.149733
