# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0101 T1
# Tap_cm: 5.0
# Sample: PT_01
# Fit of Tap:
#	Ic = 35.2 +/- 0.51 A
#	n = 50 +/- 1.5 
#	Vc = 5 uV
#	Vfloor = 1.49 +/- 3.9e+44 uV
#	R = 0.35 +/- 3.6e+36 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.100000,0.270000,0.000000,-9.600000,0.051082,8.830000,-4.354724
0.600000,0.250000,0.083333,-9.000000,0.084469,8.830000,-4.360071
0.800000,0.290000,0.166667,-9.400000,0.100716,8.850000,-4.370766
0.900000,0.330000,0.250000,-9.800000,0.126070,8.730000,-4.213904
1.200000,0.370000,0.333333,-9.400000,0.136857,8.790000,-4.290553
1.200000,0.570000,0.416667,-9.400000,0.148009,8.790000,-4.383244
0.900000,0.570000,0.500000,-9.400000,0.164081,8.830000,-4.372549
0.900000,0.630000,0.583333,-9.400000,0.180132,8.770000,-4.351159
1.100000,0.710000,0.666667,-9.200000,0.196181,8.770000,-4.331551
1.000000,0.850000,0.750000,-9.800000,0.219290,8.810000,-4.313725
0.900000,0.850000,0.833333,-9.400000,0.229290,8.830000,-4.320856
0.800000,0.970000,0.916667,-9.200000,0.244351,8.770000,-4.265597
0.800000,1.030000,1.000000,-9.600000,0.260386,8.750000,-4.235294
1.000000,1.070000,1.083333,-9.400000,0.276486,8.730000,-4.219251
1.000000,1.190000,1.166667,-9.600000,0.292559,8.770000,-4.194296
0.900000,1.250000,1.250000,-9.400000,0.308788,8.750000,-4.176471
0.800000,1.310000,1.333333,-9.200000,0.324126,8.810000,-4.153298
1.100000,1.390000,1.416667,-9.600000,0.340292,8.810000,-4.147950
0.700000,1.490000,1.500000,-9.600000,0.357201,8.790000,-4.153298
0.900000,1.550000,1.583333,-9.600000,0.372491,8.810000,-4.162210
0.800000,1.630000,1.666667,-9.800000,0.388671,8.810000,-4.187166
1.100000,1.770000,1.750000,-9.800000,0.427122,8.750000,-4.233512
0.700000,1.830000,1.833333,-9.600000,0.443449,8.750000,-4.217469
0.900000,1.850000,1.916667,-9.400000,0.459586,8.750000,-4.203209
1.100000,1.910000,2.000000,-9.200000,0.475679,8.750000,-4.188948
0.900000,2.030000,2.083333,-9.400000,0.491727,8.790000,-4.153298
0.800000,2.130000,2.166667,-9.200000,0.507827,8.770000,-4.130125
0.900000,2.150000,2.250000,-9.400000,0.523860,8.770000,-4.135472
1.100000,2.250000,2.333333,-9.400000,0.538884,8.850000,-4.163993
1.000000,2.310000,2.416667,-9.400000,0.554911,8.850000,-4.192513
0.900000,2.430000,2.500000,-9.600000,0.571007,8.810000,-4.221034
0.800000,2.510000,2.583333,-9.800000,0.587026,8.850000,-4.253119
1.100000,2.590000,2.666667,-9.800000,0.612760,8.770000,-4.313725
0.800000,2.650000,2.750000,-10.400000,0.622874,8.750000,-4.147950
0.900000,2.730000,2.833333,-9.600000,0.635050,8.870000,-4.329768
0.900000,2.810000,2.916667,-9.400000,0.651243,8.890000,-4.356506
0.800000,2.910000,3.000000,-9.800000,0.667376,8.870000,-4.374332
0.800000,2.950000,3.083333,-9.400000,0.683506,8.850000,-4.390374
0.800000,3.030000,3.166667,-9.200000,0.699697,8.870000,-4.388592
1.100000,3.150000,3.250000,-9.200000,0.725652,8.770000,-4.172906
0.800000,3.190000,3.333333,-9.400000,0.736423,8.830000,-4.299465
0.900000,3.310000,3.416667,-9.200000,0.747536,8.810000,-4.367201
1.200000,3.390000,3.500000,-9.600000,0.763605,8.790000,-4.361854
1.100000,3.430000,3.583333,-9.400000,0.779703,8.830000,-4.338681
1.000000,3.510000,3.666667,-9.400000,0.795758,8.830000,-4.311943
1.000000,3.670000,3.750000,-9.800000,0.816564,8.830000,-4.395722
0.900000,3.690000,3.833333,-9.400000,0.827730,8.810000,-4.263815
0.900000,3.770000,3.916667,-9.200000,0.843773,8.790000,-4.242424
0.900000,3.830000,4.000000,-9.400000,0.859846,8.810000,-4.212121
0.900000,3.910000,4.083333,-9.000000,0.875888,8.750000,-4.187166
0.900000,3.990000,4.166667,-9.600000,0.891059,8.770000,-4.149733
1.200000,4.110000,4.250000,-9.600000,0.907203,8.790000,-4.156863
0.900000,4.170000,4.333333,-9.200000,0.923357,8.810000,-4.160428
0.900000,4.230000,4.416667,-9.600000,0.939388,8.850000,-4.178253
0.900000,4.350000,4.500000,-9.200000,0.955495,8.790000,-4.199643
1.100000,4.470000,4.583333,-9.400000,0.971554,8.810000,-4.213904
0.900000,4.510000,4.666667,-9.400000,0.987648,8.830000,-4.242424
0.800000,4.570000,4.750000,-9.200000,1.029040,8.810000,-4.313725
1.100000,4.670000,4.833333,-9.000000,1.045351,8.810000,-4.297683
1.000000,4.770000,4.916667,-9.200000,1.061433,8.790000,-4.276292
1.000000,4.830000,5.000000,-9.600000,1.077542,8.750000,-4.247772
0.800000,4.850000,5.083333,-9.400000,1.093605,8.770000,-4.217469
0.900000,4.950000,5.166667,-9.600000,1.109835,8.770000,-4.212121
1.100000,5.030000,5.250000,-9.000000,1.124886,8.770000,-4.151515
1.200000,5.070000,5.333333,-9.400000,1.141101,8.670000,-4.135472
1.000000,5.170000,5.416667,-9.400000,1.157256,8.790000,-4.137255
1.100000,5.250000,5.500000,-9.200000,1.173367,8.870000,-4.140820
1.000000,5.310000,5.583333,-9.400000,1.189403,8.790000,-4.151515
1.200000,5.430000,5.666667,-9.400000,1.215622,8.890000,-4.381462
0.900000,5.430000,5.750000,-9.600000,1.225328,8.730000,-4.171123
0.900000,5.550000,5.833333,-9.400000,1.236905,8.830000,-4.272727
0.900000,5.630000,5.916667,-9.600000,1.252441,8.830000,-4.317291
1.000000,5.730000,6.000000,-9.200000,1.268956,8.830000,-4.310160
1.000000,5.770000,6.083333,-9.400000,1.284542,8.850000,-4.338681
1.100000,5.910000,6.166667,-9.400000,1.301030,8.890000,-4.349376
0.800000,5.970000,6.250000,-9.400000,1.324786,8.750000,-4.149733
0.900000,6.010000,6.333333,-9.400000,1.334952,8.890000,-4.329768
1.000000,6.150000,6.416667,-9.400000,1.348503,8.810000,-4.372549
1.000000,6.250000,6.500000,-9.200000,1.365017,8.830000,-4.377897
0.900000,6.330000,6.583333,-9.400000,1.380469,8.790000,-4.345811
1.100000,6.390000,6.666667,-9.600000,1.397032,8.830000,-4.335116
0.800000,6.470000,6.750000,-9.200000,1.417363,8.870000,-4.338681
1.200000,6.510000,6.833333,-9.200000,1.428940,8.850000,-4.306595
0.900000,6.710000,6.916667,-9.400000,1.444489,8.770000,-4.267380
1.200000,6.750000,7.000000,-9.200000,1.460986,8.850000,-4.256684
0.700000,6.790000,7.083333,-9.600000,1.476491,8.750000,-4.221034
0.900000,6.930000,7.166667,-9.400000,1.492942,8.690000,-4.222816
1.000000,6.950000,7.250000,-9.400000,1.508491,8.810000,-4.190731
1.200000,7.010000,7.333333,-9.600000,1.525217,8.830000,-4.197861
1.000000,7.090000,7.416667,-9.200000,1.540763,8.770000,-4.180036
1.000000,7.190000,7.500000,-9.400000,1.557287,8.790000,-4.172906
0.900000,7.210000,7.583333,-9.600000,1.572773,8.790000,-4.181818
1.000000,7.350000,7.666667,-9.400000,1.589287,8.790000,-4.185383
0.900000,7.470000,7.750000,-9.400000,1.627980,8.770000,-4.283422
1.100000,7.470000,7.833333,-9.400000,1.644797,8.850000,-4.286988
0.900000,7.550000,7.916667,-9.400000,1.660455,8.810000,-4.253119
1.000000,7.650000,8.000000,-9.600000,1.675963,8.750000,-4.219251
0.900000,7.810000,8.083333,-10.000000,1.703258,8.770000,-4.285205
0.700000,7.770000,8.166667,-9.200000,1.713562,8.830000,-4.349376
1.100000,7.850000,8.250000,-9.400000,1.724709,8.790000,-4.183601
1.100000,8.010000,8.333333,-9.200000,1.740895,8.810000,-4.187166
1.100000,8.050000,8.416667,-9.400000,1.757078,8.810000,-4.196078
1.000000,8.110000,8.500000,-9.200000,1.773238,8.810000,-4.190731
0.900000,8.170000,8.583333,-9.200000,1.789341,8.830000,-4.188948
1.000000,8.310000,8.666667,-9.800000,1.813574,8.790000,-4.342246
1.000000,8.350000,8.750000,-9.200000,1.823644,8.810000,-4.178253
1.100000,8.490000,8.833333,-9.400000,1.836893,8.870000,-4.274510
0.600000,8.530000,8.916667,-10.600000,1.856269,8.850000,-4.192513
1.100000,8.570000,9.000000,-9.400000,1.867840,8.770000,-4.344029
0.900000,8.670000,9.083333,-9.600000,1.884318,8.850000,-4.351159
0.800000,8.750000,9.166667,-9.400000,1.899855,8.850000,-4.376114
1.000000,8.850000,9.250000,-9.200000,1.923937,8.810000,-4.187166
1.100000,8.890000,9.333333,-9.600000,1.934039,8.850000,-4.344029
1.000000,9.030000,9.416667,-9.800000,1.948433,8.790000,-4.358289
0.900000,9.070000,9.500000,-9.600000,1.963830,8.830000,-4.340463
1.100000,9.150000,9.583333,-9.200000,1.980275,8.830000,-4.338681
1.100000,9.230000,9.666667,-9.600000,1.996678,8.870000,-4.333333
0.900000,9.310000,9.750000,-9.400000,2.016765,8.850000,-4.352941
1.200000,9.370000,9.833333,-9.800000,2.028277,8.750000,-4.288770
0.900000,9.470000,9.916667,-9.400000,2.044660,8.810000,-4.290553
1.000000,9.590000,10.000000,-9.400000,2.060092,8.730000,-4.245989
1.000000,9.650000,10.083333,-9.200000,2.076482,8.770000,-4.240642
1.000000,9.690000,10.166667,-9.600000,2.091857,8.790000,-4.201426
0.900000,9.790000,10.250000,-11.800000,2.106392,8.790000,-4.192513
1.200000,9.890000,10.333333,-11.800000,2.122709,8.790000,-4.196078
0.900000,10.010000,10.416667,-12.000000,2.138003,8.830000,-4.212121
1.000000,10.050000,10.500000,-12.200000,2.154559,8.850000,-4.217469
1.000000,10.110000,10.583333,-11.800000,2.169945,8.830000,-4.258467
1.000000,10.230000,10.666667,-12.000000,2.186256,8.790000,-4.267380
0.900000,10.330000,10.750000,-9.600000,2.226639,8.790000,-4.226381
0.900000,10.330000,10.833333,-9.400000,2.243347,8.770000,-4.229947
1.200000,10.390000,10.916667,-9.600000,2.258847,8.790000,-4.203209
1.100000,10.550000,11.000000,-9.400000,2.275304,8.770000,-4.199643
0.900000,10.610000,11.083333,-9.200000,2.290686,8.790000,-4.185383
