# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0102 T1
# Tap_cm: 5.0
# Sample: PT_02
# Fit of Tap:
#	Ic = 151 +/- 0.098 A
#	n = 56.7 +/- 2.1 
#	Vc = 5 uV
#	Vfloor = 3.77 +/- 0.011 uV
#	R = 0.000879 +/- 0.00014 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.600000,0.290000,0.000000,-12.200000,0.025099,8.830000,-4.368984
3.600000,0.290000,0.166667,-9.400000,0.042556,8.850000,-4.374332
3.500000,0.350000,0.333333,-9.800000,0.059069,8.790000,-4.386809
3.700000,0.490000,0.500000,-9.600000,0.074559,8.810000,-4.383244
3.500000,0.710000,0.666667,-10.000000,0.091007,8.810000,-4.372549
3.600000,0.890000,0.833333,-9.800000,0.106439,8.870000,-4.358289
3.500000,1.050000,1.000000,-9.400000,0.122850,8.850000,-4.345811
3.700000,1.170000,1.166667,-9.400000,0.150598,8.750000,-4.160428
3.400000,1.250000,1.333333,-9.600000,0.160745,8.910000,-4.336898
3.500000,1.410000,1.500000,-9.200000,0.171341,8.810000,-4.285205
3.400000,1.590000,1.666667,-9.400000,0.186732,8.830000,-4.229947
3.800000,1.850000,1.833333,-9.800000,0.211860,8.810000,-4.292335
3.500000,1.850000,2.000000,-9.600000,0.221357,8.790000,-4.281640
3.700000,2.010000,2.166667,-9.600000,0.234797,8.730000,-4.167558
3.700000,2.290000,2.333333,-9.400000,0.251330,8.790000,-4.155080
3.700000,2.390000,2.500000,-9.400000,0.266771,8.750000,-4.147950
3.700000,2.590000,2.666667,-11.000000,0.283322,8.790000,-4.144385
3.600000,2.710000,2.833333,-9.400000,0.298897,8.830000,-4.165775
3.600000,2.870000,3.000000,-9.600000,0.314441,8.810000,-4.188948
3.500000,3.030000,3.166667,-9.400000,0.330889,8.810000,-4.203209
3.600000,3.210000,3.333333,-9.800000,0.346329,8.790000,-4.260250
3.500000,3.350000,3.500000,-9.800000,0.362748,8.810000,-4.267380
3.600000,3.530000,3.666667,-9.600000,0.379276,8.770000,-4.269162
3.700000,3.650000,3.833333,-9.400000,0.400730,8.810000,-4.135472
3.400000,3.790000,4.000000,-9.400000,0.411333,8.850000,-4.299465
3.600000,3.950000,4.166667,-9.800000,0.426770,8.850000,-4.344029
3.800000,4.250000,4.333333,-9.600000,0.451420,8.770000,-4.171123
3.600000,4.270000,4.500000,-9.200000,0.461565,8.890000,-4.317291
3.400000,4.450000,4.666667,-9.800000,0.475040,8.850000,-4.367201
3.400000,4.650000,4.833333,-9.400000,0.490507,8.830000,-4.361854
3.400000,4.830000,5.000000,-9.400000,0.506945,8.810000,-4.356506
3.800000,4.910000,5.166667,-9.800000,0.522424,8.810000,-4.327986
3.600000,5.070000,5.333333,-9.200000,0.538960,8.870000,-4.329768
3.700000,5.210000,5.500000,-9.400000,0.554491,8.810000,-4.276292
3.700000,5.450000,5.666667,-9.200000,0.570952,8.790000,-4.269162
3.600000,5.570000,5.833333,-9.600000,0.590582,8.770000,-4.363636
3.600000,5.710000,6.000000,-9.600000,0.603186,8.790000,-4.235294
3.500000,5.870000,6.166667,-9.400000,0.618624,8.790000,-4.183601
3.800000,6.030000,6.333333,-9.800000,0.635116,8.770000,-4.180036
3.700000,6.190000,6.500000,-9.400000,0.650549,8.750000,-4.153298
3.600000,6.310000,6.666667,-9.200000,0.666976,8.770000,-4.155080
3.500000,6.470000,6.833333,-9.200000,0.682461,8.750000,-4.165775
3.700000,6.690000,7.000000,-9.400000,0.698868,8.810000,-4.163993
3.600000,6.870000,7.166667,-9.400000,0.714426,8.830000,-4.196078
3.500000,6.970000,7.333333,-9.400000,0.730870,8.830000,-4.212121
3.500000,7.130000,7.500000,-9.200000,0.754999,8.810000,-4.292335
3.500000,7.230000,7.666667,-9.800000,0.765415,8.830000,-4.180036
3.700000,7.570000,7.833333,-9.200000,0.784977,8.770000,-4.174688
3.800000,7.570000,8.000000,-9.400000,0.794526,8.850000,-4.329768
3.800000,7.830000,8.166667,-9.400000,0.810997,8.790000,-4.338681
3.300000,7.990000,8.333333,-9.200000,0.826437,8.870000,-4.365419
3.600000,8.130000,8.500000,-9.400000,0.842864,8.810000,-4.365419
3.500000,8.270000,8.666667,-9.800000,0.858368,8.770000,-4.365419
3.600000,8.470000,8.833333,-9.400000,0.874807,8.790000,-4.361854
3.600000,8.630000,9.000000,-10.000000,0.891287,8.770000,-4.361854
3.600000,8.690000,9.166667,-9.600000,0.906715,8.770000,-4.338681
3.700000,8.890000,9.333333,-9.400000,0.923268,8.810000,-4.335116
3.800000,9.050000,9.500000,-9.200000,0.938727,8.830000,-4.294118
3.700000,9.230000,9.666667,-9.400000,0.955226,8.830000,-4.288770
3.600000,9.370000,9.833333,-9.800000,0.974883,8.850000,-4.367201
3.600000,9.470000,10.000000,-9.400000,0.986417,8.810000,-4.213904
3.500000,9.710000,10.166667,-9.400000,1.002818,8.750000,-4.201426
3.800000,9.870000,10.333333,-9.400000,1.019359,8.730000,-4.197861
3.800000,9.970000,10.500000,-11.000000,1.034834,8.750000,-4.167558
3.700000,10.230000,10.666667,-9.400000,1.059504,8.810000,-4.377897
3.400000,10.270000,10.833333,-9.400000,1.069646,8.750000,-4.222816
3.600000,10.450000,11.000000,-9.400000,1.083233,8.830000,-4.158645
3.600000,10.610000,11.166667,-9.600000,1.098784,8.850000,-4.183601
3.600000,10.810000,11.333333,-9.600000,1.115329,8.830000,-4.188948
4.000000,10.970000,11.500000,-9.800000,1.130803,8.810000,-4.228164
3.600000,11.170000,11.666667,-9.400000,1.147332,8.790000,-4.245989
3.800000,11.290000,11.833333,-9.400000,1.167126,8.810000,-4.163993
3.700000,11.430000,12.000000,-9.400000,1.178816,8.830000,-4.313725
3.900000,11.590000,12.166667,-9.600000,1.195435,8.850000,-4.311943
3.900000,11.750000,12.333333,-9.600000,1.210884,8.850000,-4.349376
3.600000,11.930000,12.500000,-9.400000,1.226295,8.790000,-4.376114
3.700000,12.090000,12.666667,-9.800000,1.242724,8.830000,-4.383244
3.500000,12.210000,12.833333,-9.600000,1.259220,8.870000,-4.372549
3.700000,12.410000,13.000000,-9.600000,1.274725,8.770000,-4.367201
3.800000,12.550000,13.166667,-9.600000,1.291403,8.810000,-4.368984
3.900000,12.690000,13.333333,-9.400000,1.306897,8.810000,-4.345811
3.800000,12.870000,13.500000,-9.200000,1.322474,8.790000,-4.317291
3.700000,13.050000,13.666667,-9.400000,1.351074,8.770000,-4.153298
3.700000,13.210000,13.833333,-9.400000,1.371562,8.770000,-4.270945
3.800000,13.270000,14.000000,-9.400000,1.388071,8.790000,-4.263815
3.700000,13.530000,14.166667,-10.200000,1.403678,8.730000,-4.222816
3.900000,13.690000,14.333333,-9.400000,1.420503,8.750000,-4.231729
3.600000,13.850000,14.500000,-9.400000,1.435994,8.790000,-4.196078
3.700000,13.990000,14.666667,-9.400000,1.451524,8.790000,-4.146168
3.700000,14.150000,14.833333,-9.200000,1.467964,8.790000,-4.144385
3.800000,14.290000,15.000000,-9.400000,1.483468,8.810000,-4.151515
3.500000,14.450000,15.166667,-9.200000,1.499928,8.810000,-4.147950
3.600000,14.550000,15.333333,-9.600000,1.515481,8.810000,-4.176471
3.700000,14.730000,15.500000,-9.600000,1.531953,8.850000,-4.171123
3.700000,14.990000,15.666667,-9.800000,1.551919,8.750000,-4.165775
3.900000,15.070000,15.833333,-9.800000,1.563479,8.810000,-4.263815
3.700000,15.250000,16.000000,-9.400000,1.579909,8.870000,-4.265597
3.600000,15.430000,16.166667,-9.400000,1.595416,8.830000,-4.310160
3.700000,15.550000,16.333333,-9.400000,1.611833,8.850000,-4.322638
3.900000,15.690000,16.500000,-9.400000,1.628369,8.850000,-4.331551
