# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0104 T1
# Tap_cm: 5.0
# Sample: PT_04
# Fit of Tap:
#	Ic = 172 A
#	n = 244 
#	Vc = 5 uV
#	Vfloor = 2.58 uV
#	R = 0.00161 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.200000,0.230000,0.000000,-10.000000,0.052822,8.810000,-4.402852
2.100000,0.330000,0.166667,-9.600000,0.085854,8.850000,-4.381462
2.300000,0.450000,0.333333,-9.200000,0.110523,8.910000,-4.183601
2.100000,0.490000,0.500000,-9.600000,0.120655,8.830000,-4.376114
2.500000,0.630000,0.666667,-9.400000,0.134245,8.850000,-4.374332
2.400000,0.850000,0.833333,-9.400000,0.149682,8.830000,-4.331551
2.400000,0.950000,1.000000,-9.400000,0.166174,8.850000,-4.340463
2.400000,1.150000,1.166667,-9.400000,0.181661,8.830000,-4.288770
2.300000,1.310000,1.333333,-9.400000,0.198194,8.810000,-4.279857
2.400000,1.490000,1.500000,-10.000000,0.213662,8.810000,-4.235294
2.300000,1.610000,1.666667,-9.400000,0.234434,8.850000,-4.372549
2.600000,1.670000,1.833333,-9.600000,0.245922,8.770000,-4.197861
2.300000,1.890000,2.000000,-9.600000,0.261378,8.790000,-4.178253
2.500000,2.090000,2.166667,-9.400000,0.277797,8.870000,-4.192513
2.400000,2.250000,2.333333,-9.600000,0.293425,8.830000,-4.203209
2.400000,2.370000,2.500000,-9.600000,0.309857,8.910000,-4.203209
2.300000,2.550000,2.666667,-9.400000,0.325497,8.870000,-4.226381
2.300000,2.690000,2.833333,-9.600000,0.341986,8.870000,-4.228164
2.700000,2.910000,3.000000,-9.800000,0.357415,8.850000,-4.292335
2.200000,2.990000,3.166667,-9.600000,0.373838,8.870000,-4.294118
2.600000,3.210000,3.333333,-9.400000,0.398589,8.850000,-4.285205
2.300000,3.290000,3.500000,-9.400000,0.413488,8.790000,-4.226381
2.500000,3.430000,3.666667,-9.800000,0.423590,8.830000,-4.297683
2.400000,3.650000,3.833333,-9.600000,0.442899,8.810000,-4.197861
2.500000,3.770000,4.000000,-9.800000,0.453479,8.830000,-4.377897
2.500000,3.970000,4.166667,-10.000000,0.469918,8.870000,-4.386809
2.500000,4.150000,4.333333,-9.600000,0.485404,8.830000,-4.377897
2.400000,4.310000,4.500000,-9.600000,0.501811,8.870000,-4.374332
2.400000,4.490000,4.666667,-9.800000,0.517249,8.830000,-4.349376
2.500000,4.590000,4.833333,-9.600000,0.533780,8.850000,-4.338681
2.600000,4.790000,5.000000,-9.400000,0.550243,8.890000,-4.320856
2.400000,4.930000,5.166667,-9.200000,0.565688,9.010000,-4.294118
2.400000,5.090000,5.333333,-9.200000,0.582322,8.830000,-4.292335
2.300000,5.270000,5.500000,-9.400000,0.597771,8.790000,-4.245989
2.400000,5.430000,5.666667,-10.200000,0.614562,8.730000,-4.254902
2.400000,5.510000,5.833333,-9.400000,0.630288,8.770000,-4.229947
2.600000,5.770000,6.000000,-9.800000,0.651786,8.890000,-4.376114
2.400000,5.830000,6.166667,-9.400000,0.661284,8.850000,-4.167558
2.600000,6.010000,6.333333,-9.800000,0.677697,8.890000,-4.165775
2.400000,6.270000,6.500000,-9.200000,0.704786,8.910000,-4.368984
2.300000,6.310000,6.666667,-9.600000,0.714889,8.750000,-4.263815
2.300000,6.450000,6.833333,-10.600000,0.725524,8.830000,-4.226381
2.400000,6.710000,7.000000,-9.400000,0.742223,8.830000,-4.213904
2.500000,6.870000,7.166667,-10.000000,0.757683,8.890000,-4.263815
2.500000,6.990000,7.333333,-9.800000,0.774193,8.830000,-4.267380
2.600000,7.130000,7.500000,-9.400000,0.789629,8.870000,-4.317291
2.300000,7.310000,7.666667,-9.800000,0.806131,8.870000,-4.319073
2.200000,7.450000,7.833333,-9.800000,0.821620,8.850000,-4.356506
2.500000,7.650000,8.000000,-9.400000,0.838228,8.890000,-4.347594
2.300000,7.850000,8.166667,-9.400000,0.861877,8.810000,-4.162210
2.500000,7.890000,8.333333,-9.400000,0.871372,8.850000,-4.356506
2.500000,8.150000,8.500000,-9.600000,0.885785,8.870000,-4.372549
2.600000,8.270000,8.666667,-9.600000,0.901309,8.810000,-4.356506
2.200000,8.450000,8.833333,-9.800000,0.917738,8.790000,-4.352941
2.400000,8.630000,9.000000,-9.200000,0.934208,8.830000,-4.345811
2.600000,8.650000,9.166667,-9.200000,0.949625,8.870000,-4.310160
2.500000,8.870000,9.333333,-9.400000,0.966086,8.770000,-4.304813
2.400000,9.030000,9.500000,-9.400000,0.981493,8.730000,-4.253119
2.500000,9.190000,9.666667,-9.800000,1.005614,8.810000,-4.333333
2.300000,9.330000,9.833333,-9.400000,1.015749,8.830000,-4.288770
2.100000,9.510000,10.000000,-9.800000,1.030308,8.770000,-4.215686
2.700000,9.650000,10.166667,-9.400000,1.045740,8.770000,-4.183601
2.400000,9.890000,10.333333,-9.800000,1.064244,8.770000,-4.242424
2.600000,9.990000,10.500000,-9.800000,1.081471,8.810000,-4.253119
2.300000,10.130000,10.666667,-9.600000,1.094080,8.790000,-4.169340
2.400000,10.310000,10.833333,-9.400000,1.109537,8.890000,-4.187166
2.500000,10.470000,11.000000,-10.000000,1.125953,8.830000,-4.185383
2.500000,10.630000,11.166667,-9.600000,1.141425,8.830000,-4.245989
2.600000,10.810000,11.333333,-9.800000,1.157852,8.850000,-4.256684
2.500000,10.990000,11.500000,-9.800000,1.173341,8.830000,-4.299465
2.400000,11.190000,11.666667,-9.600000,1.189750,8.790000,-4.313725
2.500000,11.310000,11.833333,-9.800000,1.205306,8.810000,-4.356506
2.400000,11.470000,12.000000,-9.200000,1.221740,8.830000,-4.358289
2.400000,11.650000,12.166667,-9.600000,1.238253,8.750000,-4.356506
2.400000,11.730000,12.333333,-9.600000,1.253705,8.810000,-4.372549
2.300000,11.910000,12.500000,-9.600000,1.270101,8.850000,-4.377897
2.700000,12.090000,12.666667,-10.000000,1.289804,8.830000,-4.319073
2.500000,12.330000,12.833333,-9.600000,1.314399,8.770000,-4.229947
2.500000,12.350000,13.000000,-10.000000,1.324760,8.810000,-4.249554
2.700000,12.450000,13.166667,-9.600000,1.334236,8.790000,-4.336898
2.600000,12.650000,13.333333,-9.200000,1.349681,8.850000,-4.303030
2.500000,12.870000,13.500000,-9.000000,1.366168,8.830000,-4.299465
2.600000,13.010000,13.666667,-9.600000,1.381596,8.770000,-4.253119
