# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0104 T1
# Tap_cm: 5.0
# Sample: PT_04
# Fit of Tap:
#	Ic = 208 +/- 84 A
#	n = 39.8 +/- 1.2e+02 
#	Vc = 5 uV
#	Vfloor = 2.6 +/- 0.009 uV
#	R = 0.000586 +/- 9.4e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.300000,0.190000,0.000000,-12.000000,0.058630,8.850000,-4.379679
2.400000,0.230000,0.166667,-9.400000,0.094858,8.850000,-4.324421
2.100000,0.370000,0.333333,-9.400000,0.110831,8.810000,-4.352941
2.200000,0.550000,0.500000,-9.600000,0.126910,8.810000,-4.361854
2.300000,0.710000,0.666667,-10.000000,0.143004,8.830000,-4.367201
2.500000,0.850000,0.833333,-9.600000,0.159038,8.810000,-4.383244
2.300000,0.930000,1.000000,-9.800000,0.175092,8.750000,-4.385027
2.300000,1.150000,1.166667,-9.800000,0.191078,8.810000,-4.372549
2.200000,1.290000,1.333333,-9.400000,0.207083,8.770000,-4.365419
2.500000,1.510000,1.500000,-9.400000,0.232579,8.830000,-4.169340
2.600000,1.530000,1.666667,-9.600000,0.242553,8.830000,-4.374332
2.400000,1.710000,1.833333,-9.600000,0.254519,8.850000,-4.279857
2.200000,1.930000,2.000000,-10.400000,0.279865,8.850000,-4.265597
2.300000,2.030000,2.166667,-9.400000,0.290720,8.830000,-4.356506
2.300000,2.210000,2.333333,-9.800000,0.302809,8.770000,-4.212121
2.400000,2.370000,2.500000,-9.800000,0.318868,8.770000,-4.203209
2.400000,2.550000,2.666667,-9.400000,0.334981,8.790000,-4.183601
2.400000,2.670000,2.833333,-9.600000,0.351006,8.810000,-4.167558
2.700000,2.830000,3.000000,-9.400000,0.366994,8.810000,-4.163993
2.300000,3.030000,3.166667,-9.600000,0.383065,8.830000,-4.174688
2.400000,3.170000,3.333333,-9.800000,0.399097,8.810000,-4.192513
2.400000,3.370000,3.500000,-9.800000,0.415158,8.870000,-4.212121
2.400000,3.550000,3.666667,-9.600000,0.431162,8.850000,-4.233512
2.500000,3.630000,3.833333,-9.600000,0.451064,8.790000,-4.181818
2.400000,3.830000,4.000000,-9.600000,0.463118,8.830000,-4.295900
2.400000,3.930000,4.166667,-9.600000,0.479109,8.810000,-4.319073
2.700000,4.170000,4.333333,-9.600000,0.495173,8.790000,-4.329768
2.800000,4.290000,4.500000,-9.800000,0.511167,8.830000,-4.352941
2.300000,4.490000,4.666667,-9.400000,0.527207,8.850000,-4.385027
2.200000,4.650000,4.833333,-9.800000,0.543320,8.790000,-4.393939
2.700000,4.870000,5.000000,-9.800000,0.572495,8.850000,-4.338681
2.600000,4.910000,5.166667,-9.400000,0.583162,8.850000,-4.188948
2.400000,4.990000,5.333333,-9.800000,0.593117,8.830000,-4.383244
2.700000,5.190000,5.500000,-9.800000,0.607076,8.830000,-4.370766
2.400000,5.390000,5.666667,-9.600000,0.623181,8.830000,-4.352941
2.400000,5.530000,5.833333,-9.400000,0.639233,8.790000,-4.333333
2.500000,5.770000,6.000000,-9.800000,0.659165,8.830000,-4.379679
2.500000,5.890000,6.166667,-9.600000,0.671192,8.750000,-4.272727
2.400000,5.990000,6.333333,-9.800000,0.687148,8.810000,-4.253119
2.400000,6.150000,6.500000,-9.200000,0.703198,8.770000,-4.226381
2.200000,6.330000,6.666667,-9.600000,0.719208,8.790000,-4.204991
2.600000,6.510000,6.833333,-9.400000,0.735199,8.790000,-4.181818
2.600000,6.630000,7.000000,-9.400000,0.751260,8.870000,-4.172906
2.500000,6.810000,7.166667,-9.600000,0.767254,8.790000,-4.167558
2.400000,6.970000,7.333333,-9.400000,0.783296,8.850000,-4.174688
2.400000,7.190000,7.500000,-9.400000,0.798855,8.850000,-4.197861
2.500000,7.330000,7.666667,-9.600000,0.815060,8.850000,-4.204991
2.500000,7.490000,7.833333,-9.800000,0.831089,8.830000,-4.231729
2.200000,7.650000,8.000000,-9.400000,0.847078,8.850000,-4.265597
2.100000,7.850000,8.166667,-9.400000,0.882114,8.810000,-4.201426
2.500000,7.970000,8.333333,-9.800000,0.897947,8.850000,-4.237077
2.500000,8.090000,8.500000,-9.600000,0.914059,8.870000,-4.256684
2.300000,8.310000,8.666667,-9.600000,0.930056,8.850000,-4.272727
2.700000,8.450000,8.833333,-9.400000,0.946109,8.870000,-4.304813
2.600000,8.630000,9.000000,-9.400000,0.962125,8.830000,-4.320856
2.700000,8.690000,9.166667,-9.600000,0.978141,8.870000,-4.354724
2.600000,8.870000,9.333333,-9.600000,0.994125,8.850000,-4.367201
