# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0104 T1
# Tap_cm: 5.0
# Sample: PT_04
# Fit of Tap:
#	Ic = 114 +/- 1.4 A
#	n = 50 +/- 1.2 
#	Vc = 5 uV
#	Vfloor = 3.99 +/- 1.2e+118 uV
#	R = 7.56 +/- 2.6e+108 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
4.800000,0.190000,0.000000,-9.400000,0.028751,8.810000,-4.338681
4.800000,0.270000,0.166667,-9.200000,0.043901,8.810000,-4.320856
4.900000,0.370000,0.333333,-9.400000,0.059957,8.830000,-4.294118
4.900000,0.570000,0.500000,-10.400000,0.074877,8.830000,-4.256684
4.600000,0.710000,0.666667,-12.000000,0.089454,8.790000,-4.192513
4.900000,0.910000,0.833333,-9.600000,0.115527,8.830000,-4.303030
4.800000,0.950000,1.000000,-9.400000,0.126232,8.830000,-4.272727
4.600000,1.110000,1.166667,-9.800000,0.140247,8.790000,-4.192513
4.800000,1.230000,1.333333,-9.800000,0.156277,8.750000,-4.176471
4.900000,1.450000,1.500000,-9.200000,0.172317,8.750000,-4.155080
4.900000,1.570000,1.666667,-9.600000,0.188408,8.810000,-4.156863
4.800000,1.750000,1.833333,-9.400000,0.204432,8.750000,-4.162210
4.700000,1.930000,2.000000,-9.600000,0.220512,8.790000,-4.163993
4.600000,2.130000,2.166667,-9.400000,0.241110,8.770000,-4.215686
4.700000,2.210000,2.333333,-9.800000,0.252225,8.770000,-4.199643
4.600000,2.390000,2.500000,-9.600000,0.268239,8.790000,-4.233512
4.600000,2.570000,2.666667,-9.400000,0.284291,8.830000,-4.249554
4.600000,2.750000,2.833333,-9.200000,0.300330,8.810000,-4.265597
5.000000,2.910000,3.000000,-9.600000,0.316346,8.830000,-4.288770
5.000000,3.030000,3.166667,-9.600000,0.332372,8.830000,-4.303030
4.800000,3.210000,3.333333,-9.600000,0.348486,8.810000,-4.310160
4.500000,3.350000,3.500000,-9.800000,0.364932,8.850000,-4.311943
4.600000,3.510000,3.666667,-9.400000,0.380032,8.790000,-4.331551
4.600000,3.670000,3.833333,-9.400000,0.396088,8.790000,-4.324421
4.800000,3.850000,4.000000,-9.200000,0.421323,8.790000,-4.153298
4.600000,3.930000,4.166667,-9.400000,0.432070,8.790000,-4.304813
4.700000,4.190000,4.333333,-9.200000,0.451966,8.830000,-4.215686
4.800000,4.250000,4.500000,-9.600000,0.461969,8.830000,-4.329768
4.700000,4.490000,4.666667,-9.400000,0.475981,8.790000,-4.272727
4.500000,4.610000,4.833333,-9.400000,0.492041,8.810000,-4.247772
4.600000,4.770000,5.000000,-9.600000,0.508088,8.770000,-4.222816
4.600000,4.950000,5.166667,-9.800000,0.524115,8.810000,-4.210339
5.000000,5.070000,5.333333,-9.400000,0.540164,8.830000,-4.192513
5.100000,5.230000,5.500000,-9.400000,0.556214,8.810000,-4.181818
4.800000,5.410000,5.666667,-9.400000,0.572238,8.850000,-4.165775
5.000000,5.570000,5.833333,-9.400000,0.588344,8.810000,-4.160428
4.700000,5.710000,6.000000,-9.400000,0.604981,8.870000,-4.169340
