# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0106 T1
# Tap_cm: 5.0
# Sample: PT_09
# Fit of Tap:
#	Ic = 68.8 +/- 0.87 A
#	n = 69 +/- 24 
#	Vc = 5 uV
#	Vfloor = 0.964 +/- 5.1e+17 uV
#	R = 0.00808 +/- 5.4e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.250000,0.000000,-9.600000,0.052069,8.610000,-4.098039
0.800000,0.330000,0.166667,-11.800000,0.075294,8.910000,-4.450980
1.200000,0.390000,0.333333,-12.000000,0.083402,8.550000,-4.053476
1.500000,0.550000,0.500000,-9.600000,0.099865,8.790000,-4.062389
1.300000,0.710000,0.666667,-9.600000,0.116266,8.790000,-4.067736
1.200000,0.870000,0.833333,-9.600000,0.131849,8.850000,-4.130125
1.400000,1.110000,1.000000,-9.800000,0.148340,8.870000,-4.146168
1.200000,1.190000,1.166667,-9.600000,0.163857,8.910000,-4.258467
1.100000,1.390000,1.333333,-9.400000,0.180285,8.890000,-4.278075
1.400000,1.510000,1.500000,-9.400000,0.195763,8.950000,-4.347594
1.300000,1.730000,1.666667,-9.400000,0.216869,8.730000,-4.058824
1.100000,1.890000,1.833333,-9.800000,0.240764,8.890000,-4.408200
1.200000,1.970000,2.000000,-9.800000,0.251363,8.690000,-4.055258
1.200000,2.170000,2.166667,-9.600000,0.265186,8.870000,-4.133690
1.200000,2.310000,2.333333,-9.800000,0.276328,8.930000,-4.443850
1.100000,2.510000,2.500000,-9.800000,0.292346,8.870000,-4.438503
1.400000,2.710000,2.666667,-9.600000,0.308257,8.870000,-4.426025
1.400000,2.930000,2.833333,-9.800000,0.324326,8.870000,-4.408200
1.300000,3.010000,3.000000,-9.200000,0.340214,8.830000,-4.376114
1.200000,3.190000,3.166667,-9.200000,0.356220,8.850000,-4.342246
1.300000,3.330000,3.333333,-9.200000,0.372328,8.750000,-4.311943
1.100000,3.530000,3.500000,-9.200000,0.388390,8.750000,-4.272727
1.500000,3.790000,3.666667,-9.600000,0.407966,8.870000,-4.418895
1.600000,3.830000,3.833333,-9.800000,0.420271,8.630000,-4.192513
