# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0107 T3
# Tap_cm: 5.0
# Sample: PT_06
# Fit of Tap:
#	Ic = 174 +/- 0.074 A
#	n = 48.4 +/- 1.4 
#	Vc = 5 uV
#	Vfloor = 2.85 +/- 0.012 uV
#	R = 0.0001 +/- 4.4e-06 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.500000,0.230000,0.000000,-10.000000,0.027556,8.810000,-4.411765
2.700000,0.330000,0.166667,-9.800000,0.043245,8.790000,-4.390374
2.800000,0.450000,0.333333,-12.600000,0.058888,8.810000,-4.365419
2.600000,0.530000,0.500000,-11.800000,0.073289,8.790000,-4.258467
2.900000,0.710000,0.666667,-11.800000,0.089660,8.790000,-4.245989
2.800000,0.910000,0.833333,-12.200000,0.105996,8.770000,-4.224599
2.600000,1.010000,1.000000,-12.000000,0.121330,8.610000,-4.172906
2.500000,1.250000,1.166667,-12.000000,0.137621,8.730000,-4.149733
2.500000,1.390000,1.333333,-12.000000,0.153926,8.730000,-4.130125
2.200000,1.550000,1.500000,-9.800000,0.182314,8.870000,-4.262032
2.900000,1.690000,1.666667,-9.600000,0.192424,8.830000,-4.363636
2.800000,1.810000,1.833333,-9.800000,0.204010,8.730000,-4.124777
2.600000,2.030000,2.000000,-9.600000,0.219434,8.710000,-4.090909
2.600000,2.250000,2.166667,-9.800000,0.239441,8.710000,-4.237077
2.800000,2.390000,2.333333,-9.400000,0.252019,8.750000,-4.080214
2.600000,2.510000,2.500000,-9.600000,0.267461,8.850000,-4.115865
2.500000,2.670000,2.666667,-9.400000,0.283971,8.830000,-4.126560
2.500000,2.890000,2.833333,-9.600000,0.299406,8.810000,-4.219251
2.700000,3.030000,3.000000,-9.600000,0.316115,8.810000,-4.204991
2.500000,3.170000,3.166667,-9.800000,0.331677,8.830000,-4.288770
2.500000,3.390000,3.333333,-9.800000,0.348218,8.830000,-4.297683
2.700000,3.550000,3.500000,-9.800000,0.363691,8.870000,-4.327986
2.700000,3.730000,3.666667,-9.600000,0.380219,8.910000,-4.345811
2.600000,3.850000,3.833333,-9.400000,0.395694,8.850000,-4.381462
2.400000,4.050000,4.000000,-9.200000,0.412204,8.890000,-4.381462
2.700000,4.210000,4.166667,-9.600000,0.427641,8.830000,-4.404635
2.700000,4.430000,4.333333,-9.800000,0.447071,8.890000,-4.344029
2.600000,4.490000,4.500000,-9.800000,0.459591,8.830000,-4.376114
2.600000,4.750000,4.666667,-9.800000,0.483804,8.830000,-4.139037
2.600000,4.850000,4.833333,-9.800000,0.494107,8.870000,-4.395722
