# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0108 T3
# Tap_cm: 5.0
# Sample: PT_07
# Fit of Tap:
#	Ic = 161 +/- 5.1e+09 A
#	n = 221 +/- 8.5e+09 
#	Vc = 5 uV
#	Vfloor = -0.97 +/- 0.0098 uV
#	R = 0.0059 +/- 0.00014 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
-1.000000,0.230000,0.000000,-9.400000,0.069249,8.830000,-4.401070
-1.000000,0.250000,0.166667,-9.400000,0.102334,8.830000,-4.379679
-1.100000,0.390000,0.333333,-9.400000,0.118005,8.750000,-4.329768
-0.900000,0.610000,0.500000,-10.000000,0.134689,8.770000,-4.324421
-1.100000,0.730000,0.666667,-9.400000,0.150501,8.730000,-4.265597
-1.000000,0.890000,0.833333,-9.600000,0.166056,8.650000,-4.185383
-1.100000,1.090000,1.000000,-9.600000,0.182511,8.570000,-4.171123
-1.000000,1.250000,1.166667,-9.600000,0.207525,9.010000,-4.406417
-1.000000,1.290000,1.333333,-9.600000,0.217872,8.790000,-4.313725
-1.000000,1.590000,1.500000,-9.800000,0.238893,8.930000,-4.470588
-1.000000,1.670000,1.666667,-10.000000,0.248337,8.550000,-4.112299
-1.000000,1.870000,1.833333,-9.800000,0.261847,8.830000,-4.067736
-1.000000,2.050000,2.000000,-9.200000,0.278312,8.830000,-4.092692
-1.000000,2.210000,2.166667,-9.800000,0.293746,8.870000,-4.215686
-0.900000,2.390000,2.333333,-9.800000,0.310178,8.870000,-4.244207
-1.000000,2.570000,2.500000,-9.800000,0.326607,8.890000,-4.269162
-1.000000,2.710000,2.666667,-9.800000,0.342043,8.890000,-4.356506
-1.100000,2.890000,2.833333,-9.400000,0.358491,8.950000,-4.377897
-0.900000,3.010000,3.000000,-9.800000,0.373897,8.950000,-4.431373
-1.000000,3.150000,3.166667,-9.600000,0.390330,8.910000,-4.436720
-1.100000,3.370000,3.333333,-9.600000,0.405829,8.910000,-4.472371
-1.300000,3.510000,3.500000,-9.800000,0.422253,8.930000,-4.472371
-1.000000,3.750000,3.666667,-9.800000,0.444032,8.890000,-4.167558
-1.100000,3.810000,3.833333,-9.600000,0.455121,8.890000,-4.479501
-0.900000,4.010000,4.000000,-9.400000,0.469775,8.830000,-4.418895
