# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0102 T2
# Tap_cm: 6.0
# Sample: PT_01
# Fit of Tap:
#	Ic = 175 +/- 0.08 A
#	n = 43.6 +/- 1 
#	Vc = 6 uV
#	Vfloor = 4.39 +/- 0.01 uV
#	R = 0.000591 +/- 0.00011 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
4.200000,0.230000,0.000000,-11.600000,0.026570,8.830000,-4.326203
4.400000,0.230000,0.166667,-12.000000,0.041637,8.750000,-4.247772
4.400000,0.390000,0.333333,-11.800000,0.057228,8.710000,-4.180036
4.300000,0.570000,0.500000,-11.600000,0.073813,8.690000,-4.167558
4.200000,0.690000,0.666667,-12.200000,0.089375,8.710000,-4.106952
4.200000,0.970000,0.833333,-9.600000,0.108223,8.730000,-4.204991
4.200000,1.030000,1.000000,-9.800000,0.124179,8.670000,-4.174688
4.200000,1.190000,1.166667,-9.400000,0.140228,8.710000,-4.135472
4.400000,1.350000,1.333333,-9.800000,0.156246,8.670000,-4.096257
4.100000,1.530000,1.500000,-9.400000,0.172367,8.610000,-4.064171
4.300000,1.650000,1.666667,-9.400000,0.187958,8.730000,-4.040998
4.300000,1.910000,1.833333,-10.000000,0.212266,8.910000,-4.411765
4.500000,1.950000,2.000000,-9.800000,0.222762,8.610000,-4.085561
4.300000,2.230000,2.166667,-9.800000,0.235813,8.930000,-4.121212
4.100000,2.410000,2.333333,-9.600000,0.252636,9.010000,-4.124777
4.200000,2.590000,2.500000,-9.400000,0.278572,8.870000,-4.393939
4.300000,2.650000,2.666667,-9.600000,0.293467,8.850000,-4.320856
4.100000,2.850000,2.833333,-10.200000,0.303815,8.790000,-4.049911
4.000000,3.050000,3.000000,-9.800000,0.318470,8.870000,-4.199643
4.200000,3.130000,3.166667,-9.600000,0.332803,8.930000,-4.367201
4.200000,3.310000,3.333333,-9.400000,0.348527,8.890000,-4.392157
4.100000,3.550000,3.500000,-9.800000,0.364073,8.850000,-4.406417
4.100000,3.690000,3.666667,-9.600000,0.379637,8.850000,-4.413547
4.300000,3.950000,3.833333,-9.800000,0.400644,8.910000,-4.279857
4.300000,4.010000,4.000000,-9.400000,0.412189,8.790000,-4.409982
4.200000,4.150000,4.166667,-9.800000,0.428779,8.850000,-4.408200
4.400000,4.370000,4.333333,-9.600000,0.444079,8.850000,-4.349376
4.400000,4.470000,4.500000,-9.600000,0.459683,8.830000,-4.290553
4.200000,4.650000,4.666667,-9.400000,0.476269,8.710000,-4.297683
4.100000,4.830000,4.833333,-9.400000,0.491814,8.690000,-4.219251
4.000000,5.030000,5.000000,-9.600000,0.508531,8.690000,-4.231729
4.200000,5.150000,5.166667,-9.200000,0.524121,8.650000,-4.163993
4.200000,5.330000,5.333333,-9.800000,0.539675,8.630000,-4.090909
4.300000,5.510000,5.500000,-9.800000,0.556263,8.690000,-4.087344
4.100000,5.710000,5.666667,-9.600000,0.581160,8.950000,-4.383244
4.400000,5.850000,5.833333,-9.600000,0.601306,8.870000,-4.224599
4.200000,6.010000,6.000000,-9.400000,0.611346,8.810000,-4.361854
4.300000,6.130000,6.166667,-9.600000,0.621255,8.710000,-4.035651
4.200000,6.310000,6.333333,-9.400000,0.636220,8.850000,-4.094474
4.300000,6.570000,6.500000,-9.600000,0.652284,8.810000,-4.140820
4.200000,6.670000,6.666667,-9.800000,0.668370,8.810000,-4.203209
4.000000,6.810000,6.833333,-9.800000,0.684422,8.850000,-4.262032
4.300000,7.030000,7.000000,-9.600000,0.700476,8.890000,-4.292335
4.300000,7.190000,7.166667,-9.600000,0.715547,8.890000,-4.352941
4.100000,7.390000,7.333333,-9.400000,0.731593,8.910000,-4.379679
4.100000,7.530000,7.500000,-9.600000,0.747613,8.910000,-4.397504
3.900000,7.730000,7.666667,-9.800000,0.763776,8.830000,-4.401070
4.100000,7.910000,7.833333,-9.600000,0.783818,8.830000,-4.294118
4.200000,8.030000,8.000000,-9.600000,0.795892,8.850000,-4.404635
4.200000,8.210000,8.166667,-9.800000,0.811902,8.790000,-4.381462
4.100000,8.310000,8.333333,-9.400000,0.827887,8.810000,-4.361854
4.300000,8.530000,8.500000,-9.400000,0.843866,8.830000,-4.331551
4.300000,8.710000,8.666667,-9.600000,0.873160,8.770000,-4.158645
4.200000,8.810000,8.833333,-9.200000,0.883790,8.850000,-4.263815
4.400000,8.830000,9.000000,-9.400000,0.893737,8.850000,-4.295900
4.100000,9.130000,9.166667,-9.600000,0.907690,8.810000,-4.203209
4.200000,9.290000,9.333333,-9.800000,0.923742,8.750000,-4.185383
4.400000,9.470000,9.500000,-9.800000,0.939723,8.770000,-4.160428
4.300000,9.650000,9.666667,-9.400000,0.955765,8.790000,-4.142602
4.300000,9.830000,9.833333,-9.200000,0.975915,8.750000,-4.263815
4.400000,9.910000,10.000000,-9.600000,0.987950,8.810000,-4.130125
4.300000,10.110000,10.166667,-9.600000,1.004046,8.910000,-4.135472
4.200000,10.330000,10.333333,-9.400000,1.020217,8.810000,-4.146168
4.300000,10.490000,10.500000,-9.400000,1.036232,8.830000,-4.160428
4.100000,10.690000,10.666667,-9.800000,1.052255,8.810000,-4.183601
4.300000,10.850000,10.833333,-9.800000,1.068321,8.790000,-4.222816
4.300000,11.010000,11.000000,-9.800000,1.084309,8.890000,-4.260250
4.300000,11.210000,11.166667,-9.800000,1.100318,8.870000,-4.301248
4.200000,11.350000,11.333333,-9.600000,1.116279,8.930000,-4.336898
4.400000,11.550000,11.500000,-9.600000,1.132325,8.910000,-4.352941
4.400000,11.710000,11.666667,-9.400000,1.148361,8.930000,-4.381462
4.200000,11.850000,11.833333,-10.000000,1.183097,8.830000,-4.340463
4.300000,11.990000,12.000000,-9.600000,1.199529,8.910000,-4.345811
4.400000,12.190000,12.166667,-9.800000,1.215624,8.910000,-4.365419
4.300000,12.350000,12.333333,-9.400000,1.231607,8.890000,-4.388592
4.300000,12.470000,12.500000,-9.800000,1.247611,8.870000,-4.409982
4.300000,12.650000,12.666667,-10.000000,1.269644,8.870000,-4.114082
4.400000,12.730000,12.833333,-9.400000,1.282333,8.930000,-4.377897
4.300000,12.970000,13.000000,-9.400000,1.295498,8.890000,-4.429590
4.300000,13.150000,13.166667,-9.400000,1.311533,8.850000,-4.390374
4.500000,13.290000,13.333333,-9.400000,1.327587,8.830000,-4.363636
4.300000,13.490000,13.500000,-9.400000,1.343643,8.790000,-4.336898
4.300000,13.670000,13.666667,-9.400000,1.369037,8.870000,-4.163993
4.300000,13.750000,13.833333,-9.400000,1.379032,8.870000,-4.438503
4.400000,13.910000,14.000000,-9.200000,1.390962,8.670000,-4.208556
4.200000,14.190000,14.166667,-9.800000,1.406943,8.670000,-4.158645
4.500000,14.290000,14.333333,-9.800000,1.423034,8.670000,-4.119430
4.300000,14.490000,14.500000,-9.800000,1.439035,8.670000,-4.080214
4.500000,14.670000,14.666667,-9.400000,1.455057,8.790000,-4.060606
4.400000,14.870000,14.833333,-9.600000,1.480569,8.910000,-4.429590
4.300000,14.970000,15.000000,-9.600000,1.491347,8.670000,-4.217469
4.200000,15.030000,15.166667,-9.400000,1.503497,8.850000,-4.090909
4.300000,15.310000,15.333333,-9.800000,1.519631,8.870000,-4.124777
4.400000,15.510000,15.500000,-9.400000,1.535679,8.930000,-4.163993
4.200000,15.630000,15.666667,-9.800000,1.551690,8.930000,-4.221034
4.400000,15.850000,15.833333,-9.400000,1.571985,8.710000,-4.067736
4.400000,15.910000,16.000000,-9.600000,1.583017,8.970000,-4.351159
4.200000,16.130000,16.166667,-9.400000,1.598975,8.970000,-4.376114
4.300000,16.350000,16.333333,-9.400000,1.614967,8.890000,-4.401070
4.300000,16.470000,16.500000,-9.400000,1.630918,8.970000,-4.424242
4.300000,16.630000,16.666667,-9.600000,1.646900,8.910000,-4.433155
4.200000,16.830000,16.833333,-9.400000,1.662916,8.830000,-4.440285
4.400000,17.010000,17.000000,-9.200000,1.678934,8.870000,-4.438503
4.300000,17.110000,17.166667,-9.400000,1.694908,8.870000,-4.409982
4.300000,17.350000,17.333333,-9.400000,1.710950,8.790000,-4.376114
4.300000,17.470000,17.500000,-9.400000,1.727360,8.770000,-4.354724
4.300000,17.630000,17.666667,-9.600000,1.743603,8.810000,-4.338681
4.200000,17.910000,17.833333,-9.600000,1.783996,8.890000,-4.311943
4.100000,17.970000,18.000000,-9.400000,1.800285,8.930000,-4.329768
4.400000,18.170000,18.166667,-9.400000,1.816297,8.910000,-4.351159
4.300000,18.310000,18.333333,-9.400000,1.832331,8.950000,-4.381462
4.600000,18.510000,18.500000,-9.200000,1.848405,8.990000,-4.397504
4.200000,18.670000,18.666667,-9.600000,1.864451,8.990000,-4.413547
4.400000,18.850000,18.833333,-9.800000,1.880488,8.910000,-4.418895
4.200000,19.010000,19.000000,-9.800000,1.896532,8.890000,-4.438503
4.200000,19.150000,19.166667,-9.600000,1.912585,8.870000,-4.431373
4.200000,19.350000,19.333333,-9.400000,1.928581,8.870000,-4.409982
4.400000,19.470000,19.500000,-9.200000,1.944593,8.830000,-4.376114
4.400000,19.770000,19.666667,-9.400000,1.969248,8.890000,-4.153298
4.500000,19.770000,19.833333,-9.600000,1.979272,8.850000,-4.436720
4.200000,19.890000,20.000000,-9.400000,1.992302,8.750000,-4.270945
4.200000,20.090000,20.166667,-10.200000,2.008501,8.730000,-4.235294
4.300000,20.310000,20.333333,-9.800000,2.024509,8.670000,-4.181818
4.400000,20.450000,20.500000,-9.600000,2.040420,8.670000,-4.140820
4.400000,20.610000,20.666667,-9.400000,2.057069,8.630000,-4.140820
4.600000,20.830000,20.833333,-9.800000,2.082901,8.970000,-4.351159
4.500000,20.930000,21.000000,-9.400000,2.094101,8.870000,-4.358289
4.300000,21.030000,21.166667,-9.400000,2.104582,8.750000,-4.062389
4.400000,21.270000,21.333333,-9.400000,2.120454,8.850000,-4.065954
4.200000,21.390000,21.500000,-9.600000,2.136783,8.890000,-4.076649
4.400000,21.650000,21.666667,-9.400000,2.152063,8.870000,-4.178253
4.300000,21.830000,21.833333,-9.600000,2.173054,8.730000,-4.096257
4.200000,21.890000,22.000000,-9.400000,2.184267,8.910000,-4.294118
4.300000,22.150000,22.166667,-9.400000,2.200601,8.930000,-4.315508
4.600000,22.270000,22.333333,-9.400000,2.217025,8.930000,-4.315508
4.500000,22.450000,22.500000,-9.400000,2.232109,8.990000,-4.385027
4.300000,22.690000,22.666667,-9.200000,2.248225,8.990000,-4.408200
4.300000,22.810000,22.833333,-9.600000,2.264662,8.910000,-4.413547
4.300000,22.930000,23.000000,-9.600000,2.281033,8.990000,-4.424242
4.300000,23.150000,23.166667,-9.000000,2.296129,8.850000,-4.449198
4.300000,23.310000,23.333333,-9.600000,2.312493,8.850000,-4.434938
4.600000,23.490000,23.500000,-9.400000,2.328863,8.910000,-4.426025
4.300000,23.630000,23.666667,-9.600000,2.344176,8.830000,-4.372549
4.300000,23.690000,23.833333,-9.400000,2.386823,8.850000,-4.078431
4.200000,23.950000,24.000000,-9.400000,2.403685,8.810000,-4.064171
4.400000,24.090000,24.166667,-9.400000,2.419078,8.930000,-4.144385
4.500000,24.250000,24.333333,-9.400000,2.435820,8.870000,-4.151515
4.300000,24.390000,24.500000,-9.800000,2.451521,8.870000,-4.244207
4.400000,24.510000,24.666667,-9.200000,2.467072,8.970000,-4.320856
4.400000,24.730000,24.833333,-9.600000,2.483764,8.970000,-4.313725
4.300000,24.830000,25.000000,-9.200000,2.499450,8.990000,-4.360071
4.300000,25.010000,25.166667,-9.400000,2.514921,8.950000,-4.393939
4.100000,25.250000,25.333333,-9.600000,2.531641,8.950000,-4.390374
4.600000,25.390000,25.500000,-9.200000,2.547041,8.890000,-4.429590
4.500000,25.570000,25.666667,-9.200000,2.569770,8.850000,-4.090909
4.300000,25.630000,25.833333,-9.400000,2.579347,8.870000,-4.420677
4.500000,25.870000,26.000000,-9.600000,2.593801,8.850000,-4.345811
4.600000,26.050000,26.166667,-9.400000,2.610671,8.850000,-4.360071
4.700000,26.230000,26.333333,-10.000000,2.626585,8.810000,-4.320856
4.500000,26.410000,26.500000,-9.400000,2.642334,8.770000,-4.267380
4.600000,26.570000,26.666667,-9.800000,2.668496,8.910000,-4.219251
4.200000,26.710000,26.833333,-9.600000,2.683959,8.910000,-4.304813
4.400000,26.830000,27.000000,-9.600000,2.694445,8.790000,-4.379679
4.500000,27.010000,27.166667,-9.200000,2.705933,8.690000,-4.090909
4.600000,27.190000,27.333333,-9.800000,2.722870,8.690000,-4.106952
4.500000,27.350000,27.500000,-9.200000,2.739373,8.710000,-4.099822
