# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0104 T4
# Tap_cm: 5.0
# Sample: PT_07
# Fit of Tap:
#	Ic = 78.8 A
#	n = 138 
#	Vc = 5 uV
#	Vfloor = 0.706 uV
#	R = 0.0101 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.700000,0.170000,0.000000,-11.800000,0.036579,8.810000,-4.103387
0.700000,0.330000,0.166667,-9.600000,0.063672,8.870000,-4.422460
0.500000,0.410000,0.333333,-9.800000,0.087715,8.810000,-4.083779
0.500000,0.530000,0.500000,-9.400000,0.097817,8.870000,-4.399287
0.700000,0.710000,0.666667,-9.400000,0.111403,8.870000,-4.370766
0.900000,0.890000,0.833333,-9.400000,0.126876,8.810000,-4.326203
0.600000,1.110000,1.000000,-9.800000,0.143539,8.830000,-4.315508
0.900000,1.270000,1.166667,-9.400000,0.159545,8.830000,-4.281640
1.000000,1.390000,1.333333,-9.400000,0.175560,8.750000,-4.244207
0.600000,1.630000,1.500000,-9.800000,0.191560,8.790000,-4.210339
0.800000,1.750000,1.666667,-9.800000,0.216969,8.890000,-4.320856
0.800000,1.770000,1.833333,-9.400000,0.226828,8.810000,-4.322638
0.700000,2.070000,2.000000,-9.400000,0.239935,8.690000,-4.139037
0.800000,2.250000,2.166667,-9.400000,0.256149,8.710000,-4.110517
0.600000,2.350000,2.333333,-9.400000,0.271284,8.790000,-4.092692
0.700000,2.570000,2.500000,-9.400000,0.287814,8.790000,-4.099822
0.600000,2.710000,2.666667,-9.800000,0.303366,8.850000,-4.139037
0.500000,2.890000,2.833333,-9.800000,0.318843,8.870000,-4.226381
0.700000,3.050000,3.000000,-9.800000,0.335360,8.830000,-4.245989
0.700000,3.190000,3.166667,-10.000000,0.351881,8.910000,-4.249554
0.700000,3.390000,3.333333,-9.600000,0.367377,8.850000,-4.322638
0.700000,3.570000,3.500000,-9.400000,0.391477,8.750000,-4.221034
0.700000,3.690000,3.666667,-9.200000,0.411917,8.810000,-4.397504
1.100000,3.750000,3.833333,-9.200000,0.421547,8.730000,-4.089127
0.500000,3.970000,4.000000,-10.200000,0.431262,8.850000,-4.411765
0.600000,4.190000,4.166667,-10.200000,0.447388,8.890000,-4.415330
0.600000,4.490000,4.333333,-9.800000,0.463489,8.870000,-4.424242
0.900000,4.610000,4.500000,-10.000000,0.479611,8.830000,-4.413547
0.600000,4.750000,4.666667,-9.400000,0.495684,8.830000,-4.397504
0.800000,4.890000,4.833333,-9.200000,0.511841,8.810000,-4.385027
0.800000,5.090000,5.000000,-9.400000,0.527933,8.830000,-4.361854
0.800000,5.170000,5.166667,-9.400000,0.544000,8.770000,-4.349376
0.900000,5.330000,5.333333,-10.200000,0.559107,8.750000,-4.263815
0.900000,5.530000,5.500000,-10.200000,0.575331,8.750000,-4.229947
0.700000,5.730000,5.666667,-9.200000,0.595506,8.870000,-4.397504
0.500000,5.850000,5.833333,-9.800000,0.607551,8.710000,-4.183601
0.600000,6.110000,6.000000,-10.000000,0.623610,8.670000,-4.144385
0.700000,6.190000,6.166667,-9.600000,0.639582,8.730000,-4.108734
0.900000,6.390000,6.333333,-9.400000,0.655026,8.790000,-4.087344
0.700000,6.490000,6.500000,-9.800000,0.671523,8.790000,-4.078431
0.700000,6.690000,6.666667,-9.800000,0.695858,8.850000,-4.383244
1.100000,6.810000,6.833333,-9.400000,0.706009,8.730000,-4.078431
0.600000,7.010000,7.000000,-9.800000,0.719459,8.810000,-4.153298
0.600000,7.170000,7.166667,-10.400000,0.735026,8.870000,-4.254902
0.600000,7.350000,7.333333,-10.600000,0.751281,8.870000,-4.290553
0.600000,7.570000,7.500000,-10.000000,0.767465,8.830000,-4.295900
0.900000,7.670000,7.666667,-9.600000,0.787617,8.850000,-4.089127
0.800000,7.850000,7.833333,-9.600000,0.799539,8.890000,-4.363636
0.800000,8.030000,8.000000,-9.200000,0.815016,8.910000,-4.397504
0.300000,8.210000,8.166667,-9.600000,0.831563,8.910000,-4.393939
0.700000,8.330000,8.333333,-9.600000,0.846994,8.830000,-4.408200
0.800000,8.530000,8.500000,-9.400000,0.863494,8.850000,-4.402852
0.800000,8.690000,8.666667,-9.400000,0.878904,8.830000,-4.377897
0.800000,8.830000,8.833333,-9.600000,0.895378,8.890000,-4.368984
1.000000,8.970000,9.000000,-9.400000,0.911821,8.910000,-4.368984
0.900000,9.090000,9.166667,-9.400000,0.927328,8.750000,-4.320856
0.800000,9.290000,9.333333,-8.800000,0.943793,8.850000,-4.313725
0.700000,9.450000,9.500000,-9.600000,0.959255,8.790000,-4.258467
0.800000,9.710000,9.666667,-9.600000,0.999501,8.890000,-4.367201
0.800000,9.850000,9.833333,-9.400000,1.016439,8.930000,-4.370766
0.700000,10.010000,10.000000,-9.200000,1.032078,8.850000,-4.397504
0.700000,10.190000,10.166667,-10.000000,1.047563,8.830000,-4.418895
0.600000,10.350000,10.333333,-10.000000,1.064082,8.870000,-4.434938
0.800000,10.510000,10.500000,-9.400000,1.079539,8.870000,-4.420677
0.900000,10.690000,10.666667,-9.600000,1.095955,8.810000,-4.411765
0.900000,10.790000,10.833333,-9.800000,1.111389,8.790000,-4.367201
0.900000,11.030000,11.000000,-9.400000,1.127842,8.810000,-4.367201
0.900000,11.150000,11.166667,-9.200000,1.143401,8.830000,-4.306595
0.900000,11.350000,11.333333,-9.200000,1.159837,8.790000,-4.285205
0.400000,11.550000,11.500000,-9.600000,1.184769,8.870000,-4.290553
0.900000,11.590000,11.666667,-9.600000,1.194202,8.830000,-4.322638
0.700000,11.850000,11.833333,-9.800000,1.207620,8.730000,-4.160428
0.800000,12.010000,12.000000,-9.800000,1.224166,8.710000,-4.155080
0.600000,12.190000,12.166667,-9.200000,1.239632,8.730000,-4.110517
0.900000,12.290000,12.333333,-9.600000,1.256219,8.790000,-4.094474
0.900000,12.490000,12.500000,-9.400000,1.271801,8.790000,-4.096257
0.800000,12.710000,12.666667,-9.200000,1.295500,8.850000,-4.385027
0.900000,12.730000,12.833333,-9.600000,1.305680,8.770000,-4.090909
0.900000,12.950000,13.000000,-9.800000,1.319245,8.890000,-4.222816
0.900000,13.190000,13.166667,-9.600000,1.335696,8.890000,-4.244207
0.700000,13.290000,13.333333,-9.800000,1.351211,8.910000,-4.327986
0.800000,13.490000,13.500000,-9.400000,1.367613,8.910000,-4.329768
1.100000,13.670000,13.666667,-9.800000,1.387598,8.810000,-4.128342
1.100000,13.810000,13.833333,-9.400000,1.400326,8.850000,-4.358289
0.900000,13.970000,14.000000,-9.400000,1.415788,8.950000,-4.409982
0.700000,14.150000,14.166667,-9.800000,1.431287,8.850000,-4.427807
1.000000,14.330000,14.333333,-9.400000,1.447749,8.910000,-4.431373
0.900000,14.530000,14.500000,-9.400000,1.463223,8.790000,-4.424242
0.700000,14.630000,14.666667,-9.400000,1.479929,8.870000,-4.427807
0.700000,14.870000,14.833333,-9.400000,1.495445,8.850000,-4.385027
0.900000,15.010000,15.000000,-9.800000,1.512592,8.770000,-4.417112
1.000000,15.170000,15.166667,-9.400000,1.527291,8.790000,-4.320856
0.900000,15.350000,15.333333,-9.400000,1.543752,8.830000,-4.313725
0.600000,15.470000,15.500000,-9.400000,1.559287,8.690000,-4.254902
0.800000,15.690000,15.666667,-9.600000,1.601237,8.830000,-4.331551
0.900000,15.770000,15.833333,-9.400000,1.616879,8.910000,-4.370766
1.100000,15.990000,16.000000,-9.400000,1.633476,8.950000,-4.379679
1.000000,16.130000,16.166667,-9.400000,1.648946,8.950000,-4.420677
0.500000,16.330000,16.333333,-9.400000,1.665458,8.930000,-4.424242
1.000000,16.470000,16.500000,-9.800000,1.680926,8.850000,-4.443850
0.900000,16.690000,16.666667,-9.400000,1.697444,8.910000,-4.440285
1.000000,16.750000,16.833333,-9.200000,1.713007,8.850000,-4.411765
1.000000,17.030000,17.000000,-9.600000,1.729499,8.830000,-4.406417
0.900000,17.050000,17.166667,-9.400000,1.744955,8.790000,-4.360071
1.000000,17.290000,17.333333,-9.400000,1.761621,8.870000,-4.360071
0.800000,17.570000,17.500000,-9.600000,1.786533,8.830000,-4.194296
0.900000,17.610000,17.666667,-9.600000,1.796128,8.850000,-4.399287
0.800000,17.810000,17.833333,-9.800000,1.809616,8.790000,-4.263815
1.000000,17.950000,18.000000,-9.600000,1.825077,8.690000,-4.204991
0.900000,18.170000,18.166667,-9.600000,1.841648,8.650000,-4.199643
1.100000,18.310000,18.333333,-9.800000,1.857169,8.650000,-4.137255
1.100000,18.470000,18.500000,-9.600000,1.873641,8.690000,-4.126560
1.000000,18.690000,18.666667,-9.400000,1.898460,8.910000,-4.427807
0.800000,18.790000,18.833333,-10.000000,1.908621,8.650000,-4.221034
0.800000,18.970000,19.000000,-9.600000,1.921268,8.790000,-4.122995
0.900000,19.210000,19.166667,-9.400000,1.937758,8.870000,-4.119430
0.800000,19.310000,19.333333,-9.800000,1.953341,8.870000,-4.178253
0.800000,19.530000,19.500000,-9.600000,1.969837,8.850000,-4.199643
0.900000,19.670000,19.666667,-9.600000,1.990617,8.730000,-4.122995
1.100000,19.810000,19.833333,-10.000000,2.001196,8.870000,-4.340463
0.900000,20.010000,20.000000,-9.800000,2.017827,8.890000,-4.340463
0.900000,20.110000,20.166667,-9.800000,2.033428,8.910000,-4.381462
0.800000,20.330000,20.333333,-9.400000,2.048930,8.870000,-4.408200
0.800000,20.490000,20.500000,-9.400000,2.065467,8.910000,-4.413547
0.800000,20.630000,20.666667,-9.600000,2.080945,8.810000,-4.436720
0.900000,20.830000,20.833333,-9.600000,2.097441,8.850000,-4.429590
1.000000,20.950000,21.000000,-9.400000,2.112985,8.890000,-4.409982
1.000000,21.130000,21.166667,-9.400000,2.129482,8.870000,-4.399287
1.200000,21.250000,21.333333,-9.600000,2.144931,8.850000,-4.352941
0.800000,21.430000,21.500000,-9.400000,2.161403,8.790000,-4.335116
1.000000,21.630000,21.666667,-9.800000,2.201689,8.830000,-4.304813
0.900000,21.790000,21.833333,-9.600000,2.218441,8.890000,-4.297683
1.000000,21.910000,22.000000,-9.200000,2.233940,8.950000,-4.345811
1.000000,22.150000,22.166667,-9.200000,2.250414,8.970000,-4.351159
0.900000,22.350000,22.333333,-9.400000,2.266141,8.910000,-4.383244
1.000000,22.390000,22.500000,-9.800000,2.281667,8.910000,-4.413547
0.900000,22.650000,22.666667,-9.400000,2.298209,8.870000,-4.411765
1.000000,22.790000,22.833333,-9.200000,2.313691,8.890000,-4.399287
1.100000,22.970000,23.000000,-9.400000,2.330216,8.850000,-4.399287
1.000000,23.130000,23.166667,-9.400000,2.345706,8.870000,-4.356506
1.000000,23.310000,23.333333,-9.400000,2.362219,8.790000,-4.352941
0.800000,23.510000,23.500000,-9.400000,2.386530,8.890000,-4.206774
0.900000,23.630000,23.666667,-9.200000,2.395959,8.830000,-4.372549
1.100000,23.730000,23.833333,-9.600000,2.410420,8.810000,-4.272727
0.900000,23.910000,24.000000,-9.400000,2.425873,8.770000,-4.210339
1.000000,24.110000,24.166667,-9.600000,2.442385,8.710000,-4.203209
0.900000,24.270000,24.333333,-9.600000,2.457848,8.710000,-4.137255
1.200000,24.410000,24.500000,-9.400000,2.474294,8.710000,-4.126560
1.000000,24.670000,24.666667,-9.400000,2.499430,8.870000,-4.386809
1.000000,24.730000,24.833333,-9.600000,2.509689,8.770000,-4.226381
1.000000,24.850000,25.000000,-9.400000,2.522414,8.810000,-4.074866
1.000000,25.050000,25.166667,-9.400000,2.537895,8.870000,-4.112299
0.900000,25.270000,25.333333,-9.400000,2.554354,8.830000,-4.119430
1.000000,25.430000,25.500000,-9.400000,2.569867,8.870000,-4.212121
1.100000,25.670000,25.666667,-10.000000,2.590931,8.750000,-4.117647
0.800000,25.710000,25.833333,-9.400000,2.602446,8.910000,-4.278075
0.800000,25.870000,26.000000,-9.400000,2.617906,8.910000,-4.340463
0.800000,26.090000,26.166667,-9.400000,2.634335,8.950000,-4.347594
1.100000,26.230000,26.333333,-9.400000,2.649796,8.970000,-4.386809
1.000000,26.470000,26.500000,-9.200000,2.666295,8.950000,-4.397504
0.900000,26.570000,26.666667,-9.400000,2.681746,8.870000,-4.433155
1.000000,26.770000,26.833333,-9.400000,2.698259,8.870000,-4.426025
0.900000,26.910000,27.000000,-9.600000,2.713761,8.830000,-4.418895
1.100000,27.050000,27.166667,-9.600000,2.730272,8.810000,-4.415330
1.000000,27.190000,27.333333,-9.600000,2.745740,8.790000,-4.368984
1.100000,27.310000,27.500000,-9.400000,2.762409,8.850000,-4.365419
1.100000,27.550000,27.666667,-9.600000,2.801422,8.910000,-4.336898
1.200000,27.670000,27.833333,-9.400000,2.817261,8.910000,-4.360071
1.100000,27.850000,28.000000,-9.800000,2.833759,8.890000,-4.365419
1.000000,27.990000,28.166667,-9.200000,2.849292,8.910000,-4.395722
0.900000,28.190000,28.333333,-9.600000,2.865745,8.890000,-4.408200
1.000000,28.330000,28.500000,-9.400000,2.881261,8.830000,-4.418895
1.000000,28.530000,28.666667,-9.600000,2.897710,8.850000,-4.420677
1.200000,28.730000,28.833333,-9.400000,2.913311,8.810000,-4.393939
0.800000,28.830000,29.000000,-9.600000,2.929783,8.810000,-4.388592
1.000000,29.010000,29.166667,-9.600000,2.945317,8.850000,-4.333333
1.100000,29.190000,29.333333,-9.200000,2.961767,8.810000,-4.319073
0.900000,29.430000,29.500000,-9.400000,2.986448,8.930000,-4.247772
0.900000,29.410000,29.666667,-9.600000,2.995906,8.790000,-4.358289
1.000000,29.650000,29.833333,-9.200000,3.010620,8.810000,-4.269162
1.100000,29.890000,30.000000,-9.400000,3.025335,8.750000,-4.160428
1.200000,29.970000,30.166667,-9.600000,3.041839,8.730000,-4.158645
1.200000,30.170000,30.333333,-9.400000,3.057409,8.750000,-4.108734
1.000000,30.410000,30.500000,-9.600000,3.073864,8.770000,-4.089127
1.000000,30.530000,30.666667,-9.600000,3.098685,8.910000,-4.411765
1.100000,30.670000,30.833333,-9.400000,3.108857,8.730000,-4.180036
1.100000,30.830000,31.000000,-9.400000,3.121402,8.850000,-4.117647
1.000000,31.050000,31.166667,-9.400000,3.137873,8.890000,-4.128342
1.000000,31.130000,31.333333,-9.600000,3.153391,8.890000,-4.204991
1.100000,31.330000,31.500000,-9.400000,3.169869,8.870000,-4.233512
1.000000,31.470000,31.666667,-9.400000,3.191427,8.710000,-4.121212
1.000000,31.610000,31.833333,-9.600000,3.201954,8.950000,-4.303030
1.100000,31.770000,32.000000,-9.200000,3.217451,8.930000,-4.340463
1.200000,31.990000,32.166667,-9.600000,3.233910,8.930000,-4.345811
1.000000,32.150000,32.333333,-9.800000,3.249404,8.950000,-4.392157
1.000000,32.310000,32.500000,-9.600000,3.266006,8.930000,-4.390374
1.100000,32.470000,32.666667,-9.800000,3.281539,8.850000,-4.409982
0.900000,32.750000,32.833333,-9.400000,3.297095,8.810000,-4.404635
1.000000,32.830000,33.000000,-9.400000,3.313590,8.870000,-4.401070
1.000000,32.950000,33.166667,-9.400000,3.329144,8.790000,-4.349376
1.000000,33.150000,33.333333,-9.200000,3.345601,8.810000,-4.344029
1.100000,33.250000,33.500000,-9.400000,3.361219,8.790000,-4.288770
0.900000,33.530000,33.666667,-11.800000,3.396424,8.870000,-4.372549
1.100000,33.610000,33.833333,-11.800000,3.412873,8.850000,-4.370766
0.800000,33.890000,34.000000,-12.200000,3.429183,8.850000,-4.356506
1.000000,33.930000,34.166667,-12.000000,3.444502,8.850000,-4.295900
1.000000,34.170000,34.333333,-11.600000,3.460797,8.790000,-4.265597
1.200000,34.310000,34.500000,-11.600000,3.477108,8.770000,-4.245989
1.100000,34.350000,34.666667,-9.200000,3.493839,8.810000,-4.233512
0.900000,34.650000,34.833333,-10.200000,3.510402,8.750000,-4.231729
1.100000,34.810000,35.000000,-9.400000,3.526991,8.690000,-4.231729
1.100000,34.930000,35.166667,-9.800000,3.542455,8.690000,-4.162210
1.000000,35.110000,35.333333,-9.200000,3.558953,8.730000,-4.158645
1.100000,35.330000,35.500000,-9.200000,3.577865,8.810000,-4.270945
1.300000,35.450000,35.666667,-9.200000,3.596633,8.850000,-4.361854
1.000000,35.570000,35.833333,-9.600000,3.607279,8.750000,-4.083779
0.800000,35.810000,36.000000,-9.200000,3.622717,8.810000,-4.087344
1.200000,35.930000,36.166667,-9.400000,3.639254,8.830000,-4.090909
1.100000,36.130000,36.333333,-9.400000,3.654723,8.890000,-4.131907
1.000000,36.330000,36.500000,-9.400000,3.671308,8.910000,-4.135472
1.300000,36.490000,36.666667,-9.600000,3.696020,8.810000,-4.340463
1.300000,36.570000,36.833333,-9.200000,3.706278,8.830000,-4.085561
1.100000,36.750000,37.000000,-9.400000,3.718765,8.870000,-4.315508
1.200000,36.910000,37.166667,-9.400000,3.734247,8.910000,-4.349376
1.100000,37.110000,37.333333,-9.400000,3.750710,8.890000,-4.354724
1.300000,37.310000,37.500000,-9.400000,3.767343,8.950000,-4.354724
1.100000,37.510000,37.666667,-9.200000,3.789229,8.790000,-4.089127
1.100000,37.610000,37.833333,-9.600000,3.798700,8.870000,-4.413547
1.000000,37.850000,38.000000,-9.400000,3.815255,8.810000,-4.408200
1.200000,38.010000,38.166667,-9.600000,3.830737,8.850000,-4.401070
0.900000,38.190000,38.333333,-9.600000,3.847279,8.830000,-4.401070
1.100000,38.290000,38.500000,-9.200000,3.862821,8.850000,-4.347594
1.100000,38.470000,38.666667,-9.400000,3.878350,8.810000,-4.306595
1.100000,38.610000,38.833333,-9.000000,3.894844,8.850000,-4.301248
1.100000,38.750000,39.000000,-9.600000,3.910642,8.750000,-4.254902
0.900000,38.930000,39.166667,-9.400000,3.927250,8.750000,-4.249554
1.100000,39.110000,39.333333,-9.400000,3.942721,8.670000,-4.190731
1.100000,39.250000,39.500000,-9.200000,3.959276,8.690000,-4.188948
1.200000,39.510000,39.666667,-9.400000,3.987718,8.910000,-4.183601
1.000000,39.670000,39.833333,-9.400000,4.012394,8.790000,-4.340463
1.100000,39.750000,40.000000,-9.200000,4.028250,8.850000,-4.294118
1.300000,39.930000,40.166667,-9.200000,4.044751,8.830000,-4.281640
1.100000,40.130000,40.333333,-9.600000,4.060406,8.750000,-4.226381
1.200000,40.270000,40.500000,-9.400000,4.076896,8.770000,-4.217469
1.100000,40.430000,40.666667,-9.200000,4.092467,8.690000,-4.158645
1.200000,40.630000,40.833333,-9.200000,4.108923,8.710000,-4.146168
1.100000,40.810000,41.000000,-9.400000,4.124338,8.730000,-4.089127
1.000000,40.950000,41.166667,-9.200000,4.140784,8.730000,-4.085561
1.300000,41.130000,41.333333,-9.200000,4.156288,8.810000,-4.076649
1.100000,41.310000,41.500000,-9.400000,4.172787,8.830000,-4.083779
1.300000,41.490000,41.666667,-9.200000,4.194974,8.770000,-4.270945
1.200000,41.610000,41.833333,-9.400000,4.204527,8.910000,-4.160428
1.100000,41.790000,42.000000,-9.600000,4.219995,8.910000,-4.262032
1.100000,41.950000,42.166667,-9.600000,4.236491,8.890000,-4.272727
1.000000,42.110000,42.333333,-9.400000,4.252943,8.910000,-4.288770
1.100000,42.270000,42.500000,-9.400000,4.268541,8.890000,-4.336898
1.000000,42.430000,42.666667,-9.200000,4.293288,8.730000,-4.206774
1.300000,42.530000,42.833333,-9.400000,4.303494,8.830000,-4.254902
1.000000,42.770000,43.000000,-9.400000,4.316006,8.870000,-4.408200
1.200000,42.890000,43.166667,-9.400000,4.332488,8.850000,-4.413547
1.300000,43.110000,43.333333,-9.400000,4.348947,8.890000,-4.415330
1.300000,43.250000,43.500000,-9.600000,4.364388,8.830000,-4.408200
1.200000,43.450000,43.666667,-9.400000,4.387669,8.850000,-4.199643
1.100000,43.530000,43.833333,-9.400000,4.397195,8.810000,-4.386809
1.300000,43.730000,44.000000,-9.000000,4.412648,8.790000,-4.345811
1.400000,43.910000,44.166667,-9.400000,4.428199,8.750000,-4.285205
1.200000,44.090000,44.333333,-9.000000,4.444693,8.770000,-4.274510
1.000000,44.230000,44.500000,-9.600000,4.460203,8.750000,-4.204991
1.000000,44.430000,44.666667,-9.200000,4.476714,8.770000,-4.201426
1.100000,44.610000,44.833333,-9.800000,4.492270,8.690000,-4.144385
1.300000,44.770000,45.000000,-10.000000,4.509362,8.670000,-4.172906
1.300000,44.910000,45.166667,-9.200000,4.524151,8.730000,-4.081996
1.200000,45.070000,45.333333,-9.000000,4.540654,8.770000,-4.078431
1.200000,45.250000,45.500000,-9.400000,4.556335,8.870000,-4.096257
1.000000,45.450000,45.666667,-9.200000,4.572844,8.810000,-4.090909
1.300000,45.610000,45.833333,-9.400000,4.610496,8.750000,-4.233512
1.100000,45.770000,46.000000,-9.200000,4.626262,8.670000,-4.176471
1.100000,45.870000,46.166667,-9.400000,4.642828,8.690000,-4.172906
1.200000,46.030000,46.333333,-9.200000,4.658387,8.690000,-4.117647
1.500000,46.150000,46.500000,-9.200000,4.674821,8.710000,-4.110517
1.500000,46.310000,46.666667,-9.400000,4.690346,8.790000,-4.085561
1.300000,46.530000,46.833333,-9.400000,4.706823,8.810000,-4.089127
1.200000,46.690000,47.000000,-9.400000,4.722356,8.810000,-4.124777
1.200000,46.850000,47.166667,-9.200000,4.738828,8.790000,-4.128342
0.900000,47.050000,47.333333,-9.200000,4.754248,8.870000,-4.212121
1.000000,47.250000,47.500000,-9.400000,4.770883,8.850000,-4.217469
1.000000,47.410000,47.666667,-9.200000,4.793463,8.670000,-4.188948
1.000000,47.470000,47.833333,-9.800000,4.802949,8.830000,-4.299465
1.300000,47.630000,48.000000,-9.200000,4.818444,8.930000,-4.342246
1.300000,47.850000,48.166667,-9.400000,4.834891,8.890000,-4.351159
1.200000,47.990000,48.333333,-9.400000,4.850405,8.890000,-4.390374
1.100000,48.230000,48.500000,-9.400000,4.866854,8.910000,-4.401070
1.200000,48.390000,48.666667,-9.000000,4.891477,8.690000,-4.087344
1.400000,48.450000,48.833333,-9.600000,4.901598,8.870000,-4.354724
1.000000,48.690000,49.000000,-9.600000,4.915170,8.810000,-4.397504
1.100000,48.850000,49.166667,-9.200000,4.930697,8.830000,-4.370766
1.100000,49.050000,49.333333,-9.000000,4.946232,8.810000,-4.326203
1.100000,49.230000,49.500000,-8.800000,4.962724,8.810000,-4.304813
1.200000,49.390000,49.666667,-9.600000,4.987535,8.850000,-4.222816
1.100000,49.430000,49.833333,-9.200000,4.996997,8.830000,-4.356506
1.000000,49.630000,50.000000,-9.600000,5.010474,8.690000,-4.210339
1.200000,49.850000,50.166667,-9.200000,5.027157,8.710000,-4.203209
1.100000,49.990000,50.333333,-9.400000,5.042659,8.670000,-4.135472
1.200000,50.110000,50.500000,-9.200000,5.059208,8.690000,-4.128342
1.300000,50.310000,50.666667,-9.200000,5.074691,8.710000,-4.065954
1.100000,50.470000,50.833333,-9.000000,5.091192,8.730000,-4.067736
1.300000,50.650000,51.000000,-9.400000,5.106660,8.810000,-4.067736
1.200000,50.850000,51.166667,-9.200000,5.123186,8.850000,-4.076649
1.100000,50.970000,51.333333,-9.400000,5.138691,8.850000,-4.122995
