# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0105 T4
# Tap_cm: 5.0
# Sample: PT_07
# Fit of Tap:
#	Ic = 66.5 +/- 1.2e+07 A
#	n = 133 +/- 1.7e+08 
#	Vc = 5 uV
#	Vfloor = 3.24 +/- 0.014 uV
#	R = 0.00395 +/- 0.00046 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.200000,0.270000,0.000000,-11.600000,0.037743,8.670000,-4.121212
3.400000,0.310000,0.166667,-11.800000,0.059861,8.850000,-4.433155
3.200000,0.410000,0.333333,-9.400000,0.077677,8.870000,-4.445633
3.300000,0.590000,0.500000,-9.200000,0.094201,8.890000,-4.449198
3.300000,0.730000,0.666667,-9.200000,0.110195,8.890000,-4.454545
3.000000,0.910000,0.833333,-9.000000,0.126152,8.850000,-4.420677
3.300000,1.050000,1.000000,-9.800000,0.142117,8.830000,-4.377897
3.300000,1.170000,1.166667,-9.400000,0.158381,8.830000,-4.367201
3.000000,1.330000,1.333333,-9.600000,0.174666,8.770000,-4.344029
3.100000,1.510000,1.500000,-9.400000,0.189734,8.730000,-4.235294
3.200000,1.710000,1.666667,-9.000000,0.205759,8.690000,-4.196078
3.000000,1.910000,1.833333,-9.200000,0.231788,8.930000,-4.315508
3.200000,1.970000,2.000000,-9.200000,0.241253,8.770000,-4.327986
3.100000,2.250000,2.166667,-9.200000,0.265553,8.910000,-4.292335
3.200000,2.290000,2.333333,-9.000000,0.275675,8.870000,-4.381462
3.200000,2.450000,2.500000,-9.200000,0.286104,8.730000,-4.044563
3.300000,2.670000,2.666667,-9.000000,0.301685,8.830000,-4.060606
3.300000,2.830000,2.833333,-9.400000,0.318114,8.770000,-4.067736
3.200000,3.030000,3.000000,-9.800000,0.333590,8.850000,-4.162210
3.200000,3.230000,3.166667,-9.600000,0.350017,8.830000,-4.171123
3.000000,3.350000,3.333333,-10.000000,0.365485,8.870000,-4.294118
3.100000,3.530000,3.500000,-9.400000,0.381963,8.890000,-4.308378
3.200000,3.710000,3.666667,-8.800000,0.397573,8.910000,-4.370766
3.300000,3.850000,3.833333,-9.000000,0.414066,8.930000,-4.367201
3.300000,4.030000,4.000000,-9.200000,0.429580,8.950000,-4.411765
3.100000,4.250000,4.166667,-9.200000,0.448930,8.890000,-4.295900
3.000000,4.350000,4.333333,-9.400000,0.461510,8.910000,-4.449198
3.200000,4.530000,4.500000,-9.200000,0.477947,8.930000,-4.454545
3.400000,4.690000,4.666667,-9.600000,0.493442,8.890000,-4.424242
3.100000,4.830000,4.833333,-9.800000,0.509837,8.870000,-4.420677
3.400000,5.010000,5.000000,-9.800000,0.526311,8.830000,-4.402852
3.300000,5.150000,5.166667,-9.000000,0.541801,8.810000,-4.326203
3.400000,5.350000,5.333333,-9.800000,0.565761,8.890000,-4.262032
3.200000,5.410000,5.500000,-9.200000,0.576067,8.870000,-4.381462
3.600000,5.630000,5.666667,-9.200000,0.590107,8.790000,-4.240642
3.200000,5.870000,5.833333,-9.400000,0.606109,8.710000,-4.199643
3.100000,6.050000,6.000000,-9.200000,0.622073,8.670000,-4.151515
3.000000,6.190000,6.166667,-9.200000,0.638037,8.610000,-4.098039
3.300000,6.350000,6.333333,-10.200000,0.658053,8.790000,-4.319073
3.300000,6.430000,6.500000,-9.400000,0.670034,8.650000,-4.023173
3.100000,6.610000,6.666667,-9.400000,0.686066,8.750000,-4.023173
3.200000,6.830000,6.833333,-9.400000,0.702069,8.750000,-4.033868
3.400000,6.950000,7.000000,-9.200000,0.718067,8.870000,-4.055258
3.300000,7.250000,7.166667,-9.400000,0.733609,8.870000,-4.142602
3.200000,7.350000,7.333333,-9.200000,0.750018,8.910000,-4.169340
3.100000,7.490000,7.500000,-9.000000,0.765497,8.950000,-4.295900
3.300000,7.710000,7.666667,-9.200000,0.781915,8.950000,-4.311943
3.000000,7.830000,7.833333,-9.000000,0.798398,8.910000,-4.319073
3.400000,8.010000,8.000000,-9.200000,0.813810,8.970000,-4.372549
3.400000,8.210000,8.166667,-9.400000,0.830261,8.950000,-4.379679
3.500000,8.350000,8.333333,-9.800000,0.867780,8.970000,-4.062389
3.400000,8.550000,8.500000,-9.200000,0.884486,8.890000,-4.078431
3.300000,8.670000,8.666667,-9.000000,0.900060,8.890000,-4.167558
3.200000,8.870000,8.833333,-9.600000,0.916624,8.870000,-4.183601
