# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0108 T2
# Tap_cm: 5.0
# Sample: PT_05
# Fit of Tap:
#	Ic = 71 +/- 0.042 A
#	n = 28 +/- 0.93 
#	Vc = 5 uV
#	Vfloor = 0.186 +/- 0.027 uV
#	R = 0.00493 +/- 0.00074 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.200000,0.190000,0.000000,-9.800000,0.051170,8.710000,-4.110517
-0.100000,0.290000,0.166667,-12.200000,0.080216,8.850000,-4.297683
0.200000,0.350000,0.333333,-11.800000,0.087570,8.770000,-4.278075
0.200000,0.530000,0.500000,-11.800000,0.096916,8.830000,-4.292335
0.200000,0.730000,0.666667,-12.200000,0.112212,8.950000,-4.363636
0.000000,0.930000,0.833333,-12.400000,0.134443,8.710000,-4.119430
0.000000,1.070000,1.000000,-12.200000,0.145235,8.970000,-4.377897
0.200000,1.210000,1.166667,-9.600000,0.162479,8.990000,-4.367201
0.200000,1.390000,1.333333,-9.400000,0.179002,8.930000,-4.372549
0.300000,1.510000,1.500000,-9.600000,0.194428,8.950000,-4.395722
0.200000,1.650000,1.666667,-9.600000,0.215252,8.850000,-4.156863
0.100000,1.890000,1.833333,-9.800000,0.226735,8.850000,-4.417112
-0.100000,2.010000,2.000000,-9.800000,0.242253,8.850000,-4.434938
0.300000,2.190000,2.166667,-9.800000,0.258661,8.870000,-4.433155
0.000000,2.410000,2.333333,-9.600000,0.275284,8.790000,-4.420677
0.100000,2.530000,2.500000,-9.400000,0.290699,8.770000,-4.379679
0.000000,2.750000,2.666667,-9.400000,0.307307,8.790000,-4.376114
0.100000,2.870000,2.833333,-9.400000,0.322882,8.850000,-4.338681
0.100000,3.030000,3.000000,-9.400000,0.338332,8.710000,-4.281640
0.100000,3.170000,3.166667,-9.200000,0.354832,8.730000,-4.272727
0.100000,3.350000,3.333333,-9.200000,0.370614,8.750000,-4.251337
0.200000,3.530000,3.500000,-9.800000,0.387159,8.790000,-4.237077
0.400000,3.710000,3.666667,-9.600000,0.406714,8.770000,-4.331551
0.300000,3.810000,3.833333,-9.600000,0.418365,8.770000,-4.178253
0.000000,4.090000,4.000000,-9.800000,0.442299,8.770000,-4.368984
0.200000,4.190000,4.166667,-9.800000,0.452449,8.770000,-4.203209
0.400000,4.350000,4.333333,-9.200000,0.466958,8.850000,-4.188948
0.000000,4.550000,4.500000,-9.800000,0.482374,8.830000,-4.206774
0.100000,4.710000,4.666667,-9.800000,0.499008,8.850000,-4.213904
0.100000,4.910000,4.833333,-9.800000,0.514469,8.850000,-4.263815
0.100000,4.990000,5.000000,-9.600000,0.530960,8.810000,-4.251337
0.000000,5.250000,5.166667,-9.600000,0.546444,8.810000,-4.286988
0.100000,5.330000,5.333333,-9.800000,0.563117,8.770000,-4.267380
0.200000,5.470000,5.500000,-9.800000,0.578559,8.770000,-4.295900
0.200000,5.730000,5.666667,-9.800000,0.598060,8.770000,-4.212121
0.100000,5.790000,5.833333,-9.400000,0.610565,8.830000,-4.336898
-0.100000,6.070000,6.000000,-9.400000,0.627079,8.810000,-4.349376
0.300000,6.210000,6.166667,-9.600000,0.642489,8.730000,-4.360071
0.100000,6.350000,6.333333,-9.800000,0.658961,8.790000,-4.365419
0.300000,6.510000,6.500000,-9.800000,0.674359,8.790000,-4.340463
0.000000,6.690000,6.666667,-9.800000,0.690832,8.770000,-4.347594
0.200000,6.830000,6.833333,-9.400000,0.706227,8.790000,-4.304813
0.200000,7.050000,7.000000,-9.200000,0.722643,8.770000,-4.301248
0.100000,7.250000,7.166667,-9.800000,0.746130,8.810000,-4.278075
0.300000,7.290000,7.333333,-9.400000,0.756375,8.770000,-4.317291
0.400000,7.510000,7.500000,-9.200000,0.770888,8.770000,-4.245989
0.100000,7.690000,7.666667,-9.800000,0.790344,8.810000,-4.336898
0.000000,7.870000,7.833333,-9.600000,0.803063,8.790000,-4.219251
0.400000,8.010000,8.000000,-9.600000,0.818603,8.790000,-4.199643
0.100000,8.170000,8.166667,-9.800000,0.835100,8.870000,-4.197861
0.400000,8.330000,8.333333,-9.400000,0.850513,8.890000,-4.203209
0.500000,8.510000,8.500000,-9.400000,0.867013,8.870000,-4.199643
0.200000,8.650000,8.666667,-9.800000,0.882443,8.890000,-4.221034
0.400000,8.850000,8.833333,-9.400000,0.898915,8.830000,-4.215686
0.000000,8.990000,9.000000,-9.800000,0.914317,8.790000,-4.245989
0.300000,9.110000,9.166667,-9.600000,0.930808,8.750000,-4.231729
0.000000,9.290000,9.333333,-9.400000,0.946197,8.710000,-4.263815
0.300000,9.490000,9.500000,-9.600000,0.971840,8.730000,-4.247772
0.200000,9.550000,9.666667,-9.600000,0.981325,8.750000,-4.188948
0.300000,9.750000,9.833333,-9.600000,0.994952,8.750000,-4.299465
0.200000,9.970000,10.000000,-9.600000,1.010371,8.710000,-4.331551
0.000000,10.170000,10.166667,-9.800000,1.036245,8.750000,-4.204991
0.200000,10.370000,10.333333,-10.000000,1.050477,8.790000,-4.169340
0.200000,10.450000,10.500000,-9.400000,1.060848,8.770000,-4.336898
0.300000,10.650000,10.666667,-9.600000,1.074319,8.790000,-4.351159
0.300000,10.870000,10.833333,-9.800000,1.091014,8.750000,-4.361854
0.400000,11.010000,11.000000,-9.400000,1.106499,8.810000,-4.345811
0.300000,11.170000,11.166667,-9.800000,1.123086,8.810000,-4.351159
0.100000,11.370000,11.333333,-9.400000,1.138500,8.730000,-4.315508
0.400000,11.530000,11.500000,-9.400000,1.161197,8.810000,-4.358289
0.200000,11.650000,11.666667,-9.600000,1.170567,8.770000,-4.263815
0.300000,11.890000,11.833333,-9.600000,1.187041,8.790000,-4.256684
0.200000,11.990000,12.000000,-9.400000,1.202488,8.830000,-4.226381
0.100000,12.190000,12.166667,-9.600000,1.219020,8.790000,-4.222816
0.300000,12.310000,12.333333,-9.600000,1.234419,8.810000,-4.199643
