# Date: 20210420
# Operator: RDP
# Notes: Precision Test 1, Oct0108 T2
# Tap_cm: 5.0
# Sample: PT_05
# Fit of Tap:
#	Ic = 70.4 +/- 0.026 A
#	n = 31.3 +/- 0.75 
#	Vc = 5 uV
#	Vfloor = 0.593 +/- 0.019 uV
#	R = 0.006 +/- 0.00053 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.600000,0.130000,0.000000,-10.200000,0.028420,8.930000,-4.333333
0.500000,0.250000,0.166667,-10.000000,0.044063,8.890000,-4.370766
0.400000,0.390000,0.333333,-10.200000,0.059644,8.850000,-4.385027
0.300000,0.590000,0.500000,-10.400000,0.076179,8.830000,-4.385027
0.400000,0.750000,0.666667,-10.200000,0.091998,8.810000,-4.392157
0.700000,0.930000,0.833333,-10.200000,0.117139,8.770000,-4.071301
0.600000,0.990000,1.000000,-10.200000,0.127379,8.890000,-4.381462
0.700000,1.170000,1.166667,-10.200000,0.139895,8.830000,-4.326203
0.700000,1.370000,1.333333,-10.000000,0.156721,8.790000,-4.327986
0.400000,1.530000,1.500000,-10.200000,0.172292,8.750000,-4.288770
0.500000,1.710000,1.666667,-9.800000,0.187784,8.730000,-4.224599
0.600000,1.930000,1.833333,-10.000000,0.212460,8.810000,-4.308378
0.600000,1.950000,2.000000,-9.400000,0.221879,8.730000,-4.254902
0.400000,2.170000,2.166667,-9.800000,0.236371,8.710000,-4.135472
0.700000,2.330000,2.333333,-9.800000,0.251794,8.710000,-4.069519
0.900000,2.550000,2.500000,-9.800000,0.268220,8.730000,-4.057041
0.800000,2.670000,2.666667,-9.400000,0.283730,8.730000,-4.046346
0.600000,2.930000,2.833333,-9.800000,0.300196,8.750000,-4.048128
0.800000,3.010000,3.000000,-9.400000,0.315711,8.790000,-4.085561
0.600000,3.110000,3.166667,-9.800000,0.332222,8.830000,-4.108734
0.500000,3.370000,3.333333,-9.800000,0.347813,8.790000,-4.188948
0.300000,3.570000,3.500000,-9.400000,0.364379,8.830000,-4.188948
0.400000,3.790000,3.666667,-9.800000,0.379866,8.890000,-4.279857
0.500000,3.890000,3.833333,-9.600000,0.407757,8.830000,-4.370766
0.400000,4.070000,4.000000,-9.400000,0.429582,8.830000,-4.276292
0.500000,4.170000,4.166667,-9.800000,0.445259,8.890000,-4.322638
0.600000,4.350000,4.333333,-9.600000,0.461862,8.850000,-4.331551
0.400000,4.530000,4.500000,-9.000000,0.477440,8.910000,-4.367201
0.500000,4.710000,4.666667,-9.600000,0.493882,8.910000,-4.363636
0.400000,4.870000,4.833333,-10.000000,0.509476,8.830000,-4.383244
0.600000,4.990000,5.000000,-9.600000,0.525942,8.790000,-4.392157
0.400000,5.170000,5.166667,-9.800000,0.541432,8.830000,-4.377897
0.600000,5.390000,5.333333,-9.800000,0.557873,8.790000,-4.365419
0.700000,5.490000,5.500000,-9.200000,0.573384,8.830000,-4.327986
0.500000,5.670000,5.666667,-9.800000,0.589970,8.830000,-4.322638
0.600000,5.850000,5.833333,-10.200000,0.609867,8.770000,-4.377897
0.600000,6.010000,6.000000,-9.200000,0.621529,8.690000,-4.231729
0.600000,6.210000,6.166667,-9.400000,0.638020,8.750000,-4.222816
0.500000,6.330000,6.333333,-10.000000,0.653606,8.670000,-4.169340
0.600000,6.530000,6.500000,-9.600000,0.670089,8.690000,-4.155080
0.700000,6.670000,6.666667,-9.600000,0.685609,8.610000,-4.090909
0.400000,6.870000,6.833333,-9.400000,0.710013,8.810000,-4.381462
0.700000,6.970000,7.000000,-9.600000,0.720150,8.650000,-4.163993
0.900000,7.130000,7.166667,-9.600000,0.733716,8.710000,-4.048128
0.600000,7.410000,7.333333,-9.400000,0.750222,8.710000,-4.058824
0.600000,7.550000,7.500000,-9.600000,0.765702,8.810000,-4.096257
0.700000,7.710000,7.666667,-9.400000,0.782213,8.750000,-4.099822
0.900000,7.870000,7.833333,-9.200000,0.804924,8.690000,-4.245989
0.500000,7.950000,8.000000,-9.800000,0.814486,8.830000,-4.172906
0.500000,8.190000,8.166667,-9.800000,0.829977,8.910000,-4.270945
0.600000,8.350000,8.333333,-9.600000,0.845708,8.830000,-4.311943
0.500000,8.510000,8.500000,-9.000000,0.861450,8.930000,-4.345811
0.600000,8.690000,8.666667,-9.600000,0.877985,8.910000,-4.352941
0.400000,8.850000,8.833333,-9.800000,0.893531,8.910000,-4.370766
0.600000,8.970000,9.000000,-10.000000,0.910016,8.830000,-4.374332
0.600000,9.090000,9.166667,-10.000000,0.925565,8.850000,-4.385027
0.400000,9.330000,9.333333,-9.800000,0.942042,8.830000,-4.385027
0.700000,9.510000,9.500000,-9.800000,0.957536,8.810000,-4.354724
0.700000,9.690000,9.666667,-9.400000,0.974018,8.830000,-4.342246
0.600000,9.830000,9.833333,-9.400000,0.989576,8.750000,-4.292335
0.600000,10.030000,10.000000,-9.600000,1.023678,8.790000,-4.324421
0.700000,10.130000,10.166667,-9.400000,1.040398,8.830000,-4.333333
0.700000,10.350000,10.333333,-9.400000,1.055833,8.770000,-4.274510
0.700000,10.470000,10.500000,-9.600000,1.072359,8.730000,-4.269162
0.800000,10.750000,10.666667,-9.200000,1.087886,8.730000,-4.219251
0.500000,10.850000,10.833333,-9.800000,1.103510,8.650000,-4.162210
0.600000,11.030000,11.000000,-10.000000,1.120025,8.710000,-4.147950
0.600000,11.210000,11.166667,-10.000000,1.135719,8.690000,-4.083779
0.800000,11.390000,11.333333,-9.800000,1.152227,8.670000,-4.087344
0.500000,11.490000,11.500000,-9.600000,1.167794,8.670000,-4.033868
0.700000,11.690000,11.666667,-9.200000,1.184350,8.690000,-4.048128
0.600000,11.830000,11.833333,-9.200000,1.205472,8.750000,-4.260250
0.700000,11.970000,12.000000,-9.400000,1.216134,8.750000,-4.064171
0.700000,12.170000,12.166667,-9.600000,1.231658,8.770000,-4.124777
0.400000,12.370000,12.333333,-9.400000,1.248218,8.830000,-4.137255
0.800000,12.430000,12.500000,-9.800000,1.264159,8.830000,-4.197861
0.500000,12.570000,12.666667,-9.800000,1.279727,8.810000,-4.274510
0.500000,12.870000,12.833333,-12.000000,1.302078,8.690000,-4.099822
0.800000,12.970000,13.000000,-12.200000,1.312185,8.830000,-4.297683
0.700000,13.150000,13.166667,-12.000000,1.326021,8.830000,-4.377897
0.500000,13.350000,13.333333,-12.000000,1.341433,8.830000,-4.385027
0.700000,13.530000,13.500000,-12.200000,1.357861,8.790000,-4.385027
0.500000,13.710000,13.666667,-11.800000,1.374199,8.830000,-4.381462
0.600000,13.870000,13.833333,-11.800000,1.389523,8.770000,-4.322638
0.500000,13.990000,14.000000,-9.800000,1.408539,8.830000,-4.397504
0.700000,14.170000,14.166667,-9.800000,1.424097,8.810000,-4.367201
0.800000,14.270000,14.333333,-9.800000,1.439606,8.790000,-4.311943
0.900000,14.490000,14.500000,-9.200000,1.456092,8.790000,-4.303030
0.800000,14.650000,14.666667,-9.400000,1.471660,8.750000,-4.258467
1.000000,14.890000,14.833333,-9.400000,1.488160,8.750000,-4.256684
0.700000,14.990000,15.000000,-9.600000,1.503644,8.690000,-4.188948
0.500000,15.190000,15.166667,-9.400000,1.520100,8.690000,-4.171123
0.800000,15.330000,15.333333,-9.600000,1.535627,8.650000,-4.101604
0.800000,15.470000,15.500000,-9.800000,1.552084,8.730000,-4.101604
0.700000,15.630000,15.666667,-9.400000,1.567685,8.750000,-4.062389
0.800000,15.850000,15.833333,-9.400000,1.584207,8.750000,-4.065954
0.500000,16.050000,16.000000,-9.800000,1.619944,8.670000,-4.172906
0.700000,16.130000,16.166667,-9.400000,1.636703,8.670000,-4.178253
0.800000,16.310000,16.333333,-9.600000,1.652240,8.670000,-4.115865
0.900000,16.470000,16.500000,-9.400000,1.668706,8.690000,-4.108734
0.800000,16.670000,16.666667,-9.400000,1.684180,8.770000,-4.058824
0.700000,16.810000,16.833333,-9.600000,1.700677,8.710000,-4.055258
0.800000,16.950000,17.000000,-9.600000,1.716236,8.790000,-4.073084
0.700000,17.110000,17.166667,-9.400000,1.732708,8.770000,-4.081996
0.600000,17.390000,17.333333,-9.600000,1.748147,8.830000,-4.162210
0.700000,17.530000,17.500000,-9.800000,1.764577,8.810000,-4.176471
0.400000,17.670000,17.666667,-10.200000,1.780106,8.810000,-4.270945
0.800000,17.850000,17.833333,-9.600000,1.805205,8.730000,-4.270945
0.700000,17.950000,18.000000,-9.600000,1.814772,8.830000,-4.158645
0.600000,18.130000,18.166667,-9.200000,1.828219,8.910000,-4.333333
0.900000,18.270000,18.333333,-9.400000,1.844824,8.870000,-4.336898
0.800000,18.510000,18.500000,-9.400000,1.860521,8.830000,-4.356506
0.700000,18.670000,18.666667,-9.800000,1.876014,8.770000,-4.374332
0.600000,18.870000,18.833333,-9.800000,1.892565,8.750000,-4.377897
0.600000,18.990000,19.000000,-9.600000,1.917049,8.710000,-4.040998
0.600000,19.090000,19.166667,-9.400000,1.927229,8.850000,-4.363636
0.800000,19.310000,19.333333,-9.600000,1.940708,8.730000,-4.351159
0.900000,19.470000,19.500000,-9.400000,1.956193,8.750000,-4.299465
0.700000,19.670000,19.666667,-9.600000,1.972730,8.710000,-4.290553
0.800000,19.810000,19.833333,-9.400000,1.988209,8.730000,-4.244207
0.700000,19.990000,20.000000,-9.400000,2.008552,8.750000,-4.388592
0.600000,20.110000,20.166667,-9.600000,2.020112,8.630000,-4.151515
0.800000,20.310000,20.333333,-9.800000,2.036616,8.650000,-4.144385
0.700000,20.430000,20.500000,-10.000000,2.052103,8.690000,-4.087344
0.800000,20.630000,20.666667,-9.400000,2.068624,8.710000,-4.081996
0.800000,20.750000,20.833333,-9.200000,2.084125,8.710000,-4.030303
0.700000,21.010000,21.000000,-9.400000,2.100852,8.710000,-4.042781
0.700000,21.070000,21.166667,-9.600000,2.116451,8.730000,-4.064171
0.800000,21.290000,21.333333,-9.400000,2.131945,8.830000,-4.106952
0.800000,21.450000,21.500000,-9.600000,2.148480,8.790000,-4.114082
0.800000,21.590000,21.666667,-9.600000,2.164034,8.810000,-4.208556
0.700000,21.790000,21.833333,-9.800000,2.180593,8.750000,-4.217469
0.700000,21.990000,22.000000,-9.000000,2.228517,8.890000,-4.320856
0.800000,22.070000,22.166667,-9.400000,2.238198,8.730000,-4.245989
0.600000,22.330000,22.333333,-9.400000,2.253628,8.710000,-4.174688
0.700000,22.450000,22.500000,-9.800000,2.269125,8.670000,-4.114082
0.800000,22.650000,22.666667,-9.600000,2.285665,8.670000,-4.099822
0.600000,22.750000,22.833333,-9.400000,2.301241,8.650000,-4.058824
0.900000,22.990000,23.000000,-9.400000,2.317716,8.730000,-4.053476
0.800000,23.130000,23.166667,-9.400000,2.333208,8.790000,-4.049911
0.900000,23.350000,23.333333,-9.600000,2.349811,8.750000,-4.060606
0.700000,23.490000,23.500000,-9.600000,2.365499,8.830000,-4.106952
