# Date: 20201209
# Operator: RDP
# Notes: 
# Tap_cm: 5.0
# Sample: X-3
# Fit of Tap:
#	Ic = 33.4 +/- nan A
#	n = 50 +/- nan 
#	Vc = 5 uV
#	Vfloor = 4.97 +/- inf uV
#	R = 9.28 +/- inf Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.700000,0.190000,0.000000,0.031727,41.926490,0.273466
0.700000,0.070000,0.083333,0.040749,42.438830,0.269771
0.800000,0.130000,0.166667,0.057313,42.438830,0.271619
0.900000,0.110000,0.250000,0.072864,42.695000,0.267923
1.000000,0.190000,0.333333,0.089414,42.524220,0.269771
0.900000,0.250000,0.416667,0.104990,42.695000,0.271619
0.900000,0.250000,0.500000,0.121534,42.951170,0.267923
1.100000,0.350000,0.583333,0.137209,43.207340,0.271619
0.800000,0.390000,0.666667,0.152885,42.780390,0.269771
1.000000,0.410000,0.750000,0.169466,42.780390,0.267923
1.000000,0.490000,0.833333,0.185070,42.951170,0.280857
1.000000,0.530000,0.916667,0.204350,43.036560,0.275314
1.300000,0.590000,1.000000,0.217002,42.695000,0.271619
1.000000,0.650000,1.083333,0.232581,42.268050,0.266075
0.800000,0.690000,1.166667,0.249478,42.438830,0.269771
1.100000,0.750000,1.250000,0.265493,42.097270,0.271619
0.700000,0.770000,1.333333,0.282115,42.097270,0.271619
0.900000,0.850000,1.416667,0.297294,41.926490,0.271619
0.800000,0.950000,1.500000,0.313048,41.755710,0.273466
0.900000,0.950000,1.583333,0.329057,41.584930,0.275314
0.900000,0.950000,1.666667,0.345089,41.670320,0.271619
0.800000,0.990000,1.750000,0.361226,41.670320,0.271619
0.800000,1.070000,1.833333,0.377267,41.499540,0.273466
1.200000,1.110000,1.916667,0.395127,41.584930,0.266075
1.000000,1.190000,2.000000,0.409185,41.670320,0.266075
0.700000,1.230000,2.083333,0.425283,42.011880,0.267923
0.600000,1.290000,2.166667,0.441276,42.268050,0.271619
0.800000,1.310000,2.250000,0.456922,42.780390,0.269771
1.100000,1.330000,2.333333,0.473503,42.609610,0.267923
1.000000,1.410000,2.416667,0.489074,42.609610,0.275314
1.100000,1.410000,2.500000,0.504625,42.865780,0.271619
1.000000,1.450000,2.583333,0.521182,43.036560,0.267923
0.900000,1.550000,2.666667,0.536727,42.865780,0.267923
0.900000,1.610000,2.750000,0.553254,42.780390,0.271619
1.000000,1.670000,2.833333,0.577695,41.670320,0.275314
0.900000,1.690000,2.916667,0.586148,42.695000,0.273466
0.800000,1.770000,3.000000,0.601660,42.951170,0.264228
1.100000,1.830000,3.083333,0.617262,42.609610,0.275314
1.100000,1.850000,3.166667,0.632813,42.353440,0.275314
0.900000,1.850000,3.250000,0.649403,42.011880,0.273466
0.900000,1.930000,3.333333,0.664995,42.011880,0.269771
0.900000,2.090000,3.416667,0.681569,42.353440,0.262380
0.900000,2.050000,3.500000,0.697198,41.926490,0.271619
0.900000,2.050000,3.583333,0.712775,41.926490,0.269771
0.900000,2.110000,3.666667,0.731154,41.926490,0.271619
1.000000,2.110000,3.750000,0.746625,41.755710,0.273466
0.700000,2.170000,3.833333,0.763212,41.670320,0.273466
1.000000,2.290000,3.916667,0.782160,42.097270,0.266075
0.800000,2.290000,4.000000,0.794698,41.499540,0.269771
1.000000,2.350000,4.083333,0.811217,41.584930,0.273466
1.100000,2.410000,4.166667,0.826154,42.268050,0.267923
0.800000,2.370000,4.250000,0.840709,42.524220,0.271619
1.000000,2.470000,4.333333,0.857271,42.438830,0.267923
0.900000,2.550000,4.416667,0.877628,41.841100,0.269771
1.000000,2.510000,4.500000,0.888658,42.780390,0.271619
1.100000,2.610000,4.583333,0.905205,42.780390,0.271619
0.800000,2.690000,4.666667,0.920755,43.121950,0.267923
1.100000,2.750000,4.750000,0.937322,42.780390,0.251293
0.700000,2.810000,4.833333,0.952966,42.951170,0.269771
1.000000,2.850000,4.916667,0.973042,42.695000,0.271619
0.900000,2.910000,5.000000,0.984647,42.865780,0.271619
0.900000,2.890000,5.083333,1.001192,42.951170,0.266075
1.300000,2.950000,5.166667,1.016744,42.524220,0.267923
1.100000,3.010000,5.250000,1.033353,42.695000,0.271619
1.200000,3.030000,5.333333,1.048890,42.097270,0.273466
0.900000,3.150000,5.416667,1.065426,42.011880,0.269771
0.800000,3.210000,5.500000,1.080961,41.926490,0.271619
0.800000,3.210000,5.583333,1.097532,41.926490,0.271619
1.000000,3.330000,5.666667,1.113069,42.011880,0.273466
1.000000,3.350000,5.750000,1.128610,41.584930,0.273466
1.000000,3.350000,5.833333,1.145305,41.584930,0.275314
1.100000,3.410000,5.916667,1.160891,41.670320,0.273466
0.800000,3.430000,6.000000,1.183824,42.695000,0.271619
0.900000,3.510000,6.083333,1.193598,41.584930,0.271619
0.900000,3.570000,6.166667,1.209200,41.926490,0.269771
0.900000,3.610000,6.250000,1.224739,42.268050,0.269771
0.800000,3.650000,6.333333,1.241299,42.182660,0.266075
0.700000,3.710000,6.416667,1.256832,42.438830,0.267923
0.900000,3.710000,6.500000,1.273464,42.609610,0.269771
1.200000,3.750000,6.583333,1.289038,42.609610,0.273466
1.000000,3.850000,6.666667,1.304570,42.609610,0.271619
1.200000,3.910000,6.750000,1.321172,42.865780,0.264228
1.000000,3.990000,6.833333,1.336717,42.951170,0.271619
1.100000,4.010000,6.916667,1.353327,43.121950,0.277162
1.100000,4.090000,7.000000,1.373583,42.438830,0.269771
0.900000,4.030000,7.083333,1.385188,43.207340,0.269771
1.300000,4.090000,7.166667,1.400822,42.780390,0.269771
0.800000,4.230000,7.250000,1.417499,42.524220,0.277162
1.000000,4.230000,7.333333,1.433135,42.353440,0.273466
0.800000,4.290000,7.416667,1.448819,42.011880,0.273466
0.900000,4.330000,7.500000,1.465397,42.097270,0.269771
