# Date: 20201209
# Operator: RDP
# Notes: 
# Tap_cm: 5.0
# Sample: X-3
# Fit of Tap:
#	Ic = 54.4 +/- 0.02 A
#	n = 35.8 +/- 0.78 
#	Vc = 5 uV
#	Vfloor = 0.723 +/- 0.012 uV
#	R = 0.000754 +/- 0.00044 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.800000,0.110000,0.000000,0.076992,42.097270,0.290096
0.700000,0.050000,0.083333,0.098859,42.865780,0.271619
0.600000,0.110000,0.166667,0.106102,41.755710,0.273466
0.600000,0.170000,0.250000,0.115860,42.951170,0.269771
0.300000,0.190000,0.333333,0.131693,43.036560,0.267923
0.900000,0.230000,0.416667,0.147508,42.780390,0.269771
0.800000,0.370000,0.500000,0.164402,43.036560,0.271619
0.700000,0.250000,0.583333,0.180256,42.609610,0.273466
0.800000,0.390000,0.666667,0.196076,42.438830,0.267923
0.500000,0.490000,0.750000,0.211934,42.182660,0.267923
0.500000,0.510000,0.833333,0.227761,42.097270,0.264228
0.800000,0.590000,0.916667,0.243539,41.926490,0.266075
0.800000,0.610000,1.000000,0.260304,42.097270,0.269771
0.500000,0.690000,1.083333,0.276376,42.524220,0.253141
0.700000,0.490000,1.166667,0.292945,41.755710,0.269771
0.700000,0.730000,1.250000,0.307835,41.670320,0.271619
0.500000,0.750000,1.333333,0.324631,41.755710,0.269771
0.800000,0.810000,1.416667,0.339931,41.670320,0.273466
0.500000,0.850000,1.500000,0.355735,41.926490,0.264228
0.500000,0.910000,1.583333,0.371539,42.097270,0.267923
0.700000,1.010000,1.666667,0.388349,42.353440,0.269771
0.300000,1.030000,1.750000,0.404389,42.524220,0.266075
0.500000,1.030000,1.833333,0.420337,42.353440,0.273466
0.600000,1.110000,1.916667,0.436164,42.695000,0.273466
0.700000,1.150000,2.000000,0.451946,42.865780,0.269771
0.800000,1.190000,2.083333,0.467767,42.951170,0.264228
0.400000,1.290000,2.166667,0.483543,43.121950,0.267923
0.700000,1.370000,2.250000,0.500312,42.865780,0.271619
0.700000,1.410000,2.333333,0.516091,42.865780,0.267923
0.700000,1.450000,2.416667,0.531849,42.865780,0.271619
0.600000,1.430000,2.500000,0.547625,42.780390,0.267923
0.700000,1.430000,2.583333,0.563522,42.780390,0.275314
0.500000,1.610000,2.666667,0.581383,42.609610,0.267923
0.800000,1.630000,2.750000,0.596176,42.695000,0.271619
0.700000,1.670000,2.833333,0.612018,42.268050,0.271619
0.700000,1.690000,2.916667,0.628411,42.182660,0.277162
0.500000,1.770000,3.000000,0.643679,41.841100,0.267923
0.600000,1.790000,3.083333,0.659485,41.670320,0.266075
0.500000,1.850000,3.166667,0.675836,41.670320,0.266075
0.500000,1.890000,3.250000,0.691735,41.584930,0.269771
0.400000,1.890000,3.333333,0.707607,41.328760,0.260532
0.600000,2.030000,3.416667,0.723504,41.841100,0.273466
0.500000,1.810000,3.500000,0.740352,41.584930,0.262380
0.600000,2.150000,3.583333,0.756182,41.841100,0.291944
0.700000,2.070000,3.666667,0.775280,42.011880,0.275314
0.600000,2.150000,3.750000,0.790600,41.499540,0.271619
0.700000,2.230000,3.833333,0.805683,42.182660,0.269771
0.700000,2.330000,3.916667,0.821861,41.841100,0.269771
0.800000,2.270000,4.000000,0.837987,42.695000,0.264228
0.800000,2.310000,4.083333,0.853975,42.524220,0.269771
0.500000,2.350000,4.166667,0.869987,42.695000,0.271619
1.000000,2.470000,4.250000,0.884453,43.036560,0.267923
0.600000,2.510000,4.333333,0.900225,43.207340,0.266075
0.700000,2.570000,4.416667,0.923172,41.755710,0.269771
0.600000,2.570000,4.500000,0.932467,43.121950,0.267923
0.800000,2.650000,4.583333,0.948251,42.951170,0.269771
0.600000,2.710000,4.666667,0.964541,42.780390,0.271619
0.600000,2.730000,4.750000,0.979374,42.182660,0.273466
0.800000,2.770000,4.833333,0.996166,42.182660,0.269771
0.600000,2.830000,4.916667,1.011943,42.097270,0.269771
0.500000,2.850000,5.000000,1.027712,42.097270,0.269771
0.700000,2.970000,5.083333,1.043465,41.926490,0.273466
0.700000,3.010000,5.166667,1.060212,42.011880,0.266075
0.700000,3.010000,5.250000,1.076019,41.670320,0.271619
1.000000,3.050000,5.333333,1.091786,41.755710,0.273466
0.600000,3.090000,5.416667,1.107566,41.670320,0.271619
0.600000,3.190000,5.500000,1.124318,41.414150,0.271619
0.900000,3.570000,5.583333,1.140317,41.670320,0.269771
0.500000,3.270000,5.666667,1.155721,41.926490,0.269771
0.400000,3.290000,5.750000,1.171658,42.097270,0.271619
0.400000,3.370000,5.833333,1.187486,42.353440,0.264228
0.500000,3.430000,5.916667,1.204246,42.268050,0.267923
0.700000,3.470000,6.000000,1.223114,41.755710,0.267923
0.900000,3.510000,6.083333,1.236360,42.609610,0.280857
0.600000,3.490000,6.166667,1.252172,42.780390,0.273466
0.700000,3.670000,6.250000,1.267942,42.865780,0.266075
0.800000,3.670000,6.333333,1.283710,43.121950,0.266075
0.600000,3.710000,6.416667,1.299472,42.865780,0.266075
0.800000,3.750000,6.500000,1.316228,42.951170,0.269771
0.400000,3.790000,6.583333,1.331993,42.695000,0.273466
0.600000,3.830000,6.666667,1.348327,42.780390,0.271619
0.800000,3.870000,6.750000,1.364127,42.524220,0.269771
0.900000,3.930000,6.833333,1.379922,42.609610,0.269771
0.600000,4.030000,6.916667,1.395683,42.097270,0.275314
0.700000,4.110000,7.000000,1.411808,41.926490,0.266075
0.400000,4.130000,7.083333,1.427678,41.584930,0.267923
0.700000,4.150000,7.166667,1.443464,41.414150,0.269771
0.400000,4.150000,7.250000,1.460221,41.755710,0.267923
0.600000,4.190000,7.333333,1.476067,41.755710,0.271619
0.900000,4.270000,7.416667,1.491842,41.328760,0.271619
0.800000,4.310000,7.500000,1.507638,41.499540,0.271619
0.600000,4.410000,7.583333,1.523948,41.414150,0.273466
0.600000,4.430000,7.666667,1.540310,41.328760,0.264228
0.800000,4.850000,7.750000,1.556167,41.584930,0.269771
0.400000,4.510000,7.833333,1.571990,41.926490,0.264228
0.400000,4.570000,7.916667,1.589064,41.841100,0.266075
0.400000,4.650000,8.000000,1.606064,42.097270,0.267923
0.800000,4.610000,8.083333,1.622087,42.609610,0.264228
0.700000,4.650000,8.166667,1.638095,42.609610,0.267923
0.700000,4.770000,8.250000,1.654038,42.865780,0.271619
