# Date: 20201209
# Operator: RDP
# Notes: New Rig, 15Nm, Bare, mount1
# Tap_cm: 5.0
# Sample: X-4
# Fit of Tap:
#	Ic = 64.7 +/- 0.014 A
#	n = 60.6 +/- 1.3 
#	Vc = 5 uV
#	Vfloor = 0.0852 +/- 0.0097 uV
#	R = 0.00195 +/- 0.00028 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.000000,0.190000,0.000000,0.027356,41.499540,0.271619
-0.200000,0.090000,0.083333,0.042898,42.182660,0.266075
-0.100000,0.150000,0.166667,0.059363,42.011880,0.275314
0.000000,0.490000,0.250000,0.073820,42.438830,0.267923
0.200000,0.210000,0.333333,0.089358,42.865780,0.271619
0.000000,0.270000,0.416667,0.104888,42.524220,0.269771
0.200000,0.230000,0.500000,0.121412,42.780390,0.267923
0.200000,0.330000,0.583333,0.136916,42.951170,0.271619
0.100000,0.410000,0.666667,0.153429,42.865780,0.269771
0.100000,0.470000,0.750000,0.168945,42.951170,0.266075
-0.200000,0.510000,0.833333,0.185445,43.036560,0.271619
-0.100000,0.590000,0.916667,0.203406,42.865780,0.266075
0.200000,0.590000,1.000000,0.217206,42.438830,0.273466
0.100000,0.370000,1.083333,0.238764,42.780390,0.271619
0.200000,0.670000,1.166667,0.248990,42.268050,0.266075
0.000000,0.730000,1.250000,0.265335,41.926490,0.271619
-0.200000,0.810000,1.333333,0.281339,42.097270,0.271619
0.000000,0.810000,1.416667,0.297064,41.755710,0.267923
0.000000,0.850000,1.500000,0.313411,41.841100,0.271619
0.100000,0.930000,1.583333,0.329358,42.011880,0.273466
-0.100000,0.970000,1.666667,0.345328,41.841100,0.273466
0.100000,1.010000,1.750000,0.361344,41.841100,0.273466
0.200000,1.030000,1.833333,0.377801,41.755710,0.269771
0.100000,1.090000,1.916667,0.393021,41.926490,0.275314
0.000000,1.150000,2.000000,0.409321,42.011880,0.267923
0.100000,1.230000,2.083333,0.425784,41.926490,0.267923
-0.100000,1.230000,2.166667,0.441216,42.438830,0.275314
0.100000,1.310000,2.250000,0.456980,42.524220,0.269771
0.000000,1.310000,2.333333,0.473062,42.524220,0.269771
0.000000,1.390000,2.416667,0.488906,42.780390,0.273466
-0.200000,1.490000,2.500000,0.505465,42.780390,0.269771
-0.200000,1.470000,2.583333,0.521013,42.865780,0.267923
0.200000,1.530000,2.666667,0.538229,42.780390,0.267923
0.100000,1.610000,2.750000,0.553289,43.121950,0.269771
0.100000,1.630000,2.833333,0.568838,42.951170,0.275314
-0.100000,1.670000,2.916667,0.585334,43.036560,0.267923
0.100000,1.730000,3.000000,0.600918,42.524220,0.271619
0.100000,1.790000,3.083333,0.617439,42.695000,0.271619
0.000000,1.790000,3.166667,0.632988,42.438830,0.269771
0.200000,1.930000,3.250000,0.649517,42.268050,0.269771
-0.200000,1.930000,3.333333,0.665035,42.353440,0.271619
-0.200000,2.010000,3.416667,0.681575,42.097270,0.269771
0.000000,1.990000,3.500000,0.697147,42.097270,0.269771
0.200000,2.110000,3.583333,0.712656,41.584930,0.273466
0.300000,2.070000,3.666667,0.729321,41.755710,0.269771
0.100000,2.130000,3.750000,0.744938,41.670320,0.271619
0.200000,2.170000,3.833333,0.761775,41.755710,0.271619
0.100000,1.870000,3.916667,0.778504,41.755710,0.267923
0.000000,2.270000,4.000000,0.794971,41.755710,0.267923
0.100000,2.370000,4.083333,0.810445,42.011880,0.269771
-0.100000,2.410000,4.166667,0.826934,41.926490,0.277162
0.000000,2.450000,4.250000,0.849278,42.182660,0.267923
0.100000,2.450000,4.333333,0.858361,42.438830,0.266075
0.200000,2.470000,4.416667,0.874922,42.524220,0.275314
0.100000,2.550000,4.500000,0.889518,42.438830,0.271619
0.100000,2.610000,4.583333,0.905039,42.865780,0.266075
0.100000,2.690000,4.666667,0.921547,42.951170,0.267923
-0.100000,2.710000,4.750000,0.937087,43.036560,0.266075
0.000000,2.790000,4.833333,0.953601,42.865780,0.266075
0.100000,2.890000,4.916667,0.969650,42.865780,0.273466
0.100000,2.890000,5.000000,0.985285,42.865780,0.269771
-0.200000,2.930000,5.083333,1.000823,42.780390,0.266075
0.100000,2.930000,5.166667,1.017363,42.609610,0.273466
0.300000,3.030000,5.250000,1.032908,42.438830,0.275314
0.100000,3.050000,5.333333,1.049421,42.353440,0.269771
0.100000,3.150000,5.416667,1.064932,41.841100,0.271619
-0.200000,3.210000,5.500000,1.081447,42.011880,0.266075
0.000000,3.230000,5.583333,1.096989,41.755710,0.271619
