# Date: 20201209
# Operator: RDP
# Notes: OLD Rig, 15Nm, PLATED, mount1
# Tap_cm: 5.0
# Sample: SOX 717-C 1
# Fit of Tap:
#	Ic = 160 +/- 0.088 A
#	n = 40 +/- 1.1 
#	Vc = 5 uV
#	Vfloor = 0.765 +/- 0.01 uV
#	R = 0.00255 +/- 0.00013 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.600000,0.150000,0.000000,0.026406,41.670320,0.277162
0.800000,0.170000,0.166667,0.041436,41.584930,0.273466
0.700000,0.390000,0.333333,0.057229,42.097270,0.267923
0.700000,0.510000,0.500000,0.073016,42.182660,0.267923
0.700000,0.650000,0.666667,0.088813,42.865780,0.267923
0.700000,0.790000,0.833333,0.105595,42.438830,0.271619
0.600000,0.950000,1.000000,0.125639,41.755710,0.269771
0.800000,1.050000,1.166667,0.136908,42.865780,0.275314
0.800000,1.250000,1.333333,0.153757,42.780390,0.275314
0.400000,1.410000,1.500000,0.169571,42.951170,0.266075
0.800000,1.570000,1.666667,0.185372,43.121950,0.271619
0.800000,1.690000,1.833333,0.201188,43.121950,0.269771
0.600000,1.830000,2.000000,0.221991,42.695000,0.269771
0.700000,2.010000,2.166667,0.232902,43.036560,0.269771
0.700000,2.170000,2.333333,0.249689,43.036560,0.269771
0.700000,2.310000,2.500000,0.265466,42.951170,0.271619
0.800000,2.430000,2.666667,0.281274,42.438830,0.269771
0.600000,2.630000,2.833333,0.297062,42.524220,0.269771
0.600000,2.810000,3.000000,0.312837,42.182660,0.271619
0.600000,2.930000,3.166667,0.329618,42.097270,0.271619
0.700000,3.110000,3.333333,0.345371,41.926490,0.267923
0.600000,3.190000,3.500000,0.361164,42.097270,0.271619
0.700000,3.370000,3.666667,0.376963,41.755710,0.275314
1.000000,3.550000,3.833333,0.393752,41.499540,0.271619
0.700000,3.590000,4.000000,0.409538,41.414150,0.269771
0.500000,3.870000,4.166667,0.431457,42.780390,0.273466
0.600000,3.950000,4.333333,0.441341,41.841100,0.269771
0.700000,4.150000,4.500000,0.457102,42.011880,0.269771
0.500000,4.250000,4.666667,0.473031,42.182660,0.269771
0.400000,4.510000,4.833333,0.488847,42.524220,0.275314
0.300000,4.630000,5.000000,0.505617,42.695000,0.269771
0.600000,4.750000,5.166667,0.521400,42.097270,0.269771
0.600000,4.930000,5.333333,0.537195,42.865780,0.271619
0.700000,5.110000,5.500000,0.552975,43.036560,0.269771
0.600000,5.290000,5.666667,0.569774,43.036560,0.269771
0.600000,5.330000,5.833333,0.585580,43.121950,0.273466
0.500000,5.510000,6.000000,0.601364,43.207340,0.269771
0.800000,5.730000,6.166667,0.620645,43.121950,0.269771
0.600000,5.850000,6.333333,0.633486,43.036560,0.271619
0.800000,5.970000,6.500000,0.649251,43.036560,0.271619
0.400000,6.070000,6.666667,0.665035,42.780390,0.275314
0.800000,6.310000,6.833333,0.680801,42.609610,0.269771
1.000000,6.450000,7.000000,0.697556,42.524220,0.275314
0.700000,6.570000,7.166667,0.713307,42.268050,0.273466
0.700000,6.690000,7.333333,0.733241,42.865780,0.273466
0.800000,6.870000,7.500000,0.747098,42.353440,0.269771
0.800000,7.070000,7.666667,0.763287,42.097270,0.266075
0.700000,7.230000,7.833333,0.779442,42.097270,0.267923
0.800000,7.330000,8.000000,0.795394,42.011880,0.264228
0.700000,7.510000,8.166667,0.811361,41.755710,0.271619
0.500000,7.990000,8.333333,0.829493,42.011880,0.269771
0.600000,7.830000,8.500000,0.841325,41.926490,0.269771
0.400000,7.970000,8.666667,0.857096,41.926490,0.271619
0.700000,8.090000,8.833333,0.872866,42.353440,0.271619
0.500000,8.310000,9.000000,0.889649,42.268050,0.256837
0.700000,8.390000,9.166667,0.905460,42.353440,0.269771
0.900000,8.570000,9.333333,0.921239,42.524220,0.271619
0.900000,8.750000,9.500000,0.937026,42.780390,0.269771
0.600000,8.890000,9.666667,0.952821,43.207340,0.267923
0.400000,9.050000,9.833333,0.969675,42.609610,0.267923
1.000000,9.230000,10.000000,0.985557,43.121950,0.266075
0.800000,9.410000,10.166667,1.001347,43.207340,0.269771
0.600000,9.570000,10.333333,1.032057,43.036560,0.267923
0.500000,9.590000,10.500000,1.038863,42.353440,0.267923
0.600000,9.770000,10.666667,1.049612,43.121950,0.271619
1.000000,9.930000,10.833333,1.065364,43.036560,0.267923
0.700000,10.150000,11.000000,1.081147,42.865780,0.273466
0.900000,10.310000,11.166667,1.096900,42.524220,0.269771
0.800000,10.410000,11.333333,1.113664,42.524220,0.273466
0.700000,10.590000,11.500000,1.129487,42.353440,0.269771
0.600000,10.750000,11.666667,1.145251,42.097270,0.269771
0.800000,10.890000,11.833333,1.161036,42.011880,0.266075
0.700000,11.050000,12.000000,1.176815,41.926490,0.273466
1.000000,11.230000,12.166667,1.193602,41.670320,0.271619
0.800000,11.370000,12.333333,1.209396,41.499540,0.275314
0.700000,11.510000,12.500000,1.225687,41.584930,0.275314
0.600000,11.630000,12.666667,1.241516,41.584930,0.269771
0.600000,11.810000,12.833333,1.257291,42.182660,0.273466
0.700000,11.990000,13.000000,1.273054,42.438830,0.267923
0.600000,12.150000,13.166667,1.288829,42.609610,0.267923
0.400000,12.330000,13.333333,1.305587,42.438830,0.267923
0.600000,12.450000,13.500000,1.325595,42.011880,0.267923
0.900000,12.550000,13.666667,1.336851,42.951170,0.269771
0.700000,12.750000,13.833333,1.353637,43.036560,0.275314
0.800000,12.890000,14.000000,1.369434,43.207340,0.266075
1.000000,13.070000,14.166667,1.385211,43.207340,0.269771
0.700000,13.210000,14.333333,1.401008,43.292730,0.267923
0.500000,13.310000,14.500000,1.422365,40.901810,0.271619
0.500000,13.490000,14.666667,1.433062,43.378120,0.271619
0.800000,13.610000,14.833333,1.448676,42.865780,0.275314
0.800000,13.750000,15.000000,1.465260,42.865780,0.271619
0.800000,13.930000,15.166667,1.480982,42.609610,0.273466
0.600000,14.130000,15.333333,1.496587,42.268050,0.269771
0.600000,14.310000,15.500000,1.513146,42.182660,0.267923
0.600000,14.430000,15.666667,1.528742,42.268050,0.273466
0.700000,14.590000,15.833333,1.546954,42.268050,0.271619
0.700000,14.730000,16.000000,1.562467,41.670320,0.275314
0.800000,14.870000,16.166667,1.578952,42.182660,0.271619
0.800000,15.030000,16.333333,1.594410,41.926490,0.269771
0.800000,15.170000,16.500000,1.610927,42.011880,0.271619
0.700000,15.630000,16.666667,1.645101,42.097270,0.269771
0.900000,15.550000,16.833333,1.660812,42.268050,0.269771
1.000000,15.650000,17.000000,1.676373,41.926490,0.275314
1.000000,15.850000,17.166667,1.692912,41.755710,0.273466
0.900000,15.970000,17.333333,1.708458,41.670320,0.269771
0.600000,16.050000,17.500000,1.724138,42.097270,0.271619
0.900000,16.290000,17.666667,1.740798,42.268050,0.269771
0.900000,16.450000,17.833333,1.756483,42.182660,0.267923
0.600000,16.570000,18.000000,1.772117,42.951170,0.271619
0.700000,16.790000,18.166667,1.788699,42.780390,0.269771
0.600000,16.910000,18.333333,1.804242,42.951170,0.269771
0.700000,17.070000,18.500000,1.821530,42.951170,0.271619
0.600000,17.210000,18.666667,1.836136,43.207340,0.271619
0.800000,17.390000,18.833333,1.852673,43.207340,0.267923
0.800000,17.470000,19.000000,1.868217,43.292730,0.273466
0.700000,17.670000,19.166667,1.884735,43.292730,0.271619
0.800000,17.790000,19.333333,1.900304,43.292730,0.267923
0.700000,18.010000,19.500000,1.925952,41.670320,0.269771
0.700000,18.070000,19.666667,1.932885,43.292730,0.271619
0.700000,18.250000,19.833333,1.948472,42.865780,0.269771
1.100000,18.430000,20.000000,1.964083,43.036560,0.271619
0.900000,18.590000,20.166667,1.980765,43.207340,0.269771
0.800000,18.770000,20.333333,1.996354,42.268050,0.267923
0.900000,18.870000,20.500000,2.012933,42.182660,0.271619
0.800000,18.990000,20.666667,2.028389,42.011880,0.269771
1.000000,19.190000,20.833333,2.044132,42.011880,0.269771
0.800000,19.330000,21.000000,2.060743,42.011880,0.271619
0.900000,19.470000,21.166667,2.076322,41.841100,0.271619
0.600000,19.610000,21.333333,2.092863,42.097270,0.271619
0.800000,19.830000,21.500000,2.108397,41.926490,0.271619
0.800000,20.030000,21.666667,2.124974,41.926490,0.269771
0.500000,20.110000,21.833333,2.140517,42.011880,0.275314
0.600000,20.290000,22.000000,2.156118,42.011880,0.266075
0.700000,20.390000,22.166667,2.172683,42.438830,0.271619
0.900000,20.550000,22.333333,2.188249,42.865780,0.266075
0.500000,20.710000,22.500000,2.204834,42.780390,0.266075
1.000000,20.870000,22.666667,2.231192,42.780390,0.269771
0.600000,20.870000,22.833333,2.237819,42.865780,0.269771
1.000000,21.190000,23.000000,2.252360,43.121950,0.269771
0.800000,21.310000,23.166667,2.268922,43.378120,0.273466
0.600000,21.490000,23.333333,2.284480,43.378120,0.273466
0.800000,21.550000,23.500000,2.300018,43.378120,0.266075
0.700000,21.810000,23.666667,2.316585,43.378120,0.271619
0.700000,21.890000,23.833333,2.332120,43.292730,0.267923
0.900000,22.110000,24.000000,2.349690,42.865780,0.264228
0.900000,22.230000,24.166667,2.366213,43.121950,0.273466
1.000000,22.310000,24.333333,2.382822,43.207340,0.266075
0.900000,22.530000,24.500000,2.398418,43.121950,0.279010
0.900000,22.670000,24.666667,2.414142,42.609610,0.271619
0.700000,22.790000,24.833333,2.434040,43.292730,0.269771
0.600000,22.970000,25.000000,2.446701,42.524220,0.279010
0.700000,23.130000,25.166667,2.462893,42.182660,0.264228
0.900000,23.230000,25.333333,2.476706,42.097270,0.271619
0.700000,23.490000,25.500000,2.492314,42.011880,0.271619
0.800000,23.590000,25.666667,2.509013,41.926490,0.273466
0.700000,23.850000,25.833333,2.525392,42.182660,0.269771
0.700000,23.910000,26.000000,2.540477,42.438830,0.271619
0.800000,24.090000,26.166667,2.556037,42.524220,0.271619
0.900000,24.190000,26.333333,2.572579,42.438830,0.273466
0.800000,24.350000,26.500000,2.588108,42.695000,0.269771
0.700000,24.510000,26.666667,2.604629,42.695000,0.267923
0.800000,24.630000,26.833333,2.621418,42.865780,0.269771
0.800000,24.850000,27.000000,2.635997,43.121950,0.267923
0.800000,24.870000,27.166667,2.652540,43.207340,0.269771
0.600000,25.150000,27.333333,2.668054,43.036560,0.266075
0.800000,25.250000,27.500000,2.684552,43.463510,0.267923
1.000000,25.370000,27.666667,2.700055,43.463510,0.267923
0.600000,25.550000,27.833333,2.716558,43.207340,0.266075
1.000000,25.770000,28.000000,2.732166,43.121950,0.273466
0.700000,25.790000,28.166667,2.748751,43.121950,0.271619
0.900000,26.010000,28.333333,2.764441,43.036560,0.273466
0.900000,26.210000,28.500000,2.780023,42.438830,0.277162
1.000000,26.350000,28.666667,2.796563,42.524220,0.269771
0.800000,26.530000,28.833333,2.812089,42.353440,0.267923
0.900000,26.690000,29.000000,2.834735,43.463510,0.266075
0.700000,26.750000,29.166667,2.844382,42.011880,0.269771
0.700000,26.950000,29.333333,2.860980,42.011880,0.267923
0.800000,27.090000,29.500000,2.876515,42.011880,0.267923
0.800000,27.410000,29.666667,2.892062,41.926490,0.273466
1.000000,27.330000,29.833333,2.908719,41.755710,0.267923
0.700000,27.130000,30.000000,2.924999,42.011880,0.269771
0.800000,27.730000,30.166667,2.940656,42.011880,0.267923
0.700000,27.870000,30.333333,2.956202,42.438830,0.267923
0.800000,28.010000,30.500000,2.973095,42.011880,0.266075
0.600000,28.150000,30.666667,2.988753,42.438830,0.266075
0.800000,28.290000,30.833333,3.004296,42.780390,0.269771
