# Date: 20201210,,,,,
# Operator: RDP,,,,,
# Notes: Old rig, plated,Mount 1,,,
# Tap_cm: 5.0,,,,,
# Sample: SOX 447-C (2-316) 1,,,,,
# Fit of Tap:,,,,,
"#	Ic = 154 +/- 0.091 A",,,,,
"#	n = 50.8 +/- 1.6 ",,,,,
"#	Vc = 5 uV",,,,,
"#	Vfloor = 1.56 +/- 0.01 uV",,,,,
"#	R = 0.00116 +/- 0.00013 Ohms",,,,,
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.4,0.23,0,0.043406,43.37812,0.275314
1.3,0.29,0.166667,0.067122,42.35344,0.271619
1.6,0.35,0.333333,0.075927,42.695,0.273466
1.7,0.51,0.5,0.091907,42.695,0.275314
1.5,0.65,0.666667,0.111773,43.29273,0.267923
1.6,0.77,0.833333,0.124282,42.43883,0.264228
1.4,0.99,1,0.145852,43.5489,0.251293
1.4,1.05,1.166667,0.157776,42.35344,0.269771
1.5,1.21,1.333333,0.172343,42.01188,0.266075
1.2,1.43,1.5,0.188619,42.26805,0.271619
1.3,1.57,1.666667,0.207279,42.43883,0.269771
1.5,1.67,1.833333,0.220911,41.49954,0.269771
1.5,1.89,2,0.236239,41.41415,0.273466
1.4,1.89,2.166667,0.252864,41.67032,0.271619
1.3,2.25,2.333333,0.267972,41.75571,0.273466
1.4,2.39,2.5,0.289017,42.01188,0.277162
1.4,2.45,2.666667,0.300283,42.35344,0.267923
1.4,2.67,2.833333,0.316385,42.43883,0.266075
1.6,2.71,3,0.332463,42.60961,0.267923
1.4,2.87,3.166667,0.348445,42.95117,0.267923
1.5,3.05,3.333333,0.364468,43.12195,0.267923
1.5,3.17,3.5,0.380452,42.95117,0.266075
1.3,3.75,3.666667,0.405891,43.20734,0.271619
1.3,3.51,3.833333,0.42249,42.18266,0.271619
1.3,3.65,4,0.436774,41.49954,0.273466
1.5,3.73,4.166667,0.444467,43.37812,0.275314
1.4,4.03,4.333333,0.461701,42.09727,0.288248
1.6,4.11,4.5,0.475794,43.12195,0.269771
1.7,4.31,4.666667,0.491779,43.03656,0.269771
1.6,4.47,4.833333,0.507901,42.695,0.280857
1.4,4.61,5,0.524018,42.52422,0.267923
1.5,4.79,5.166667,0.540001,42.01188,0.275314
1.4,4.97,5.333333,0.55605,41.49954,0.266075
1.5,5.09,5.5,0.572115,41.92649,0.271619
1.5,5.27,5.666667,0.589761,43.46351,0.267923
1.5,5.43,5.833333,0.616345,42.52422,0.269771
1.5,5.45,6,0.623101,42.26805,0.269771
1.6,5.67,6.166667,0.63615,41.67032,0.273466
1.5,5.89,6.333333,0.652161,42.09727,0.266075
1.5,6.19,6.5,0.668721,41.67032,0.267923
1.4,6.17,6.666667,0.683907,42.09727,0.269771
1.4,6.37,6.833333,0.700021,42.43883,0.269771
1.3,6.23,7,0.720463,41.15798,0.275314
1.5,6.49,7.166667,0.731917,42.95117,0.271619
1.5,6.75,7.333333,0.74823,43.03656,0.271619
1.4,6.91,7.5,0.766586,42.60961,0.238359
1.4,7.05,7.666667,0.779684,43.46351,0.267923
1.5,7.21,7.833333,0.796078,43.37812,0.266075
1.3,7.39,8,0.811704,43.29273,0.273466
1.5,7.45,8.166667,0.82811,43.03656,0.266075
