# Date: 20201210,,,,,
# Operator: RDP,,,,,
# Notes: Old rig, plated,mount 1,,,
# Tap_cm: 5.0
# Sample: SOX 447-C (2-316) 1,,,,,
# Fit of Tap:,,,,,
"#	Ic = 155 +/- 0.13 A",,,,,
"#	n = 37.1 +/- 1.2 ",,,,,
"#	Vc = 5 uV",,,,,
"#	Vfloor = 1.53 +/- 0.011 uV",,,,,
"#	R = 0.00109 +/- 0.00014 Ohms",,,,,
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.7,0.17,0,0.024864,43.46351,0.273466
1.4,0.17,0.166667,0.040969,43.46351,0.269771
1.4,0.31,0.333333,0.057153,43.5489,0.269771
1.5,0.49,0.5,0.072305,43.5489,0.269771
1.4,0.59,0.666667,0.088464,43.29273,0.271619
1.3,0.77,0.833333,0.106656,43.29273,0.273466
1.2,0.89,1,0.121016,43.37812,0.267923
1.4,1.05,1.166667,0.137144,43.12195,0.271619
1.5,1.23,1.333333,0.152149,42.43883,0.273466
1.3,1.33,1.5,0.168203,42.43883,0.267923
1.4,1.63,1.666667,0.18423,42.18266,0.275314
1.4,1.77,1.833333,0.205199,43.20734,0.280857
1.3,1.87,2,0.217507,42.18266,0.271619
1.6,2.09,2.166667,0.232528,41.92649,0.271619
1.4,2.17,2.333333,0.250458,42.01188,0.275314
1.3,2.39,2.5,0.271766,43.63429,0.273466
1.5,2.43,2.666667,0.280105,41.75571,0.266075
1.5,2.69,2.833333,0.296114,42.01188,0.267923
1.3,2.77,3,0.312693,41.8411,0.271619
1.3,2.85,3.166667,0.328781,41.75571,0.273466
1.1,3.09,3.333333,0.344835,42.09727,0.269771
1.2,3.43,3.5,0.36586,39.62096,0.271619
1.2,3.31,3.666667,0.376888,42.86578,0.269771
1.4,3.51,3.833333,0.393588,42.95117,0.266075
1.5,3.71,4,0.409834,42.35344,0.266075
1.3,3.85,4.166667,0.424868,43.03656,0.267923
1.4,4.01,4.333333,0.440915,43.5489,0.267923
1.4,4.19,4.5,0.457042,43.29273,0.264228
1.1,4.35,4.666667,0.473217,43.71968,0.267923
1.2,4.39,4.833333,0.488223,43.63429,0.273466
1.4,4.61,5,0.504212,43.12195,0.277162
1.3,4.71,5.166667,0.520392,43.29273,0.266075
1.5,4.97,5.333333,0.536403,42.86578,0.277162
1.7,5.09,5.5,0.552351,42.695,0.266075
1.7,5.29,5.666667,0.571904,43.5489,0.269771
1.4,5.37,5.833333,0.590492,43.5489,0.269771
1.4,5.51,6,0.600433,43.03656,0.26238
1.6,5.69,6.166667,0.61692,42.95117,0.258684
1.4,5.85,6.333333,0.632903,42.09727,0.271619
1.3,5.97,6.5,0.648919,41.58493,0.273466
1.3,6.47,6.666667,0.667708,40.73103,0.26238
1.5,6.27,6.833333,0.680756,41.75571,0.267923
1.4,6.45,7,0.696991,41.58493,0.321508
1.7,6.61,7.166667,0.71283,41.67032,0.282705
1.4,6.77,7.333333,0.728932,41.92649,0.267923
1.3,6.93,7.5,0.744952,41.8411,0.260532
1.1,7.07,7.666667,0.760981,42.26805,0.264228
1.6,7.21,7.833333,0.776581,42.695,0.271619
1.4,7.35,8,0.792573,43.03656,0.275314
1.7,7.51,8.166667,0.808669,43.12195,0.271619
