# Date: 20201210,,,,,
# Operator: RDP,,,,,
# Notes: OLD rig, plated,mount 3,,,
# Tap_cm: 5.0
# Sample: SOX 447-C (2-316) 3,,,,,
# Fit of Tap:,,,,,
"#	Ic = 155 +/- 0.023 A",,,,,
"#	n = 94.1 +/- 2.4 ",,,,,
"#	Vc = 5 uV",,,,,
"#	Vfloor = -0.369 +/- 0.011 uV",,,,,
"#	R = 0.00186 +/- 0.00013 Ohms",,,,,
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
-0.3,0.15,0,0.026032,43.29273,0.256837
-0.5,0.19,0.166667,0.041067,42.695,0.267923
-0.4,0.33,0.333333,0.057084,42.35344,0.271619
-0.5,0.53,0.5,0.073085,42.35344,0.269771
-0.6,0.61,0.666667,0.089184,42.35344,0.267923
-0.3,0.81,0.833333,0.105477,41.75571,0.271619
-0.5,0.99,1,0.121473,41.92649,0.273466
-0.3,1.09,1.166667,0.137851,41.07259,0.271619
-0.4,1.25,1.333333,0.154879,41.67032,0.269771
-0.4,1.13,1.5,0.170015,41.8411,0.271619
-0.4,1.57,1.666667,0.184972,41.92649,0.275314
-0.4,1.71,1.833333,0.205232,42.01188,0.266075
-0.5,1.85,2,0.217253,41.8411,0.267923
-0.7,1.99,2.166667,0.23323,42.52422,0.267923
-0.5,2.19,2.333333,0.251045,42.01188,0.269771
-0.3,2.31,2.5,0.265559,42.60961,0.275314
-0.2,2.51,2.666667,0.281622,43.37812,0.266075
-0.4,2.67,2.833333,0.302775,42.01188,0.266075
-0.4,2.81,3,0.313814,43.03656,0.269771
-0.5,2.85,3.166667,0.329832,43.29273,0.271619
-0.3,3.03,3.333333,0.345821,43.5489,0.254989
-0.4,3.21,3.5,0.361804,43.46351,0.269771
-0.5,3.41,3.666667,0.377783,43.80507,0.271619
-0.6,3.57,3.833333,0.394441,43.46351,0.271619
-0.4,3.65,4,0.413018,43.63429,0.254989
-0.2,3.79,4.166667,0.425119,42.86578,0.277162
-0.4,4.05,4.333333,0.441288,42.60961,0.299335
-0.4,4.41,4.5,0.459306,43.12195,0.277162
-0.4,4.31,4.666667,0.473914,42.52422,0.273466
-0.6,4.47,4.833333,0.490265,42.695,0.273466
-0.4,4.59,5,0.505589,42.18266,0.271619
-0.5,4.77,5.166667,0.521862,42.43883,0.271619
-0.4,4.97,5.333333,0.538169,41.8411,0.271619
-0.6,5.11,5.5,0.555495,41.75571,0.264228
-0.5,5.21,5.666667,0.569814,41.75571,0.277162
-0.3,5.45,5.833333,0.586304,41.92649,0.275314
-0.3,5.67,6,0.603523,42.01188,0.267923
-0.4,5.75,6.166667,0.617875,42.09727,0.269771
-0.5,5.85,6.333333,0.634149,42.35344,0.269771
-0.6,5.95,6.5,0.649667,42.86578,0.271619
-0.2,6.15,6.666667,0.669509,41.8411,0.269771
-0.7,6.29,6.833333,0.681765,43.03656,0.271619
-0.5,6.51,7,0.69814,42.95117,0.273466
-0.4,6.49,7.166667,0.713853,43.29273,0.269771
-0.2,6.75,7.333333,0.730372,43.37812,0.271619
-0.3,6.85,7.5,0.747106,43.12195,0.275314
-0.5,7.11,7.666667,0.763371,43.37812,0.266075
-0.3,7.19,7.833333,0.779037,43.46351,0.264228
-0.2,7.33,8,0.79329,43.03656,0.273466
-0.3,7.47,8.166667,0.809987,43.80507,0.243902
0,7.65,8.333333,0.825416,42.86578,0.269771
0,7.79,8.5,0.84172,42.60961,0.273466
-0.5,8.09,8.666667,0.86284,43.5489,0.266075
-0.6,8.11,8.833333,0.873285,42.09727,0.267923
-0.5,8.27,9,0.897063,40.9872,0.275314
-0.5,8.41,9.166667,0.907064,41.75571,0.271619
-0.5,8.61,9.333333,0.921246,41.92649,0.269771
-0.3,8.73,9.5,0.937297,41.8411,0.277162
-0.7,8.87,9.666667,0.953347,41.75571,0.271619
-0.3,9.05,9.833333,0.969133,41.75571,0.273466
-0.5,9.23,10,0.98519,41.92649,0.271619
