# Date: 20201210,,,,,
# Operator: RDP,,,,,
# Notes: OLD, plated, mount 2,,,
# Tap_cm: 5.0,,,,,
# Sample: SOX 447-C (2-316) 1,,,,,
# Fit of Tap:,,,,,
"#	Ic = 59.4 +/- 0.28 A",,,,,
"#	n = 25.6 +/- 2.1 ",,,,,
"#	Vc = 5 uV",,,,,
"#	Vfloor = 2.38 +/- 0.018 uV",,,,,
"#	R = 0.0118 +/- 0.00063 Ohms",,,,,
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
2.4,0.19,0,0.04732,41.41415,0.27901
2.4,0.31,0.166667,0.06741,41.92649,0.271619
2.4,0.29,0.333333,0.079409,41.92649,0.269771
2.3,0.55,0.5,0.095428,41.92649,0.269771
2.4,0.69,0.666667,0.11576,40.9872,0.271619
2.1,0.75,0.833333,0.127794,42.26805,0.269771
2.3,0.95,1,0.144173,42.52422,0.290096
2.4,1.41,1.166667,0.163622,41.92649,0.267923
2.2,1.19,1.333333,0.175948,43.20734,0.275314
2.3,1.41,1.5,0.191195,42.78039,0.269771
2.4,1.57,1.666667,0.207475,43.03656,0.271619
2.5,1.77,1.833333,0.235057,42.18266,0.275314
2.5,1.79,2,0.247048,41.75571,0.275314
2.4,2.01,2.166667,0.25507,43.12195,0.271619
2.3,2.13,2.333333,0.276522,42.695,0.267923
2.2,2.25,2.5,0.28757,43.12195,0.264228
2.5,2.53,2.666667,0.3055,43.37812,0.277162
2.6,2.61,2.833333,0.31974,42.78039,0.275314
2.6,2.71,3,0.335789,42.52422,0.267923
2.3,2.89,3.166667,0.351805,42.43883,0.273466
2.1,3.03,3.333333,0.367843,42.18266,0.269771
2.2,3.17,3.5,0.383861,42.01188,0.264228
2.4,3.35,3.666667,0.399929,41.8411,0.271619
2.3,3.25,3.833333,0.420981,42.695,0.267923
2.2,3.65,4,0.431017,41.49954,0.271619
2.4,3.85,4.166667,0.447822,41.67032,0.273466
2.2,3.89,4.333333,0.468652,42.26805,0.271619
2.2,4.13,4.5,0.479637,41.75571,0.269771
2.4,4.25,4.666667,0.495738,41.92649,0.269771
2.5,4.43,4.833333,0.511721,42.01188,0.271619
1.9,4.65,5,0.528113,42.01188,0.275314
2.4,4.83,5.166667,0.546372,41.67032,0.275314
2.7,4.87,5.333333,0.559883,42.78039,0.269771
2.5,5.05,5.5,0.576013,42.78039,0.273466
2.5,5.29,5.666667,0.591043,43.46351,0.269771
2.1,5.29,5.833333,0.611298,42.26805,0.275314
2.6,5.57,6,0.623305,43.37812,0.266075
2.4,5.73,6.166667,0.639379,43.37812,0.26238
2.7,5.85,6.333333,0.655148,43.46351,0.271619
2.4,6.03,6.5,0.671376,42.60961,0.271619
2.3,6.17,6.666667,0.687411,43.12195,0.266075
2.6,6.27,6.833333,0.703412,43.20734,0.269771
2.6,6.41,7,0.721365,42.86578,0.251293
2.3,6.55,7.166667,0.735436,42.60961,0.267923
2.6,6.73,7.333333,0.751857,42.35344,0.27901
2.5,6.91,7.5,0.769618,42.52422,0.275314
2.2,7.05,7.666667,0.784058,42.09727,0.269771
2.6,7.23,7.833333,0.799091,41.92649,0.271619
2.6,7.41,8,0.815074,41.58493,0.271619
2.4,7.53,8.166667,0.831093,41.75571,0.271619
2.6,7.75,8.333333,0.8574,43.20734,0.271619
2.4,7.75,8.5,0.86422,41.67032,0.27901
2.3,7.99,8.666667,0.879282,41.58493,0.266075
2.2,8.17,8.833333,0.895446,42.26805,0.269771
2.7,8.27,9,0.918805,42.95117,0.267923
2.2,8.33,9.166667,0.928011,42.01188,0.269771
2.4,8.63,9.333333,0.943039,42.78039,0.267923
2.7,8.73,9.5,0.959122,42.86578,0.271619
2.4,8.91,9.666667,0.975768,42.60961,0.271619
2.7,9.07,9.833333,0.991792,43.12195,0.277162
2.4,9.33,10,1.00788,43.29273,0.275314
2.4,9.25,10.166667,1.025674,42.52422,0.273466
2.5,9.53,10.333333,1.039821,43.63429,0.269771
2.5,9.73,10.5,1.05698,44.31741,0.269771
2.4,9.79,10.666667,1.071416,43.5489,0.284553
2.6,10.03,10.833333,1.087482,43.46351,0.273466
2.5,10.15,11,1.103487,42.95117,0.271619
2.3,10.23,11.166667,1.119573,42.78039,0.273466
2.4,10.43,11.333333,1.135735,42.43883,0.273466
2.8,10.57,11.5,1.152486,42.78039,0.277162
2.4,10.73,11.666667,1.167525,42.01188,0.249446
2.4,10.91,11.833333,1.183259,41.92649,0.267923
2.6,11.05,12,1.199491,41.75571,0.275314
2.8,11.23,12.166667,1.220157,42.695,0.275314
2.3,11.31,12.333333,1.231126,41.67032,0.273466
2.4,11.49,12.5,1.248064,41.49954,0.273466
2.5,11.85,12.666667,1.263083,41.67032,0.271619
2.6,11.81,12.833333,1.279244,41.75571,0.271619
2.6,12.05,13,1.295279,41.8411,0.275314
2.7,12.11,13.166667,1.311302,42.18266,0.275314
2.4,12.27,13.333333,1.328574,44.14663,0.247598
2.7,12.41,13.5,1.343599,42.52422,0.273466
2.6,12.63,13.666667,1.360151,42.52422,0.282705
2.7,12.71,13.833333,1.375831,42.78039,0.267923
2.7,12.89,14,1.39184,42.95117,0.264228
2.7,13.09,14.166667,1.407824,42.95117,0.271619
2.5,13.29,14.333333,1.423844,43.20734,0.271619
2.6,13.49,14.5,1.439028,43.29273,0.269771
2.6,13.57,14.666667,1.462277,41.58493,0.271619
2.6,13.65,14.833333,1.471281,43.20734,0.273466
2.3,13.79,15,1.487666,43.20734,0.269771
2.5,13.91,15.166667,1.50371,42.95117,0.269771
2.6,14.23,15.333333,1.52234,43.46351,0.269771
2.7,14.23,15.5,1.535771,42.695,0.271619
2.6,14.43,15.666667,1.551782,42.18266,0.267923
2.5,14.53,15.833333,1.567831,42.26805,0.267923
2.4,14.71,16,1.583846,42.09727,0.264228
2.6,14.85,16.166667,1.598988,41.58493,0.273466
2.6,15.01,16.333333,1.615018,42.09727,0.271619
2.6,15.19,16.5,1.631196,41.49954,0.271619
2.6,15.33,16.666667,1.647305,41.58493,0.269771
2.5,15.49,16.833333,1.665236,41.58493,0.264228
2.6,15.57,17,1.68021,41.49954,0.273466
2.5,15.85,17.166667,1.695237,41.92649,0.267923
2.4,15.93,17.333333,1.711247,42.09727,0.269771
2.4,16.13,17.5,1.727333,42.60961,0.269771
2.8,16.33,17.666667,1.759452,42.60961,0.269771
2.8,16.45,17.833333,1.777999,42.52422,0.286401
2.6,16.59,18,1.791638,42.86578,0.273466
2.5,16.83,18.166667,1.807793,42.78039,0.267923
2.8,16.93,18.333333,1.82466,43.03656,0.277162
2.6,17.07,18.5,1.839747,43.37812,0.267923
2.5,17.21,18.666667,1.855829,43.63429,0.267923
2.6,17.33,18.833333,1.872055,43.29273,0.273466
2.4,17.53,19,1.888112,43.37812,0.264228
2.6,17.65,19.166667,1.904186,43.37812,0.266075
2.7,17.71,19.333333,1.920427,42.09727,0.271619
2.4,18.01,19.5,1.936562,42.95117,0.269771
2.6,18.05,19.666667,1.951559,42.52422,0.267923
2.6,18.23,19.833333,1.969589,42.695,0.269771
2.7,18.37,20,1.983902,42.18266,0.271619
2.5,18.59,20.166667,2.00014,42.09727,0.273466
2.7,18.73,20.333333,2.016146,42.35344,0.267923
2.7,18.91,20.5,2.033115,41.58493,0.266075
2.6,19.05,20.666667,2.057645,42.95117,0.264228
2.7,19.09,20.833333,2.06439,41.67032,0.27901
2.8,19.39,21,2.082621,41.67032,0.269771
2.8,19.45,21.166667,2.0958,41.67032,0.269771
2.6,19.65,21.333333,2.112249,41.75571,0.269771
2.7,19.75,21.5,2.130277,41.49954,0.269771
2.5,19.91,21.666667,2.144264,42.18266,0.267923
2.4,20.13,21.833333,2.160395,42.35344,0.267923
2.7,20.25,22,2.176649,42.695,0.282705
2.8,20.37,22.166667,2.191629,43.03656,0.267923
2.9,20.59,22.333333,2.207599,43.20734,0.273466
2.5,20.69,22.5,2.223592,43.37812,0.271619
2.6,20.87,22.666667,2.240985,43.29273,0.269771
2.7,21.09,22.833333,2.256506,43.12195,0.26238
2.5,21.29,23,2.27316,43.5489,0.273466
2.5,21.33,23.166667,2.288566,43.5489,0.266075
2.7,21.43,23.333333,2.303571,43.29273,0.271619
2.6,21.63,23.5,2.319738,43.12195,0.277162
2.9,21.79,23.666667,2.336407,41.58493,0.273466
2.8,21.97,23.833333,2.353772,43.37812,0.267923
