# Date: 20201210,,,,,
# Operator: RDP,,,,,
# Notes: New rig, plated, mount 2,,,
# Tap_cm: 5.0
# Sample: SOX 447-C (2-316) 3,,,,,
# Fit of Tap:,,,,,
"#	Ic = 155 +/- 0.04 A",,,,,
"#	n = 49.6 +/- 1.1 ",,,,,
"#	Vc = 5 uV",,,,,
"#	Vfloor = -0.101 +/- 0.011 uV",,,,,
"#	R = 0.000913 +/- 0.00014 Ohms",,,,,
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
-0.2,0.11,0,0.036167,42.695,0.275314
-0.3,0.21,0.166667,0.057336,41.58493,0.269771
-0.3,0.39,0.333333,0.075705,41.8411,0.256837
-0.1,0.47,0.5,0.09019,41.58493,0.269771
-0.1,0.65,0.666667,0.106185,41.75571,0.27901
-0.3,0.83,0.833333,0.122205,41.92649,0.254989
-0.1,0.93,1,0.138289,42.86578,0.271619
-0.4,1.13,1.166667,0.154272,42.35344,0.27901
-0.2,1.27,1.333333,0.17232,43.71968,0.277162
-0.1,1.37,1.5,0.186128,43.20734,0.267923
-0.4,1.63,1.666667,0.205007,42.18266,0.266075
-0.4,2.01,1.833333,0.22335,41.75571,0.266075
0.1,1.43,2,0.234618,43.20734,0.280857
-0.2,2.03,2.166667,0.249688,43.20734,0.275314
-0.2,2.21,2.333333,0.265699,43.20734,0.269771
-0.4,2.33,2.5,0.281663,43.12195,0.256837
-0.1,2.51,2.666667,0.297679,42.78039,0.271619
-0.1,2.65,2.833333,0.313633,42.78039,0.277162
-0.1,2.69,3,0.330264,42.86578,0.269771
0.1,2.93,3.166667,0.346636,42.35344,0.271619
-0.1,3.05,3.333333,0.362093,42.09727,0.267923
-0.3,3.23,3.5,0.377919,42.43883,0.247598
0,3.31,3.666667,0.394996,43.20734,0.260532
-0.1,3.49,3.833333,0.409753,41.92649,0.271619
-0.4,3.69,4,0.425732,41.67032,0.271619
0,3.85,4.166667,0.44175,41.49954,0.277162
-0.2,4.01,4.333333,0.457948,41.49954,0.267923
-0.1,4.63,4.5,0.476342,40.38947,0.293792
0,4.27,4.666667,0.490048,41.32876,0.271619
-0.4,4.53,4.833333,0.506081,41.32876,0.271619
-0.2,4.31,5,0.52313,41.8411,0.273466
-0.4,4.81,5.166667,0.538785,42.01188,0.264228
-0.2,4.91,5.333333,0.553777,42.60961,0.271619
0,5.03,5.5,0.569943,42.78039,0.267923
-0.1,5.25,5.666667,0.585761,42.86578,0.273466
-0.1,5.39,5.833333,0.601775,43.03656,0.269771
-0.3,5.51,6,0.61779,43.03656,0.271619
-0.2,5.73,6.166667,0.633888,43.12195,0.271619
-0.1,5.77,6.333333,0.650143,43.03656,0.282705
-0.2,6.07,6.5,0.667918,43.20734,0.264228
-0.2,6.15,6.666667,0.681906,43.12195,0.266075
-0.3,6.29,6.833333,0.697992,42.78039,0.273466
-0.2,6.47,7,0.714024,42.78039,0.271619
0.2,6.57,7.166667,0.730023,42.86578,0.269771
0,6.69,7.333333,0.746014,42.35344,0.271619
-0.3,7.31,7.5,0.772712,39.79174,0.273466
0,7.03,7.666667,0.786449,42.78039,0.271619
0,7.07,7.833333,0.79315,41.8411,0.275314
-0.4,7.39,8,0.812623,42.35344,0.267923
-0.1,7.47,8.166667,0.826329,42.86578,0.273466
0,7.71,8.333333,0.842572,41.49954,0.273466
-0.3,7.79,8.5,0.857843,41.58493,0.267923
-0.3,7.95,8.666667,0.87412,41.41415,0.269771
0.2,8.19,8.833333,0.890372,41.58493,0.267923
-0.2,8.27,9,0.905712,41.58493,0.269771
-0.2,8.49,9.166667,0.926789,42.60961,0.269771
-0.5,8.61,9.333333,0.937936,42.09727,0.266075
-0.3,8.79,9.5,0.954913,41.49954,0.267923
-0.1,8.87,9.666667,0.970174,43.80507,0.269771
-0.2,9.11,9.833333,0.985544,42.78039,0.275314
-0.1,9.23,10,1.001562,43.03656,0.275314
-0.2,9.35,10.166667,1.017589,43.20734,0.273466
0,9.53,10.333333,1.033585,43.20734,0.269771
-0.4,9.67,10.5,1.049733,43.37812,0.269771
-0.2,9.81,10.666667,1.071867,42.78039,0.27901
0,9.91,10.833333,1.081743,42.86578,0.266075
-0.2,10.13,11,1.097779,42.95117,0.267923
-0.1,10.31,11.166667,1.116293,43.80507,0.267923
-0.1,10.43,11.333333,1.130287,42.60961,0.271619
0.2,10.59,11.5,1.146413,42.60961,0.282705
-0.1,10.89,11.666667,1.16767,42.95117,0.267923
-0.1,10.89,11.833333,1.179321,42.18266,0.264228
-0.2,11.05,12,1.194953,41.41415,0.271619
-0.1,11.17,12.166667,1.210215,42.09727,0.269771
-0.3,11.37,12.333333,1.227157,41.67032,0.291944
