# Date: 20201210,,,,,
# Operator: RDP,,,,,
# Notes: New rig, plated, mount 2,,,
# Tap_cm: 5.0,,,,,
# Sample: SOX 447-C (2-316) 3,,,,,
# Fit of Tap:,,,,,
"#	Ic = 156 +/- 0.036 A",,,,,
"#	n = 57.3 +/- 1.4 ",,,,,
"#	Vc = 5 uV",,,,,
"#	Vfloor = -0.148 +/- 0.013 uV",,,,,
"#	R = 0.000982 +/- 0.00016 Ohms",,,,,
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.1,0.15,0,0.026931,43.12195,0.273466
0.1,0.15,0.166667,0.042753,43.12195,0.269771
-0.2,0.35,0.333333,0.060619,43.12195,0.273466
0,0.51,0.5,0.074825,42.18266,0.271619
-0.2,0.57,0.666667,0.091088,42.18266,0.269771
-0.3,0.81,0.833333,0.106362,42.01188,0.269771
-0.5,0.97,1,0.122643,42.01188,0.275314
-0.1,1.09,1.166667,0.139955,41.92649,0.260532
-0.4,1.25,1.333333,0.15611,43.71968,0.24575
-0.2,1.45,1.5,0.170478,41.49954,0.273466
-0.2,1.49,1.666667,0.186833,41.67032,0.269771
0,1.73,1.833333,0.209863,42.95117,0.267923
-0.1,1.87,2,0.218908,42.01188,0.269771
-0.2,1.99,2.166667,0.235153,41.8411,0.273466
-0.3,2.29,2.333333,0.250435,42.26805,0.269771
-0.3,2.29,2.5,0.266776,42.09727,0.267923
-0.2,2.47,2.666667,0.283064,42.43883,0.269771
-0.3,2.57,2.833333,0.298371,42.86578,0.260532
-0.1,2.77,3,0.314684,42.95117,0.273466
0,2.85,3.166667,0.330941,43.03656,0.273466
-0.3,3.09,3.333333,0.352269,42.695,0.266075
-0.2,3.23,3.5,0.362511,43.29273,0.266075
-0.2,3.35,3.666667,0.378856,43.37812,0.271619
-0.2,3.51,3.833333,0.395678,43.5489,0.264228
-0.4,3.67,4,0.410926,43.46351,0.266075
-0.2,3.87,4.166667,0.435062,41.92649,0.267923
0,3.95,4.333333,0.442929,42.95117,0.271619
0,3.95,4.5,0.462121,43.46351,0.273466
-0.4,4.33,4.666667,0.474171,42.43883,0.275314
-0.3,4.51,4.833333,0.49199,43.5489,0.271619
-0.1,4.67,5,0.506761,42.09727,0.236511
-0.4,4.79,5.166667,0.523212,42.18266,0.271619
-0.2,4.97,5.333333,0.538346,41.67032,0.271619
-0.1,5.07,5.5,0.554619,41.58493,0.299335
0,5.21,5.666667,0.570748,41.75571,0.271619
-0.4,5.35,5.833333,0.58687,41.8411,0.271619
-0.1,5.57,6,0.604801,41.58493,0.271619
-0.1,5.67,6.166667,0.619056,41.67032,0.269771
-0.1,5.91,6.333333,0.634135,42.26805,0.267923
-0.3,6.21,6.5,0.651479,41.49954,0.264228
-0.4,6.15,6.666667,0.666493,42.52422,0.267923
-0.4,6.31,6.833333,0.682634,42.60961,0.271619
-0.1,6.61,7,0.69874,42.60961,0.266075
-0.2,6.57,7.166667,0.714788,42.86578,0.275314
-0.4,6.81,7.333333,0.734056,41.92649,0.269771
-0.2,6.81,7.5,0.74663,43.29273,0.271619
-0.3,7.03,7.666667,0.762801,43.20734,0.267923
0,7.21,7.833333,0.778601,43.63429,0.266075
-0.2,7.37,8,0.804383,41.75571,0.269771
-0.4,7.43,8.166667,0.811085,43.29273,0.271619
-0.1,7.67,8.333333,0.826114,42.52422,0.275314
