# Date: 20201210,,,,,
# Operator: RDP,,,,,
# Notes: OLD rig, plated, mount 3,,,
# Tap_cm: 5.0
# Sample: SOX 447-C (2-316) 3,,,,,
# Fit of Tap:,,,,,
"#	Ic = 154 +/- 0.077 A",,,,,
"#	n = 37.4 +/- 0.93 ",,,,,
"#	Vc = 5 uV",,,,,
"#	Vfloor = 2.69 +/- 0.011 uV",,,,,
"#	R = 0.0012 +/- 0.00014 Ohms",,,,,
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
2.8,0.19,0,0.039147,43.37812,0.26238
2.7,0.19,0.166667,0.051309,43.12195,0.275314
2.7,0.25,0.333333,0.05797,42.78039,0.269771
2.6,0.51,0.5,0.072962,42.95117,0.271619
2.8,0.65,0.666667,0.089271,43.37812,0.267923
2.7,0.81,0.833333,0.104346,43.46351,0.273466
2.7,0.97,1,0.120382,43.46351,0.271619
2.6,1.05,1.166667,0.136376,43.63429,0.269771
2.6,1.55,1.333333,0.152988,42.78039,0.271619
2.5,1.41,1.5,0.16907,43.46351,0.273466
2.5,1.63,1.666667,0.186425,43.5489,0.266075
2.8,1.69,1.833333,0.202968,43.63429,0.266075
2.5,1.89,2,0.22897,41.75571,0.267923
2.6,1.95,2.166667,0.235784,42.86578,0.264228
2.5,2.15,2.333333,0.248908,42.26805,0.267923
2.5,2.35,2.5,0.265059,42.18266,0.264228
2.7,2.47,2.666667,0.280192,41.58493,0.275314
2.8,2.57,2.833333,0.296797,41.75571,0.306726
2.6,2.77,3,0.313052,39.2794,0.271619
2.6,2.87,3.166667,0.331831,41.67032,0.273466
2.6,3.03,3.333333,0.348044,41.8411,0.266075
2.5,3.23,3.5,0.364293,41.49954,0.264228
2.5,3.33,3.666667,0.381189,41.75571,0.267923
2.5,3.51,3.833333,0.395315,41.67032,0.284553
2.3,3.69,4,0.411133,41.92649,0.304878
2.7,3.83,4.166667,0.424185,42.95117,0.26238
2.7,3.99,4.333333,0.441133,42.95117,0.269771
2.7,4.27,4.5,0.456396,42.695,0.277162
2.6,4.31,4.666667,0.473048,43.29273,0.275314
2.6,4.45,4.833333,0.489069,43.46351,0.273466
2.8,4.75,5,0.510039,43.29273,0.256837
2.6,4.75,5.166667,0.528066,41.75571,0.269771
2.6,4.91,5.333333,0.536626,43.46351,0.267923
