# Date: 20201210,,,,,
# Operator: RDP,,,,,
# Notes: Old rig, plated, mount 1,,,
# Tap_cm: 5.0
# Sample: SOJ 803-N2 (2-322) 3,,,,,
# Fit of Tap:,,,,,
"#	Ic = 179 +/- 0.047 A",,,,,
"#	n = 34.3 +/- 0.57 ",,,,,
"#	Vc = 5 uV",,,,,
"#	Vfloor = 0.9 +/- 0.011 uV",,,,,
"#	R = 0.000979 +/- 0.00012 Ohms",,,,,
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.5,0.13,0,0.026285,42.43883,0.269771
0.7,0.19,0.166667,0.043587,41.32876,0.264228
0.8,0.27,0.333333,0.05791,42.86578,0.267923
0.8,0.49,0.5,0.074056,42.86578,0.269771
0.8,0.67,0.666667,0.090155,43.20734,0.267923
0.7,0.81,0.833333,0.106133,43.46351,0.271619
0.6,1.01,1,0.12219,43.46351,0.267923
0.7,1.13,1.166667,0.1407,43.71968,0.273466
0.7,1.27,1.333333,0.154261,43.29273,0.271619
0.5,1.53,1.5,0.172075,43.5489,0.264228
1,1.55,1.666667,0.185494,42.78039,0.271619
0.4,1.73,1.833333,0.205665,43.5489,0.269771
0.6,1.87,2,0.217644,42.43883,0.267923
0.7,2.03,2.166667,0.233741,42.26805,0.273466
0.8,2.19,2.333333,0.24976,42.26805,0.267923
1,2.35,2.5,0.26581,42.09727,0.267923
1,2.59,2.666667,0.282363,42.01188,0.323356
0.9,2.67,2.833333,0.305088,43.46351,0.266075
0.7,2.67,3,0.314103,41.67032,0.269771
0.7,3.33,3.166667,0.335058,42.26805,0.273466
0.9,3.01,3.333333,0.346031,41.75571,0.271619
0.6,3.27,3.5,0.362051,41.58493,0.275314
0.9,3.43,3.666667,0.3783,42.95117,0.271619
0.7,3.53,3.833333,0.395216,41.58493,0.269771
0.5,3.73,4,0.410441,42.26805,0.271619
0.5,3.87,4.166667,0.433504,42.09727,0.267923
0.4,4.29,4.333333,0.445577,40.1333,0.269771
1,4.11,4.5,0.458267,42.95117,0.271619
0.8,4.29,4.666667,0.475254,42.01188,0.286401
0.8,4.45,4.833333,0.491305,42.695,0.277162
0.7,4.69,5,0.506339,43.37812,0.267923
0.9,4.81,5.166667,0.522426,43.5489,0.266075
0.8,4.97,5.333333,0.537654,43.29273,0.273466
0.6,5.11,5.5,0.553949,43.37812,0.273466
0.9,5.23,5.666667,0.570207,43.12195,0.271619
0.4,5.39,5.833333,0.586519,43.12195,0.273466
1,5.55,6,0.601917,42.95117,0.277162
0.5,5.75,6.166667,0.618206,42.52422,0.275314
0.8,5.97,6.333333,0.636376,43.03656,0.271619
0.8,6.03,6.5,0.649756,42.18266,0.264228
0.8,6.21,6.666667,0.666108,42.18266,0.269771
1,6.29,6.833333,0.682136,42.18266,0.273466
0.8,6.11,7,0.698437,41.92649,0.267923
0.8,6.55,7.166667,0.71348,41.8411,0.275314
0.7,6.77,7.333333,0.736306,43.03656,0.269771
0.9,6.99,7.5,0.747731,41.75571,0.264228
0.7,6.97,7.666667,0.761853,42.01188,0.269771
0.7,7.19,7.833333,0.778707,43.12195,0.271619
0.7,7.37,8,0.794243,43.03656,0.266075
0.6,7.51,8.166667,0.810359,42.43883,0.271619
0.5,7.61,8.333333,0.826468,42.43883,0.273466
0.8,7.83,8.5,0.841619,42.78039,0.267923
0.6,7.97,8.666667,0.85772,42.95117,0.271619
0.7,8.15,8.833333,0.873772,42.86578,0.273466
0.4,8.27,9,0.889871,43.12195,0.26238
0.7,8.41,9.166667,0.905974,43.37812,0.260532
0.4,8.63,9.333333,0.922093,43.37812,0.267923
0.6,8.73,9.5,0.938169,42.86578,0.269771
0.8,8.89,9.666667,0.954283,43.20734,0.269771
0.6,9.05,9.833333,0.970297,43.37812,0.267923
0.6,9.23,10,0.986936,43.46351,0.273466
0.9,9.39,10.166667,1.00222,42.95117,0.271619
0.9,9.57,10.333333,1.018546,42.52422,0.269771
0.9,9.69,10.5,1.036296,43.03656,0.269771
0.7,9.69,10.666667,1.051064,41.24337,0.27901
0.7,10.01,10.833333,1.066438,42.09727,0.269771
0.7,10.11,11,1.082373,42.09727,0.271619
0.9,10.31,11.166667,1.09827,41.41415,0.267923
0.8,10.43,11.333333,1.114656,41.75571,0.271619
0.7,10.57,11.5,1.130003,41.49954,0.273466
1,10.77,11.666667,1.14627,41.58493,0.271619
0.9,10.93,11.833333,1.162617,41.67032,0.271619
0.8,11.11,12,1.177979,41.8411,0.273466
0.7,11.31,12.166667,1.194413,42.01188,0.269771
0.7,11.29,12.333333,1.209863,42.43883,0.260532
0.8,11.49,12.5,1.226648,42.43883,0.267923
0.9,11.37,12.666667,1.242992,42.43883,0.271619
0.8,11.83,12.833333,1.258272,42.95117,0.271619
0.7,11.99,13,1.274671,42.86578,0.27901
0.9,12.09,13.166667,1.289936,43.20734,0.266075
0.8,12.31,13.333333,1.306563,43.37812,0.271619
0.9,12.45,13.5,1.321897,43.37812,0.266075
1,12.57,13.666667,1.339444,43.12195,0.269771
0.9,12.77,13.833333,1.354872,43.20734,0.269771
0.5,12.93,14,1.369979,43.29273,0.275314
0.6,13.11,14.166667,1.387467,43.46351,0.271619
0.8,13.31,14.333333,1.401885,43.03656,0.271619
0.8,13.43,14.5,1.41806,42.60961,0.271619
0.9,13.57,14.666667,1.434232,42.52422,0.273466
0.7,13.77,14.833333,1.450307,43.03656,0.286401
0.7,13.83,15,1.465418,42.18266,0.266075
0.8,13.97,15.166667,1.481406,41.8411,0.275314
0.7,14.07,15.333333,1.49741,41.67032,0.269771
0.8,14.21,15.5,1.51349,41.75571,0.277162
