# Date: 20201210,,,,,
# Operator: RDP,,,,,
# Notes: OLD rig, plated, mount 2,,,
# Tap_cm: 5.0,,,,,
# Sample: SOJ 803-N2 (2-322) 3,,,,,
# Fit of Tap:,,,,,
"#	Ic = 181 +/- 0.062 A",,,,,
"#	n = 40.9 +/- 0.91 ",,,,,
"#	Vc = 5 uV",,,,,
"#	Vfloor = 0.543 +/- 0.011 uV",,,,,
"#	R = 0.00124 +/- 0.00012 Ohms",,,,,
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.3,0.15,0,0.035804,43.12195,0.271619
0.2,0.23,0.166667,0.057423,41.8411,0.271619
0.3,0.39,0.333333,0.073531,42.01188,0.271619
0.4,0.47,0.5,0.090251,42.52422,0.264228
0.4,0.63,0.666667,0.105621,42.695,0.269771
0.3,0.77,0.833333,0.124924,42.01188,0.277162
0.5,0.93,1,0.140381,42.52422,0.273466
0.4,1.05,1.166667,0.153803,43.12195,0.269771
0.4,1.25,1.333333,0.169907,43.12195,0.264228
0.4,1.37,1.5,0.186488,43.80507,0.269771
0.3,1.55,1.666667,0.205985,42.35344,0.271619
0.4,1.67,1.833333,0.217355,43.12195,0.275314
0.5,2.01,2,0.234193,43.20734,0.26238
0.4,2.03,2.166667,0.249204,42.95117,0.273466
0.4,2.17,2.333333,0.265784,43.80507,0.273466
0.1,2.39,2.5,0.283318,43.63429,0.267923
0.8,2.45,2.666667,0.297346,42.52422,0.267923
0.3,2.65,2.833333,0.313401,42.35344,0.273466
0.3,2.81,3,0.329456,42.18266,0.264228
0.1,2.95,3.166667,0.345517,41.75571,0.273466
0.5,3.07,3.333333,0.361545,41.92649,0.266075
0.3,3.19,3.5,0.377589,41.92649,0.271619
0.4,3.47,3.666667,0.394167,42.01188,0.269771
0.4,3.47,3.833333,0.409199,41.58493,0.271619
0.7,3.71,4,0.42538,41.75571,0.273466
0.2,3.83,4.166667,0.445577,42.695,0.269771
0.3,3.89,4.333333,0.457902,41.92649,0.266075
0.5,4.17,4.5,0.474033,41.92649,0.267923
0.2,4.37,4.666667,0.489122,42.78039,0.275314
0.3,4.47,4.833333,0.506242,42.43883,0.269771
0.3,4.77,5,0.521745,42.60961,0.266075
0.4,4.75,5.166667,0.538164,42.695,0.242055
0.6,4.89,5.333333,0.553737,42.86578,0.273466
0.6,5.07,5.5,0.569873,42.95117,0.267923
0.4,5.15,5.666667,0.587484,42.01188,0.271619
0.6,5.45,5.833333,0.601482,43.46351,0.267923
0.4,5.57,6,0.61747,43.46351,0.273466
0.4,5.77,6.166667,0.633491,43.29273,0.269771
0.4,5.89,6.333333,0.649234,43.12195,0.269771
0.5,6.01,6.5,0.665206,43.12195,0.275314
0.6,6.17,6.666667,0.68137,42.78039,0.275314
0.5,6.35,6.833333,0.697498,42.60961,0.271619
0.6,6.41,7,0.713509,42.35344,0.266075
0.2,6.61,7.166667,0.729901,42.18266,0.269771
0.3,6.75,7.333333,0.751403,43.46351,0.269771
0.3,6.85,7.5,0.761344,41.92649,0.269771
0.2,7.09,7.666667,0.777466,42.26805,0.273466
0.4,7.21,7.833333,0.794563,42.01188,0.236511
0.6,7.39,8,0.811376,42.09727,0.271619
0.6,7.51,8.166667,0.825802,41.92649,0.275314
0.4,7.75,8.333333,0.841853,41.75571,0.271619
0.4,7.85,8.5,0.857587,42.09727,0.275314
0.4,7.97,8.666667,0.873763,42.09727,0.271619
0.2,8.15,8.833333,0.891829,41.8411,0.275314
0.3,8.25,9,0.905326,42.52422,0.273466
0.2,8.41,9.166667,0.921416,42.695,0.269771
0.3,8.59,9.333333,0.937446,42.95117,0.269771
0.4,8.71,9.5,0.953527,42.95117,0.267923
0.6,8.95,9.666667,0.969686,43.37812,0.269771
0.3,9.05,9.833333,0.985731,43.37812,0.267923
0.5,9.07,10,1.006574,42.35344,0.264228
0.5,9.39,10.166667,1.017592,43.37812,0.273466
0.3,9.43,10.333333,1.033922,43.37812,0.266075
0.3,9.41,10.5,1.050158,43.46351,0.275314
0.4,9.85,10.666667,1.06715,43.29273,0.269771
0.4,10.05,10.833333,1.08143,43.12195,0.269771
0.3,10.17,11,1.105998,42.43883,0.271619
0.3,10.17,11.166667,1.113171,42.35344,0.269771
0.6,10.43,11.333333,1.129173,42.43883,0.26238
0.6,10.55,11.5,1.145154,42.26805,0.267923
0.5,10.75,11.666667,1.161308,42.01188,0.271619
0.7,10.91,11.833333,1.177354,41.92649,0.273466
0.3,11.03,12,1.19726,42.60961,0.267923
0.4,11.15,12.166667,1.209309,41.8411,0.264228
0.5,11.33,12.333333,1.225329,41.75571,0.271619
0.7,11.41,12.5,1.241489,41.58493,0.271619
0.2,11.67,12.666667,1.257513,41.92649,0.269771
0.4,11.83,12.833333,1.274297,41.67032,0.271619
0.3,11.93,13,1.289817,41.75571,0.267923
0,12.11,13.166667,1.306403,42.09727,0.271619
0.2,12.33,13.333333,1.321748,42.78039,0.269771
0.6,12.47,13.5,1.340403,42.43883,0.273466
0.4,12.55,13.666667,1.353668,42.95117,0.271619
0.6,12.79,13.833333,1.36976,43.20734,0.271619
0.6,12.85,14,1.38581,42.95117,0.264228
0.3,13.19,14.166667,1.406268,42.09727,0.271619
0.3,13.17,14.333333,1.417733,43.12195,0.269771
0.3,13.47,14.5,1.433852,43.12195,0.27901
0.2,13.55,14.666667,1.450152,43.20734,0.269771
0.5,13.67,14.833333,1.465189,42.86578,0.273466
0.6,14.07,15,1.494021,40.90181,0.273466
0.4,13.87,15.166667,1.500725,43.20734,0.269771
0.8,14.03,15.333333,1.513805,42.35344,0.273466
0.3,14.27,15.5,1.529851,42.35344,0.275314
0.4,14.37,15.666667,1.545902,42.09727,0.273466
0.3,14.61,15.833333,1.562049,41.8411,0.266075
0.4,14.69,16,1.576993,41.49954,0.266075
0.4,14.87,16.166667,1.593999,42.01188,0.267923
0.8,15.03,16.333333,1.609155,41.49954,0.267923
0.6,15.17,16.5,1.625221,41.67032,0.264228
0.5,15.43,16.666667,1.642665,40.21869,0.273466
0.5,15.51,16.833333,1.657668,41.92649,0.275314
0.5,15.67,17,1.673762,41.8411,0.267923
0.4,15.87,17.166667,1.693702,41.67032,0.271619
0.4,16.09,17.333333,1.711502,41.75571,0.264228
0.4,16.17,17.5,1.721865,42.43883,0.271619
0.6,16.33,17.666667,1.737906,42.695,0.267923
0.5,16.07,17.833333,1.754933,42.52422,0.264228
0.5,16.59,18,1.770019,43.29273,0.269771
0.4,16.93,18.166667,1.786332,43.20734,0.267923
0.7,17.07,18.333333,1.801652,42.01188,0.266075
0.4,17.11,18.5,1.817659,43.12195,0.266075
0.3,17.27,18.666667,1.833788,43.12195,0.26238
0.5,17.39,18.833333,1.849837,43.12195,0.266075
0.5,17.49,19,1.865879,43.29273,0.273466
0.3,17.59,19.166667,1.881901,42.95117,0.266075
0.3,17.79,19.333333,1.902477,42.86578,0.266075
0.5,17.87,19.5,1.920795,42.26805,0.271619
0.4,18.05,19.666667,1.930348,43.80507,0.273466
0.3,18.31,19.833333,1.945769,42.26805,0.271619
0.4,18.49,20,1.962195,42.18266,0.269771
0.4,18.57,20.166667,1.977184,41.75571,0.269771
0.3,18.65,20.333333,1.993297,41.67032,0.271619
0.5,18.87,20.5,2.011429,42.09727,0.269771
0.6,19.07,20.666667,2.025906,41.58493,0.271619
0.7,19.23,20.833333,2.043763,42.60961,0.266075
0.4,19.35,21,2.057964,41.58493,0.269771
0.6,19.55,21.166667,2.073309,42.18266,0.271619
0.6,19.63,21.333333,2.094008,42.35344,0.271619
0.7,19.73,21.5,2.106867,41.75571,0.273466
0.4,19.95,21.666667,2.122045,42.60961,0.269771
0.6,20.09,21.833333,2.137046,42.60961,0.269771
0.5,20.27,22,2.153084,42.60961,0.267923
0.5,20.45,22.166667,2.169055,42.95117,0.267923
0.6,20.53,22.333333,2.185048,43.12195,0.266075
0.3,20.75,22.5,2.203066,43.03656,0.277162
0.5,20.87,22.666667,2.217164,43.12195,0.267923
0.3,21.11,22.833333,2.234939,43.03656,0.236511
0.4,21.19,23,2.249953,43.46351,0.271619
0.4,21.27,23.166667,2.265965,43.12195,0.271619
0.4,21.47,23.333333,2.282119,43.37812,0.271619
0.3,21.63,23.5,2.312243,42.26805,0.271619
0.7,21.71,23.666667,2.319144,43.03656,0.269771
0.5,21.93,23.833333,2.32907,42.35344,0.267923
0.3,22.11,24,2.345829,42.26805,0.273466
0.3,22.31,24.166667,2.361912,42.09727,0.271619
0.5,22.37,24.333333,2.379067,42.09727,0.267923
0.5,22.51,24.5,2.393613,41.49954,0.273466
0.5,22.65,24.666667,2.409948,41.92649,0.271619
0.7,22.81,24.833333,2.426279,41.67032,0.271619
0.6,22.93,25,2.44154,41.75571,0.269771
0.5,23.17,25.166667,2.457798,41.8411,0.269771
0.5,23.27,25.333333,2.474146,41.75571,0.271619
0.5,23.45,25.5,2.490552,43.20734,0.27901
0.6,23.57,25.666667,2.504999,42.52422,0.273466
0.4,23.73,25.833333,2.52235,42.35344,0.258684
0.8,23.81,26,2.53811,42.78039,0.264228
0.7,24.09,26.166667,2.553156,42.86578,0.273466
0.7,24.19,26.333333,2.569169,42.95117,0.266075
0.4,24.39,26.5,2.585156,43.20734,0.269771
0.3,24.61,26.666667,2.606388,42.01188,0.267923
0.5,24.67,26.833333,2.617813,43.12195,0.260532
0.4,24.85,27,2.633904,43.46351,0.269771
0.3,24.89,27.166667,2.650737,45.51287,0.219882
0.4,25.07,27.333333,2.665764,43.29273,0.269771
0.6,25.17,27.5,2.681875,42.95117,0.267923
0.5,25.39,27.666667,2.705341,43.63429,0.269771
0.7,25.51,27.833333,2.713177,42.35344,0.269771
0.5,25.71,28,2.729173,42.26805,0.266075
0.5,25.91,28.166667,2.745177,42.01188,0.271619
0.6,26.09,28.333333,2.761542,42.01188,0.269771
0.6,26.15,28.5,2.777559,41.92649,0.273466
0.6,26.39,28.666667,2.793891,41.67032,0.273466
0.5,26.49,28.833333,2.809997,41.92649,0.267923
0.5,26.61,29,2.825986,41.92649,0.271619
0.5,26.79,29.166667,2.851569,43.12195,0.27901
0.7,26.81,29.333333,2.858288,41.49954,0.269771
0.6,27.09,29.5,2.873334,41.92649,0.271619
0.6,27.29,29.666667,2.889341,42.26805,0.269771
0.7,27.55,29.833333,2.913317,42.09727,0.273466
0.7,27.51,30,2.921241,42.52422,0.273466
0.7,27.73,30.166667,2.937246,42.695,0.275314
0.4,27.79,30.333333,2.955031,42.60961,0.273466
0.4,28.09,30.5,2.969065,42.95117,0.269771
0.6,28.45,30.666667,2.985791,43.20734,0.269771
0.7,28.69,30.833333,3.00204,43.29273,0.271619
0.4,28.45,31,3.017209,43.20734,0.267923
0.5,28.63,31.166667,3.033504,43.20734,0.269771
0.4,28.79,31.333333,3.049792,43.46351,0.271619
0.5,28.93,31.5,3.066099,43.37812,0.267923
0.7,29.05,31.666667,3.081401,43.03656,0.277162
0.7,29.41,31.833333,3.102863,43.29273,0.273466
0.4,29.35,32,3.113964,42.52422,0.277162
0.6,29.57,32.166667,3.130059,42.695,0.273466
0.8,29.67,32.333333,3.147898,43.20734,0.269771
