# Date: 20201210
# Operator: RDP
# Notes: old rig, plated, mount 3
# Tap_cm: 5.0
# Sample: SOJ 803-N2 (2-322) 3
# Fit of Tap:
#	Ic = 178 +/- 0.055 A
#	n = 32.8 +/- 0.58 
#	Vc = 5 uV
#	Vfloor = 1.2 +/- 0.011 uV
#	R = 0.000248 +/- 0.00012 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.200000,0.150000,0.000000,0.025025,43.036560,0.271619
1.100000,0.230000,0.166667,0.050864,41.841100,0.269771
1.000000,0.230000,0.333333,0.058150,42.865780,0.273466
1.100000,0.530000,0.500000,0.073390,42.524220,0.267923
1.200000,0.690000,0.666667,0.090938,42.609610,0.271619
0.900000,0.870000,0.833333,0.105240,42.182660,0.262380
1.100000,0.910000,1.000000,0.121278,42.011880,0.269771
1.300000,1.150000,1.166667,0.137358,41.841100,0.269771
1.100000,1.230000,1.333333,0.152363,41.755710,0.271619
1.100000,1.450000,1.500000,0.168484,41.755710,0.273466
1.100000,1.610000,1.666667,0.184500,41.755710,0.271619
0.900000,1.790000,1.833333,0.205644,42.524220,0.269771
1.000000,1.870000,2.000000,0.216857,42.011880,0.271619
1.000000,2.050000,2.166667,0.235320,42.438830,0.273466
1.000000,1.870000,2.333333,0.248707,42.524220,0.267923
1.000000,2.370000,2.500000,0.264741,42.609610,0.271619
1.100000,2.430000,2.666667,0.280815,42.865780,0.267923
1.000000,2.630000,2.833333,0.296847,43.292730,0.271619
1.100000,2.770000,3.000000,0.312864,43.207340,0.267923
1.300000,2.870000,3.166667,0.328933,43.378120,0.267923
0.700000,3.070000,3.333333,0.353519,42.865780,0.266075
1.100000,3.170000,3.500000,0.360745,43.548900,0.262380
1.000000,3.410000,3.666667,0.376789,43.634290,0.273466
1.000000,3.450000,3.833333,0.405111,42.097270,0.271619
1.200000,3.690000,4.000000,0.411948,43.548900,0.269771
1.200000,3.810000,4.166667,0.425108,43.121950,0.273466
1.300000,3.990000,4.333333,0.441125,43.121950,0.286401
1.300000,4.110000,4.500000,0.457580,42.609610,0.288248
1.200000,4.330000,4.666667,0.472745,42.438830,0.271619
0.900000,4.470000,4.833333,0.488780,42.353440,0.271619
1.000000,4.610000,5.000000,0.505247,42.353440,0.243902
1.100000,4.790000,5.166667,0.521408,42.268050,0.269771
1.000000,4.890000,5.333333,0.537249,42.182660,0.269771
1.100000,5.090000,5.500000,0.552710,41.841100,0.267923
0.900000,5.250000,5.666667,0.568915,41.584930,0.269771
1.300000,5.470000,5.833333,0.585139,42.011880,0.271619
1.100000,5.550000,6.000000,0.601229,41.841100,0.267923
1.100000,5.690000,6.166667,0.617410,42.097270,0.277162
0.900000,5.850000,6.333333,0.632543,42.524220,0.269771
0.900000,6.050000,6.500000,0.649960,42.182660,0.271619
1.100000,6.130000,6.666667,0.664556,43.036560,0.273466
1.100000,6.630000,6.833333,0.681020,42.353440,0.267923
1.200000,6.490000,7.000000,0.698785,42.865780,0.240207
1.200000,6.610000,7.166667,0.712945,43.207340,0.264228
1.000000,6.690000,7.333333,0.728972,44.744360,0.267923
1.200000,6.930000,7.500000,0.745105,43.548900,0.267923
0.900000,7.050000,7.666667,0.761148,43.463510,0.269771
1.300000,7.210000,7.833333,0.776966,43.463510,0.277162
1.000000,7.350000,8.000000,0.793050,43.292730,0.266075
0.900000,7.630000,8.166667,0.810065,43.378120,0.269771
1.100000,7.790000,8.333333,0.825213,43.292730,0.269771
1.200000,8.050000,8.500000,0.842257,42.780390,0.271619
1.000000,7.930000,8.666667,0.856697,42.438830,0.271619
1.100000,8.130000,8.833333,0.872827,42.438830,0.260532
0.900000,8.290000,9.000000,0.888859,42.524220,0.269771
1.100000,8.450000,9.166667,0.905156,42.097270,0.267923
1.100000,8.610000,9.333333,0.921187,41.926490,0.271619
1.100000,8.710000,9.500000,0.937208,41.841100,0.273466
1.000000,8.970000,9.666667,0.955143,42.438830,0.290096
1.200000,9.050000,9.833333,0.970450,41.755710,0.271619
1.200000,9.190000,10.000000,0.984524,41.841100,0.273466
1.100000,9.410000,10.166667,1.008628,42.951170,0.251293
1.000000,9.450000,10.333333,1.016569,42.097270,0.267923
0.900000,9.650000,10.500000,1.032705,42.182660,0.277162
1.100000,9.830000,10.666667,1.048803,43.292730,0.269771
1.200000,10.190000,10.833333,1.065049,42.011880,0.269771
1.100000,10.070000,11.000000,1.081099,42.780390,0.271619
1.300000,10.230000,11.166667,1.097205,42.951170,0.271619
1.200000,10.530000,11.333333,1.113802,41.584930,0.275314
1.000000,10.530000,11.500000,1.128870,43.036560,0.273466
0.900000,10.850000,11.666667,1.145245,41.926490,0.271619
1.300000,10.870000,11.833333,1.161083,43.975850,0.271619
1.100000,11.050000,12.000000,1.176437,43.463510,0.271619
1.000000,11.190000,12.166667,1.192565,43.207340,0.271619
1.000000,11.390000,12.333333,1.208869,43.036560,0.271619
1.000000,11.530000,12.500000,1.225036,43.036560,0.275314
1.200000,11.690000,12.666667,1.249972,42.097270,0.267923
1.100000,11.770000,12.833333,1.257146,42.438830,0.271619
1.100000,11.990000,13.000000,1.273249,42.353440,0.266075
0.900000,12.130000,13.166667,1.289367,42.353440,0.269771
1.200000,12.270000,13.333333,1.305905,40.901810,0.271619
0.900000,12.450000,13.500000,1.320950,41.841100,0.269771
1.200000,12.530000,13.666667,1.337035,41.755710,0.273466
1.300000,12.490000,13.833333,1.353140,41.755710,0.273466
1.200000,12.690000,14.000000,1.369353,41.499540,0.275314
1.200000,13.090000,14.166667,1.384388,41.841100,0.271619
0.900000,13.190000,14.333333,1.400503,42.182660,0.291944
1.200000,13.390000,14.500000,1.417731,40.987200,0.269771
1.000000,13.530000,14.666667,1.432852,42.524220,0.262380
1.200000,13.690000,14.833333,1.450738,42.438830,0.267923
1.000000,13.730000,15.000000,1.465133,42.609610,0.267923
1.300000,13.890000,15.166667,1.481191,42.695000,0.269771
1.400000,14.050000,15.333333,1.497198,42.865780,0.271619
1.200000,14.230000,15.500000,1.513350,43.121950,0.275314
1.200000,14.410000,15.666667,1.528511,43.121950,0.266075
1.100000,14.590000,15.833333,1.555104,42.011880,0.275314
1.100000,14.510000,16.000000,1.564049,43.036560,0.256837
0.800000,14.870000,16.166667,1.577294,44.061240,0.253141
1.100000,15.090000,16.333333,1.592594,43.036560,0.264228
1.500000,15.250000,16.500000,1.610738,43.292730,0.284553
1.300000,15.330000,16.666667,1.625135,44.402800,0.273466
1.300000,15.510000,16.833333,1.641208,42.780390,0.271619
1.300000,15.670000,17.000000,1.657234,42.438830,0.271619
1.100000,15.810000,17.166667,1.673641,44.061240,0.264228
1.200000,16.010000,17.333333,1.688684,42.097270,0.269771
1.100000,16.150000,17.500000,1.704755,41.328760,0.267923
1.000000,16.290000,17.666667,1.720930,41.841100,0.267923
