# Date: 20210119
# Operator: RDP
# Notes: PbSn 15 Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-11
# Fit of Tap:
#	Ic = 177 +/- 0.082 A
#	n = 43.4 +/- 1 
#	Vc = 5 uV
#	Vfloor = 1.16 +/- 0.0093 uV
#	R = 0.00116 +/- 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.900000,0.190000,0.000000,0.025155,12.466940,-4.761641
0.900000,0.230000,0.166667,0.040720,12.466940,-4.772727
0.900000,0.430000,0.333333,0.056690,12.552330,-4.787509
1.100000,0.590000,0.500000,0.073878,12.466940,-4.774575
1.000000,0.690000,0.666667,0.089861,12.381550,-4.793052
1.000000,0.870000,0.833333,0.105812,12.381550,-4.811530
1.200000,1.010000,1.000000,0.126732,12.296160,-4.757945
1.000000,1.170000,1.166667,0.139193,12.125380,-4.831855
0.900000,1.290000,1.333333,0.155229,12.296160,-4.857724
1.100000,1.470000,1.500000,0.171543,12.210770,-4.868810
1.000000,1.590000,1.666667,0.187489,12.381550,-4.887288
0.800000,1.750000,1.833333,0.205956,12.466940,-4.828160
0.800000,1.930000,2.000000,0.219915,12.381550,-4.907613
1.000000,2.110000,2.166667,0.235514,12.296160,-4.933481
1.100000,2.230000,2.333333,0.251254,12.466940,-4.942720
1.000000,2.370000,2.500000,0.267229,12.296160,-4.944568
1.000000,2.590000,2.666667,0.283069,12.381550,-4.924242
1.100000,2.690000,2.833333,0.296891,12.552330,-4.846637
0.900000,2.870000,3.000000,0.313782,12.381550,-4.857724
1.100000,2.910000,3.166667,0.329583,12.466940,-4.813378
1.100000,3.230000,3.333333,0.345338,12.381550,-4.778271
1.000000,3.330000,3.500000,0.361101,12.552330,-4.765336
0.700000,3.530000,3.666667,0.376889,12.381550,-4.761641
1.100000,3.670000,3.833333,0.396988,12.466940,-4.839246
1.100000,3.850000,4.000000,0.408789,12.552330,-4.759793
1.200000,3.910000,4.166667,0.425568,12.466940,-4.757945
1.200000,4.130000,4.333333,0.441357,12.296160,-4.767184
1.200000,4.350000,4.500000,0.457102,12.381550,-4.785661
1.100000,4.510000,4.666667,0.472856,12.466940,-4.817073
1.100000,4.630000,4.833333,0.489618,12.381550,-4.817073
0.800000,4.790000,5.000000,0.505840,12.466940,-4.826312
1.100000,4.970000,5.166667,0.521108,12.466940,-4.878049
0.500000,5.090000,5.333333,0.536886,12.296160,-4.887288
1.000000,5.270000,5.500000,0.553835,12.466940,-4.878049
1.100000,5.410000,5.666667,0.568659,12.296160,-4.911308
0.900000,5.590000,5.833333,0.585438,12.552330,-4.907613
1.100000,5.770000,6.000000,0.601552,12.296160,-4.909460
1.000000,5.850000,6.166667,0.617391,12.466940,-4.902069
1.100000,6.030000,6.333333,0.633167,12.381550,-4.902069
1.100000,6.210000,6.500000,0.648938,12.296160,-4.885440
1.100000,6.370000,6.666667,0.664689,12.381550,-4.863267
0.700000,6.510000,6.833333,0.681472,12.637720,-4.866962
1.300000,6.670000,7.000000,0.697231,12.552330,-4.839246
1.100000,6.850000,7.166667,0.714998,12.381550,-4.857724
1.000000,6.990000,7.333333,0.730982,12.381550,-4.841094
1.100000,7.150000,7.500000,0.746989,12.552330,-4.822616
1.100000,7.370000,7.666667,0.762923,12.466940,-4.796748
0.800000,7.510000,7.833333,0.778909,12.125380,-4.774575
0.900000,7.690000,8.000000,0.818362,12.381550,-4.920547
1.000000,7.730000,8.166667,0.834263,12.637720,-4.926090
0.900000,7.970000,8.333333,0.850033,12.296160,-4.922395
1.000000,8.110000,8.500000,0.866823,12.466940,-4.918699
1.000000,8.250000,8.666667,0.882592,12.381550,-4.900222
1.300000,8.470000,8.833333,0.898345,12.466940,-4.872506
1.000000,8.590000,9.000000,0.914107,12.808500,-4.839246
1.200000,8.750000,9.166667,0.930933,12.381550,-4.846637
1.100000,8.850000,9.333333,0.946733,12.296160,-4.817073
1.200000,9.030000,9.500000,0.962492,12.466940,-4.781966
