# Date: 20210119
# Operator: RDP
# Notes: PbSn 15 Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-05
# Fit of Tap:
#	Ic = 105 +/- 1.6 A
#	n = 50 +/- 1.5 
#	Vc = 5 uV
#	Vfloor = 0.736 +/- 1.2e+51 uV
#	R = 0.858 +/- 5.2e+43 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.100000,0.190000,0.000000,0.057172,12.723110,-4.791205
1.100000,0.330000,0.250000,0.078324,12.552330,-4.879897
1.000000,0.410000,0.500000,0.085455,12.552330,-4.745011
0.700000,0.710000,0.750000,0.098219,12.466940,-4.842942
1.000000,0.970000,1.000000,0.113981,12.296160,-4.866962
1.000000,1.250000,1.250000,0.129864,12.381550,-4.870658
1.000000,1.470000,1.500000,0.145655,12.552330,-4.874353
0.800000,1.690000,1.750000,0.162419,12.552330,-4.885440
0.800000,1.890000,2.000000,0.178176,12.466940,-4.885440
1.000000,2.130000,2.250000,0.193925,12.723110,-4.876201
1.100000,2.370000,2.500000,0.209679,12.723110,-4.866962
1.100000,2.610000,2.750000,0.226062,12.637720,-4.844789
1.200000,2.830000,3.000000,0.241887,12.552330,-4.822616
0.900000,3.070000,3.250000,0.258220,12.637720,-4.817073
1.000000,3.310000,3.500000,0.274478,12.723110,-4.802291
1.000000,3.590000,3.750000,0.290330,12.893890,-4.776423
1.000000,3.810000,4.000000,0.306111,12.637720,-4.763489
1.000000,4.070000,4.250000,0.321918,12.637720,-4.737620
0.900000,4.290000,4.500000,0.337680,12.808500,-4.733925
0.700000,4.530000,4.750000,0.354461,12.637720,-4.732077
0.900000,4.770000,5.000000,0.370228,12.808500,-4.739468
1.100000,5.030000,5.250000,0.386152,12.723110,-4.728381
1.000000,5.170000,5.500000,0.401954,12.723110,-4.741316
0.900000,5.470000,5.750000,0.417709,12.381550,-4.754250
1.000000,5.710000,6.000000,0.433669,12.381550,-4.780118
0.900000,5.910000,6.250000,0.449488,12.296160,-4.802291
0.900000,6.130000,6.500000,0.466254,12.210770,-4.789357
0.900000,6.390000,6.750000,0.482040,12.381550,-4.820769
1.100000,6.610000,7.000000,0.497781,12.381550,-4.857724
