# Date: 20210119
# Operator: RDP
# Notes: PbSn 15 Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-05
# Fit of Tap:
#	Ic = 175 +/- 0.12 A
#	n = 50 +/- 2.6 
#	Vc = 5 uV
#	Vfloor = 3.8 +/- 1.8e+15 uV
#	R = 0.00324 +/- 2.6e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.300000,0.190000,0.000000,0.026773,12.466940,-4.798596
0.800000,0.310000,0.250000,0.042270,12.637720,-4.761641
1.100000,0.530000,0.500000,0.058192,13.150060,-4.756098
1.100000,0.730000,0.750000,0.072750,12.808500,-4.704361
0.900000,0.990000,1.000000,0.089290,12.723110,-4.709904
0.800000,1.290000,1.250000,0.111883,12.552330,-4.841094
1.100000,1.350000,1.500000,0.121151,12.808500,-4.695122
1.000000,1.650000,1.750000,0.137177,12.637720,-4.696970
1.000000,1.930000,2.000000,0.152811,12.381550,-4.706208
1.100000,2.130000,2.250000,0.169456,11.869210,-4.713599
1.000000,2.350000,2.500000,0.185095,12.296160,-4.733925
0.900000,2.650000,2.750000,0.200630,12.125380,-4.757945
1.000000,2.850000,3.000000,0.216731,12.552330,-4.770880
1.200000,3.090000,3.250000,0.233343,12.466940,-4.757945
0.800000,3.330000,3.500000,0.248877,12.466940,-4.791205
1.100000,3.530000,3.750000,0.265406,12.125380,-4.800443
1.000000,3.830000,4.000000,0.280961,12.466940,-4.837398
1.000000,4.110000,4.250000,0.296495,12.466940,-4.844789
1.100000,4.270000,4.500000,0.312997,12.637720,-4.850333
1.000000,4.510000,4.750000,0.328519,12.637720,-4.848485
1.000000,4.810000,5.000000,0.345032,12.637720,-4.854028
1.000000,5.010000,5.250000,0.360546,12.723110,-4.828160
0.900000,5.250000,5.500000,0.377066,12.466940,-4.831855
1.000000,5.410000,5.750000,0.392608,12.637720,-4.807834
0.800000,5.770000,6.000000,0.418791,13.235450,-4.737620
0.900000,5.790000,6.250000,0.425465,12.723110,-4.791205
1.000000,6.150000,6.500000,0.441058,12.723110,-4.759793
1.000000,6.410000,6.750000,0.456589,12.723110,-4.735772
0.900000,6.670000,7.000000,0.473118,12.637720,-4.732077
0.900000,6.890000,7.250000,0.488712,12.723110,-4.715447
0.800000,7.150000,7.500000,0.505237,12.637720,-4.711752
1.200000,7.350000,7.750000,0.520758,12.723110,-4.715447
0.800000,7.590000,8.000000,0.537291,12.466940,-4.715447
1.100000,7.810000,8.250000,0.552810,12.723110,-4.726534
1.000000,8.070000,8.500000,0.569362,12.552330,-4.728381
0.900000,8.350000,8.750000,0.584891,12.381550,-4.746859
1.000000,8.570000,9.000000,0.600421,12.466940,-4.769032
1.200000,8.770000,9.250000,0.617279,12.296160,-4.769032
1.100000,9.010000,9.500000,0.632850,12.381550,-4.793052
1.000000,9.290000,9.750000,0.649421,12.381550,-4.802291
1.200000,9.510000,10.000000,0.664953,12.552330,-4.833703
1.100000,9.710000,10.250000,0.680609,12.125380,-4.846637
1.100000,9.950000,10.500000,0.697195,12.381550,-4.846637
0.900000,10.230000,10.750000,0.720005,12.466940,-4.698817
1.200000,10.430000,11.000000,0.729426,12.466940,-4.852180
1.100000,10.710000,11.250000,0.744997,12.552330,-4.844789
1.200000,10.970000,11.500000,0.760536,12.552330,-4.824464
1.000000,11.230000,11.750000,0.778912,12.466940,-4.842942
1.000000,11.430000,12.000000,0.794365,12.552330,-4.844789
1.000000,11.710000,12.250000,0.817113,12.381550,-4.774575
1.000000,11.830000,12.500000,0.826627,12.979280,-4.800443
1.100000,12.150000,12.750000,0.843155,12.637720,-4.796748
1.000000,12.350000,13.000000,0.858614,12.723110,-4.756098
1.100000,12.590000,13.250000,0.873763,12.808500,-4.745011
1.100000,12.850000,13.500000,0.889359,12.723110,-4.722838
0.800000,13.090000,13.750000,0.904877,12.808500,-4.708056
1.000000,13.270000,14.000000,0.921459,12.637720,-4.708056
1.000000,13.550000,14.250000,0.937086,12.637720,-4.702513
1.300000,13.770000,14.500000,0.952680,12.552330,-4.704361
0.900000,14.050000,14.750000,0.969228,12.466940,-4.713599
1.300000,14.250000,15.000000,0.984755,12.466940,-4.730229
1.300000,14.530000,15.250000,1.001278,12.381550,-4.724686
1.000000,14.810000,15.500000,1.022863,12.808500,-4.717295
1.100000,14.970000,15.750000,1.032557,12.466940,-4.789357
1.200000,15.250000,16.000000,1.049081,12.381550,-4.781966
1.000000,15.430000,16.250000,1.064610,12.381550,-4.809682
0.900000,15.650000,16.500000,1.081120,12.552330,-4.805987
1.200000,15.950000,16.750000,1.096635,12.466940,-4.818921
1.300000,16.210000,17.000000,1.113158,12.381550,-4.820769
1.000000,16.430000,17.250000,1.128916,12.381550,-4.818921
1.000000,16.670000,17.500000,1.144507,12.466940,-4.817073
0.900000,16.910000,17.750000,1.161053,12.637720,-4.828160
1.200000,17.170000,18.000000,1.176691,12.637720,-4.804139
1.200000,17.390000,18.250000,1.193406,12.637720,-4.804139
1.000000,17.650000,18.500000,1.210475,12.296160,-4.815225
1.000000,17.850000,18.750000,1.225090,12.637720,-4.756098
1.100000,18.050000,19.000000,1.240614,12.723110,-4.735772
1.100000,18.370000,19.250000,1.257135,12.552330,-4.728381
1.000000,18.630000,19.500000,1.272667,12.808500,-4.704361
1.200000,18.810000,19.750000,1.289195,12.979280,-4.700665
1.100000,19.070000,20.000000,1.311787,12.466940,-4.835551
1.100000,19.210000,20.250000,1.320977,12.552330,-4.687731
1.000000,19.510000,20.500000,1.336622,12.637720,-4.695122
1.300000,19.770000,20.750000,1.353145,12.552330,-4.693274
1.200000,19.990000,21.000000,1.368706,12.381550,-4.713599
1.100000,20.230000,21.250000,1.385226,12.296160,-4.704361
1.100000,20.410000,21.500000,1.400753,12.381550,-4.735772
1.100000,20.690000,21.750000,1.416746,12.296160,-4.756098
1.300000,20.990000,22.000000,1.433456,12.466940,-4.748707
1.100000,21.170000,22.250000,1.449041,12.381550,-4.778271
1.100000,21.370000,22.500000,1.464574,12.381550,-4.802291
1.100000,21.650000,22.750000,1.481086,12.381550,-4.802291
1.300000,21.870000,23.000000,1.496609,12.210770,-4.818921
1.100000,22.130000,23.250000,1.513115,12.296160,-4.822616
1.000000,22.350000,23.500000,1.528660,12.296160,-4.833703
1.100000,22.570000,23.750000,1.545180,12.296160,-4.841094
1.000000,22.810000,24.000000,1.560677,12.808500,-4.826312
1.000000,22.970000,24.250000,1.578182,12.552330,-4.831855
1.200000,23.350000,24.500000,1.594627,12.466940,-4.826312
1.400000,23.550000,24.750000,1.631002,12.552330,-4.800443
1.200000,23.750000,25.000000,1.647646,12.296160,-4.802291
1.200000,23.930000,25.250000,1.663163,12.381550,-4.820769
1.000000,24.290000,25.500000,1.678744,12.552330,-4.833703
1.300000,24.450000,25.750000,1.693353,12.552330,-4.807834
1.400000,24.670000,26.000000,1.709895,12.723110,-4.802291
1.200000,24.930000,26.250000,1.725430,12.466940,-4.761641
1.200000,25.150000,26.500000,1.740982,12.637720,-4.745011
1.200000,25.450000,26.750000,1.757493,12.637720,-4.746859
1.000000,25.610000,27.000000,1.773034,12.637720,-4.717295
1.300000,25.890000,27.250000,1.789569,12.723110,-4.711752
1.300000,26.090000,27.500000,1.806744,12.723110,-4.732077
1.300000,26.350000,27.750000,1.821484,12.552330,-4.682188
1.600000,26.590000,28.000000,1.837060,12.381550,-4.678492
1.000000,26.810000,28.250000,1.853575,12.723110,-4.682188
