# Date: 20210119
# Operator: RDP
# Notes: PbSn 15 Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-07
# Fit of Tap:
#	Ic = 178 +/- 0.12 A
#	n = 32.2 +/- 0.93 
#	Vc = 5 uV
#	Vfloor = 1.11 +/- 0.014 uV
#	R = 0.00239 +/- 0.00015 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.900000,0.230000,0.000000,0.024901,12.296160,-4.689579
1.100000,0.310000,0.250000,0.040512,12.381550,-4.722838
0.900000,0.530000,0.500000,0.057041,12.466940,-4.728381
1.000000,0.750000,0.750000,0.072576,12.466940,-4.761641
1.000000,1.010000,1.000000,0.089132,12.552330,-4.761641
0.900000,1.230000,1.250000,0.104648,12.381550,-4.796748
1.000000,1.430000,1.500000,0.121175,12.210770,-4.800443
1.000000,1.650000,1.750000,0.136752,12.552330,-4.826312
1.100000,1.910000,2.000000,0.153296,12.466940,-4.815225
1.000000,2.130000,2.250000,0.168815,12.381550,-4.817073
0.800000,2.410000,2.500000,0.185354,12.466940,-4.828160
0.900000,2.630000,2.750000,0.200880,12.723110,-4.822616
1.000000,2.930000,3.000000,0.222973,12.381550,-4.757945
0.900000,3.050000,3.250000,0.232600,12.893890,-4.789357
0.900000,3.330000,3.500000,0.249179,12.637720,-4.793052
1.000000,3.550000,3.750000,0.264718,12.808500,-4.757945
0.900000,3.830000,4.000000,0.281241,12.723110,-4.756098
0.900000,4.110000,4.250000,0.296809,12.637720,-4.715447
0.900000,4.290000,4.500000,0.313341,12.637720,-4.700665
0.900000,4.490000,4.750000,0.328856,12.466940,-4.672949
0.900000,4.790000,5.000000,0.345381,12.808500,-4.676644
0.900000,5.010000,5.250000,0.360889,12.552330,-4.660015
0.900000,5.190000,5.500000,0.376402,12.552330,-4.661863
0.800000,5.430000,5.750000,0.392909,12.723110,-4.661863
1.000000,5.690000,6.000000,0.408739,12.466940,-4.689579
0.800000,5.970000,6.250000,0.425322,12.466940,-4.695122
0.800000,6.150000,6.500000,0.440877,12.466940,-4.739468
0.800000,6.390000,6.750000,0.456394,12.381550,-4.759793
0.800000,6.630000,7.000000,0.473020,12.381550,-4.756098
0.800000,6.950000,7.250000,0.488590,12.381550,-4.778271
1.100000,7.190000,7.500000,0.511867,12.466940,-4.695122
0.800000,7.290000,7.750000,0.520917,12.296160,-4.804139
1.100000,7.570000,8.000000,0.536475,12.552330,-4.822616
1.000000,7.850000,8.250000,0.552991,12.466940,-4.826312
0.900000,8.110000,8.500000,0.568499,12.637720,-4.824464
1.000000,8.350000,8.750000,0.585027,12.381550,-4.824464
0.900000,8.550000,9.000000,0.600540,12.552330,-4.818921
0.900000,8.830000,9.250000,0.617349,12.466940,-4.815225
1.000000,9.010000,9.500000,0.632916,12.893890,-4.791205
1.000000,9.250000,9.750000,0.648439,12.637720,-4.763489
1.000000,9.470000,10.000000,0.664961,12.637720,-4.765336
0.900000,9.710000,10.250000,0.680498,12.552330,-4.728381
1.200000,9.950000,10.500000,0.697006,12.723110,-4.722838
1.100000,10.250000,10.750000,0.712554,12.893890,-4.691426
0.800000,10.490000,11.000000,0.730907,12.637720,-4.732077
1.000000,10.750000,11.250000,0.746412,12.637720,-4.700665
0.900000,10.910000,11.500000,0.762877,12.552330,-4.700665
1.000000,11.130000,11.750000,0.778364,12.637720,-4.672949
1.100000,11.450000,12.000000,0.794778,12.808500,-4.669254
1.300000,11.710000,12.250000,0.825280,12.637720,-4.682188
1.100000,11.890000,12.500000,0.841928,12.552330,-4.678492
0.900000,12.130000,12.750000,0.857435,12.210770,-4.713599
0.900000,12.370000,13.000000,0.873942,12.466940,-4.715447
0.900000,12.610000,13.250000,0.889445,12.210770,-4.743163
1.400000,12.830000,13.500000,0.905999,12.381550,-4.754250
0.900000,13.030000,13.750000,0.921513,12.552330,-4.776423
0.900000,13.270000,14.000000,0.938017,12.466940,-4.794900
1.100000,13.550000,14.250000,0.953544,12.552330,-4.822616
1.100000,13.810000,14.500000,0.969194,12.552330,-4.822616
1.100000,14.070000,14.750000,0.985764,12.466940,-4.831855
1.100000,14.290000,15.000000,1.001286,12.296160,-4.830007
1.000000,14.470000,15.250000,1.018205,12.723110,-4.833703
1.000000,14.750000,15.500000,1.033795,12.808500,-4.831855
1.200000,14.970000,15.750000,1.049311,12.808500,-4.802291
1.100000,15.250000,16.000000,1.065818,12.637720,-4.791205
1.100000,15.450000,16.250000,1.081327,12.893890,-4.770880
1.100000,15.690000,16.500000,1.097819,12.808500,-4.756098
0.700000,15.990000,16.750000,1.113655,12.637720,-4.733925
1.100000,16.230000,17.000000,1.129660,12.723110,-4.720990
0.900000,16.450000,17.250000,1.145209,12.723110,-4.709904
1.100000,16.810000,17.500000,1.161902,12.808500,-4.719143
0.800000,16.890000,17.750000,1.177584,12.723110,-4.708056
1.200000,17.130000,18.000000,1.193130,12.466940,-4.689579
1.000000,17.350000,18.250000,1.209425,12.552330,-4.706208
1.100000,17.630000,18.500000,1.226100,12.552330,-4.687731
1.000000,17.830000,18.750000,1.241638,12.466940,-4.711752
1.100000,18.070000,19.000000,1.257161,12.381550,-4.730229
1.300000,18.370000,19.250000,1.273677,12.723110,-4.730229
1.100000,18.610000,19.500000,1.289206,12.296160,-4.767184
0.900000,18.830000,19.750000,1.305726,12.296160,-4.761641
1.000000,19.050000,20.000000,1.321231,12.381550,-4.785661
1.100000,19.270000,20.250000,1.337741,12.381550,-4.804139
1.000000,19.530000,20.500000,1.353244,12.381550,-4.817073
