# Date: 20210119
# Operator: RDP
# Notes: PbSn 15 Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-08
# Fit of Tap:
#	Ic = 163 +/- 1.2 A
#	n = 50 +/- 4.2 
#	Vc = 5 uV
#	Vfloor = 0.7 +/- 2e+28 uV
#	R = 6.27 +/- 2.5e+07 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.000000,0.230000,0.000000,0.044621,12.637720,-4.835551
1.000000,0.370000,0.250000,0.063825,12.723110,-4.807834
1.000000,0.470000,0.500000,0.076479,12.723110,-4.841094
0.900000,0.790000,0.750000,0.093008,12.808500,-4.837398
0.900000,0.950000,1.000000,0.108581,13.064670,-4.802291
0.900000,1.250000,1.250000,0.125095,12.979280,-4.794900
0.800000,1.470000,1.500000,0.141061,12.979280,-4.778271
0.900000,1.650000,1.750000,0.156699,12.979280,-4.735772
0.900000,1.910000,2.000000,0.172618,13.150060,-4.713599
0.900000,2.150000,2.250000,0.188282,12.979280,-4.695122
1.000000,2.430000,2.500000,0.204525,12.893890,-4.687731
0.700000,2.610000,2.750000,0.221115,12.893890,-4.684035
0.700000,2.870000,3.000000,0.237243,12.893890,-4.674797
1.000000,3.050000,3.250000,0.252289,12.723110,-4.665558
1.000000,3.290000,3.500000,0.268841,12.808500,-4.658167
0.800000,3.610000,3.750000,0.284380,12.723110,-4.672949
1.100000,3.810000,4.000000,0.300932,12.552330,-4.671101
0.800000,4.050000,4.250000,0.316464,12.637720,-4.695122
0.900000,4.310000,4.500000,0.333003,12.552330,-4.715447
0.900000,4.490000,4.750000,0.348563,12.637720,-4.746859
0.900000,4.770000,5.000000,0.365078,12.466940,-4.746859
1.000000,5.010000,5.250000,0.380600,12.552330,-4.770880
0.900000,5.190000,5.500000,0.397054,12.466940,-4.772727
0.800000,5.410000,5.750000,0.412635,12.552330,-4.791205
0.800000,5.730000,6.000000,0.429202,12.637720,-4.798596
1.000000,5.910000,6.250000,0.444761,12.723110,-4.804139
0.900000,6.190000,6.500000,0.460289,12.637720,-4.802291
0.900000,6.370000,6.750000,0.476855,12.723110,-4.809682
1.100000,6.670000,7.000000,0.492383,12.893890,-4.794900
1.000000,6.990000,7.250000,0.508905,12.808500,-4.791205
