# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 0.5 quench
# Tap_cm: 5.0
# Sample: DCCPnSn_001
# Fit of Tap:
#	Ic = 126 +/- 2.4 A
#	n = 59 +/- 36 
#	Vc = 0.5 uV
#	Vfloor = -1.36 +/- 0.0074 uV
#	R = 0.000699 +/- 0.00011 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
-1.500000,0.210000,0.000000,0.035264,36.973870,-4.519586
-1.500000,0.210000,0.083333,0.047528,36.888480,-4.395787
-1.400000,0.290000,0.166667,0.056585,36.546920,-4.469697
-1.800000,0.370000,0.250000,0.072134,36.632310,-4.499261
-1.500000,0.410000,0.333333,0.087683,36.888480,-4.523282
-1.300000,0.450000,0.416667,0.104383,36.803090,-4.521434
-1.600000,0.590000,0.500000,0.119927,36.973870,-4.532520
-1.500000,0.670000,0.583333,0.136458,36.973870,-4.523282
-1.400000,0.710000,0.666667,0.152032,37.315430,-4.521434
-1.500000,0.810000,0.750000,0.168559,36.973870,-4.526977
-1.400000,0.870000,0.833333,0.184084,37.656990,-4.506652
-1.400000,0.970000,0.916667,0.203717,37.059260,-4.550998
-1.600000,0.970000,1.000000,0.216317,37.315430,-4.497413
-1.300000,1.130000,1.083333,0.231872,37.400820,-4.453067
-1.700000,1.230000,1.166667,0.257311,36.803090,-4.462306
-1.600000,1.230000,1.250000,0.264332,37.230040,-4.425351
-1.600000,1.330000,1.333333,0.279924,37.144650,-4.397635
-1.800000,1.510000,1.416667,0.296468,37.315430,-4.390244
-1.600000,1.530000,1.500000,0.312038,37.059260,-4.375462
-1.400000,1.550000,1.583333,0.328237,37.144650,-4.356984
-1.700000,1.630000,1.666667,0.344237,37.230040,-4.358832
-1.500000,1.670000,1.750000,0.360171,36.888480,-4.369919
-1.700000,1.810000,1.833333,0.376171,36.973870,-4.382853
-1.600000,1.890000,1.916667,0.393351,36.973870,-4.362528
-1.300000,1.990000,2.000000,0.408326,36.888480,-4.410569
-1.400000,2.070000,2.083333,0.424255,36.632310,-4.441981
-1.500000,2.110000,2.166667,0.440174,36.803090,-4.453067
-1.500000,2.210000,2.250000,0.456126,36.888480,-4.478936
-1.400000,2.270000,2.333333,0.472160,36.888480,-4.501109
-1.300000,2.330000,2.416667,0.487784,36.376140,-4.514043
-1.400000,2.450000,2.500000,0.504418,36.973870,-4.508500
-1.900000,2.530000,2.583333,0.519990,37.230040,-4.514043
-1.600000,2.590000,2.666667,0.536588,37.059260,-4.525129
-1.300000,2.670000,2.750000,0.557617,36.803090,-4.436438
-1.500000,2.770000,2.833333,0.568689,37.059260,-4.530673
-1.700000,2.830000,2.916667,0.584758,37.144650,-4.523282
-1.500000,2.910000,3.000000,0.600359,37.400820,-4.493718
-1.400000,2.990000,3.083333,0.615942,37.315430,-4.464154
-1.500000,3.010000,3.166667,0.632473,37.144650,-4.449372
-1.400000,3.110000,3.250000,0.648009,37.144650,-4.410569
-1.500000,3.230000,3.333333,0.664528,37.315430,-4.412417
-1.600000,3.350000,3.416667,0.680065,37.230040,-4.382853
-1.700000,3.390000,3.500000,0.696627,37.230040,-4.384701
-1.700000,3.430000,3.583333,0.713826,37.144650,-4.379157
-1.500000,3.550000,3.666667,0.730307,37.230040,-4.377310
-1.400000,3.690000,3.750000,0.745842,36.973870,-4.360680
-1.600000,3.690000,3.833333,0.762409,37.315430,-4.358832
-1.500000,3.810000,3.916667,0.781589,37.230040,-4.408721
