# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 0.5 quench
# Tap_cm: 5.0
# Sample: DCCPnSn_001
# Fit of Tap:
#	Ic = 178 A
#	n = 175 
#	Vc = 0.5 uV
#	Vfloor = -1.35 uV
#	R = 0.00115 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
-1.500000,0.210000,0.000000,0.049586,37.400820,-4.419808
-1.700000,0.250000,0.083333,0.064461,37.144650,-4.386548
-1.500000,0.270000,0.166667,0.080009,37.230040,-4.382853
-1.500000,0.350000,0.250000,0.096292,37.059260,-4.393939
-1.600000,0.390000,0.333333,0.112270,36.888480,-4.397635
-1.600000,0.470000,0.416667,0.128252,36.973870,-4.399483
-1.500000,0.590000,0.500000,0.144240,36.803090,-4.417960
-1.400000,0.690000,0.583333,0.160575,36.888480,-4.434590
-1.500000,0.710000,0.666667,0.176311,37.486210,-4.464154
-1.600000,0.810000,0.750000,0.192347,37.144650,-4.478936
-1.700000,0.870000,0.833333,0.208331,36.803090,-4.501109
-1.500000,1.130000,0.916667,0.231235,37.230040,-4.401330
-1.400000,0.990000,1.000000,0.240559,36.973870,-4.538064
-1.400000,1.110000,1.083333,0.256291,36.888480,-4.552846
-1.500000,1.210000,1.166667,0.272288,37.230040,-4.554693
-1.600000,1.310000,1.250000,0.288260,37.059260,-4.558389
-1.700000,1.330000,1.333333,0.304302,37.144650,-4.558389
-1.600000,1.450000,1.416667,0.320273,37.315430,-4.545455
-1.300000,1.470000,1.500000,0.335823,37.400820,-4.521434
-1.400000,1.570000,1.583333,0.352381,37.486210,-4.525129
-1.300000,1.610000,1.666667,0.367910,37.486210,-4.501109
-1.500000,1.730000,1.750000,0.383400,37.486210,-4.451220
-1.400000,1.810000,1.833333,0.399900,37.315430,-4.447524
-1.300000,1.890000,1.916667,0.415418,37.315430,-4.412417
-1.700000,1.990000,2.000000,0.432258,37.144650,-4.421656
-1.600000,2.050000,2.083333,0.447866,37.400820,-4.405026
-1.600000,2.150000,2.166667,0.463403,37.059260,-4.390244
-1.500000,2.210000,2.250000,0.479912,37.230040,-4.388396
-1.500000,2.250000,2.333333,0.495429,36.888480,-4.392092
-1.500000,2.350000,2.416667,0.511968,37.144650,-4.393939
-1.700000,2.450000,2.500000,0.533257,37.400820,-4.440133
-1.500000,2.530000,2.583333,0.544281,37.144650,-4.412417
