# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 0.5 quench
# Tap_cm: 5.0
# Sample: DCCPnSn_001
# Fit of Tap:
#	Ic = 167 +/- 1.9 A
#	n = 23.8 +/- 5.4 
#	Vc = 0.5 uV
#	Vfloor = -1.3 +/- 0.007 uV
#	R = 0.00162 +/- 8.8e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
-1.600000,0.230000,0.000000,0.040934,37.230040,-4.512195
-1.600000,0.230000,0.083333,0.051411,36.803090,-4.392092
-1.300000,0.250000,0.166667,0.057926,37.144650,-4.526977
-1.600000,0.330000,0.250000,0.073447,37.144650,-4.490022
-1.300000,0.370000,0.333333,0.089376,37.400820,-4.466001
-1.300000,0.530000,0.416667,0.105413,37.230040,-4.443829
-1.400000,0.610000,0.500000,0.120970,37.144650,-4.412417
-1.500000,0.650000,0.583333,0.137609,36.973870,-4.410569
-1.500000,0.730000,0.666667,0.153199,37.059260,-4.386548
-1.300000,0.790000,0.750000,0.168734,37.059260,-4.379157
-1.400000,0.890000,0.833333,0.185328,37.059260,-4.384701
-1.600000,0.990000,0.916667,0.200883,36.803090,-4.390244
-1.400000,1.030000,1.000000,0.217428,36.717700,-4.388396
-1.300000,1.090000,1.083333,0.233138,36.803090,-4.410569
-1.100000,1.230000,1.166667,0.248789,36.546920,-4.440133
-1.600000,1.270000,1.250000,0.265367,36.717700,-4.438285
-1.500000,1.330000,1.333333,0.280924,36.803090,-4.477088
-1.400000,1.410000,1.416667,0.297478,36.717700,-4.471545
-1.600000,1.550000,1.500000,0.313015,36.803090,-4.504804
-1.200000,1.530000,1.583333,0.328562,37.059260,-4.530673
-1.300000,1.610000,1.666667,0.345082,36.973870,-4.530673
-1.600000,1.710000,1.750000,0.360649,36.803090,-4.545455
-1.500000,1.770000,1.833333,0.377161,36.803090,-4.550998
-1.400000,1.870000,1.916667,0.393326,36.973870,-4.530673
-1.600000,1.970000,2.000000,0.409383,37.059260,-4.539911
-1.300000,2.030000,2.083333,0.424931,37.400820,-4.517738
-1.500000,2.130000,2.166667,0.441650,37.315430,-4.508500
-1.500000,2.150000,2.250000,0.457234,37.144650,-4.484479
-1.500000,2.230000,2.333333,0.472762,37.059260,-4.451220
-1.300000,2.330000,2.416667,0.489328,37.315430,-4.441981
-1.600000,2.430000,2.500000,0.504935,37.059260,-4.405026
-1.300000,2.510000,2.583333,0.521488,37.144650,-4.416112
-1.200000,2.590000,2.666667,0.537044,37.059260,-4.393939
-1.700000,2.630000,2.750000,0.552564,36.888480,-4.377310
-1.200000,2.750000,2.833333,0.569093,36.888480,-4.381005
-1.300000,2.830000,2.916667,0.584630,36.973870,-4.382853
-1.100000,2.890000,3.000000,0.601163,36.973870,-4.384701
-1.400000,3.010000,3.083333,0.616750,36.803090,-4.405026
-1.300000,3.070000,3.166667,0.633277,36.632310,-4.406874
-1.300000,3.130000,3.250000,0.649073,36.717700,-4.429047
-1.400000,3.270000,3.333333,0.664630,36.632310,-4.460458
-1.600000,3.330000,3.416667,0.686976,37.144650,-4.393939
-1.200000,3.370000,3.500000,0.697005,36.803090,-4.490022
-1.600000,3.430000,3.583333,0.712551,36.888480,-4.510347
-1.500000,3.510000,3.666667,0.729079,37.059260,-4.510347
-1.400000,3.590000,3.750000,0.746566,36.888480,-4.504804
-1.300000,3.670000,3.833333,0.763103,36.888480,-4.508500
-1.600000,3.770000,3.916667,0.778589,36.717700,-4.528825
-1.600000,3.910000,4.000000,0.795040,37.230040,-4.528825
-1.500000,3.990000,4.083333,0.810543,37.144650,-4.536216
-1.300000,4.030000,4.166667,0.827002,37.230040,-4.536216
-1.300000,4.090000,4.250000,0.842551,37.230040,-4.528825
-1.500000,4.210000,4.333333,0.861225,37.059260,-4.536216
-1.500000,4.250000,4.416667,0.874792,37.315430,-4.499261
-1.100000,4.390000,4.500000,0.891248,37.400820,-4.480783
-1.100000,4.450000,4.583333,0.906947,37.400820,-4.456763
-1.400000,4.510000,4.666667,0.922477,37.400820,-4.423503
-1.500000,4.570000,4.750000,0.937630,37.144650,-4.393939
-1.600000,4.670000,4.833333,0.953199,37.230040,-4.377310
-1.100000,4.750000,4.916667,0.968732,37.144650,-4.371766
-1.500000,4.890000,5.000000,0.986629,36.973870,-4.388396
-1.300000,4.890000,5.083333,1.000768,36.973870,-4.386548
-1.500000,4.970000,5.166667,1.017379,36.803090,-4.379157
-1.400000,5.050000,5.250000,1.032965,36.717700,-4.410569
-1.200000,5.130000,5.333333,1.049503,36.632310,-4.406874
-1.500000,5.210000,5.416667,1.065541,36.632310,-4.434590
-1.400000,5.270000,5.500000,1.081127,36.546920,-4.464154
-1.500000,5.350000,5.583333,1.096657,36.888480,-4.493718
-1.500000,5.450000,5.666667,1.113174,37.059260,-4.499261
-1.200000,5.490000,5.750000,1.128694,36.973870,-4.525129
-1.200000,5.570000,5.833333,1.145253,36.888480,-4.532520
-1.600000,5.770000,5.916667,1.160779,37.059260,-4.541759
-1.500000,5.750000,6.000000,1.177319,37.144650,-4.536216
-1.400000,5.830000,6.083333,1.192893,37.315430,-4.534368
-1.400000,5.930000,6.166667,1.209409,37.230040,-4.528825
-1.300000,6.010000,6.250000,1.224924,37.571600,-4.501109
-1.400000,6.090000,6.333333,1.241486,36.632310,-4.502956
-1.400000,6.130000,6.416667,1.257111,37.230040,-4.486327
-1.500000,6.250000,6.500000,1.274134,37.315430,-4.482631
-1.400000,6.310000,6.583333,1.290432,37.230040,-4.478936
-1.400000,6.390000,6.666667,1.305589,37.315430,-4.432742
-1.200000,6.470000,6.750000,1.321161,37.400820,-4.393939
-1.500000,6.550000,6.833333,1.336744,37.059260,-4.373614
-1.300000,6.610000,6.916667,1.353280,37.400820,-4.373614
-1.300000,6.710000,7.000000,1.368805,37.144650,-4.366223
-1.400000,6.750000,7.083333,1.385323,37.144650,-4.356984
-1.200000,6.890000,7.166667,1.400842,36.973870,-4.375462
-1.400000,6.930000,7.250000,1.417365,36.973870,-4.375462
-1.300000,7.010000,7.333333,1.432932,36.717700,-4.410569
-1.100000,7.130000,7.416667,1.449682,36.888480,-4.414265
-1.600000,7.210000,7.500000,1.465385,36.717700,-4.436438
-1.500000,7.250000,7.583333,1.482782,36.803090,-4.414265
-1.200000,7.390000,7.666667,1.497730,36.717700,-4.466001
-1.400000,7.370000,7.750000,1.513554,36.717700,-4.491870
-1.500000,7.470000,7.833333,1.529342,36.973870,-4.510347
-1.400000,7.510000,7.916667,1.545127,36.888480,-4.525129
-1.200000,7.650000,8.000000,1.560950,37.059260,-4.532520
-1.300000,7.770000,8.083333,1.577746,37.230040,-4.521434
-1.400000,7.850000,8.166667,1.594394,36.973870,-4.530673
-1.100000,7.910000,8.250000,1.609700,37.315430,-4.536216
-1.500000,7.990000,8.333333,1.625524,37.400820,-4.519586
-1.400000,8.110000,8.416667,1.642637,37.230040,-4.502956
-1.400000,8.170000,8.500000,1.659649,37.144650,-4.512195
-1.500000,8.210000,8.583333,1.675620,37.144650,-4.499261
-1.500000,8.250000,8.666667,1.695286,36.803090,-4.523282
-1.500000,8.350000,8.750000,1.707353,37.400820,-4.456763
-1.300000,8.450000,8.833333,1.723442,37.230040,-4.441981
-1.400000,8.530000,8.916667,1.739379,37.230040,-4.417960
-1.600000,8.610000,9.000000,1.753378,36.973870,-4.366223
-1.400000,8.730000,9.083333,1.769182,36.973870,-4.364375
-1.300000,8.730000,9.166667,1.784948,36.888480,-4.368071
-1.300000,8.850000,9.250000,1.801739,36.717700,-4.375462
-1.500000,8.930000,9.333333,1.817545,36.803090,-4.382853
-1.500000,8.970000,9.416667,1.833340,36.803090,-4.403178
-1.200000,9.050000,9.500000,1.849120,36.546920,-4.421656
-1.600000,9.170000,9.583333,1.864896,36.632310,-4.451220
-1.400000,9.270000,9.666667,1.893524,37.230040,-4.536216
