# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 0.5 quench
# Tap_cm: 5.0
# Sample: DCCPnSn_003
# Fit of Tap:
#	Ic = 134 +/- 0.37 A
#	n = 49.8 +/- 1.5 
#	Vc = 0.5 uV
#	Vfloor = -1.53 +/- 0.2 uV
#	R = 0.000101 +/- 0.0026 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
-1.200000,0.230000,0.000000,0.048772,37.144650,-4.421656
-1.400000,0.170000,0.083333,0.064563,37.230040,-4.403178
-1.300000,0.270000,0.166667,0.080373,37.315430,-4.384701
-1.500000,0.350000,0.250000,0.097139,37.230040,-4.375462
-1.400000,0.390000,0.333333,0.112904,37.059260,-4.366223
-1.100000,0.490000,0.416667,0.128699,37.059260,-4.360680
-1.100000,0.530000,0.500000,0.144456,36.888480,-4.375462
-1.600000,0.670000,0.583333,0.161209,36.888480,-4.382853
-1.400000,0.710000,0.666667,0.176966,36.717700,-4.392092
-1.300000,0.790000,0.750000,0.192762,36.632310,-4.412417
-1.400000,0.870000,0.833333,0.220736,36.803090,-4.534368
-1.200000,0.930000,0.916667,0.227530,36.888480,-4.377310
-1.400000,1.010000,1.000000,0.241269,36.290750,-4.462306
-1.500000,1.110000,1.083333,0.257053,36.888480,-4.473392
-1.400000,1.190000,1.166667,0.272833,36.803090,-4.502956
-1.200000,1.250000,1.250000,0.288779,36.888480,-4.514043
-1.500000,1.290000,1.333333,0.304613,36.973870,-4.528825
-1.500000,1.370000,1.416667,0.320385,36.888480,-4.538064
-1.300000,1.490000,1.500000,0.337148,37.059260,-4.526977
-1.400000,1.570000,1.583333,0.352922,37.230040,-4.538064
-1.500000,1.630000,1.666667,0.368720,37.400820,-4.512195
-1.300000,1.710000,1.750000,0.384480,37.230040,-4.488174
-1.300000,1.810000,1.833333,0.401236,37.230040,-4.480783
-1.200000,1.870000,1.916667,0.417250,37.144650,-4.466001
-1.400000,1.950000,2.000000,0.433051,37.315430,-4.440133
-1.300000,2.050000,2.083333,0.448826,37.144650,-4.414265
-1.300000,2.110000,2.166667,0.464598,37.230040,-4.386548
-1.200000,2.190000,2.250000,0.480358,37.059260,-4.369919
-1.200000,2.250000,2.333333,0.497122,37.144650,-4.371766
-1.200000,2.350000,2.416667,0.514980,36.973870,-4.395787
-1.100000,2.410000,2.500000,0.529227,36.973870,-4.360680
-1.200000,2.450000,2.583333,0.545142,36.888480,-4.375462
-1.500000,2.630000,2.666667,0.560945,36.803090,-4.381005
-1.400000,2.670000,2.750000,0.576700,36.632310,-4.406874
-1.400000,2.810000,2.833333,0.592458,36.803090,-4.436438
-1.300000,2.830000,2.916667,0.610573,36.717700,-4.393939
-1.400000,2.870000,3.000000,0.624402,36.717700,-4.477088
-1.300000,2.990000,3.083333,0.641174,36.973870,-4.471545
-1.400000,3.070000,3.166667,0.656938,36.632310,-4.493718
-1.300000,3.130000,3.250000,0.672706,36.888480,-4.532520
-1.400000,3.250000,3.333333,0.688457,37.059260,-4.538064
-1.000000,3.310000,3.416667,0.705222,36.888480,-4.532520
-1.500000,3.390000,3.500000,0.721018,36.973870,-4.549150
-1.400000,3.470000,3.583333,0.736777,37.059260,-4.536216
-1.300000,3.590000,3.666667,0.754494,37.144650,-4.534368
-1.300000,3.670000,3.750000,0.770456,36.973870,-4.545455
-1.300000,3.810000,3.833333,0.786583,37.315430,-4.532520
-1.300000,3.810000,3.916667,0.802659,37.315430,-4.523282
-1.400000,3.890000,4.000000,0.837140,37.230040,-4.530673
-1.400000,4.130000,4.083333,0.852292,37.144650,-4.515891
-1.300000,4.010000,4.166667,0.867085,37.486210,-4.466001
-1.200000,4.070000,4.250000,0.883837,37.400820,-4.458610
-1.300000,4.210000,4.333333,0.899603,37.144650,-4.434590
-1.300000,4.290000,4.416667,0.915343,37.059260,-4.401330
-1.300000,4.350000,4.500000,0.931120,37.059260,-4.375462
-1.400000,4.450000,4.583333,0.947904,37.230040,-4.368071
-1.600000,4.530000,4.666667,0.963655,36.973870,-4.360680
-1.300000,4.530000,4.750000,0.979431,37.059260,-4.362528
-1.200000,4.690000,4.833333,0.995186,37.059260,-4.371766
-1.200000,4.730000,4.916667,1.011429,36.717700,-4.362528
-1.200000,4.870000,5.000000,1.027209,36.803090,-4.393939
-1.300000,4.930000,5.083333,1.043083,36.888480,-4.419808
-1.100000,4.950000,5.166667,1.059881,36.973870,-4.408721
-1.600000,4.950000,5.250000,1.075861,36.632310,-4.434590
-1.300000,5.150000,5.333333,1.091747,36.632310,-4.451220
-1.500000,5.210000,5.416667,1.114591,37.144650,-4.375462
-1.300000,5.290000,5.500000,1.123850,36.803090,-4.493718
-1.400000,5.330000,5.583333,1.139632,36.803090,-4.517738
-1.000000,5.430000,5.666667,1.155378,37.059260,-4.534368
-1.400000,5.490000,5.750000,1.171153,37.144650,-4.536216
-1.200000,5.610000,5.833333,1.187935,36.803090,-4.538064
-1.400000,5.710000,5.916667,1.203691,36.973870,-4.532520
-1.500000,5.730000,6.000000,1.219998,37.230040,-4.528825
-1.500000,5.810000,6.083333,1.235819,37.400820,-4.502956
-1.200000,5.930000,6.166667,1.251567,37.400820,-4.484479
-1.100000,6.030000,6.250000,1.267315,37.230040,-4.460458
-1.400000,6.070000,6.333333,1.283409,37.486210,-4.436438
-1.300000,6.090000,6.416667,1.299256,37.315430,-4.429047
-1.300000,6.250000,6.500000,1.315052,37.315430,-4.405026
-1.200000,6.330000,6.583333,1.331836,37.144650,-4.405026
-1.300000,6.410000,6.666667,1.347602,37.059260,-4.379157
-1.500000,6.450000,6.750000,1.363434,36.973870,-4.373614
