# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 0.5 quench
# Tap_cm: 5.0
# Sample: DCCPnSn_00
# Fit of Tap:
#	Ic = 146 +/- 3.8 A
#	n = 28.5 +/- 7.5 
#	Vc = 2.5 uV
#	Vfloor = 1.38 +/- 0.0071 uV
#	R = 0.000726 +/- 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.400000,0.210000,0.000000,0.045793,37.144650,-4.362528
1.300000,0.230000,0.083333,0.061643,36.888480,-4.377310
1.400000,0.230000,0.166667,0.077454,36.888480,-4.379157
1.300000,0.390000,0.250000,0.094231,36.888480,-4.384701
1.300000,0.430000,0.333333,0.110000,36.632310,-4.412417
1.400000,0.490000,0.416667,0.125755,36.803090,-4.430894
1.500000,0.530000,0.500000,0.150703,37.230040,-4.467849
1.300000,0.650000,0.583333,0.158012,36.717700,-4.454915
1.100000,0.750000,0.666667,0.174003,36.803090,-4.480783
1.400000,0.810000,0.750000,0.189833,36.973870,-4.504804
1.400000,0.930000,0.833333,0.205631,36.973870,-4.521434
1.300000,0.970000,0.916667,0.221464,37.059260,-4.526977
1.400000,1.050000,1.000000,0.238245,36.888480,-4.539911
1.400000,1.130000,1.083333,0.254074,36.973870,-4.532520
1.100000,1.210000,1.166667,0.269858,37.230040,-4.532520
1.200000,1.290000,1.250000,0.285659,37.315430,-4.504804
1.300000,1.330000,1.333333,0.301466,37.571600,-4.488174
1.300000,1.430000,1.416667,0.318247,37.315430,-4.493718
1.100000,1.530000,1.500000,0.334046,37.486210,-4.460458
1.400000,1.510000,1.583333,0.350110,37.315430,-4.434590
1.300000,1.630000,1.666667,0.365992,37.144650,-4.408721
1.300000,1.730000,1.750000,0.381780,37.059260,-4.381005
1.200000,1.830000,1.833333,0.398005,37.230040,-4.384701
1.200000,1.830000,1.916667,0.413919,36.973870,-4.364375
1.100000,1.950000,2.000000,0.429706,37.230040,-4.355137
1.200000,2.030000,2.083333,0.450184,37.315430,-4.440133
1.600000,2.130000,2.166667,0.461446,36.973870,-4.360680
1.300000,2.190000,2.250000,0.478241,36.973870,-4.356984
1.200000,2.290000,2.333333,0.494090,36.888480,-4.384701
1.400000,2.390000,2.416667,0.509872,36.717700,-4.403178
1.200000,2.470000,2.500000,0.525732,36.888480,-4.427199
1.300000,2.490000,2.583333,0.541549,36.632310,-4.449372
1.200000,2.590000,2.666667,0.558324,36.803090,-4.454915
1.100000,2.710000,2.750000,0.574100,36.888480,-4.493718
1.000000,2.750000,2.833333,0.590143,36.888480,-4.501109
1.000000,2.870000,2.916667,0.605991,36.803090,-4.528825
1.600000,2.950000,3.000000,0.621790,36.888480,-4.523282
1.200000,3.070000,3.083333,0.637607,36.973870,-4.526977
