# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 0.5 quench
# Tap_cm: 5.0
# Sample: DCCPnSn_00
# Fit of Tap:
#	Ic = 78.7 +/- 0.54 A
#	n = 50 +/- 0.64 
#	Vc = 2.5 uV
#	Vfloor = 2.48 +/- 1.1e+52 uV
#	R = 9.7 +/- 3.1e+41 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.300000,0.190000,0.000000,0.067292,37.059260,-4.377310
1.400000,0.250000,0.083333,0.079880,37.059260,-4.495565
1.400000,0.210000,0.166667,0.091900,37.486210,-4.491870
1.300000,0.390000,0.250000,0.108515,37.486210,-4.502956
1.200000,0.410000,0.333333,0.124108,37.400820,-4.471545
1.200000,0.470000,0.416667,0.140729,37.400820,-4.469697
1.200000,0.570000,0.500000,0.156311,37.400820,-4.432742
1.400000,0.630000,0.583333,0.171870,37.230040,-4.393939
1.400000,0.730000,0.666667,0.188423,37.315430,-4.388396
1.200000,0.770000,0.750000,0.203969,37.059260,-4.364375
1.200000,0.910000,0.833333,0.220345,37.059260,-4.353289
1.500000,0.970000,0.916667,0.235951,37.059260,-4.355137
1.400000,1.050000,1.000000,0.252496,37.144650,-4.358832
1.300000,1.090000,1.083333,0.268043,36.717700,-4.375462
1.400000,1.170000,1.166667,0.284584,36.632310,-4.375462
1.400000,1.290000,1.250000,0.300109,36.717700,-4.405026
1.500000,1.350000,1.333333,0.316423,36.546920,-4.408721
1.200000,1.410000,1.416667,0.332490,36.546920,-4.421656
1.300000,1.450000,1.500000,0.348070,36.632310,-4.451220
1.100000,1.610000,1.583333,0.364611,36.717700,-4.467849
1.100000,1.670000,1.666667,0.380221,36.888480,-4.495565
1.300000,1.690000,1.750000,0.396825,36.803090,-4.506652
1.400000,1.830000,1.833333,0.413072,36.888480,-4.514043
1.300000,1.870000,1.916667,0.428666,37.144650,-4.528825
1.300000,1.950000,2.000000,0.444208,37.059260,-4.532520
0.900000,2.010000,2.083333,0.460768,37.144650,-4.532520
1.200000,2.130000,2.166667,0.476314,37.230040,-4.523282
0.900000,2.190000,2.250000,0.491835,37.315430,-4.491870
1.200000,2.290000,2.333333,0.508376,37.400820,-4.484479
1.300000,2.350000,2.416667,0.523895,37.230040,-4.449372
1.400000,2.410000,2.500000,0.540421,37.400820,-4.443829
1.200000,2.530000,2.583333,0.555969,37.315430,-4.408721
1.100000,2.630000,2.666667,0.572518,37.144650,-4.403178
1.200000,2.690000,2.750000,0.588052,37.144650,-4.369919
1.300000,2.810000,2.833333,0.604711,37.315430,-4.369919
1.200000,2.870000,2.916667,0.626166,37.230040,-4.515891
1.500000,2.890000,3.000000,0.635898,37.059260,-4.358832
1.400000,2.990000,3.083333,0.652462,36.973870,-4.360680
1.200000,3.030000,3.166667,0.668048,37.144650,-4.382853
1.200000,3.130000,3.250000,0.684583,36.888480,-4.384701
1.200000,3.170000,3.333333,0.700147,36.973870,-4.408721
1.400000,3.310000,3.416667,0.716683,36.546920,-4.403178
1.100000,3.390000,3.500000,0.732220,36.803090,-4.427199
1.400000,3.490000,3.583333,0.748763,36.717700,-4.438285
1.100000,3.570000,3.666667,0.766100,36.717700,-4.440133
1.200000,3.630000,3.750000,0.781573,36.973870,-4.464154
1.300000,3.710000,3.833333,0.798083,36.888480,-4.467849
1.400000,3.750000,3.916667,0.819211,36.888480,-4.345898
1.400000,3.830000,4.000000,0.829852,37.059260,-4.512195
1.200000,3.990000,4.083333,0.846309,36.888480,-4.519586
1.400000,4.010000,4.166667,0.861536,37.315430,-4.519586
1.300000,4.250000,4.250000,0.876137,37.315430,-4.504804
1.300000,4.210000,4.333333,0.892943,37.315430,-4.526977
1.300000,4.290000,4.416667,0.916141,36.803090,-4.429047
1.500000,4.290000,4.500000,0.924208,37.230040,-4.449372
